LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz	y	mass
945.314286	1014.766667	180.990476	54.578095	11.132571	84.509048	746.595238	-525.138095	-606.911905	13.428095	26.103886	-93.608571	1249.666667	150.604762	-159.869524	-27.603810	23.526667	-89.217619	1210.333333	-113.397143	-257.390476	2.452450	-20.931429	90.224286	-0.002058	88.700000
871.771429	1839.166667	497.761905	17.526190	14.050381	64.303333	701.742857	-1259.847619	-358.257143	-3.959048	45.669195	-50.040476	1310.428571	129.505238	-138.252095	-32.115238	24.891905	-95.691905	1253.714286	-117.384762	-300.461905	0.197970	-24.016667	97.878095	-0.003272	88.700000
1058.419048	1780.838095	511.876190	-30.955143	3.025143	56.363333	762.166667	-1481.838095	-249.759524	-34.439048	41.540629	-17.978571	1366.428571	92.004762	-101.705190	-36.913810	27.197143	-102.737143	1298.000000	-92.420000	-358.933333	-1.200249	-27.554286	105.152381	-0.002464	88.700000
1328.257143	1024.695238	270.811429	-63.704857	-12.596381	67.770000	999.300000	-1133.452381	-353.342857	-64.704762	13.874852	-13.336190	1428.809524	45.631429	-39.598952	-41.376190	29.713810	-111.161429	1336.428571	-44.511429	-443.185714	-1.308524	-31.000476	112.668095	-0.001379	88.700000
1512.428571	271.309524	-86.864762	-62.113810	-24.989571	91.561905	1320.014286	-768.492381	-660.154762	-77.610952	-7.710848	-35.565238	1501.619048	-19.789524	10.115190	-45.964286	32.954286	-119.336190	1381.190476	41.736190	-514.233333	-0.445799	-33.902857	120.646667	0.000413	88.700000
1525.447619	-51.109524	-259.886667	-36.178571	-29.026952	112.031905	1464.104762	-510.307619	-767.620000	-73.349048	0.687195	-71.842857	1571.619048	-90.681905	33.815333	-50.899524	35.860476	-128.385714	1466.904762	141.670476	-569.600000	-0.285637	-35.876190	129.700000	0.003246	88.700000
1369.095238	23.271429	-366.916190	-12.514381	-37.086190	120.444762	1529.809524	-483.846667	-617.792381	-67.211429	24.569171	-97.469524	1680.428571	-177.907619	1.467190	-58.995238	37.848571	-136.400000	1611.619048	276.672381	-584.066667	-1.636998	-36.834286	138.847619	0.005931	88.700000
1250.980952	51.764286	-455.943810	-1.374095	-50.083333	117.728571	1494.838095	-310.069048	-325.443333	-71.899048	50.835714	-111.594286	1763.523810	-291.150000	-65.273048	-70.880000	40.118095	-141.114286	1752.047619	422.379048	-559.485714	-5.508701	-35.832381	147.728571	0.007202	88.700000
1168.742857	-64.142857	-556.893333	1.272762	-61.562381	120.666667	1284.166667	-35.759048	-10.991429	-78.371429	57.682857	-125.559048	1761.047619	-468.736190	-203.462857	-81.545905	40.605714	-141.242857	1853.952381	514.376190	-494.666667	-11.850628	-32.989524	156.228571	0.007206	88.700000
1142.676190	-65.526190	-642.621905	9.959810	-70.194286	127.995238	1134.666667	19.338571	262.163333	-71.754286	30.521429	-133.395714	1685.333333	-652.800000	-308.672381	-76.094714	36.393448	-138.947619	1817.666667	501.666667	-377.457143	-15.792238	-28.083333	161.195238	0.006532	88.700000
1067.876190	-17.238095	-642.090476	29.227619	-65.664762	130.421905	939.409524	-117.053333	300.720952	-49.739524	-7.113810	-134.976190	1515.047619	-637.214286	-386.320000	-51.120381	27.315971	-136.857143	1662.952381	270.019048	-194.961905	-13.962095	-23.980857	160.738095	0.004859	88.700000
989.771429	-71.673810	-507.940952	45.628571	-50.743333	124.567619	832.552381	-140.444762	112.471905	-31.280952	-45.607429	-128.680952	1263.590476	-350.742857	-484.038095	-15.893381	15.121752	-137.580952	1453.904762	-217.685714	-27.228571	-5.102762	-17.996571	156.280952	0.003918	88.700000
968.457143	-196.300000	-387.814286	56.534762	-38.458571	112.863810	903.761905	-108.201905	-249.396190	-18.143095	-60.803143	-120.007619	1015.495238	134.533333	-570.971429	18.251524	-0.406924	-144.195238	1284.914286	-675.028571	121.760952	17.510000	-16.072571	146.490476	0.003730	88.700000
1052.828571	-123.285714	-260.671429	64.730476	-29.023810	98.330476	1004.085714	-64.848095	-501.019048	-11.998095	-50.481238	-114.845238	896.085714	696.938095	-512.952381	29.913381	-11.873486	-155.928571	1085.252381	-902.280952	174.106190	35.744190	-11.198333	135.252381	0.003606	88.700000
1047.300000	81.266667	-97.807619	59.821429	-24.502381	87.688095	1086.557143	19.003810	-636.033333	-13.091190	-27.135857	-108.149524	950.619048	1005.976190	-530.742857	16.603143	-14.850600	-163.157143	973.309524	-942.195238	179.697143	39.761905	-13.024857	130.977143	0.004220	88.700000
1047.095238	224.690952	9.544762	39.007714	-31.188095	85.163333	1090.495238	72.073333	-576.071429	-21.812857	-6.709524	-95.880000	1020.580952	851.114000	-472.480952	-10.388571	-6.561497	-157.624762	972.204762	-680.080952	83.042857	34.020143	-13.638810	125.639048	0.005610	88.700000
1030.771429	203.221905	-60.757143	14.973667	-39.301429	86.220952	1042.471429	23.150476	-433.376190	-36.327381	2.149667	-82.759048	946.957143	556.824238	-415.021905	-32.804286	2.455655	-138.100000	922.547619	-298.271429	57.624762	16.275048	2.261619	113.044286	0.007190	88.700000
999.261905	38.495714	-185.413333	-0.567905	-41.011905	82.667619	1017.533333	-30.284286	-384.247619	-49.254762	6.663000	-71.919048	807.842857	174.058000	-352.564762	-51.568095	7.971406	-106.202857	782.438095	63.685714	150.527619	-6.296238	15.463524	96.893810	0.008354	88.700000
958.490476	-107.300000	-316.318095	0.549667	-38.326667	72.950000	974.104762	-122.546667	-335.719048	-44.071857	12.490732	-63.189524	600.333333	-174.084714	-295.000952	-59.935238	6.127354	-71.380571	637.795238	340.138095	202.319048	-24.699905	19.418381	76.860000	0.009024	88.700000
966.947619	-123.222857	-396.168571	12.508286	-32.789048	59.513333	942.047619	-207.535619	-199.947619	-29.549667	8.726378	-60.030476	462.347619	-385.227714	-160.040000	-61.792667	0.540549	-41.875095	441.314286	481.120000	190.003333	-41.569762	18.709952	55.697714	0.009547	88.700000
946.742857	-66.373333	-415.342857	26.146524	-26.868095	46.379048	967.004762	-201.709667	-211.685714	-12.784810	3.421041	-59.904762	507.314286	-511.228143	-115.948571	-53.794095	-4.537869	-17.065429	341.352381	377.236667	124.660000	-50.372190	3.401905	38.454381	0.010124	88.700000
