LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
-50.00	-1050.00	280.00	13.41	-10.00	18.41	50.00	-910.00	-190.00	12.38	-1.34	15.06	-110.00	-1230.00	-360.00	96.16	134.51	-144.33	110.00	-1030.00	-160.00	58.72	30.55	-164.09
70.00	-1010.00	300.00	0.61	-0.91	0.67	60.00	-910.00	-180.00	0.06	0.24	0.00	-50.00	-1030.00	-50.00	0.06	1.95	0.79	-10.00	-980.00	370.00	-0.91	-0.06	0.06
70.00	-1020.00	300.00	0.55	-0.85	0.67	210.00	-870.00	-190.00	-0.24	0.12	-0.06	-50.00	-1030.00	-40.00	0.00	1.95	0.85	-10.00	-990.00	370.00	-0.91	-0.12	0.12
70.00	-1020.00	300.00	0.61	-0.91	0.79	200.00	-870.00	-190.00	-0.18	-0.12	-0.18	-50.00	-1030.00	-30.00	-0.06	1.83	0.91	-10.00	-990.00	370.00	-0.85	-0.06	0.12
70.00	-1010.00	300.00	0.55	-0.98	0.73	210.00	-870.00	-190.00	-0.12	-0.06	-0.06	-50.00	-1040.00	-40.00	-0.12	1.71	0.79	-10.00	-980.00	370.00	-0.85	-0.12	0.18
70.00	-1010.00	300.00	0.43	-1.16	0.85	210.00	-870.00	-190.00	-0.24	0.00	0.00	-50.00	-1030.00	-40.00	-0.06	1.59	0.73	-10.00	-980.00	360.00	-0.91	-0.24	0.24
70.00	-1020.00	310.00	0.49	-1.16	0.98	210.00	-870.00	-190.00	-0.24	-0.12	0.00	-50.00	-1030.00	-40.00	0.00	1.40	0.61	-10.00	-990.00	360.00	-0.85	-0.37	0.30
70.00	-1010.00	300.00	0.49	-1.04	1.04	210.00	-870.00	-190.00	-0.24	-0.06	0.06	-60.00	-1030.00	-40.00	0.00	1.22	0.67	-10.00	-980.00	370.00	-0.85	-0.43	0.43
70.00	-1010.00	310.00	0.49	-1.04	1.04	210.00	-870.00	-190.00	-0.30	0.12	0.18	-50.00	-1030.00	-40.00	0.00	1.10	0.55	-10.00	-980.00	360.00	-0.85	-0.30	0.43
70.00	-1010.00	300.00	0.43	-1.04	1.04	210.00	-870.00	-190.00	-0.24	0.00	0.30	-50.00	-1030.00	-40.00	0.06	1.04	0.43	-0.00	-980.00	360.00	-0.85	-0.24	0.37
