LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
10.00	-1030.00	270.00	-0.43	-2.74	-3.72	170.00	-860.00	-230.00	-3.78	-0.61	-1.16	-120.00	-1030.00	-60.00	-12.32	-13.60	1.10	-80.00	-990.00	320.00	-2.99	-1.16	8.84
50.00	-1010.00	320.00	-2.50	-1.04	-3.84	200.00	-870.00	-170.00	-2.99	-0.85	-4.15	-40.00	-1030.00	-30.00	-3.90	-6.83	2.20	-10.00	-990.00	350.00	-4.02	2.44	7.20
50.00	-1010.00	320.00	-2.32	-1.16	-3.72	200.00	-870.00	-180.00	-2.87	-0.79	-4.21	-40.00	-1040.00	-20.00	-4.09	-6.65	2.20	-0.00	-990.00	350.00	0.85	-4.33	1.04
50.00	-1020.00	320.00	-2.26	-1.52	-3.48	210.00	-870.00	-180.00	-2.80	-1.04	-4.09	-40.00	-1030.00	-30.00	-4.09	-6.52	2.26	-0.00	-990.00	350.00	0.67	-4.33	1.28
50.00	-1010.00	320.00	-2.26	-1.89	-2.99	210.00	-880.00	-170.00	-2.56	-1.28	-3.90	-40.00	-1040.00	-30.00	-4.02	-6.59	2.38	-0.00	-990.00	350.00	0.49	-4.15	1.65
50.00	-1020.00	320.00	-2.01	-2.07	-2.68	200.00	-870.00	-180.00	-2.50	-1.34	-3.66	-50.00	-1030.00	-30.00	-4.21	-6.52	2.50	-0.00	-990.00	350.00	0.43	-3.96	1.77
60.00	-1010.00	320.00	-2.07	-2.01	-2.56	200.00	-870.00	-180.00	-2.38	-1.52	-3.48	-40.00	-1040.00	-30.00	-4.51	-6.71	2.68	-10.00	-990.00	350.00	0.49	-4.15	1.95
60.00	-1020.00	320.00	-1.95	-2.44	-2.38	210.00	-870.00	-180.00	-2.20	-1.77	-3.48	-40.00	-1030.00	-30.00	-4.57	-5.79	3.11	-0.00	-990.00	350.00	0.55	-4.15	2.01
60.00	-1020.00	320.00	-1.95	-2.80	-2.07	210.00	-870.00	-180.00	-2.20	-2.07	-3.41	-40.00	-1040.00	-30.00	-4.39	-5.12	3.41	-10.00	-1000.00	340.00	0.55	-4.39	2.20
60.00	-1010.00	320.00	-2.01	-3.29	-1.83	210.00	-870.00	-180.00	-2.07	-2.50	-3.35	-50.00	-1040.00	-30.00	-4.27	-5.00	3.35	10.00	-990.00	350.00	0.30	-4.63	2.56
70.00	-1010.00	310.00	-2.07	-3.90	-1.65	210.00	-860.00	-180.00	-1.89	-2.87	-3.23	-40.00	-1030.00	-30.00	-4.33	-5.18	3.23	-10.00	-990.00	350.00	0.49	-4.88	2.99
60.00	-1020.00	320.00	-2.07	-4.39	-1.16	210.00	-870.00	-190.00	-1.71	-3.60	-2.80	-40.00	-1030.00	-30.00	-4.21	-5.00	3.17	-10.00	-990.00	350.00	0.61	-4.94	3.17
60.00	-1010.00	310.00	-2.01	-4.51	-0.73	210.00	-870.00	-170.00	-1.71	-3.60	-2.80	-40.00	-1030.00	-40.00	-4.21	-4.94	3.05	-0.00	-990.00	340.00	0.67	-4.82	2.87
60.00	-1010.00	310.00	-2.07	-4.57	-0.24	210.00	-870.00	-180.00	-1.59	-3.60	-2.38	-40.00	-1040.00	-30.00	-3.84	-4.15	3.05	-0.00	-1000.00	340.00	0.85	-4.63	2.68
60.00	-1010.00	310.00	-2.07	-4.63	0.18	210.00	-870.00	-180.00	-1.16	-3.54	-1.52	-50.00	-1040.00	-40.00	-3.90	-3.29	3.11	-0.00	-1000.00	340.00	0.67	-4.51	2.62
60.00	-1010.00	310.00	-1.95	-4.70	0.67	210.00	-870.00	-190.00	-1.16	-3.54	-1.52	-40.00	-1030.00	-40.00	-3.78	-2.93	2.93	-0.00	-990.00	340.00	0.49	-4.33	2.93
70.00	-1020.00	310.00	-1.59	-5.00	1.22	220.00	-870.00	-180.00	-0.85	-2.62	0.18	-50.00	-1030.00	-40.00	-3.54	-2.56	2.74	-10.00	-990.00	350.00	0.12	-4.09	3.17
70.00	-1010.00	310.00	-1.40	-4.82	1.65	220.00	-870.00	-190.00	-0.85	-2.62	0.18	-40.00	-1030.00	-30.00	-3.41	-2.38	2.68	-0.00	-990.00	350.00	-0.12	-3.96	3.29
70.00	-1020.00	310.00	-1.28	-4.63	2.13	220.00	-870.00	-190.00	0.06	-0.49	2.38	-50.00	-1030.00	-40.00	-3.11	-2.01	2.44	-10.00	-990.00	350.00	0.00	-3.60	3.11
