LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
-300.00	-1020.00	100.00	0.00	-0.61	1.77	70.00	-840.00	-340.00	-0.67	-0.30	1.16	-180.00	-1020.00	20.00	-1.04	1.16	-0.06	-170.00	-970.00	350.00	-1.65	0.00	1.10
-290.00	-1030.00	90.00	0.67	-0.98	0.91	80.00	-830.00	-350.00	-0.06	0.12	0.43	-150.00	-1030.00	30.00	0.24	0.12	0.00	-150.00	-980.00	350.00	-1.46	0.18	0.24
-290.00	-1030.00	90.00	0.79	-0.91	1.04	80.00	-830.00	-350.00	0.06	0.06	0.49	-150.00	-1030.00	20.00	0.30	0.00	0.00	-150.00	-970.00	350.00	-0.24	-0.43	0.30
-290.00	-1020.00	80.00	0.79	-0.91	1.10	80.00	-830.00	-340.00	0.06	0.06	0.61	-150.00	-1030.00	20.00	0.30	0.06	0.00	-150.00	-980.00	340.00	-0.37	-0.37	0.43
-290.00	-1020.00	80.00	0.79	-0.98	1.04	80.00	-830.00	-350.00	0.06	0.06	0.55	-150.00	-1030.00	20.00	0.12	0.00	0.00	-150.00	-980.00	340.00	-0.24	-0.43	0.61
-290.00	-1030.00	90.00	0.79	-0.98	1.04	80.00	-830.00	-350.00	0.06	-0.06	0.43	-150.00	-1030.00	30.00	0.06	-0.12	0.06	-150.00	-970.00	340.00	-0.24	-0.49	0.73
-280.00	-1030.00	90.00	0.73	-1.04	1.10	80.00	-830.00	-350.00	0.00	-0.06	0.43	-150.00	-1020.00	20.00	0.12	-0.06	-0.06	-150.00	-970.00	350.00	-0.30	-0.55	0.67
-290.00	-1030.00	90.00	0.79	-1.10	1.04	80.00	-830.00	-350.00	0.06	0.06	0.30	-150.00	-1030.00	20.00	0.24	0.06	0.00	-150.00	-980.00	350.00	-0.37	-0.61	0.67
-290.00	-1030.00	90.00	0.73	-1.16	1.10	80.00	-830.00	-350.00	0.06	0.06	0.30	-150.00	-1030.00	20.00	0.30	0.00	0.00	-150.00	-980.00	340.00	-0.37	-0.67	0.55
-290.00	-1030.00	90.00	0.79	-1.16	1.16	80.00	-830.00	-350.00	0.00	0.00	0.24	-140.00	-1030.00	30.00	0.30	-0.06	-0.06	-150.00	-980.00	340.00	-0.24	-0.61	0.55
-290.00	-1030.00	90.00	0.73	-0.85	1.10	80.00	-830.00	-350.00	0.06	-0.06	0.24	-150.00	-1030.00	20.00	0.24	0.00	0.00	-150.00	-970.00	350.00	-0.18	-0.61	0.55
-290.00	-1020.00	90.00	0.91	-0.98	0.98	80.00	-830.00	-350.00	-0.06	0.00	0.24	-150.00	-1030.00	20.00	0.30	-0.06	-0.18	-150.00	-980.00	340.00	-0.24	-0.67	0.43
-290.00	-1020.00	80.00	0.79	-0.98	0.91	80.00	-830.00	-360.00	0.00	0.00	0.24	-150.00	-1030.00	20.00	0.18	0.12	-0.12	-150.00	-980.00	340.00	-0.30	-0.73	0.43
-290.00	-1030.00	90.00	0.79	-1.04	0.91	80.00	-830.00	-350.00	0.00	0.06	0.18	-150.00	-1030.00	20.00	0.24	0.12	0.06	-150.00	-970.00	350.00	-0.24	-0.61	0.43
-290.00	-1030.00	80.00	0.79	-1.10	0.79	80.00	-840.00	-350.00	-0.06	0.12	0.18	-150.00	-1020.00	30.00	0.24	0.18	0.24	-150.00	-980.00	340.00	-0.24	-0.55	0.43
-280.00	-1030.00	90.00	0.85	-1.10	0.85	80.00	-840.00	-350.00	-0.06	0.12	0.18	-150.00	-1020.00	20.00	0.24	0.06	0.30	-150.00	-970.00	350.00	-0.24	-0.55	0.37
-290.00	-1030.00	80.00	0.85	-1.10	0.79	80.00	-840.00	-350.00	-0.06	0.12	0.24	-150.00	-1030.00	30.00	0.18	0.00	0.24	-150.00	-980.00	340.00	-0.30	-0.61	0.37
-290.00	-1020.00	80.00	0.79	-1.16	0.67	80.00	-830.00	-350.00	-0.12	0.12	0.30	-140.00	-1030.00	30.00	0.18	-0.12	0.18	-150.00	-980.00	340.00	-0.30	-0.61	0.43
-290.00	-1020.00	80.00	0.73	-1.10	0.67	80.00	-830.00	-350.00	0.00	0.12	0.30	-150.00	-1030.00	30.00	0.06	-0.06	0.18	-150.00	-980.00	350.00	-0.24	-0.55	0.43
-290.00	-1020.00	90.00	0.79	-1.10	0.73	80.00	-830.00	-350.00	-0.06	0.18	0.37	-140.00	-1030.00	20.00	0.06	0.00	0.06	-150.00	-970.00	340.00	-0.24	-0.61	0.43
-290.00	-1030.00	90.00	0.79	-0.98	0.73	80.00	-830.00	-350.00	0.00	0.18	0.43	-150.00	-1030.00	20.00	0.18	0.00	0.00	-150.00	-980.00	350.00	-0.30	-0.61	0.49
-290.00	-1020.00	80.00	0.79	-1.04	0.67	80.00	-830.00	-350.00	0.06	0.12	0.37	-150.00	-1030.00	20.00	0.30	-0.12	0.00	-150.00	-980.00	350.00	-0.18	-0.55	0.55
-290.00	-1030.00	90.00	0.91	-1.04	0.79	80.00	-830.00	-350.00	0.06	0.24	0.24	-150.00	-1030.00	20.00	0.30	-0.18	0.00	-150.00	-970.00	350.00	-0.18	-0.49	0.61
-290.00	-1020.00	90.00	0.91	-1.04	0.79	80.00	-830.00	-350.00	0.00	0.12	0.18	-150.00	-1030.00	30.00	0.30	-0.18	0.00	-150.00	-970.00	340.00	-0.12	-0.67	0.61
-290.00	-1030.00	80.00	0.91	-1.04	0.79	80.00	-830.00	-350.00	-0.06	0.12	0.18	-150.00	-1030.00	30.00	0.24	-0.12	-0.06	-150.00	-970.00	350.00	-0.12	-0.61	0.55
-280.00	-1030.00	90.00	0.73	-1.04	0.73	80.00	-830.00	-350.00	-0.06	0.24	0.18	-150.00	-1030.00	30.00	0.18	-0.06	-0.12	-150.00	-970.00	340.00	-0.18	-0.49	0.61
-290.00	-1030.00	80.00	0.73	-1.04	0.73	80.00	-830.00	-350.00	-0.06	0.18	0.12	-140.00	-1030.00	30.00	0.30	0.00	-0.12	-150.00	-970.00	340.00	-0.30	-0.61	0.55
-290.00	-1020.00	90.00	0.73	-1.04	0.73	80.00	-840.00	-350.00	-0.06	0.12	0.12	-150.00	-1030.00	30.00	0.37	0.00	-0.18	-150.00	-970.00	350.00	-0.18	-0.79	0.49
-290.00	-1030.00	90.00	0.73	-0.98	0.61	80.00	-840.00	-350.00	-0.06	0.18	0.06	-150.00	-1030.00	30.00	0.37	-0.06	-0.18	-150.00	-970.00	350.00	-0.18	-0.67	0.43
-290.00	-1030.00	90.00	0.73	-0.98	0.61	80.00	-840.00	-350.00	-0.06	0.12	0.12	-150.00	-1020.00	30.00	0.37	-0.06	-0.12	-150.00	-980.00	350.00	-0.24	-0.55	0.37
-290.00	-1030.00	90.00	0.73	-0.98	0.61	80.00	-830.00	-350.00	-0.12	0.06	0.06	-150.00	-1030.00	30.00	0.43	-0.06	-0.06	-150.00	-970.00	350.00	-0.24	-0.49	0.30
-290.00	-1020.00	90.00	0.73	-0.98	0.61	80.00	-830.00	-350.00	0.00	0.00	0.00	-150.00	-1030.00	30.00	0.37	-0.06	-0.06	-150.00	-970.00	350.00	-0.24	-0.49	0.24
-290.00	-1030.00	90.00	0.61	-0.85	0.55	80.00	-830.00	-350.00	-0.06	0.00	-0.06	-150.00	-1030.00	30.00	0.43	-0.12	0.00	-150.00	-970.00	350.00	-0.24	-0.43	0.12
-290.00	-1030.00	90.00	0.61	-0.85	0.55	80.00	-830.00	-350.00	-0.06	0.06	-0.06	-140.00	-1030.00	30.00	0.49	-0.06	-0.06	-150.00	-980.00	350.00	-0.30	-0.49	0.06
