LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
-80.00	-50.00	1050.00	0.30	-0.85	1.04	-30.00	70.00	1070.00	-0.24	-0.06	0.49	-50.00	-10.00	1090.00	-0.12	0.24	-0.06	-30.00	-0.00	1080.00	-0.49	-0.18	0.12
60.00	-980.00	380.00	0.18	-0.67	0.30	150.00	-900.00	190.00	-1.34	0.43	-0.49	-60.00	-1010.00	-150.00	0.37	0.43	-0.37	190.00	-1000.00	130.00	0.37	-0.06	0.06
60.00	-990.00	380.00	0.18	-0.67	0.30	150.00	-900.00	190.00	-1.28	0.37	-0.43	-70.00	-1010.00	-140.00	0.61	0.06	-0.24	190.00	-990.00	130.00	0.30	0.00	0.24
60.00	-990.00	380.00	0.18	-0.79	0.30	150.00	-900.00	190.00	-1.16	0.37	-0.37	-70.00	-1010.00	-140.00	0.73	0.30	-0.06	190.00	-990.00	120.00	0.12	0.12	0.24
60.00	-990.00	380.00	0.06	-0.79	0.24	150.00	-900.00	180.00	-1.10	0.24	-0.37	-70.00	-1010.00	-140.00	0.55	0.79	0.12	190.00	-1000.00	130.00	0.24	0.06	0.30
60.00	-990.00	380.00	0.00	-0.73	0.24	150.00	-900.00	190.00	-1.10	0.12	-0.37	-70.00	-1010.00	-150.00	0.67	0.67	0.18	190.00	-990.00	130.00	0.43	0.00	0.24
60.00	-990.00	380.00	-0.06	-0.73	0.24	150.00	-900.00	190.00	-0.79	0.06	-0.37	-60.00	-1010.00	-150.00	0.67	0.91	0.18	190.00	-1000.00	140.00	0.43	-0.24	0.12
60.00	-980.00	380.00	-0.06	-0.73	0.30	150.00	-900.00	190.00	-0.73	0.00	-0.24	-60.00	-1010.00	-150.00	0.67	0.85	0.06	200.00	-990.00	140.00	0.43	-0.24	0.12
60.00	-980.00	380.00	-0.06	-0.79	0.37	150.00	-900.00	180.00	-0.61	-0.18	-0.24	-70.00	-1010.00	-140.00	0.55	0.61	0.06	190.00	-1000.00	130.00	0.43	-0.18	0.18
60.00	-980.00	380.00	0.12	-0.85	0.24	150.00	-900.00	190.00	-0.12	-0.67	-0.37	-70.00	-1010.00	-140.00	0.55	0.61	0.12	190.00	-990.00	130.00	0.37	-0.06	0.37
