LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
20.00	-1040.00	190.00	-5.55	8.48	6.89	240.00	-700.00	-520.00	-3.90	1.34	7.62	-120.00	-1030.00	60.00	23.96	158.84	6.46	90.00	-890.00	560.00	0.24	139.94	-72.20
10.00	-1040.00	210.00	-0.79	-1.04	-0.79	250.00	-710.00	-500.00	-1.89	0.73	-0.67	-150.00	-1030.00	-50.00	-1.83	0.67	0.98	60.00	-910.00	490.00	-0.43	0.43	0.49
10.00	-1040.00	210.00	-0.98	-1.10	-0.98	250.00	-720.00	-500.00	-1.71	0.67	-0.79	-150.00	-1030.00	-40.00	-1.89	0.73	0.85	50.00	-910.00	490.00	-0.30	0.49	0.49
10.00	-1040.00	210.00	-1.04	-1.10	-1.22	250.00	-720.00	-500.00	-1.77	0.73	-0.79	-150.00	-1030.00	-40.00	-1.89	0.79	0.85	50.00	-910.00	490.00	-0.24	0.55	0.49
10.00	-1040.00	210.00	-0.91	-0.98	-1.28	250.00	-720.00	-490.00	-1.77	0.73	-0.73	-150.00	-1030.00	-40.00	-1.95	0.85	0.85	60.00	-910.00	490.00	-0.24	0.49	0.55
0.00	-1040.00	210.00	-0.91	-1.04	-1.22	240.00	-720.00	-490.00	-1.65	0.61	-0.61	-150.00	-1030.00	-40.00	-2.01	0.85	0.98	60.00	-910.00	490.00	-0.12	0.43	0.55
10.00	-1040.00	210.00	-0.73	-1.16	-1.10	250.00	-720.00	-500.00	-1.65	0.67	-0.55	-150.00	-1030.00	-50.00	-2.07	0.91	1.04	60.00	-910.00	490.00	-0.06	0.37	0.67
0.00	-1040.00	210.00	-0.79	-1.22	-0.98	250.00	-710.00	-500.00	-1.83	0.73	-0.24	-150.00	-1030.00	-50.00	-2.07	0.98	1.04	60.00	-910.00	490.00	-0.12	0.37	0.85
10.00	-1040.00	210.00	-0.79	-1.04	-0.73	250.00	-720.00	-500.00	-2.13	0.79	-0.06	-150.00	-1020.00	-40.00	-2.20	1.04	0.85	60.00	-910.00	490.00	-0.18	0.43	0.85
10.00	-1040.00	210.00	-1.10	-0.85	-0.49	260.00	-710.00	-510.00	-2.07	0.85	0.18	-150.00	-1030.00	-50.00	-2.07	1.10	0.61	50.00	-910.00	490.00	-0.24	0.61	0.85
