LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
-90.00	-40.00	1060.00	0.49	-0.85	0.98	-30.00	40.00	1050.00	-0.06	-0.06	0.49	-40.00	-10.00	1110.00	-0.06	0.06	-0.06	-70.00	-20.00	-960.00	0.85	-0.43	0.73
60.00	-1020.00	270.00	0.12	-1.46	2.26	280.00	-710.00	-490.00	-1.83	1.40	1.71	-140.00	-1030.00	-20.00	-1.83	3.41	1.77	80.00	-910.00	480.00	-1.04	0.67	1.65
60.00	-1030.00	270.00	0.06	-1.52	2.32	280.00	-710.00	-490.00	-1.71	1.34	1.52	-140.00	-1030.00	-20.00	-1.59	3.48	1.89	70.00	-910.00	480.00	-1.04	0.55	1.77
60.00	-1020.00	260.00	0.12	-1.52	2.07	280.00	-710.00	-490.00	-1.59	1.22	1.34	-140.00	-1030.00	-20.00	-1.52	3.29	2.07	80.00	-910.00	480.00	-1.04	0.43	1.83
50.00	-1030.00	270.00	0.37	-1.52	1.89	280.00	-710.00	-490.00	-1.46	1.04	1.04	-140.00	-1030.00	-20.00	-1.46	2.99	2.38	80.00	-910.00	480.00	-0.91	0.49	1.89
60.00	-1020.00	270.00	0.55	-1.52	1.77	280.00	-710.00	-490.00	-1.40	0.85	0.79	-140.00	-1030.00	-20.00	-1.40	2.93	2.44	80.00	-910.00	480.00	-0.85	0.43	1.77
50.00	-1020.00	270.00	0.61	-1.65	1.77	280.00	-700.00	-490.00	-1.34	0.67	0.67	-140.00	-1030.00	-30.00	-1.22	2.93	2.32	90.00	-920.00	490.00	-0.67	0.30	1.71
60.00	-1020.00	270.00	0.73	-1.95	1.77	280.00	-710.00	-490.00	-1.22	0.43	0.43	-140.00	-1040.00	-20.00	-1.28	2.87	2.13	80.00	-910.00	490.00	-0.67	0.37	1.52
60.00	-1020.00	270.00	0.79	-2.26	1.71	280.00	-710.00	-490.00	-1.22	0.24	0.18	-140.00	-1030.00	-20.00	-1.28	2.80	2.01	80.00	-910.00	480.00	-0.49	0.30	1.40
60.00	-1030.00	270.00	0.85	-2.62	1.65	280.00	-720.00	-490.00	-1.16	0.00	0.06	-140.00	-1030.00	-20.00	-1.22	2.74	1.89	70.00	-920.00	490.00	-0.43	0.24	1.40
