LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
80.00	-930.00	-380.00	0.24	-1.34	0.98	140.00	-920.00	20.00	0.67	1.40	-0.37	290.00	-970.00	80.00	0.49	0.18	-1.28	160.00	-910.00	430.00	0.85	0.79	-0.18
50.00	-930.00	-350.00	-0.12	-2.01	-1.83	160.00	-930.00	60.00	1.89	2.93	0.06	50.00	-1020.00	-30.00	-1.28	0.30	3.96	-130.00	-970.00	320.00	-0.98	4.39	2.38
70.00	-940.00	-350.00	1.89	-2.99	-2.44	160.00	-920.00	60.00	1.28	2.44	0.67	50.00	-1020.00	-30.00	-1.59	1.28	3.23	-120.00	-980.00	310.00	-0.73	3.05	1.77
80.00	-950.00	-350.00	2.93	-3.78	-3.29	150.00	-920.00	60.00	1.04	2.13	0.85	70.00	-1030.00	-30.00	-1.71	1.83	2.20	-130.00	-980.00	290.00	-0.55	1.28	1.28
80.00	-940.00	-350.00	3.41	-4.57	-4.51	140.00	-910.00	50.00	0.85	1.83	0.67	60.00	-1050.00	-40.00	-1.59	1.89	1.28	-140.00	-990.00	270.00	-0.49	-0.43	0.91
80.00	-940.00	-360.00	4.27	-5.12	-5.55	150.00	-910.00	70.00	0.98	1.89	0.18	60.00	-1050.00	-40.00	-1.46	1.40	0.43	-170.00	-980.00	270.00	-0.43	-1.77	0.85
80.00	-940.00	-360.00	4.45	-4.94	-5.55	150.00	-920.00	80.00	1.10	2.07	-0.43	60.00	-1040.00	-60.00	-1.22	0.61	-0.30	-170.00	-970.00	270.00	-0.37	-2.44	0.85
100.00	-940.00	-360.00	4.15	-4.15	-5.24	150.00	-920.00	80.00	1.34	2.01	-1.34	60.00	-1020.00	-70.00	-1.10	0.18	-0.61	-180.00	-960.00	280.00	-0.73	-1.71	0.79
90.00	-930.00	-360.00	3.66	-3.35	-4.76	150.00	-920.00	70.00	1.59	1.22	-2.32	50.00	-1020.00	-70.00	-1.10	-0.67	-0.91	-190.00	-950.00	280.00	-0.79	-0.37	0.79
80.00	-930.00	-360.00	2.80	-2.56	-4.39	140.00	-920.00	70.00	1.59	1.10	-2.99	50.00	-1020.00	-70.00	-1.34	-0.91	-0.98	-180.00	-960.00	290.00	-0.73	0.37	1.04
90.00	-940.00	-350.00	2.07	-1.65	-4.02	140.00	-920.00	70.00	1.10	1.28	-3.60	40.00	-1020.00	-60.00	-1.89	-0.55	-0.91	-180.00	-940.00	290.00	-0.43	0.24	1.52
80.00	-930.00	-360.00	1.40	-0.61	-3.41	140.00	-920.00	60.00	0.49	1.59	-4.21	50.00	-1010.00	-50.00	-1.95	0.00	-0.61	-170.00	-950.00	300.00	-0.85	0.55	1.83
90.00	-940.00	-360.00	0.55	0.37	-2.56	130.00	-910.00	50.00	-0.43	2.26	-4.15	40.00	-1020.00	-50.00	-2.13	0.30	-0.24	-160.00	-950.00	290.00	-0.61	-0.24	2.50
90.00	-940.00	-350.00	-0.18	1.22	-1.83	130.00	-920.00	50.00	-1.10	2.93	-4.15	40.00	-1020.00	-50.00	-1.83	0.00	0.18	-150.00	-960.00	290.00	-0.85	-0.98	3.05
90.00	-940.00	-350.00	-0.67	1.71	-1.22	130.00	-910.00	60.00	-1.77	3.72	-4.39	50.00	-1020.00	-50.00	-1.83	-0.06	0.85	-160.00	-960.00	280.00	-0.79	-2.13	3.54
