LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
-520.00	-1210.00	-70.00	-13.11	163.29	-185.98	-230.00	-1140.00	-130.00	51.95	150.67	-169.39	-70.00	-1010.00	-50.00	-9.15	-3.72	13.05	40.00	-1020.00	110.00	1.40	-3.11	18.60
-160.00	-1040.00	190.00	0.43	-0.98	0.98	-130.00	-930.00	160.00	-0.24	0.06	0.55	80.00	-990.00	-70.00	-0.06	-0.06	0.12	80.00	-990.00	-30.00	0.91	-0.43	0.67
-160.00	-1040.00	190.00	0.55	-0.91	1.04	-130.00	-930.00	160.00	-0.24	0.12	0.55	80.00	-990.00	-70.00	-0.12	0.00	0.12	80.00	-990.00	-20.00	0.98	-0.37	0.67
-160.00	-1040.00	200.00	0.61	-0.79	1.10	-140.00	-930.00	160.00	-0.30	0.06	0.43	80.00	-990.00	-70.00	0.00	-0.12	0.12	80.00	-990.00	-30.00	0.91	-0.24	0.73
-160.00	-1040.00	200.00	0.61	-0.85	1.04	-130.00	-930.00	160.00	-0.30	-0.06	0.37	80.00	-990.00	-70.00	0.12	-0.30	0.06	80.00	-990.00	-20.00	0.91	-0.06	0.79
-160.00	-1040.00	200.00	0.55	-0.85	1.04	-130.00	-930.00	160.00	-0.37	-0.06	0.49	80.00	-990.00	-80.00	0.18	-0.37	0.00	90.00	-990.00	-30.00	0.85	-0.06	0.73
-160.00	-1040.00	200.00	0.55	-0.79	0.98	-140.00	-930.00	160.00	-0.49	0.00	0.43	80.00	-990.00	-70.00	0.06	-0.43	0.00	90.00	-990.00	-20.00	0.85	0.00	0.67
-150.00	-1040.00	200.00	0.61	-0.79	0.98	-130.00	-930.00	160.00	-0.24	0.06	0.43	80.00	-990.00	-80.00	0.00	-0.43	-0.12	90.00	-990.00	-30.00	0.85	-0.12	0.67
-160.00	-1040.00	190.00	0.55	-0.79	0.91	-140.00	-930.00	160.00	-0.24	0.06	0.55	80.00	-990.00	-80.00	0.00	-0.49	-0.12	80.00	-990.00	-30.00	0.85	-0.18	0.67
-160.00	-1040.00	200.00	0.49	-0.79	0.91	-140.00	-930.00	160.00	-0.24	0.06	0.49	80.00	-990.00	-70.00	0.00	-0.43	-0.12	80.00	-990.00	-30.00	0.85	-0.12	0.61
-160.00	-1040.00	200.00	0.55	-0.73	0.85	-130.00	-930.00	160.00	-0.18	0.06	0.55	80.00	-1000.00	-80.00	0.00	-0.43	0.00	80.00	-990.00	-20.00	0.79	-0.18	0.55
-160.00	-1040.00	200.00	0.49	-0.73	0.79	-130.00	-930.00	150.00	-0.24	0.00	0.55	80.00	-1000.00	-70.00	0.06	-0.43	0.00	80.00	-990.00	-20.00	0.91	-0.18	0.55
-160.00	-1040.00	200.00	0.43	-0.73	1.04	-130.00	-930.00	160.00	-0.24	0.00	0.43	80.00	-990.00	-70.00	0.12	-0.43	-0.12	80.00	-980.00	-20.00	0.85	-0.24	0.49
-160.00	-1040.00	200.00	0.43	-0.73	0.91	-140.00	-930.00	160.00	-0.30	0.12	0.49	80.00	-1000.00	-80.00	0.12	-0.43	-0.12	80.00	-980.00	-20.00	0.79	-0.24	0.61
-160.00	-1040.00	200.00	0.61	-0.79	0.79	-130.00	-930.00	160.00	-0.24	0.06	0.49	80.00	-990.00	-80.00	0.06	-0.43	0.00	80.00	-990.00	-20.00	0.79	-0.12	0.55
-160.00	-1040.00	200.00	0.55	-0.79	0.91	-140.00	-930.00	150.00	-0.30	0.06	0.49	80.00	-1000.00	-80.00	0.00	-0.55	0.00	80.00	-990.00	-30.00	0.85	-0.06	0.55
-160.00	-1040.00	200.00	0.61	-0.79	0.85	-130.00	-930.00	160.00	-0.30	0.12	0.55	80.00	-1000.00	-80.00	0.06	-0.61	-0.12	80.00	-980.00	-30.00	0.79	-0.12	0.55
-160.00	-1040.00	190.00	0.61	-0.79	0.91	-130.00	-930.00	160.00	-0.30	0.12	0.55	80.00	-990.00	-80.00	0.00	-0.55	-0.06	80.00	-990.00	-30.00	0.79	-0.24	0.55
-160.00	-1040.00	200.00	0.55	-0.79	0.91	-130.00	-930.00	160.00	-0.30	0.12	0.55	80.00	-990.00	-80.00	0.06	-0.49	-0.18	80.00	-990.00	-30.00	0.73	-0.24	0.61
-160.00	-1040.00	200.00	0.55	-0.73	0.85	-130.00	-930.00	160.00	-0.24	0.06	0.49	80.00	-990.00	-70.00	0.18	-0.61	-0.12	80.00	-990.00	-20.00	0.67	-0.24	0.73
-160.00	-1040.00	200.00	0.49	-0.73	0.79	-130.00	-930.00	160.00	-0.24	0.06	0.49	80.00	-990.00	-80.00	0.12	-0.55	0.00	80.00	-990.00	-20.00	0.91	-0.30	0.67
-160.00	-1040.00	200.00	0.55	-0.67	0.85	-130.00	-930.00	160.00	-0.24	0.06	0.49	80.00	-990.00	-80.00	0.06	-0.43	0.06	80.00	-990.00	-20.00	0.91	-0.30	0.61
-160.00	-1040.00	190.00	0.61	-0.79	0.98	-130.00	-930.00	160.00	-0.30	0.06	0.43	80.00	-1000.00	-80.00	0.00	-0.30	0.06	80.00	-990.00	-20.00	0.85	-0.30	0.67
-150.00	-1040.00	200.00	0.55	-0.79	0.98	-130.00	-930.00	160.00	-0.30	0.06	0.43	80.00	-1000.00	-80.00	0.06	-0.24	0.12	80.00	-990.00	-20.00	0.85	-0.24	0.61
-160.00	-1040.00	200.00	0.61	-0.85	0.91	-130.00	-930.00	160.00	-0.30	0.06	0.43	80.00	-990.00	-80.00	0.12	-0.30	0.12	80.00	-990.00	-20.00	0.91	-0.18	0.73
-160.00	-1040.00	200.00	0.49	-0.73	0.98	-130.00	-930.00	160.00	-0.30	0.06	0.43	80.00	-990.00	-80.00	0.18	-0.37	0.12	80.00	-990.00	-20.00	0.85	-0.12	0.61
-160.00	-1040.00	200.00	0.55	-0.73	0.98	-130.00	-930.00	160.00	-0.30	0.00	0.49	80.00	-990.00	-70.00	0.18	-0.37	0.00	80.00	-990.00	-20.00	0.85	-0.12	0.61
-160.00	-1040.00	190.00	0.61	-0.73	1.04	-130.00	-930.00	160.00	-0.30	0.00	0.49	80.00	-990.00	-80.00	0.24	-0.43	-0.06	80.00	-990.00	-30.00	0.73	-0.06	0.49
-160.00	-1040.00	200.00	0.55	-0.79	0.85	-130.00	-930.00	160.00	-0.30	0.00	0.49	90.00	-1000.00	-70.00	0.00	-0.43	-0.12	80.00	-990.00	-20.00	0.67	-0.18	0.49
-150.00	-1040.00	200.00	0.43	-0.85	0.79	-130.00	-930.00	160.00	-0.30	0.00	0.49	80.00	-990.00	-80.00	0.24	-0.49	-0.18	80.00	-990.00	-20.00	0.79	-0.18	0.61
-160.00	-1040.00	200.00	0.49	-0.85	0.91	-130.00	-930.00	160.00	-0.24	0.00	0.49	80.00	-1000.00	-70.00	0.12	-0.43	-0.12	80.00	-980.00	-30.00	0.85	-0.30	0.67
-160.00	-1040.00	200.00	0.49	-0.85	0.85	-130.00	-930.00	160.00	-0.24	0.00	0.49	80.00	-990.00	-70.00	0.06	-0.49	0.00	80.00	-980.00	-20.00	0.85	-0.24	0.55
-160.00	-1040.00	190.00	0.49	-0.85	0.91	-130.00	-930.00	160.00	-0.24	0.00	0.49	80.00	-990.00	-80.00	0.24	-0.37	0.00	90.00	-990.00	-30.00	0.67	-0.12	0.49
-160.00	-1040.00	200.00	0.43	-0.91	0.91	-130.00	-930.00	160.00	-0.37	0.00	0.43	80.00	-990.00	-70.00	0.18	-0.24	0.00	80.00	-990.00	-20.00	0.67	-0.12	0.49
-160.00	-1030.00	200.00	0.49	-0.91	0.98	-130.00	-930.00	160.00	-0.37	0.00	0.43	80.00	-990.00	-70.00	0.06	-0.30	0.06	80.00	-990.00	-20.00	0.67	-0.12	0.49
-160.00	-1040.00	200.00	0.55	-0.98	0.98	-130.00	-930.00	160.00	-0.37	0.00	0.43	80.00	-990.00	-80.00	0.18	-0.43	0.00	80.00	-990.00	-20.00	0.73	-0.18	0.55
-160.00	-1040.00	200.00	0.49	-0.98	0.98	-130.00	-930.00	160.00	-0.37	0.00	0.43	80.00	-990.00	-80.00	0.12	-0.30	0.06	90.00	-990.00	-20.00	0.73	-0.24	0.55
-160.00	-1040.00	200.00	0.43	-0.79	0.91	-130.00	-930.00	160.00	-0.37	0.06	0.55	80.00	-990.00	-70.00	0.18	-0.43	0.00	80.00	-990.00	-30.00	0.85	-0.55	0.73
-160.00	-1040.00	200.00	0.37	-0.79	0.98	-130.00	-930.00	160.00	-0.37	0.06	0.55	80.00	-990.00	-70.00	0.12	-0.55	-0.06	80.00	-990.00	-20.00	0.85	-0.55	0.73
-160.00	-1040.00	200.00	0.30	-0.79	0.98	-130.00	-930.00	160.00	-0.37	0.06	0.55	80.00	-990.00	-80.00	-0.06	-0.49	-0.06	80.00	-990.00	-30.00	0.85	-0.55	0.73
