LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
10.00	-1040.00	110.00	0.30	-0.79	0.61	110.00	-930.00	50.00	-0.06	0.00	0.37	-200.00	-1010.00	-130.00	-0.43	0.30	-0.24	-70.00	-1020.00	-50.00	-0.67	-0.43	0.06
10.00	-1040.00	110.00	0.37	-0.85	0.67	110.00	-920.00	60.00	-0.12	-0.12	0.37	-200.00	-1000.00	-140.00	-0.43	0.30	-0.18	-70.00	-1020.00	-40.00	-0.73	-0.43	0.00
10.00	-1050.00	110.00	0.24	-0.85	0.73	110.00	-920.00	60.00	-0.24	-0.18	0.43	-190.00	-1010.00	-130.00	-0.49	0.18	-0.24	-70.00	-1020.00	-40.00	-0.73	-0.43	0.00
10.00	-1040.00	110.00	0.37	-0.91	0.67	110.00	-920.00	50.00	-0.30	-0.12	0.37	-200.00	-1010.00	-130.00	-0.43	0.18	-0.24	-70.00	-1020.00	-50.00	-0.73	-0.24	0.06
10.00	-1050.00	110.00	0.43	-0.91	0.67	120.00	-920.00	50.00	-0.43	-0.12	0.24	-200.00	-1010.00	-130.00	-0.37	0.24	-0.37	-70.00	-1020.00	-50.00	-0.79	-0.18	0.06
10.00	-1050.00	110.00	0.37	-0.98	0.79	110.00	-920.00	60.00	-0.49	0.00	0.24	-200.00	-1010.00	-130.00	-0.24	0.30	-0.43	-60.00	-1020.00	-40.00	-0.91	-0.30	0.06
20.00	-1050.00	110.00	0.30	-0.91	0.73	110.00	-920.00	60.00	-0.43	0.00	0.18	-190.00	-1010.00	-140.00	-0.24	0.18	-0.43	-60.00	-1020.00	-50.00	-0.79	-0.37	0.00
20.00	-1050.00	110.00	0.37	-0.79	0.61	110.00	-920.00	60.00	-0.43	0.00	0.06	-200.00	-1010.00	-140.00	-0.24	0.12	-0.37	-60.00	-1020.00	-50.00	-0.85	-0.30	0.06
20.00	-1050.00	110.00	0.37	-0.73	0.61	110.00	-920.00	60.00	-0.49	0.06	0.12	-190.00	-1010.00	-140.00	-0.30	0.06	-0.49	-70.00	-1020.00	-40.00	-0.91	-0.24	0.12
20.00	-1050.00	110.00	0.37	-0.79	0.55	110.00	-930.00	60.00	-0.37	0.12	0.24	-200.00	-1010.00	-130.00	-0.30	0.06	-0.49	-70.00	-1020.00	-40.00	-0.98	-0.24	-0.06
10.00	-1050.00	110.00	0.37	-0.79	0.37	110.00	-930.00	60.00	-0.37	0.00	0.24	-190.00	-1010.00	-140.00	-0.24	0.06	-0.49	-70.00	-1020.00	-50.00	-1.04	-0.37	-0.12
10.00	-1050.00	110.00	0.37	-0.79	0.37	110.00	-930.00	60.00	-0.24	0.00	0.24	-190.00	-1010.00	-140.00	-0.30	0.00	-0.37	-70.00	-1020.00	-40.00	-0.85	-0.37	-0.12
10.00	-1050.00	110.00	0.37	-0.79	0.37	110.00	-920.00	60.00	-0.30	-0.06	0.24	-190.00	-1000.00	-140.00	-0.24	0.00	-0.37	-60.00	-1020.00	-50.00	-0.85	-0.37	-0.24
10.00	-1040.00	110.00	0.37	-0.73	0.18	110.00	-920.00	60.00	-0.24	-0.12	0.24	-200.00	-1000.00	-140.00	-0.30	0.06	-0.37	-70.00	-1020.00	-50.00	-0.91	-0.49	-0.30
10.00	-1050.00	110.00	0.37	-0.73	0.18	110.00	-920.00	60.00	-0.30	-0.12	0.24	-190.00	-1010.00	-140.00	-0.30	0.00	-0.37	-70.00	-1020.00	-50.00	-0.85	-0.49	-0.37
10.00	-1050.00	110.00	0.37	-0.79	0.18	110.00	-920.00	60.00	-0.24	-0.12	0.06	-200.00	-1010.00	-130.00	-0.30	0.00	-0.43	-70.00	-1020.00	-50.00	-0.85	-0.49	-0.49
10.00	-1050.00	110.00	0.30	-0.73	0.12	110.00	-920.00	50.00	-0.24	-0.12	0.00	-190.00	-1000.00	-140.00	-0.30	0.00	-0.37	-60.00	-1020.00	-40.00	-0.98	-0.49	-0.55
10.00	-1050.00	110.00	0.30	-0.73	0.12	110.00	-920.00	60.00	-0.24	-0.18	0.00	-190.00	-1010.00	-130.00	-0.24	0.12	-0.43	-60.00	-1020.00	-50.00	-1.04	-0.49	-0.43
10.00	-1050.00	110.00	0.12	-0.79	0.00	110.00	-930.00	60.00	-0.24	-0.12	-0.06	-190.00	-1010.00	-130.00	-0.24	0.06	-0.43	-70.00	-1020.00	-50.00	-1.10	-0.49	-0.49
20.00	-1050.00	110.00	0.12	-0.55	0.12	120.00	-920.00	60.00	-0.24	-0.12	-0.12	-200.00	-1010.00	-140.00	-0.24	0.06	-0.49	-70.00	-1020.00	-50.00	-0.98	-0.55	-0.43
20.00	-1050.00	110.00	0.06	-0.61	0.06	110.00	-920.00	60.00	-0.18	-0.12	-0.18	-200.00	-1010.00	-140.00	-0.18	0.00	-0.49	-60.00	-1020.00	-50.00	-1.04	-0.43	-0.30
20.00	-1050.00	110.00	0.12	-0.73	0.06	110.00	-920.00	50.00	-0.18	-0.06	-0.43	-190.00	-1010.00	-140.00	-0.18	0.00	-0.49	-60.00	-1020.00	-50.00	-0.98	-0.43	-0.37
10.00	-1050.00	110.00	0.30	-0.67	0.12	110.00	-920.00	60.00	-0.18	-0.12	-0.43	-200.00	-1010.00	-140.00	-0.18	0.06	-0.55	-70.00	-1020.00	-40.00	-0.85	-0.43	-0.37
20.00	-1050.00	110.00	0.37	-0.55	0.37	120.00	-920.00	60.00	-0.12	-0.18	-0.30	-190.00	-1010.00	-140.00	-0.12	0.30	-0.49	-70.00	-1020.00	-50.00	-0.85	-0.37	-0.30
20.00	-1050.00	110.00	0.49	-0.61	0.55	110.00	-920.00	50.00	-0.18	-0.18	-0.37	-190.00	-1010.00	-140.00	-0.06	0.24	-0.37	-60.00	-1020.00	-40.00	-0.55	-0.18	-0.18
20.00	-1050.00	110.00	0.49	-0.67	0.73	110.00	-920.00	60.00	-0.12	-0.18	-0.43	-190.00	-1010.00	-130.00	-0.06	0.18	-0.43	-60.00	-1020.00	-40.00	-0.49	-0.18	0.00
20.00	-1050.00	110.00	0.49	-0.85	0.85	110.00	-920.00	60.00	-0.18	-0.24	-0.43	-190.00	-1010.00	-130.00	-0.06	0.24	-0.43	-60.00	-1020.00	-40.00	-0.49	-0.18	0.00
20.00	-1050.00	110.00	0.61	-1.10	0.91	110.00	-920.00	50.00	-0.30	-0.24	-0.55	-190.00	-1010.00	-140.00	-0.06	0.18	-0.37	-70.00	-1020.00	-50.00	-0.73	-0.12	0.06
20.00	-1050.00	110.00	0.61	-1.10	1.04	110.00	-920.00	60.00	-0.24	-0.18	-0.43	-190.00	-1010.00	-130.00	-0.12	0.18	-0.37	-60.00	-1020.00	-50.00	-0.73	-0.12	0.06
20.00	-1050.00	110.00	0.79	-1.10	0.98	110.00	-920.00	60.00	-0.18	-0.18	-0.43	-200.00	-1010.00	-140.00	-0.12	0.18	-0.30	-60.00	-1020.00	-50.00	-0.67	-0.24	0.12
30.00	-1050.00	100.00	0.85	-0.91	1.22	110.00	-920.00	60.00	-0.30	-0.12	-0.37	-190.00	-1010.00	-140.00	-0.12	0.18	-0.24	-60.00	-1020.00	-40.00	-0.61	-0.24	0.06
20.00	-1050.00	110.00	0.85	-0.67	1.46	110.00	-920.00	60.00	-0.37	0.18	0.00	-190.00	-1010.00	-130.00	-0.06	0.18	-0.30	-60.00	-1020.00	-40.00	-0.61	-0.24	0.06
20.00	-1050.00	100.00	0.79	-0.55	1.59	110.00	-920.00	60.00	-0.37	0.18	0.00	-190.00	-1010.00	-130.00	-0.12	0.18	-0.18	-60.00	-1020.00	-50.00	-0.67	-0.12	0.24
20.00	-1050.00	110.00	0.73	-0.61	1.65	110.00	-920.00	60.00	-0.30	0.18	0.12	-200.00	-1010.00	-140.00	-0.18	0.18	-0.12	-60.00	-1020.00	-50.00	-0.67	-0.12	0.24
20.00	-1050.00	110.00	0.67	-0.55	1.59	110.00	-920.00	50.00	-0.24	0.00	0.24	-190.00	-1010.00	-140.00	-0.12	0.49	-0.24	-60.00	-1020.00	-50.00	-0.67	-0.18	0.24
20.00	-1050.00	110.00	0.61	-0.98	1.52	110.00	-920.00	60.00	-0.24	0.24	0.79	-200.00	-1010.00	-140.00	-0.18	0.49	-0.24	-60.00	-1020.00	-50.00	-0.73	-0.12	0.30
20.00	-1050.00	110.00	0.61	-0.98	1.52	120.00	-920.00	60.00	-0.24	0.24	0.79	-190.00	-1010.00	-140.00	-0.18	0.37	-0.18	-60.00	-1020.00	-50.00	-0.73	-0.12	0.30
20.00	-1050.00	110.00	0.67	-0.85	1.28	110.00	-920.00	60.00	-0.24	0.24	0.79	-190.00	-1000.00	-130.00	-0.18	0.43	-0.12	-60.00	-1020.00	-50.00	-0.73	-0.24	0.30
10.00	-1050.00	110.00	0.67	-0.85	1.28	110.00	-920.00	60.00	-0.49	0.67	0.91	-190.00	-1010.00	-130.00	-0.24	0.37	0.00	-60.00	-1020.00	-50.00	-0.73	-0.24	0.30
20.00	-1050.00	110.00	0.67	-0.85	1.28	120.00	-930.00	60.00	-0.49	0.67	0.91	-190.00	-1010.00	-130.00	-0.18	0.43	0.00	-60.00	-1020.00	-50.00	-0.67	-0.43	0.49
20.00	-1050.00	110.00	0.73	-0.85	1.40	120.00	-920.00	60.00	-0.49	0.67	0.91	-190.00	-1010.00	-140.00	-0.30	0.24	0.00	-60.00	-1020.00	-50.00	-0.61	-0.30	0.49
10.00	-1040.00	110.00	0.73	-0.85	1.40	120.00	-920.00	60.00	-0.49	0.67	0.91	-200.00	-1010.00	-130.00	-0.30	0.24	0.06	-60.00	-1020.00	-50.00	-0.61	-0.30	0.49
10.00	-1050.00	110.00	0.73	-0.85	1.40	120.00	-920.00	40.00	-0.49	0.30	0.91	-190.00	-1010.00	-140.00	-0.24	0.30	0.06	-60.00	-1020.00	-50.00	-0.61	-0.12	0.67
10.00	-1050.00	110.00	0.73	-0.85	1.40	120.00	-920.00	50.00	-0.49	0.30	0.91	-190.00	-1000.00	-130.00	-0.30	0.18	0.06	-60.00	-1020.00	-50.00	-0.61	-0.12	0.67
20.00	-1040.00	110.00	0.85	-1.10	1.59	110.00	-920.00	60.00	-0.49	0.30	0.91	-190.00	-1010.00	-130.00	-0.30	0.24	0.12	-60.00	-1020.00	-40.00	-0.61	-0.12	0.67
20.00	-1040.00	110.00	0.85	-1.10	1.59	110.00	-920.00	60.00	-0.43	0.24	0.91	-190.00	-1010.00	-140.00	-0.18	0.24	0.12	-60.00	-1020.00	-50.00	-0.55	-0.30	0.55
20.00	-1040.00	110.00	0.85	-1.10	1.59	110.00	-920.00	60.00	-0.43	0.24	0.91	-190.00	-1010.00	-140.00	-0.12	0.24	0.24	-60.00	-1030.00	-50.00	-0.55	-0.30	0.49
20.00	-1040.00	110.00	0.73	-0.98	1.65	110.00	-920.00	60.00	-0.43	0.24	0.91	-190.00	-1010.00	-130.00	-0.24	0.18	0.30	-60.00	-1020.00	-50.00	-0.55	-0.30	0.49
20.00	-1050.00	110.00	0.73	-0.98	1.65	120.00	-930.00	60.00	-0.30	0.30	0.85	-190.00	-1010.00	-130.00	-0.30	0.24	0.24	-60.00	-1020.00	-50.00	-0.61	-0.37	0.43
20.00	-1050.00	110.00	0.73	-0.98	1.65	120.00	-930.00	60.00	-0.24	0.24	0.73	-200.00	-1010.00	-140.00	-0.18	0.37	0.18	-60.00	-1020.00	-50.00	-0.55	-0.37	0.49
20.00	-1050.00	110.00	0.73	-0.85	1.71	120.00	-930.00	60.00	-0.24	0.24	0.73	-190.00	-1010.00	-140.00	-0.12	0.43	0.24	-60.00	-1020.00	-50.00	-0.49	-0.24	0.61
20.00	-1050.00	110.00	0.79	-0.98	1.71	110.00	-930.00	60.00	-0.30	0.24	0.79	-190.00	-1010.00	-140.00	-0.18	0.43	0.24	-60.00	-1020.00	-40.00	-0.30	-0.12	0.67
20.00	-1050.00	110.00	0.79	-0.98	1.71	110.00	-930.00	60.00	-0.18	0.00	0.91	-200.00	-1010.00	-140.00	-0.18	0.37	0.24	-60.00	-1020.00	-50.00	-0.30	-0.12	0.67
20.00	-1050.00	110.00	0.79	-0.79	1.65	110.00	-930.00	60.00	-0.18	0.00	0.91	-190.00	-1000.00	-130.00	-0.12	0.24	0.18	-60.00	-1020.00	-50.00	-0.30	-0.12	0.67
20.00	-1050.00	110.00	0.85	-0.79	1.46	110.00	-920.00	60.00	-0.24	0.06	1.04	-200.00	-1010.00	-140.00	-0.12	0.30	0.18	-60.00	-1020.00	-50.00	-0.37	-0.49	1.22
20.00	-1050.00	110.00	0.79	-0.98	1.46	110.00	-920.00	60.00	-0.24	0.24	1.10	-190.00	-1010.00	-140.00	-0.12	0.30	0.12	-60.00	-1020.00	-40.00	-0.37	-0.49	1.22
20.00	-1050.00	110.00	0.79	-0.98	1.46	110.00	-920.00	60.00	-0.24	0.24	1.10	-190.00	-1000.00	-140.00	-0.12	0.24	0.12	-60.00	-1020.00	-40.00	-0.37	-0.49	1.22
10.00	-1050.00	110.00	0.79	-0.98	1.46	110.00	-930.00	60.00	-0.30	0.18	1.16	-200.00	-1010.00	-130.00	-0.12	0.30	0.18	-60.00	-1020.00	-40.00	-0.43	-0.61	1.52
10.00	-1040.00	110.00	0.73	-1.10	1.59	120.00	-920.00	60.00	-0.24	0.18	1.22	-190.00	-1000.00	-140.00	-0.06	0.37	0.18	-60.00	-1020.00	-40.00	-0.49	-0.67	1.52
10.00	-1040.00	110.00	0.73	-1.10	1.59	120.00	-920.00	60.00	-0.24	0.18	1.22	-190.00	-1000.00	-140.00	-0.12	0.37	0.18	-60.00	-1020.00	-40.00	-0.49	-0.67	1.52
10.00	-1050.00	110.00	0.67	-0.98	1.95	110.00	-920.00	60.00	-0.24	0.24	1.10	-190.00	-1010.00	-140.00	0.00	0.43	0.18	-60.00	-1020.00	-50.00	-0.49	-0.67	1.52
20.00	-1050.00	110.00	0.67	-0.98	1.95	120.00	-920.00	60.00	-0.24	0.24	1.10	-200.00	-1010.00	-130.00	0.00	0.67	0.24	-60.00	-1020.00	-50.00	-0.49	-0.55	1.65
10.00	-1040.00	110.00	0.67	-0.98	1.95	120.00	-920.00	60.00	-0.24	0.18	0.91	-190.00	-1010.00	-130.00	-0.12	0.91	0.49	-60.00	-1020.00	-50.00	-0.49	-0.55	1.65
20.00	-1050.00	110.00	0.79	-1.22	1.89	110.00	-920.00	60.00	-0.12	0.18	0.79	-190.00	-1010.00	-140.00	-0.06	0.85	0.61	-70.00	-1020.00	-50.00	-0.49	-0.55	1.65
20.00	-1050.00	110.00	0.79	-1.22	1.89	110.00	-930.00	50.00	-0.12	0.00	0.79	-200.00	-1010.00	-130.00	-0.18	0.43	0.85	-60.00	-1020.00	-40.00	-0.61	-0.61	1.52
20.00	-1050.00	110.00	0.79	-1.22	1.89	110.00	-920.00	60.00	-0.18	0.06	0.98	-200.00	-1010.00	-140.00	-0.55	0.12	1.46	-60.00	-1020.00	-40.00	-0.73	-0.61	1.46
20.00	-1050.00	110.00	0.79	-1.22	1.71	120.00	-930.00	60.00	-0.18	0.06	0.98	-190.00	-1010.00	-140.00	-0.55	0.12	1.46	-60.00	-1020.00	-40.00	-0.73	-0.61	1.46
20.00	-1040.00	120.00	0.73	-0.98	1.77	110.00	-920.00	60.00	-0.43	0.24	1.34	-190.00	-1010.00	-130.00	-0.61	0.18	1.40	-70.00	-1020.00	-40.00	-0.67	-0.79	1.28
10.00	-1050.00	110.00	0.79	-1.04	1.71	110.00	-930.00	60.00	-0.43	0.24	1.34	-190.00	-1010.00	-140.00	-0.49	0.49	1.40	-70.00	-1020.00	-40.00	-0.55	-0.79	1.22
10.00	-1050.00	110.00	0.79	-0.98	1.77	110.00	-920.00	50.00	-0.43	0.24	1.34	-190.00	-1010.00	-130.00	-0.49	0.55	1.40	-70.00	-1020.00	-40.00	-0.55	-0.79	1.22
10.00	-1040.00	110.00	0.79	-0.98	1.77	110.00	-920.00	60.00	-0.43	0.12	1.46	-200.00	-1010.00	-130.00	-0.49	0.55	1.40	-70.00	-1020.00	-40.00	-0.79	-0.55	1.40
10.00	-1040.00	110.00	0.91	-0.98	1.89	110.00	-920.00	60.00	-0.49	0.06	1.52	-200.00	-1010.00	-140.00	-0.61	0.30	1.28	-70.00	-1020.00	-50.00	-0.85	-0.67	1.28
10.00	-1040.00	110.00	0.91	-0.91	1.89	110.00	-920.00	60.00	-0.18	-0.18	1.46	-200.00	-1010.00	-140.00	-0.43	0.00	1.28	-70.00	-1020.00	-50.00	-0.85	-0.67	1.28
10.00	-1040.00	110.00	0.91	-0.91	1.89	110.00	-920.00	50.00	-0.12	-0.12	1.40	-200.00	-1010.00	-140.00	-0.43	0.00	1.28	-70.00	-1020.00	-50.00	-0.85	-0.67	1.28
10.00	-1040.00	110.00	0.91	-0.91	1.89	120.00	-930.00	60.00	-0.12	-0.12	1.40	-200.00	-1010.00	-140.00	-0.43	0.00	1.28	-70.00	-1020.00	-40.00	-0.91	-0.67	1.34
10.00	-1040.00	110.00	0.85	-0.73	2.07	120.00	-930.00	60.00	-0.12	-0.18	1.40	-200.00	-1000.00	-140.00	-0.24	-0.12	1.16	-70.00	-1020.00	-40.00	-0.98	-0.73	1.28
10.00	-1040.00	110.00	0.91	-0.79	1.71	110.00	-920.00	60.00	-0.12	-0.06	1.28	-200.00	-1000.00	-140.00	-0.30	0.24	1.10	-70.00	-1020.00	-40.00	-0.98	-0.73	1.28
