LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
-390.00	-990.00	160.00	-4.02	0.61	5.00	-60.00	-870.00	-260.00	-6.04	-1.77	5.67	-510.00	-940.00	-180.00	-34.63	-6.22	28.66	-310.00	-1050.00	160.00	-29.09	-6.52	28.78
-380.00	-990.00	220.00	-4.02	0.61	5.00	-50.00	-900.00	-200.00	-0.30	0.37	0.55	-360.00	-990.00	-20.00	0.00	0.30	-0.24	-160.00	-990.00	320.00	-0.55	-0.18	0.37
-380.00	-1000.00	220.00	0.55	-0.55	1.10	-50.00	-900.00	-200.00	-0.30	0.18	0.67	-360.00	-990.00	-30.00	0.06	0.30	-0.06	-170.00	-990.00	330.00	-0.67	-0.18	0.37
-380.00	-990.00	230.00	0.67	-0.49	1.22	-60.00	-900.00	-200.00	-0.30	0.12	0.55	-360.00	-1000.00	-20.00	-0.06	0.12	-0.12	-160.00	-990.00	330.00	-0.61	-0.18	0.37
-380.00	-1000.00	220.00	0.49	-0.55	1.10	-50.00	-900.00	-210.00	-0.24	-0.06	0.43	-360.00	-990.00	-20.00	-0.06	0.24	-0.12	-170.00	-990.00	330.00	-0.61	-0.24	0.30
-370.00	-990.00	220.00	0.49	-0.73	0.98	-50.00	-900.00	-210.00	-0.18	-0.12	0.37	-360.00	-1000.00	-20.00	-0.12	0.30	-0.12	-170.00	-990.00	330.00	-0.55	-0.30	0.18
-380.00	-1000.00	220.00	0.55	-0.91	0.85	-50.00	-900.00	-210.00	-0.18	-0.18	0.37	-360.00	-990.00	-30.00	-0.24	0.18	-0.12	-170.00	-990.00	330.00	-0.61	-0.18	0.18
-380.00	-1000.00	220.00	0.43	-0.98	0.91	-50.00	-900.00	-200.00	-0.18	-0.24	0.43	-360.00	-990.00	-20.00	-0.18	0.18	-0.12	-170.00	-990.00	330.00	-0.55	-0.24	0.18
-380.00	-1000.00	220.00	0.49	-0.98	0.85	-50.00	-900.00	-210.00	-0.18	-0.06	0.30	-360.00	-1000.00	-20.00	0.00	0.06	-0.12	-170.00	-990.00	330.00	-0.61	-0.24	0.18
-380.00	-1000.00	220.00	0.55	-1.04	0.79	-50.00	-900.00	-200.00	-0.24	-0.12	0.30	-360.00	-990.00	-20.00	-0.06	0.12	-0.12	-170.00	-990.00	330.00	-0.43	-0.37	0.30
-380.00	-990.00	220.00	0.55	-0.91	0.85	-50.00	-900.00	-200.00	-0.24	0.18	0.37	-360.00	-990.00	-20.00	0.06	0.18	-0.12	-170.00	-1000.00	330.00	-0.55	-0.30	0.24
-380.00	-1000.00	220.00	0.55	-0.91	0.85	-50.00	-900.00	-210.00	-0.12	0.18	0.43	-360.00	-990.00	-30.00	0.06	0.12	-0.12	-170.00	-1000.00	330.00	-0.67	-0.30	0.24
-380.00	-1000.00	220.00	0.55	-0.85	0.85	-50.00	-900.00	-200.00	-0.18	0.18	0.43	-360.00	-990.00	-30.00	0.00	0.12	-0.12	-170.00	-990.00	330.00	-0.67	-0.37	0.37
-380.00	-1000.00	220.00	0.49	-0.73	0.91	-50.00	-900.00	-210.00	-0.24	0.12	0.37	-350.00	-990.00	-30.00	0.00	0.18	-0.06	-160.00	-990.00	330.00	-0.67	-0.37	0.24
-380.00	-1000.00	220.00	0.55	-0.73	0.85	-50.00	-900.00	-200.00	-0.24	0.06	0.43	-360.00	-990.00	-20.00	0.00	0.06	-0.12	-160.00	-1000.00	320.00	-0.67	-0.43	0.37
-380.00	-1000.00	220.00	0.55	-0.85	1.04	-50.00	-900.00	-200.00	-0.24	0.00	0.43	-360.00	-990.00	-20.00	0.06	0.06	-0.24	-170.00	-990.00	330.00	-0.49	-0.43	0.24
-380.00	-990.00	220.00	0.55	-0.85	1.04	-50.00	-900.00	-200.00	-0.18	0.00	0.49	-360.00	-990.00	-30.00	0.00	0.12	-0.18	-170.00	-990.00	330.00	-0.67	-0.49	0.18
-380.00	-1000.00	220.00	0.61	-0.91	0.85	-50.00	-900.00	-200.00	-0.18	-0.12	0.43	-360.00	-1000.00	-30.00	-0.06	0.18	-0.43	-170.00	-990.00	340.00	-0.55	-0.49	0.06
-380.00	-1000.00	220.00	0.55	-0.98	0.91	-50.00	-900.00	-200.00	-0.18	0.06	0.37	-360.00	-990.00	-30.00	0.06	0.24	-0.37	-170.00	-990.00	330.00	-0.55	-0.49	0.06
-380.00	-1000.00	220.00	0.55	-0.98	0.91	-50.00	-900.00	-200.00	-0.24	0.12	0.30	-360.00	-990.00	-20.00	0.00	0.37	-0.37	-170.00	-990.00	330.00	-0.61	-0.30	-0.06
-380.00	-1000.00	220.00	0.61	-0.91	0.91	-50.00	-900.00	-200.00	-0.12	0.06	0.37	-350.00	-990.00	-20.00	0.00	0.30	-0.43	-170.00	-990.00	330.00	-0.55	-0.24	0.06
-380.00	-1000.00	220.00	0.85	-0.79	0.98	-60.00	-900.00	-200.00	-0.12	0.00	0.30	-360.00	-990.00	-20.00	-0.06	0.37	-0.43	-170.00	-990.00	330.00	-0.43	-0.24	0.06
-380.00	-1000.00	220.00	0.85	-0.79	0.98	-50.00	-900.00	-200.00	-0.18	-0.06	0.30	-360.00	-990.00	-30.00	0.00	0.37	-0.37	-170.00	-990.00	320.00	-0.43	-0.24	0.06
-380.00	-990.00	220.00	0.67	-0.79	0.85	-50.00	-900.00	-200.00	-0.24	0.00	0.24	-360.00	-990.00	-30.00	-0.12	0.37	-0.37	-160.00	-990.00	330.00	-0.61	-0.30	0.00
-380.00	-990.00	220.00	0.73	-0.98	0.79	-50.00	-900.00	-200.00	-0.24	0.06	0.24	-360.00	-990.00	-30.00	-0.06	0.24	-0.30	-170.00	-990.00	330.00	-0.67	-0.24	-0.06
-380.00	-1000.00	220.00	0.73	-0.98	0.79	-50.00	-900.00	-200.00	-0.24	0.00	0.30	-360.00	-990.00	-20.00	-0.12	0.24	-0.30	-160.00	-990.00	330.00	-0.73	-0.24	0.00
-380.00	-1000.00	220.00	0.67	-0.85	0.67	-50.00	-900.00	-210.00	-0.24	0.12	0.12	-360.00	-990.00	-30.00	-0.12	0.30	-0.37	-160.00	-990.00	330.00	-0.73	-0.24	0.00
-380.00	-1000.00	220.00	0.55	-0.85	0.67	-50.00	-900.00	-200.00	-0.30	0.12	0.12	-360.00	-1000.00	-20.00	-0.12	0.37	-0.37	-170.00	-990.00	330.00	-0.55	-0.30	0.00
-380.00	-990.00	220.00	0.43	-0.85	0.67	-60.00	-900.00	-200.00	-0.30	-0.06	0.18	-360.00	-990.00	-30.00	-0.18	0.30	-0.37	-170.00	-990.00	330.00	-0.67	-0.18	0.00
-380.00	-990.00	220.00	0.43	-0.73	0.67	-50.00	-900.00	-200.00	-0.24	-0.18	0.12	-360.00	-990.00	-20.00	-0.18	0.24	-0.43	-170.00	-990.00	330.00	-0.67	-0.18	0.00
-380.00	-1000.00	220.00	0.43	-0.91	0.61	-50.00	-900.00	-200.00	-0.37	-0.06	0.12	-360.00	-990.00	-20.00	-0.12	0.43	-0.43	-170.00	-990.00	330.00	-0.73	-0.18	0.12
-380.00	-990.00	230.00	0.61	-1.10	0.61	-60.00	-900.00	-200.00	-0.30	0.00	0.24	-350.00	-990.00	-30.00	-0.06	0.37	-0.43	-160.00	-990.00	330.00	-0.73	-0.18	0.12
-380.00	-1000.00	220.00	0.55	-1.04	0.61	-50.00	-900.00	-200.00	-0.18	0.00	0.18	-360.00	-990.00	-20.00	-0.24	0.30	-0.37	-160.00	-990.00	330.00	-0.67	-0.24	0.06
-380.00	-1000.00	220.00	0.55	-0.91	0.73	-50.00	-900.00	-210.00	-0.30	-0.06	0.30	-360.00	-990.00	-20.00	-0.18	0.24	-0.24	-160.00	-990.00	330.00	-0.73	-0.24	0.06
-380.00	-1000.00	220.00	0.55	-0.91	0.73	-50.00	-900.00	-210.00	-0.37	-0.12	0.30	-360.00	-990.00	-20.00	-0.18	0.30	-0.24	-170.00	-990.00	330.00	-0.79	-0.24	0.12
-380.00	-1000.00	220.00	0.49	-0.91	0.73	-50.00	-900.00	-200.00	-0.37	-0.18	0.37	-360.00	-990.00	-30.00	-0.12	0.18	-0.30	-170.00	-990.00	330.00	-0.79	-0.18	0.12
-380.00	-1000.00	220.00	0.55	-1.10	0.79	-50.00	-900.00	-210.00	-0.37	-0.18	0.37	-350.00	-990.00	-30.00	-0.18	0.37	-0.37	-170.00	-990.00	330.00	-0.73	-0.18	-0.06
-380.00	-1000.00	220.00	0.61	-0.98	0.79	-50.00	-900.00	-200.00	-0.30	-0.06	0.37	-360.00	-990.00	-30.00	-0.12	0.37	-0.37	-170.00	-990.00	330.00	-0.79	0.00	0.00
-370.00	-1000.00	220.00	0.55	-1.04	0.85	-50.00	-900.00	-210.00	-0.30	0.18	0.43	-350.00	-990.00	-20.00	-0.12	0.37	-0.37	-170.00	-990.00	330.00	-0.91	-0.06	0.06
-380.00	-1000.00	220.00	0.61	-1.04	0.91	-50.00	-900.00	-210.00	-0.37	0.18	0.43	-360.00	-990.00	-30.00	-0.12	0.37	-0.37	-170.00	-990.00	330.00	-0.79	-0.30	0.06
-380.00	-1000.00	220.00	0.61	-0.91	0.98	-50.00	-900.00	-210.00	-0.49	0.12	0.49	-360.00	-990.00	-30.00	-0.12	0.43	-0.43	-160.00	-990.00	330.00	-0.79	-0.30	0.06
