LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
-420.00	-990.00	210.00	-0.37	-3.05	4.57	-70.00	-900.00	-200.00	0.55	-0.91	-0.67	-350.00	-980.00	-80.00	2.07	0.79	-1.46	-180.00	-1000.00	300.00	-0.85	-1.28	2.01
-420.00	-980.00	200.00	-0.49	-3.41	4.39	-60.00	-900.00	-210.00	0.61	-0.98	-0.49	-350.00	-990.00	-70.00	2.13	0.67	-1.28	-180.00	-990.00	310.00	-0.85	-1.28	2.26
-430.00	-980.00	210.00	-0.43	-3.60	4.39	-60.00	-910.00	-200.00	0.85	-1.28	-0.37	-350.00	-990.00	-60.00	2.13	0.37	-1.16	-190.00	-990.00	310.00	-0.79	-1.52	2.68
-430.00	-980.00	210.00	0.06	-3.05	3.90	-70.00	-910.00	-200.00	0.85	-1.10	-0.06	-350.00	-980.00	-60.00	1.83	0.24	-0.91	-190.00	-990.00	310.00	-0.98	-1.77	2.87
-430.00	-990.00	210.00	0.85	-1.77	3.41	-60.00	-910.00	-200.00	0.85	-0.67	0.30	-350.00	-990.00	-70.00	1.65	0.18	-0.61	-190.00	-990.00	310.00	-1.34	-1.83	2.93
-430.00	-980.00	200.00	1.28	-1.28	3.41	-70.00	-900.00	-200.00	0.91	-0.30	0.85	-350.00	-990.00	-70.00	1.40	0.24	-0.30	-190.00	-990.00	300.00	-1.28	-1.95	3.05
-430.00	-980.00	210.00	1.22	-0.98	3.54	-60.00	-900.00	-200.00	0.73	-0.06	1.40	-340.00	-980.00	-70.00	1.16	0.37	0.06	-190.00	-990.00	300.00	-1.28	-2.13	3.05
-430.00	-980.00	200.00	1.28	-0.67	3.48	-60.00	-910.00	-210.00	0.67	0.12	1.83	-350.00	-990.00	-60.00	0.79	0.49	0.43	-190.00	-1000.00	300.00	-1.28	-2.26	2.80
-430.00	-980.00	200.00	1.10	-0.37	3.41	-70.00	-900.00	-200.00	0.73	0.00	2.26	-350.00	-990.00	-70.00	0.85	0.67	0.73	-180.00	-1000.00	300.00	-1.28	-2.20	2.68
-430.00	-980.00	210.00	0.85	-0.30	3.29	-60.00	-900.00	-200.00	0.73	-0.06	2.80	-340.00	-980.00	-60.00	0.91	0.85	1.04	-180.00	-1000.00	310.00	-1.10	-2.32	2.68
-430.00	-980.00	210.00	0.79	-0.49	3.11	-60.00	-910.00	-200.00	0.91	-0.24	3.35	-350.00	-990.00	-60.00	0.98	0.79	1.16	-190.00	-1000.00	310.00	-0.98	-2.44	2.80
-430.00	-980.00	210.00	0.43	-0.73	2.93	-60.00	-900.00	-190.00	0.91	-0.24	3.35	-350.00	-990.00	-70.00	0.79	0.73	1.34	-190.00	-1000.00	300.00	-0.43	-0.85	1.40
-430.00	-980.00	210.00	0.30	-1.16	2.56	-60.00	-900.00	-190.00	0.98	-0.18	3.23	-340.00	-980.00	-60.00	0.67	0.73	1.40	-200.00	-990.00	300.00	-0.37	-0.06	1.04
-430.00	-980.00	210.00	0.30	-1.34	2.26	-60.00	-910.00	-200.00	0.98	-0.18	3.23	-350.00	-990.00	-60.00	0.61	0.67	1.65	-200.00	-1000.00	300.00	-0.18	0.91	0.79
-430.00	-980.00	210.00	0.06	-1.40	2.01	-60.00	-910.00	-200.00	1.04	0.06	3.05	-350.00	-1000.00	-60.00	0.73	0.73	1.95	-190.00	-990.00	290.00	-0.43	0.55	0.85
-430.00	-980.00	210.00	-0.12	-1.71	1.83	-60.00	-900.00	-200.00	0.79	0.00	2.62	-340.00	-990.00	-60.00	0.85	0.55	2.20	-200.00	-1000.00	300.00	-0.30	-0.61	0.30
-430.00	-970.00	200.00	-0.06	-2.13	1.71	-60.00	-900.00	-200.00	0.79	0.00	2.62	-350.00	-990.00	-60.00	0.79	0.61	2.38	-200.00	-1000.00	300.00	-0.30	-0.61	0.30
-430.00	-970.00	210.00	-0.55	-3.60	2.26	-70.00	-900.00	-190.00	0.79	0.00	2.62	-350.00	-990.00	-70.00	0.67	0.79	2.56	-190.00	-990.00	310.00	0.00	-0.49	0.61
-430.00	-970.00	210.00	-0.55	-3.35	2.32	-60.00	-900.00	-200.00	0.73	-0.18	2.50	-350.00	-990.00	-60.00	0.55	0.85	2.74	-200.00	-990.00	300.00	0.06	-0.73	0.67
-430.00	-980.00	200.00	0.12	-3.11	2.56	-70.00	-900.00	-200.00	0.98	-1.28	2.07	-350.00	-990.00	-60.00	0.43	0.98	2.74	-200.00	-990.00	300.00	0.06	-0.73	0.67
-430.00	-980.00	200.00	0.12	-3.11	2.56	-70.00	-900.00	-200.00	0.98	-1.28	2.07	-350.00	-990.00	-60.00	0.37	0.85	2.68	-200.00	-990.00	300.00	0.06	-0.85	0.55
-430.00	-980.00	200.00	0.55	-2.13	3.11	-70.00	-900.00	-200.00	0.98	-1.28	2.07	-350.00	-990.00	-70.00	0.37	0.85	2.56	-200.00	-990.00	300.00	0.06	-0.85	0.55
-430.00	-990.00	200.00	0.55	-2.13	3.11	-70.00	-900.00	-200.00	0.49	0.37	2.20	-340.00	-1000.00	-50.00	0.43	0.85	2.62	-190.00	-1000.00	310.00	0.18	-0.55	0.55
-430.00	-980.00	210.00	0.55	-2.13	3.11	-80.00	-900.00	-200.00	0.49	0.37	2.20	-350.00	-1000.00	-60.00	1.22	1.52	1.89	-200.00	-990.00	300.00	0.18	-0.55	0.55
-420.00	-980.00	210.00	0.49	-2.26	3.29	-80.00	-900.00	-200.00	0.49	0.37	2.20	-350.00	-990.00	-60.00	1.22	1.52	1.89	-200.00	-990.00	300.00	0.18	0.12	1.28
-430.00	-980.00	210.00	0.43	-2.50	3.60	-70.00	-900.00	-200.00	0.12	0.43	1.77	-350.00	-980.00	-70.00	0.67	0.91	0.98	-200.00	-990.00	300.00	0.91	2.68	1.65
-430.00	-980.00	210.00	0.55	-2.50	4.02	-70.00	-900.00	-200.00	0.12	0.43	1.77	-350.00	-980.00	-70.00	0.67	0.91	0.98	-200.00	-990.00	300.00	0.91	2.68	1.65
-430.00	-980.00	210.00	0.55	-2.50	4.02	-70.00	-900.00	-200.00	0.18	-0.24	0.61	-350.00	-980.00	-70.00	0.67	0.91	0.98	-200.00	-990.00	300.00	0.73	2.99	1.95
-430.00	-980.00	220.00	0.55	-2.50	4.02	-70.00	-900.00	-190.00	0.18	-0.24	0.61	-350.00	-980.00	-70.00	0.06	0.91	0.37	-200.00	-1000.00	300.00	-0.06	1.95	2.01
-430.00	-980.00	200.00	0.85	-2.99	5.37	-80.00	-900.00	-200.00	0.18	-0.24	0.61	-360.00	-990.00	-60.00	-0.18	0.67	0.18	-200.00	-1000.00	300.00	-0.06	1.95	2.01
-430.00	-980.00	200.00	2.07	-1.28	6.71	-80.00	-900.00	-200.00	0.30	-0.24	0.55	-350.00	-990.00	-60.00	-0.18	0.67	0.18	-190.00	-1000.00	300.00	-0.30	1.59	2.26
-430.00	-980.00	210.00	2.07	-1.28	6.71	-80.00	-910.00	-190.00	0.30	-0.24	0.55	-360.00	-980.00	-70.00	-0.37	-0.06	0.12	-210.00	-990.00	310.00	-0.30	1.59	2.26
-430.00	-990.00	210.00	2.32	-0.91	7.07	-80.00	-900.00	-190.00	0.30	-0.24	0.55	-360.00	-980.00	-70.00	-0.24	-0.06	0.24	-210.00	-990.00	310.00	-0.79	0.37	1.95
-430.00	-990.00	210.00	2.38	-0.67	7.38	-80.00	-900.00	-190.00	0.49	0.24	0.73	-360.00	-980.00	-70.00	-0.24	-0.06	0.24	-200.00	-990.00	310.00	-0.79	0.37	1.95
-430.00	-990.00	210.00	2.38	-0.67	7.38	-70.00	-900.00	-190.00	0.49	0.49	0.79	-360.00	-980.00	-70.00	-0.06	-0.18	0.18	-200.00	-990.00	310.00	-0.73	-0.06	2.01
-440.00	-990.00	220.00	2.20	-0.55	7.93	-70.00	-900.00	-190.00	0.49	0.49	0.79	-360.00	-990.00	-60.00	0.18	0.00	0.06	-210.00	-990.00	310.00	-1.10	-0.43	1.65
-440.00	-990.00	220.00	2.56	-0.85	9.63	-70.00	-900.00	-190.00	0.67	0.73	1.40	-360.00	-990.00	-60.00	0.18	0.00	0.06	-210.00	-990.00	310.00	-1.10	-0.43	1.65
-440.00	-990.00	220.00	1.65	-1.89	14.94	-80.00	-910.00	-200.00	0.61	0.73	1.95	-360.00	-990.00	-60.00	0.18	0.00	0.06	-200.00	-1000.00	310.00	-1.10	-0.43	1.65
