kamy	mass
-0.000066	88.700000
-0.001149	88.700000
-0.000708	88.700000
0.000448	88.700000
0.001768	88.700000
0.002293	88.700000
0.003722	88.700000
0.005680	88.700000
0.007016	88.700000
0.007821	88.700000
0.008374	88.700000
0.008932	88.700000
0.009945	88.700000
0.010911	88.700000
0.011878	88.700000
0.012875	88.700000
0.014261	88.700000
0.015655	88.700000
0.017191	88.700000
0.018200	88.700000
0.018872	88.700000
0.019440	88.700000
0.020069	88.700000
0.020449	88.700000
0.020899	88.700000
0.021093	88.700000
0.021366	88.700000
0.021389	88.700000
0.021571	88.700000
0.021850	88.700000
0.021863	88.700000
0.021905	88.700000
0.022128	88.700000
0.022444	88.700000
0.022839	88.700000
0.023040	88.700000
0.022851	88.700000
0.023172	88.700000
0.023185	88.700000
0.023013	88.700000
0.023153	88.700000
0.022982	88.700000
0.022725	88.700000
0.022515	88.700000
0.022002	88.700000
0.021522	88.700000
0.021007	88.700000
0.020638	88.700000
0.020283	88.700000
0.019976	88.700000
0.019614	88.700000
0.019075	88.700000
0.018568	88.700000
0.018116	88.700000
0.017712	88.700000
0.017340	88.700000
0.017033	88.700000
0.016799	88.700000
0.016640	88.700000
0.016749	88.700000
0.016520	88.700000
0.016343	88.700000
0.016526	88.700000
0.016280	88.700000
0.016121	88.700000
0.016004	88.700000
0.015808	88.700000
0.015696	88.700000
0.015272	88.700000
0.014660	88.700000
0.013977	88.700000
0.013203	88.700000
0.012251	88.700000
0.011076	88.700000
0.010131	88.700000
0.008859	88.700000
0.007608	88.700000
0.005971	88.700000
0.004489	88.700000
0.003091	88.700000
0.001761	88.700000
0.000668	88.700000
-0.000078	88.700000
-0.000407	88.700000
-0.000885	88.700000
-0.001298	88.700000
-0.001825	88.700000
-0.002113	88.700000
-0.002326	88.700000
0.000847	88.700000
0.000252	88.700000
