kamy	mass
-0.003701	85.800000
-0.001899	85.800000
0.000485	85.800000
0.002352	85.800000
0.004172	85.800000
0.007166	85.800000
0.011739	85.800000
0.013568	85.800000
0.015239	85.800000
0.017030	85.800000
0.018378	85.800000
0.018386	85.800000
0.019079	85.800000
0.020451	85.800000
0.022571	85.800000
0.025475	85.800000
0.028591	85.800000
0.031237	85.800000
0.032833	85.800000
0.033432	85.800000
0.033086	85.800000
0.032025	85.800000
0.031127	85.800000
0.030245	85.800000
0.029299	85.800000
0.028927	85.800000
0.028809	85.800000
0.028741	85.800000
0.028975	85.800000
0.028906	85.800000
0.028552	85.800000
0.028421	85.800000
0.028411	85.800000
0.027983	85.800000
0.027528	85.800000
0.027309	85.800000
0.027219	85.800000
0.026970	85.800000
0.027209	85.800000
0.027004	85.800000
0.026591	85.800000
0.026178	85.800000
0.026006	85.800000
0.025686	85.800000
0.025282	85.800000
0.024974	85.800000
0.024834	85.800000
0.024934	85.800000
0.025081	85.800000
0.024598	85.800000
0.024058	85.800000
0.023200	85.800000
0.022510	85.800000
0.021818	85.800000
0.021341	85.800000
0.021349	85.800000
0.021541	85.800000
0.021628	85.800000
0.021299	85.800000
0.020732	85.800000
0.020077	85.800000
0.019195	85.800000
0.018253	85.800000
0.017340	85.800000
0.015995	85.800000
0.014373	85.800000
0.012236	85.800000
0.009857	85.800000
0.007168	85.800000
0.004127	85.800000
0.001232	85.800000
-0.000428	85.800000
-0.001791	85.800000
-0.001938	85.800000
-0.001228	85.800000
-0.000757	85.800000
-0.000580	85.800000
