MR32 ASCII
Name	Trial_11
Frequency	200
Date	06-03-2018 18:34:40
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	984.4	60.56	-141.6	0.3483	-3.672	-7.864	-1.007	-0.7627	-0.5347	967.8	-134.3	-223.6	3.147	4.37	7.523	-0.7515	0.8398	0.7075	948.7	-97.65	-299.8	8.481	-2.098	-7.346	-1.079	0.5981	0.437	987.8	0	-79.11	9.88	0.6137	2.45	-1.353	-0.4731	-0.3848
0.005	0	991.2	63.45	-144	1.221	-3.497	-7.61	-1.007	-0.7632	-0.5344	970.7	-135.8	-218.3	3.497	3.76	7.348	-0.7512	0.8406	0.7068	960	-90.35	-298.8	8.569	-1.4	-6.466	-1.083	0.5979	0.4175	993.6	3.404	-65.92	9.704	-0.8732	2.533	-1.353	-0.4731	-0.3862
0.010	0	993.2	67.85	-146	1.05	-3.323	-7.783	-1.006	-0.7637	-0.5342	970.7	-133.3	-213.9	3.497	4.809	6.734	-0.751	0.8413	0.706	955.1	-88.35	-293	9.616	-2.098	-6.816	-1.086	0.5976	0.3979	1004	1.47	-73.25	9.704	-1.746	2.45	-1.353	-0.4731	-0.3877
0.015	0	993.2	66.89	-148.9	1.575	-3.234	-7.428	-1.004	-0.7637	-0.5369	972.2	-137.2	-222.6	4.633	4.109	7.172	-0.75	0.8445	0.7034	955.6	-80.06	-299.3	9.093	-1.311	-6.031	-1.084	0.5991	0.4165	1008	5.338	-93.26	9.618	-1.572	2.626	-1.353	-0.4731	-0.3875
0.020	0	991.2	64.48	-145	1.05	-3.06	-8.566	-1.001	-0.7637	-0.5396	966.3	-146.9	-216.3	4.021	3.499	7.172	-0.749	0.8477	0.7007	960.9	-72.27	-290	9.093	-2.012	-6.211	-1.082	0.6006	0.4351	1002	0	-87.89	10.23	-1.048	2.45	-1.353	-0.4731	-0.3872
0.025	0	997.1	69.84	-153.8	1.138	-3.323	-7.519	-1.001	-0.7644	-0.5386	970.2	-141.1	-210	2.797	3.76	7.172	-0.7515	0.8462	0.6985	963.4	-69.84	-291.5	8.13	-0.8737	-5.946	-1.086	0.5969	0.438	999.5	-2.476	-88.87	8.917	-0.8732	1.661	-1.357	-0.4731	-0.3843
0.030	0	989.7	66.89	-144.5	2.1	-3.847	-7.61	-0.9995	-0.7651	-0.5376	972.6	-140.1	-219.7	4.458	4.109	6.646	-0.7539	0.8447	0.6963	962.4	-80.56	-290.5	7.607	-0.8737	-5.682	-1.091	0.5932	0.4409	995.6	6.808	-81.55	9.093	-0.8732	2.709	-1.361	-0.4731	-0.3813
0.035	0	994.1	74.24	-147.5	2.271	-3.148	-7.082	-1.002	-0.7686	-0.5376	965.8	-148.4	-208	3.234	4.461	6.119	-0.7517	0.8494	0.7004	955.1	-80.06	-288.1	7.256	-0.6122	-5.946	-1.091	0.593	0.4407	995.6	-1.47	-82.52	8.831	-1.397	2.356	-1.358	-0.4705	-0.3831
0.040	0	989.2	72.73	-156.7	2.625	-3.497	-7.255	-1.004	-0.772	-0.5376	961.4	-147.5	-216.8	4.633	4.283	5.944	-0.7495	0.854	0.7046	953.6	-78.63	-294.9	7.696	-1.661	-5.946	-1.091	0.5928	0.4404	999.1	-14.62	-76.18	9.093	-1.746	2.356	-1.355	-0.4678	-0.3848
0.045	0	990.3	74.72	-144.5	2.885	-3.06	-7.255	-1.004	-0.7727	-0.5371	964.8	-145.5	-211.9	3.846	3.847	5.944	-0.7493	0.8548	0.7039	954.6	-73.27	-286.1	7.869	-1.311	-5.597	-1.089	0.5952	0.4297	1001	-11.22	-74.7	8.655	-2.011	1.837	-1.354	-0.4692	-0.3752
