MR32 ASCII
Name	static
Frequency	200
Date	06-03-2018 18:24:47
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	984.4	3.418	-187	-0.3497	0.3498	0.4371	-1.248	-0.5698	-0.5664	981.9	-78.13	-184.1	-0.08736	-0.2623	-0.5246	-1.127	0.6123	0.707	952.1	-185.5	-249.5	0.1748	-0.6995	0.1749	-0.8686	0.564	0.06201	993.2	96.19	-102.1	0.1749	0.08743	-0.2623	-1.111	-0.5488	-0.002929
0.005	0	982.9	5.371	-190.4	-0.2623	-0.4371	0.4371	-1.247	-0.5689	-0.5637	980.5	-79.59	-176.8	-0.3497	-0.4371	0	-1.126	0.6111	0.7109	945.3	-192.9	-252.9	-0.08747	-0.08745	0.1749	-0.8665	0.571	0.06201	991.2	91.8	-96.19	0.1749	-0.3497	0	-1.111	-0.5488	-0.003175
0.010	0	981.4	3.418	-185.1	-0.612	1.137	-0.2623	-1.246	-0.5679	-0.561	979.5	-83.99	-183.6	0	-0.2623	-0.3497	-1.125	0.6099	0.7148	951.7	-191.4	-255.4	-0.1748	-0.3497	-0.3497	-0.8642	0.5781	0.06201	990.7	95.22	-108.4	0.08741	-0.08743	-0.2623	-1.111	-0.5488	-0.003419
0.015	0	982.9	3.418	-184.1	-0.08739	0	0	-1.246	-0.5701	-0.5664	981	-81.06	-170.9	-0.4371	-0.2623	-0.08743	-1.126	0.6121	0.7053	950.2	-193.4	-243.7	0	-0.7869	-1.049	-0.8642	0.5781	0.06201	987.8	89.84	-97.17	0.4371	0	0.1749	-1.114	-0.55	-0.007325
0.020	0	981	5.371	-191.9	0.2623	-0.08745	0	-1.246	-0.5723	-0.5718	980.5	-79.59	-177.2	0.5246	-0.4371	-0.4372	-1.127	0.6143	0.6958	943.4	-194.8	-248.5	0.2623	-0.08745	-0.7869	-0.8642	0.5781	0.06201	991.2	91.8	-94.24	0.3497	-0.4372	0.1749	-1.116	-0.5513	-0.01123
0.025	0	991.7	14.65	-184.1	-0.5246	0.1748	0.1748	-1.248	-0.5723	-0.5652	980	-75.68	-168	0	0	-0.612	-1.129	0.6118	0.6987	946.3	-190.4	-259.3	-0.2623	-0.3497	-0.2623	-0.8677	0.5723	0.06348	996.1	101.1	-99.61	-0.4371	-0.4372	0.08744	-1.116	-0.5476	-0.009766
0.030	0	976.6	2.441	-189.5	-0.612	0.3498	1.224	-1.251	-0.5723	-0.5586	980.5	-73.73	-177.2	-0.5246	-0.4371	-0.08743	-1.132	0.6094	0.7017	953.1	-182.1	-253.4	-0.2623	0	0.9618	-0.8711	0.5664	0.06494	982.9	89.84	-104	-0.6995	-0.1749	1.224	-1.116	-0.5439	-0.008301
0.035	0	982.4	7.324	-190.4	-0.3497	0.08745	-0.2623	-1.247	-0.5701	-0.5586	980.5	-80.08	-182.1	-0.8743	-0.1749	0.3497	-1.132	0.6094	0.7017	944.3	-195.8	-247.1	-0.9618	-0.7869	0	-0.8699	0.5664	0.05835	990.2	93.75	-103	0	0.1749	0	-1.117	-0.5476	-0.009766
0.040	0	979.5	2.441	-180.7	-0.612	0.1748	0.3498	-1.244	-0.5679	-0.5586	976.6	-81.54	-165.5	-0.612	-0.08741	-0.1749	-1.132	0.6094	0.7017	950.2	-191.9	-260.7	-0.4372	-0.612	0	-0.8686	0.5664	0.05176	992.2	90.82	-97.17	-0.3497	-0.3497	0.08744	-1.119	-0.5513	-0.01123
0.045	0	984.4	9.277	-188	-0.3497	0.3498	0.612	-1.244	-0.5676	-0.5586	988.3	-73.24	-176.8	-0.3497	0.3497	0	-1.131	0.6096	0.7139	948.2	-190.4	-240.2	-0.2623	-0.3497	0	-0.8686	0.5664	0.05176	992.2	95.22	-103.5	-0.1749	0.612	0.08744	-1.119	-0.5513	-0.01123
