MR32 ASCII
Name	Trial_3
Frequency	100
Date	11-03-2018 12:34:09
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	960.4	188.5	-213.4	-0.9627	-0.08726	0.08436	-0.8301	-0.98	-0.4302	994.1	-69.33	-54.68	-0.6985	0.2626	0.0889	-0.8599	0.8589	0.5073	956	209.5	-193.9	-0.6985	-0.1743	0.2653	-1.135	0.3965	0.1592	961.4	-218.3	-168.5	-0.8748	-1.486	-0.9605	-1.333	-0.3833	-0.02587
0.01	0	959	185.1	-222.2	0.6989	-1.136	0.1752	-0.8276	-0.9812	-0.4356	993.6	-68.36	-62.99	0.8737	0.1742	0	-0.8599	0.8601	0.51	960.9	219.7	-195.8	0.5239	1.311	0.1768	-1.138	0.394	0.1582	960.9	-213.8	-169.9	-1.048	-0.6989	-0.6124	-1.332	-0.3857	-0.02319
0.02	0	962.4	188.5	-224.1	-0.3495	0.08726	0	-0.8252	-0.9824	-0.4409	1000	-62.01	-51.28	0.08639	1.136	0.1778	-0.8599	0.8613	0.5127	960.9	222.6	-189.5	-0.5239	0.2614	0.2653	-1.142	0.3916	0.1572	958.5	-213.4	-166	-0.3492	-0.4372	-0.1741	-1.331	-0.3882	-0.0205
0.03	0	964.9	192.4	-213.9	0.3495	-0.5252	0.2596	-0.8264	-0.9824	-0.4395	998.1	-64.44	-56.15	0	0	1.046	-0.8635	0.8635	0.51	958.5	217.8	-180.2	-0.6985	0.6119	1.048	-1.137	0.394	0.157	961.4	-212.4	-165.5	-1.922	-1.573	-0.5222	-1.329	-0.3884	-0.01368
0.04	0	957.5	182.1	-223.1	0	0.1745	0.08436	-0.8276	-0.9824	-0.438	999	-66.9	-50.29	0.6985	1.136	1.046	-0.8672	0.8657	0.5073	956.5	210	-195.8	-0.262	0.6991	0.3474	-1.132	0.3965	0.1567	962.4	-214.3	-166.5	-1.485	-1.05	-0.7865	-1.328	-0.3887	-0.00684
0.05	0	963.4	191.9	-229.5	0.1747	-0.8742	0.08436	-0.8264	-0.9812	-0.438	997.6	-72.76	-54.68	-0.2616	-0.2626	0.8754	-0.8648	0.8635	0.5115	960.5	213.4	-188	-0.262	1.311	0.2653	-1.13	0.4001	0.1565	959	-218.3	-171.4	-0.8748	-1.661	-1.309	-1.325	-0.3848	-0.01099
0.06	0	959	183.6	-217.3	0.08908	-0.2618	-0.2596	-0.8252	-0.98	-0.438	994.1	-61.53	-57.13	-0.2616	0.6995	0	-0.8623	0.8613	0.5156	955.6	212.9	-189.9	-0.6985	0.5248	0.3474	-1.127	0.4038	0.1563	964.3	-213.4	-173.8	-0.6138	-1.486	-0.3481	-1.323	-0.3809	-0.01514
0.07	0	951.2	182.1	-218.3	0.8736	-0.349	-0.61	-0.8264	-0.9812	-0.4365	1003	-64.44	-60.06	0.3505	0.3497	1.046	-0.8635	0.8613	0.5156	959.9	219.2	-193.9	-0.6985	1.398	0.7895	-1.131	0.4011	0.1514	955.1	-216.8	-166.5	-0.963	-2.098	-0.8767	-1.328	-0.3833	-0.0193
0.08	0	957.5	188	-206.1	0.08908	-0.5252	-0.3504	-0.8276	-0.9824	-0.4351	988.3	-74.22	-53.71	1.049	0.2626	0.6976	-0.8648	0.8613	0.5156	955.1	211	-186	-0.6985	0.2614	-0.08842	-1.135	0.3984	0.1465	960.5	-209	-168.5	-1.838	-1.661	-0.5222	-1.333	-0.3857	-0.02345
0.09	0	959.5	189	-221.7	0	-0.4379	0.8761	-0.824	-0.98	-0.4392	997.1	-70.79	-51.28	-0.4369	0	0.6976	-0.8635	0.8601	0.5129	967.8	214.9	-186.5	-1.488	1.661	0.8716	-1.132	0.3962	0.1516	960.9	-219.2	-180.7	-1.224	-1.136	0	-1.329	-0.3845	-0.01783
