MR32 ASCII
Name	static
Frequency	100
Date	11-03-2018 12:31:21
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	969.7	-55.66	-239.7	-0.9617	-0.2623	0.4372	-1.127	-0.6602	-0.3657	986.8	183.6	-55.66	-0.5246	0	-0.08745	-1.215	0.3867	0.4829	980.5	49.81	-163.6	0.3497	-0.9617	0.3497	-0.6782	0.4561	-0.03906	980.5	-56.15	-199.2	0.612	-0.6995	0.1749	-0.9077	-0.4453	0.1343
0.01	0	976.1	-54.69	-237.3	-0.2623	0.3497	-0.08741	-1.125	-0.6614	-0.3604	986.8	182.1	-48.34	-0.1748	-0.3497	0.2623	-1.219	0.3916	0.4871	985.8	51.76	-161.1	-0.1749	-0.2623	-0.2623	-0.6795	0.4536	-0.03638	985.8	-53.22	-202.6	-0.9617	-0.1749	0.4371	-0.9092	-0.4429	0.1411
0.02	0	973.1	-52.73	-236.8	0.612	0.2623	0.612	-1.123	-0.6626	-0.355	984.9	181.2	-60.06	-0.08745	-0.5246	-0.08745	-1.223	0.3965	0.4912	984.9	49.32	-161.1	-0.2623	0.2623	-0.2623	-0.6807	0.4512	-0.03369	976.1	-57.62	-199.2	-1.137	0	-0.08741	-0.9106	-0.4404	0.1479
0.03	0	966.8	-58.59	-241.2	0	0.1749	1.224	-1.12	-0.6626	-0.3538	979.5	178.2	-52.73	0.5246	-0.6995	-0.08745	-1.219	0.3931	0.4951	978.5	50.29	-159.2	-0.6995	0	-0.08745	-0.6829	0.4521	-0.0415	975.1	-57.13	-194.8	-0.08743	-0.3497	0.2623	-0.9092	-0.4429	0.1438
0.04	0	965.3	-61.04	-242.2	-0.3497	0.2623	-0.7869	-1.116	-0.6626	-0.3525	985.8	186	-55.66	-0.8743	-0.1749	0	-1.215	0.3896	0.499	986.8	57.13	-157.7	0.08745	0.2623	-0.3497	-0.6851	0.4531	-0.04932	975.1	-59.57	-202.1	-0.612	-0.4371	0	-0.9077	-0.4453	0.1396
0.05	0	974.1	-55.66	-236.3	-0.2623	1.137	0	-1.118	-0.665	-0.3577	984.4	185.5	-56.64	-0.3497	0.3497	1.137	-1.217	0.3884	0.499	982.9	54.2	-165	-0.2623	-0.1749	0	-0.6816	0.4509	-0.04419	979.5	-55.66	-196.8	-0.9617	0	0.4371	-0.9079	-0.4441	0.1423
0.06	0	966.3	-56.64	-240.2	0	1.049	0.5246	-1.121	-0.6675	-0.3628	981.9	177.7	-55.18	-0.08745	-0.3497	0.2623	-1.218	0.3872	0.499	979.5	55.18	-158.7	0	0.08741	0	-0.6782	0.4487	-0.03906	972.7	-58.1	-198.2	-0.612	0	0	-0.9082	-0.4429	0.145
0.07	0	970.2	-55.66	-230.5	0.3497	0.4371	-0.08741	-1.123	-0.665	-0.3616	979.5	182.1	-60.06	0.6994	-0.4372	-0.4372	-1.219	0.3894	0.48	990.2	53.22	-163.6	-0.7869	0	0	-0.6807	0.4499	-0.03784	981.4	-59.57	-194.8	-1.574	-0.2623	0	-0.9094	-0.4453	0.145
0.08	0	964.8	-63.48	-235.8	0	0.4371	0.6995	-1.126	-0.6626	-0.3604	978.5	181.6	-51.27	0.3497	0.1749	0.4372	-1.22	0.3916	0.4609	990.7	59.08	-156.3	-0.6995	0.3497	-0.2623	-0.6831	0.4512	-0.03662	981.9	-52.73	-201.7	-0.5246	-0.08741	-0.08741	-0.9106	-0.4478	0.145
0.09	0	968.3	-53.71	-241.2	-0.4372	0.2623	0.9618	-1.128	-0.6604	-0.3601	984.9	180.7	-48.83	-0.1748	0.2623	0.2623	-1.218	0.3894	0.4758	985.8	51.76	-165.5	-0.8743	0.8743	0.2623	-0.6819	0.4524	-0.03662	981.4	-57.62	-200.2	-1.749	0.08741	-0.2623	-0.9106	-0.4453	0.1479
