MR32 ASCII
Name	Trial_2
Frequency	100
Date	12-03-2018 11:40:46
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	953.1	293	-85.45	0	-0.5248	0.5233	-0.8359	-0.8169	-0.7143	976.6	-169.9	-93.26	-0.6998	-0.3494	0.6964	-0.7778	0.8564	0.6777	847.6	361.8	-389.2	0	0.9627	0	-1.351	0.1509	0.2168	907.7	-408.2	110.4	-0.9606	-1.137	0.5231	-1.385	-0.1562	-0.1631
0.01	0	957	294.4	-88.87	-0.1749	-0.4377	1.223	-0.8394	-0.8169	-0.7207	985.4	-161.1	-97.16	-0.3499	0	-0.5271	-0.7791	0.8564	0.6763	849.1	359.9	-386.2	-0.3495	-0.6126	0	-1.349	0.1509	0.2234	911.2	-405.8	108.9	-0.08674	-0.3506	0	-1.385	-0.155	-0.1494
0.02	0	952.6	288.1	-88.38	0.1749	-0.9625	0.6116	-0.8428	-0.8169	-0.727	982.4	-167	-97.66	0	-0.2616	-0.3514	-0.7803	0.8564	0.6748	846.7	355	-383.3	-0.08805	0.08752	0	-1.346	0.1509	0.23	909.7	-411.1	111.8	0	-0.5246	-0.2615	-1.385	-0.1538	-0.1357
0.03	0	951.6	286.1	-85.94	0.2608	-0.5248	0.5233	-0.8403	-0.8169	-0.7232	981.4	-159.2	-110.8	0	-0.08777	0.2603	-0.7788	0.8548	0.676	850.1	355	-383.3	-0.4376	-0.3501	-0.7881	-1.347	0.1509	0.2288	908.2	-412.6	96.67	-0.5237	0.174	0	-1.387	-0.155	-0.1357
0.04	0	954.1	288.1	-77.15	0.2608	-0.1743	0.08827	-0.8379	-0.8169	-0.7192	981.9	-162.1	-106	-0.2614	-0.08777	0	-0.7773	0.853	0.6772	849.1	365.2	-382.3	0.3495	0.08752	-0.8721	-1.349	0.1509	0.2275	910.2	-413.1	95.7	0.08674	0	1.222	-1.39	-0.1562	-0.1357
0.05	0	958.5	289.5	-93.76	0.7855	-0.4377	-0.6116	-0.8369	-0.8181	-0.7246	986.8	-159.2	-100.6	0.8748	-0.1755	0.2603	-0.7761	0.8506	0.6743	853	363.8	-393.6	0.8752	-0.3501	-0.08932	-1.349	0.1533	0.23	914.5	-406.7	107.4	0.4369	0.4362	0	-1.39	-0.1577	-0.1318
0.06	0	952.6	290.5	-86.91	0.6106	0	0.4351	-0.8359	-0.8193	-0.73	978.5	-164.5	-90.33	0.2614	0.1755	0.0846	-0.7749	0.8481	0.6714	845.7	362.8	-388.2	-0.08805	-0.4376	-0.8721	-1.349	0.1558	0.2324	910.2	-409.2	106.4	0.1735	-0.174	0.5231	-1.39	-0.1592	-0.1279
0.07	0	952.1	295.4	-91.8	0.1749	-0.1743	-0.1765	-0.8381	-0.8181	-0.7261	980	-165.5	-89.35	0	-0.08777	0.1757	-0.7798	0.8503	0.6716	845.7	369.1	-387.2	0.2615	-0.2626	-1.398	-1.347	0.1545	0.2312	903.3	-410.6	106.9	0.2634	-0.2623	0.3521	-1.392	-0.1577	-0.1401
0.08	0	956.6	297.8	-83.49	1.049	-0.4377	0.08827	-0.8403	-0.8169	-0.7222	983.9	-163.6	-91.31	0.3499	0	-0.1757	-0.7847	0.8525	0.6719	841.3	364.7	-389.6	0.1761	0	-0.08932	-1.346	0.1533	0.23	905.3	-407.2	111.3	-0.4369	-0.5246	-0.176	-1.395	-0.1562	-0.1523
0.09	0	950.7	293.9	-84.97	0.2608	0.08716	0.6999	-0.8394	-0.8169	-0.7195	981	-165	-106	-0.2614	0.08777	0.2603	-0.7822	0.8525	0.6731	845.2	366.7	-393.6	-0.2615	-0.3501	0.1734	-1.344	0.1558	0.2261	903.8	-410.1	116.2	-0.7004	0	0.08551	-1.392	-0.1562	-0.1455
0.10	0	956.1	301.8	-89.84	0.5247	0.3505	0.2648	-0.8384	-0.8169	-0.7168	981.4	-163.6	-99.61	0.3499	0.2616	0	-0.7798	0.8525	0.6743	840.8	366.2	-382.8	-0.08805	-0.7877	0.4361	-1.341	0.1582	0.2222	901.9	-413.1	109.4	-0.4369	-0.3506	-0.5231	-1.39	-0.1562	-0.1387
0.11	0	953.6	298.3	-87.9	0.2608	0	1.047	-0.8381	-0.8169	-0.7234	981.4	-169.4	-94.72	0.6113	-0.1755	-0.1757	-0.7822	0.8491	0.6758	848.1	366.2	-389.6	-0.7871	-0.7002	0.6094	-1.343	0.1558	0.2261	906.2	-408.7	102.5	-1.137	0.2623	-0.5231	-1.39	-0.1526	-0.1291
0.12	0	955.1	301.8	-85.94	1.049	-0.4377	0	-0.8379	-0.8169	-0.73	978	-168	-96.18	-0.3499	-0.3494	-0.3514	-0.7847	0.8457	0.6772	842.8	363.3	-390.6	-0.611	-0.175	0.2627	-1.344	0.1533	0.23	901.9	-414.1	100.1	-0.3502	0.174	-0.6136	-1.39	-0.1489	-0.1196
0.13	0	948.2	293	-91.8	0.08592	0	0.9647	-0.8391	-0.8193	-0.7261	980	-170.9	-94.72	-0.9612	-0.1755	-0.436	-0.781	0.8491	0.6758	854	367.7	-390.6	-0.8752	-0.5251	0.6988	-1.344	0.1533	0.2273	908.2	-405.3	103	-1.137	0	-0.8752	-1.388	-0.1514	-0.1279
0.14	0	948.2	293	-90.83	-0.2608	0	0.5233	-0.8403	-0.8218	-0.7222	979	-171.9	-99.12	-0.6998	-0.6127	-0.5271	-0.7773	0.8525	0.6743	840.8	360.3	-391.6	-0.4376	0.3501	0.6094	-1.344	0.1533	0.2246	907.7	-405.3	102.5	-0.5237	0	0	-1.387	-0.1538	-0.1362
0.15	0	949.7	294.9	-80.08	-0.6996	-0.3505	1.576	-0.8369	-0.8169	-0.7195	981	-164	-94.72	-1.486	-0.1755	-0.7875	-0.7786	0.8513	0.6758	846.7	364.3	-386.2	-0.1761	-0.7877	-0.08932	-1.342	0.1558	0.2297	907.2	-405.3	103.5	-0.7004	-0.4362	-0.2615	-1.391	-0.1538	-0.1389
0.16	0	948.7	294.9	-80.08	-0.4357	0.1743	1.488	-0.8335	-0.812	-0.7168	983.4	-160.7	-93.26	-1.486	-0.2616	-0.6964	-0.7798	0.8501	0.6772	849.1	361.8	-391.6	-0.3495	-0.175	0.5254	-1.339	0.1582	0.2349	909.2	-403.8	103	-0.7871	0.08832	-0.4376	-1.395	-0.1538	-0.1416
0.17	0	957	298.8	-83.49	-1.835	0.08716	1.223	-0.8347	-0.8132	-0.7207	981	-165	-103.5	-0.9612	0.4371	-1.048	-0.781	0.8489	0.6746	849.1	357.4	-385.7	0	0	0.4361	-1.342	0.1533	0.2349	910.7	-404.8	99.62	0	1.137	-0.6136	-1.393	-0.1553	-0.1404
0.18	0	958.5	301.3	-90.32	-0.3498	-0.4377	1.747	-0.8359	-0.8145	-0.7246	980.5	-161.1	-96.68	-1.225	0.08777	-0.2603	-0.7822	0.8477	0.6719	852.1	365.2	-384.3	-0.8752	0.08752	0.1734	-1.344	0.1484	0.2349	912.6	-407.7	109.9	-0.7004	0.9608	-0.4376	-1.392	-0.1568	-0.1392
0.19	0	952.1	293.5	-85.94	-0.6106	0.3505	2.446	-0.8384	-0.812	-0.7234	985.4	-159.7	-101.6	-1.225	0	-1.315	-0.7812	0.8513	0.6758	849.1	361.8	-385.3	-0.4376	-0.4376	0.2627	-1.344	0.1521	0.2312	907.7	-408.7	101.6	0	0	0.2615	-1.39	-0.1565	-0.1389
0.20	0	952.6	288.1	-93.25	-1.224	-0.3505	2.623	-0.8408	-0.8096	-0.7222	985.8	-162.6	-93.26	-1.225	-0.08777	-1.223	-0.7803	0.855	0.6797	849.6	364.3	-394.5	-0.8752	-1.136	0.6988	-1.344	0.1558	0.2275	903.8	-411.1	110.8	-0.08674	0.08832	0.08551	-1.387	-0.1562	-0.1387
0.21	0	953.1	292	-88.38	-0.9604	0	2.011	-0.8418	-0.812	-0.7261	985.8	-161.1	-100.1	-1.575	-0.4371	-0.9632	-0.7812	0.8525	0.6797	843.7	360.8	-394.5	-0.4376	-0.3501	0.352	-1.344	0.157	0.2288	905.3	-406.7	102.1	-0.6136	-0.174	-0.2615	-1.388	-0.155	-0.1387
0.22	0	950.7	286.1	-90.83	-1.31	0.08716	2.1	-0.8428	-0.8145	-0.73	982.4	-159.7	-95.7	-0.7863	0.5249	-0.3514	-0.7822	0.8501	0.6797	843.2	359.9	-388.7	-1.574	-0.4376	0.6988	-1.344	0.1582	0.23	910.7	-401.9	110.4	-0.9606	0.8751	0	-1.39	-0.1538	-0.1387
0.23	0	952.1	284.7	-84.47	0.1749	0.4377	1.047	-0.844	-0.812	-0.7234	981.4	-160.7	-100.1	-1.05	0.08777	-1.223	-0.7786	0.8503	0.6838	846.7	352.1	-384.8	-0.1761	-0.3501	0.352	-1.343	0.1558	0.2324	912.1	-407.7	105.9	-0.1735	0.4362	-0.176	-1.39	-0.1553	-0.1318
0.24	0	953.6	287.1	-88.38	-0.6106	0.1743	1.658	-0.8452	-0.8096	-0.7168	981.9	-156.7	-95.7	-0.5249	-0.6127	-0.5271	-0.7749	0.8506	0.688	854.5	362.8	-391.1	0	-0.5251	0.352	-1.342	0.1533	0.2349	913.1	-413.1	94.24	0.6136	0.6985	0	-1.39	-0.1568	-0.125
0.25	0	956.6	286.6	-78.61	-0.4357	-0.1743	1.223	-0.8406	-0.8096	-0.7183	984.9	-158.7	-111.3	-0.2614	0.1755	-0.6964	-0.7798	0.8491	0.6785	851.6	365.2	-393.1	0.08805	-0.7877	0.5254	-1.343	0.1558	0.2324	906.7	-410.6	105	0.7871	0.8751	0.6991	-1.388	-0.1577	-0.1291
0.26	0	953.6	286.6	-92.28	-0.6996	0.3505	0.4351	-0.8359	-0.8096	-0.7197	979	-164.5	-101.1	-0.7863	-0.3494	-0.8721	-0.7847	0.8477	0.6689	851	370.6	-387.2	0.3495	-0.9627	0.8721	-1.344	0.1582	0.23	914.1	-409.2	107.4	0.6136	0.7868	-0.5231	-1.387	-0.1587	-0.1333
0.27	0	954.6	287.1	-86.42	-0.2608	0.2615	0.4351	-0.8381	-0.8108	-0.7222	984.9	-154.8	-104	-0.7863	-0.5249	-0.3514	-0.7822	0.8479	0.6772	844.7	368.6	-398.9	0.611	-1.311	0.6988	-1.343	0.157	0.2327	902.4	-413.1	108.4	0	1.137	0.08551	-1.39	-0.1577	-0.1348
0.28	0	958	287.6	-94.73	0.3498	0.08716	0.8764	-0.8403	-0.812	-0.7246	981	-156.7	-96.18	-0.6998	-0.9621	-0.0846	-0.7798	0.8481	0.6855	842.8	372.5	-397	0.3495	-0.7877	0.7881	-1.341	0.1558	0.2354	900.4	-414.1	110.4	0.08674	1.574	-0.3521	-1.392	-0.1568	-0.1362
0.29	0	956.6	283.2	-84.97	0.1749	0.5248	0.5233	-0.8391	-0.812	-0.7246	990.2	-151.4	-100.1	-0.4363	-0.4371	-0.2603	-0.7773	0.8506	0.6799	844.2	370.6	-392.1	-0.5257	-0.2626	1.923	-1.344	0.1545	0.2354	902.9	-411.6	111.8	-0.08674	2.272	-1.051	-1.388	-0.1589	-0.1389
0.30	0	955.6	283.7	-85.45	0	0.5248	-0.3468	-0.8379	-0.812	-0.7246	979	-160.2	-98.14	-0.2614	-1.399	0.5271	-0.7749	0.853	0.6743	842.3	368.2	-393.1	-0.7871	-0.6126	1.313	-1.346	0.1533	0.2354	906.2	-407.7	110.8	-1.051	0.6129	-0.6991	-1.385	-0.1611	-0.1416
0.31	0	956.1	284.7	-83.01	0.2608	0	-0.2648	-0.8413	-0.8132	-0.7234	984.9	-153.3	-106	0	-0.3494	0.3514	-0.7786	0.8494	0.6799	843.2	366.7	-393.6	-1.049	-0.6126	2.186	-1.344	0.1558	0.2312	910.7	-410.1	108.4	-0.4369	1.049	-1.313	-1.387	-0.1626	-0.1404
0.32	0	952.6	288.1	-93.76	-0.6106	1.398	0.1765	-0.8447	-0.8145	-0.7222	985.4	-161.6	-97.16	0	-1.399	1.139	-0.7822	0.8457	0.6855	848.7	369.6	-393.1	-0.08805	-1.136	1.75	-1.342	0.1582	0.227	903.8	-410.6	102.5	-0.3502	0.5246	-0.8752	-1.39	-0.1641	-0.1392
0.33	0	953.6	286.6	-91.31	-0.1749	1.662	-0.08827	-0.8425	-0.8145	-0.7249	981.4	-160.2	-106.9	-0.2614	-1.224	1.835	-0.7822	0.8457	0.6868	848.7	364.3	-393.1	-0.4376	-0.9627	2.538	-1.345	0.1582	0.2339	904.3	-413.1	108.9	0.1735	0.2623	-2.097	-1.39	-0.1614	-0.1404
0.34	0	953.6	290.5	-83.98	-0.1749	0	0.6999	-0.8403	-0.8145	-0.7275	981.4	-163.1	-99.12	-0.3499	-1.05	0.8721	-0.7822	0.8457	0.688	841.8	362.3	-387.2	-0.1761	-0.4376	1.398	-1.349	0.1582	0.2407	905.3	-408.7	112.3	-0.1735	0.6129	-2.188	-1.39	-0.1587	-0.1416
