MR32 ASCII
Name	static
Frequency	100
Date	12-03-2018 11:38:14
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	992.7	19.53	-110.8	0.4372	0.4372	0	-1.333	-0.5332	-0.751	990.7	113.3	-98.15	1.049	-0.8743	0	-1.478	0.3359	0.6235	939.5	236.8	-240.2	-0.4371	-0.08744	0.7869	-0.8408	0.2583	-0.1157	958	-285.2	-57.13	-0.4371	-0.08743	-0.612	-0.9458	-0.1904	0.2353
0.01	0	987.8	13.67	-125	-0.2623	0.6121	0.9618	-1.334	-0.5332	-0.7522	987.8	107.4	-95.21	-0.4372	0.4371	-0.08745	-1.477	0.3337	0.6277	939.5	234.9	-236.3	-0.3498	-0.5246	0.612	-0.8433	0.2581	-0.1169	958.5	-292	-51.27	0.2623	-0.08743	-0.3497	-0.9495	-0.1907	0.2422
0.02	0	990.7	13.67	-108.4	0.612	0.3497	-0.1749	-1.335	-0.5332	-0.7534	987.8	110.8	-100.6	0.3497	0.3497	0.3497	-1.476	0.3315	0.6318	939.9	237.8	-240.7	-0.1748	-0.1749	0	-0.8457	0.2578	-0.1182	955.6	-284.7	-58.1	-0.08745	0	-0.2623	-0.9531	-0.1909	0.249
0.03	0	993.7	15.14	-118.2	0.08741	0.5246	0.3497	-1.335	-0.5354	-0.7534	988.8	108.4	-101.1	-0.1749	0.08741	0.4372	-1.478	0.3315	0.6306	941.9	236.8	-234.9	0.2623	-0.9618	-0.2623	-0.8433	0.2581	-0.1169	955.1	-290	-64.45	-0.08745	0	-0.3497	-0.9519	-0.1919	0.2407
0.04	0	992.7	18.07	-116.2	-0.9618	-0.1749	-0.1749	-1.335	-0.5376	-0.7534	990.7	108.4	-96.68	0.08741	-0.08741	-0.2623	-1.48	0.3315	0.6294	939	234.4	-239.7	-0.2623	-0.5246	0.3497	-0.8408	0.2583	-0.1157	960	-284.2	-56.15	-0.612	0	-0.1749	-0.9507	-0.1929	0.2324
0.05	0	993.7	14.16	-114.7	0.3497	0.08744	0.5246	-1.333	-0.533	-0.7546	991.7	113.8	-92.28	0	0.08741	1.224	-1.478	0.3328	0.6292	943.8	236.3	-241.7	0	-0.2623	0	-0.842	0.2593	-0.1157	960.4	-285.2	-60.55	0	0.612	-0.08741	-0.9495	-0.1868	0.2407
0.06	0	999	18.55	-116.7	-0.2623	0.08744	0.2623	-1.331	-0.5283	-0.7558	989.3	107.4	-103	-0.2623	-0.2623	0.4372	-1.476	0.334	0.6289	943.8	240.7	-239.3	0.3498	-0.4371	-0.3497	-0.8433	0.2603	-0.1157	960	-288.1	-54.69	0.3498	0.1749	-0.3497	-0.9482	-0.1807	0.249
0.07	0	998.5	13.67	-122.6	0.2623	-0.4372	0.612	-1.331	-0.5317	-0.7534	994.1	109.4	-101.6	0	0.3497	-0.08745	-1.476	0.3328	0.6262	936	237.3	-246.6	0.5246	-0.3498	-0.3497	-0.8433	0.2593	-0.1169	957.5	-284.2	-51.27	0.8743	0	0.5246	-0.947	-0.1819	0.249
0.08	0	993.7	13.67	-114.3	0.3497	-0.1749	0	-1.331	-0.5352	-0.751	986.8	112.3	-99.61	-0.4372	0.6994	-0.6995	-1.476	0.3315	0.6235	936	240.7	-245.6	0.08745	0.1749	0	-0.8433	0.2583	-0.1182	955.1	-288.6	-50.78	-0.2623	-0.2623	-0.2623	-0.9458	-0.1831	0.249
0.09	0	995.6	13.67	-122.1	-0.1749	-0.6121	0.9618	-1.331	-0.533	-0.7495	992.7	112.3	-99.12	-0.612	-0.1749	0.08745	-1.473	0.3303	0.6277	943.8	244.1	-238.8	0	0	-0.4372	-0.8467	0.2581	-0.1221	958.5	-284.7	-46.39	0.2623	0.5246	-0.1749	-0.9458	-0.187	0.2517
0.10	0	995.6	10.74	-115.2	0.1749	0.3497	0.2623	-1.331	-0.5308	-0.748	992.7	116.7	-93.75	0.2623	-0.5246	-0.2623	-1.471	0.3291	0.6318	942.4	247.1	-246.6	-0.08745	-0.2623	0.08741	-0.8501	0.2578	-0.126	961.4	-286.1	-60.06	0	0	-0.1749	-0.9458	-0.1909	0.2544
0.11	0	989.8	8.789	-122.1	0.612	0.3497	0.9618	-1.33	-0.5283	-0.7495	990.2	112.8	-98.15	0.08741	-0.3497	-0.4372	-1.473	0.3291	0.6304	942.4	245.6	-233.9	-0.08745	-0.2623	-0.4372	-0.8467	0.259	-0.1221	954.6	-292	-54.69	0.3498	-0.612	-0.1749	-0.9482	-0.1858	0.2476
0.12	0	999	12.21	-127	0.9618	-0.1749	0.5246	-1.329	-0.5259	-0.751	992.2	112.3	-100.1	0.8743	-0.1749	-0.2623	-1.476	0.3291	0.6289	947.3	252	-238.3	-0.3498	0.2623	-0.4372	-0.8433	0.2603	-0.1182	957	-287.6	-53.71	-0.08745	-0.3497	-0.612	-0.9507	-0.1807	0.2407
0.13	0	993.2	8.301	-112.8	0.5246	0.6995	0.1749	-1.329	-0.5283	-0.7522	990.2	112.8	-91.8	0.1749	0	0.08745	-1.474	0.334	0.6274	940.4	240.2	-244.1	0	0.612	0.1749	-0.842	0.2593	-0.1182	957	-287.1	-54.2	0	0.08743	0.4372	-0.9495	-0.1846	0.2488
