MR32 ASCII
Name	Trial_2
Frequency	100
Date	12-03-2018 14:56:18
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	994.2	77.62	-104	1.049	0.3507	-0.6097	-0.9106	-0.9643	-0.1939	981.9	-75.2	-213.4	0.5261	-1.573	0	-0.8086	0.9238	0.3569	938	257.3	-244.6	-0.7012	-1.05	0	-1.044	0.4101	0.291	963.4	-272.5	-40.53	1.31	0.1751	0.4366	-1.166	-0.5278	-0.01318
0.01	0	993.7	69.82	-107.4	0.8726	0.2612	-0.786	-0.9085	-0.9678	-0.1833	974.6	-85.43	-215.3	1.047	-1.136	0.4406	-0.8074	0.9253	0.3662	937.5	257.3	-239.7	-0.1744	-1.487	-0.08406	-1.043	0.4124	0.2883	959.9	-272.9	-44.43	0.3494	-0.4376	0.08397	-1.169	-0.5327	-0.02417
0.02	0	996.1	80.53	-99.6	1.922	0.6119	-1.748	-0.9062	-0.9712	-0.1728	977.6	-73.73	-224.1	0.7868	-1.05	1.489	-0.8061	0.9268	0.3755	931.6	258.8	-233.4	0.1744	-0.2609	0.3515	-1.042	0.4145	0.2856	953.6	-276.4	-36.63	0.3494	0.1751	0.2603	-1.173	-0.5376	-0.03516
0.03	0	992.2	78.62	-90.34	0.8726	0	-0.786	-0.9062	-0.97	-0.1794	975.6	-74.22	-225.1	0.9606	-0.7866	1.747	-0.8061	0.9265	0.3674	940.4	264.7	-226.6	0	-0.3489	0.08406	-1.044	0.4136	0.2883	961.4	-265.6	-46.88	1.398	-0.6127	-0.7893	-1.171	-0.5339	-0.03223
0.04	0	988.8	78.62	-91.32	0.3481	-0.1753	-2.189	-0.9062	-0.9687	-0.186	976.5	-74.71	-220.2	0.9606	-0.1745	1.048	-0.8061	0.9263	0.3594	934.1	264.1	-234.9	0.1744	0	0.2598	-1.046	0.4126	0.291	965.3	-262.7	-43.94	1.048	-0.1751	-0.697	-1.17	-0.5303	-0.0293
0.05	0	988.3	73.26	-98.15	0	-0.8731	-2.622	-0.9085	-0.97	-0.1821	978	-79.12	-212.9	0.5261	-0.08863	2.537	-0.8037	0.9253	0.3633	943.8	266.1	-227.5	-0.1744	-0.08801	0.8712	-1.046	0.4101	0.2871	966.8	-271.5	-34.67	0.3494	-0.6127	-0.7893	-1.169	-0.5327	-0.02953
0.06	0	990.7	79.61	-110.4	0.08583	-0.7872	-2.887	-0.9106	-0.9712	-0.1782	975.1	-83.47	-212.9	0.9606	0.08863	2.712	-0.8013	0.9243	0.3672	938.9	260.2	-235.8	-0.5232	-0.7009	0.8712	-1.046	0.4077	0.2832	965.3	-264.6	-53.22	0.9608	-0.2626	-0.9657	-1.168	-0.5351	-0.02979
0.07	0	993.2	84.96	-106	-0.2623	-1.048	-2.534	-0.9085	-0.9687	-0.1704	978.5	-83.96	-214.9	0.5261	0.5235	3.411	-0.8039	0.9253	0.3728	931.1	248.5	-231.4	1.05	-0.6129	0.7031	-1.044	0.4101	0.2871	952.6	-277.3	-43.45	0.3494	-0.1751	-1.486	-1.167	-0.5351	-0.03101
0.08	0	993.2	82.06	-106.4	-0.08583	-0.6977	-3.063	-0.9062	-0.9663	-0.1626	977.6	-86.9	-214.9	0.3475	0.7007	3.236	-0.8066	0.9263	0.3784	931.6	253.4	-243.2	1.837	-1.05	1.483	-1.042	0.4126	0.291	962.4	-270.5	-45.9	0.6988	0	-2.452	-1.165	-0.5351	-0.03223
0.09	0	995.6	82.52	-108.4	-0.3481	-0.8731	-3.144	-0.905	-0.9687	-0.1692	982.4	-88.37	-217.8	0.4393	0.9611	3.145	-0.8039	0.9253	0.3716	935.1	254.4	-235.8	2.798	-0.9618	1.047	-1.043	0.4138	0.2883	957	-266.6	-36.63	0.6114	0.5252	-1.486	-1.165	-0.5351	-0.02953
