MR32 ASCII
Name	static
Frequency	100
Date	12-03-2018 14:54:48
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	993.7	97.17	19.53	0.8743	-0.08741	0.3497	-0.8696	-1.047	-0.542	948.7	-105	-313	0.4372	-0.6995	-0.1749	-0.9775	0.9839	0.8242	988.3	104.5	-112.8	0	-0.1749	-0.08741	-0.7466	0.4131	0.05371	966.8	-156.2	-214.8	1.049	-0.1749	0.6121	-1.037	-0.3003	0.3355
0.01	0	999	102	25.39	0.1749	0.2623	0	-0.8709	-1.047	-0.5342	954.6	-97.66	-306.2	-0.2623	-0.1749	0.1749	-0.9788	0.9863	0.823	987.8	99.12	-127.4	0.08745	0.6995	-0.612	-0.7441	0.4131	0.05884	962.4	-160.6	-210	-0.3497	-0.1749	0.7869	-1.036	-0.3003	0.3381
0.02	0	993.7	101.1	18.07	-0.4371	-0.08741	0.1749	-0.8721	-1.047	-0.5264	951.7	-92.77	-309.6	-0.9618	-0.08741	0.08741	-0.98	0.9888	0.8218	983.9	95.7	-125	-0.4371	-0.08741	-0.5246	-0.7417	0.4131	0.06397	964.8	-153.8	-215.8	0.08741	-0.4372	0.1748	-1.035	-0.3003	0.3408
0.03	0	997.1	96.68	12.21	0	0	0.612	-0.8733	-1.05	-0.521	953.1	-100.1	-308.6	0.1749	0.5246	-0.1749	-0.9788	0.9863	0.8218	985.8	96.19	-135.7	-0.08745	-0.1749	-0.8743	-0.7429	0.4165	0.05884	963.9	-160.6	-221.7	-0.3497	-0.08743	-0.2623	-1.032	-0.3015	0.3435
0.04	0	998.5	100.6	18.07	-0.2623	0.08741	0	-0.8745	-1.052	-0.5156	949.2	-97.17	-303.2	0.2623	0	-0.08741	-0.9775	0.9839	0.8218	986.3	98.14	-135.3	0.1749	0.1749	0.08741	-0.7441	0.4199	0.05371	970.7	-151.9	-211.9	-0.1749	-0.6995	0.1748	-1.03	-0.3027	0.3462
0.05	0	995.1	98.63	10.74	-0.2623	0	-0.08741	-0.8757	-1.049	-0.5181	946.8	-102.1	-311	0.2623	0	-0.2623	-0.9788	0.9839	0.8245	988.3	99.12	-128.9	0.1749	0.3497	-0.1749	-0.7441	0.4177	0.05884	970.2	-158.2	-215.3	0.8743	-0.4372	-0.1748	-1.034	-0.3027	0.3423
0.06	0	995.6	100.1	14.16	-0.1749	0.4372	0.5246	-0.877	-1.045	-0.5205	944.8	-98.63	-304.2	0.3497	0	-0.1749	-0.98	0.9839	0.8271	991.2	98.14	-121.6	-0.4371	0.612	-0.4372	-0.7441	0.4155	0.06397	963.9	-160.6	-222.2	0.5246	0.08743	0.7869	-1.037	-0.3027	0.3384
0.07	0	989.8	101.6	12.21	0.612	0.3497	0.1749	-0.8779	-1.046	-0.522	943.3	-102.5	-307.6	-0.08741	0.1749	0.4372	-0.9773	0.9802	0.8081	983.4	102.5	-120.6	0.5245	0	-0.612	-0.7407	0.4131	0.06128	958.5	-161.1	-220.2	-0.1749	-1.311	0	-1.033	-0.304	0.3369
0.08	0	991.2	100.6	26.37	0.612	-0.1749	-0.4371	-0.8789	-1.047	-0.5234	945.3	-96.19	-306.2	0.8743	0.08741	-0.612	-0.9746	0.9766	0.7891	986.3	100.6	-127	-0.4371	0	-0.3497	-0.7373	0.4106	0.05859	962.4	-161.1	-226.1	0.4372	0.08743	0.7869	-1.03	-0.3052	0.3355
0.09	0	997.5	103	7.813	-0.6995	0.5246	0.2623	-0.8733	-1.046	-0.53	947.7	-106	-306.2	-0.612	-0.08741	0.7869	-0.9761	0.9778	0.804	987.3	95.7	-123	0.8743	0.08741	-0.3497	-0.7432	0.4094	0.06128	960	-167	-221.7	0.7869	-0.5246	0	-1.032	-0.3003	0.3408
