MR32 ASCII
Name	static_2
Frequency	100
Date	12-03-2018 15:05:30
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	997.1	48.83	-67.38	-0.5246	-0.1749	0.7869	-1.232	-0.8848	-0.4033	970.7	-48.34	-240.2	0	-0.08741	-0.612	-1.3	0.7612	0.5713	967.8	189	-188	0.612	-0.3497	0	-0.8613	0.3345	0.0127	971.7	-213.4	-126.5	0.8743	0.2623	0	-1.062	-0.2168	0.3452
0.01	0	995.1	44.43	-65.92	0.3497	-0.08741	0.2623	-1.231	-0.8823	-0.3874	971.2	-47.85	-246.6	-0.6995	0	0	-1.3	0.7576	0.5713	962.9	184.1	-193.4	-0.2623	0.4372	0.5246	-0.8611	0.3381	0.007324	972.2	-210	-125	-0.1749	-0.1749	-0.4372	-1.059	-0.2192	0.3411
0.02	0	1000	48.34	-70.8	-0.5246	-0.2623	1.049	-1.23	-0.8799	-0.3716	974.6	-47.85	-247.1	-0.4371	-0.1749	0	-1.299	0.7539	0.5713	967.8	188	-194.8	-0.4372	0	0.5246	-0.8608	0.3418	0.001954	972.7	-211.4	-124.5	-0.4372	-0.08741	0.08741	-1.055	-0.2217	0.3369
0.03	0	994.6	49.8	-65.43	-0.3497	-0.2623	0.3497	-1.23	-0.8836	-0.3757	966.3	-51.27	-238.3	0	-0.2623	-0.4371	-1.301	0.7527	0.5742	961.4	176.8	-190.9	-0.1749	-0.3497	0.4372	-0.862	0.344	9.768e-4	965.8	-214.4	-124	-0.8743	-0.2623	0	-1.055	-0.2229	0.3396
0.04	0	998.5	47.85	-62.01	0.1749	0.2623	0.8743	-1.23	-0.8872	-0.3799	967.8	-49.81	-245.1	-0.08741	-0.2623	0	-1.302	0.7515	0.5771	970.2	186	-180.7	-0.08743	0.3497	0	-0.8633	0.3462	0	968.2	-215.3	-123	-0.3497	-0.08741	-0.4372	-1.055	-0.2241	0.3423
0.05	0	1003	48.34	-71.78	-0.7869	0.2623	0.08746	-1.227	-0.8848	-0.3733	966.8	-53.22	-250.5	-0.8744	0.1749	-0.2623	-1.304	0.7539	0.5745	967.3	178.2	-195.8	-0.1749	0	0	-0.862	0.344	0.002441	973.1	-213.4	-122.6	-0.4372	0	-0.08741	-1.056	-0.2205	0.3438
0.06	0	991.7	41.02	-64.94	0.08745	0	0.7869	-1.223	-0.8823	-0.3667	969.2	-50.29	-240.7	0.1749	0.08741	0	-1.307	0.7563	0.5718	968.7	181.2	-194.3	-0.1749	0.1749	0.612	-0.8608	0.3418	0.004883	968.8	-212.4	-124	-0.08741	-0.612	0.08741	-1.058	-0.2168	0.3452
0.07	0	1000	48.83	-78.12	0.08745	-0.612	0.612	-1.225	-0.8811	-0.3799	973.1	-45.9	-244.6	-0.3497	-0.4371	0	-1.303	0.7637	0.5703	963.9	180.2	-193.4	-0.08743	-0.5246	0	-0.8643	0.3428	-0.01074	965.3	-215.8	-123	0.7869	0	0	-1.055	-0.2178	0.3423
0.08	0	1001	43.94	-62.01	0.3497	-0.08741	0	-1.228	-0.8799	-0.3931	966.3	-54.69	-238.8	0.1749	0	0.3497	-1.299	0.771	0.5688	967.3	183.1	-197.3	0.08743	0	-0.1749	-0.8677	0.3437	-0.02637	968.8	-214.4	-129.4	-0.08741	-0.612	0.08741	-1.053	-0.2188	0.3394
0.09	0	994.1	40.04	-72.75	-0.612	1.137	0.3497	-1.228	-0.8787	-0.3838	971.7	-47.36	-239.7	-1.049	0.08741	-0.7869	-1.302	0.7649	0.573	968.3	179.7	-193.4	-0.8743	0.3497	-0.1749	-0.8667	0.3403	-0.01196	971.2	-208	-123.5	-1.049	-0.2623	-0.4372	-1.056	-0.2227	0.3381
