MR32 ASCII
Name	Trial_3
Frequency	100
Date	19-03-2018 15:18:09
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	948.2	271.5	-167	-0.1762	-2.973	-0.2625	-0.8633	-0.9106	-0.5854	895	-355.9	-285.2	-0.4386	0.6129	-0.6113	-0.5083	1.143	0.5254	967.3	222.1	-134.8	0.1736	0.2615	0.4391	-1.297	0.2559	0.104	937.5	-268.1	-221.2	-0.9597	-0.6127	-0.7903	-1.537	-0.1499	-0.04199
0.01	0	944.4	273.9	-189.5	-0.4371	-2.447	-0.44	-0.8657	-0.9143	-0.5813	890.6	-355	-281.7	0	1.574	0	-0.5105	1.14	0.5256	964.4	217.3	-137.7	-0.7881	0.7863	0.6148	-1.297	0.2571	0.1067	934.1	-267.1	-217.3	-0.08852	-1.75	-0.8735	-1.537	-0.1475	-0.02954
0.02	0	938.5	275.9	-175.3	0.4371	-2.711	-0.6098	-0.8682	-0.918	-0.5771	891.1	-356.9	-273.4	1.049	0.5241	-0.8764	-0.5127	1.138	0.5259	966.3	214.8	-141.6	-0.6989	0.7863	0.6148	-1.297	0.2583	0.1094	939.5	-264.2	-223.6	-0.8759	-1.137	-1.137	-1.537	-0.145	-0.01708
0.03	0	943.4	273	-170.4	0.4371	-2.274	-0.7025	-0.8667	-0.9167	-0.5986	890.1	-351.5	-274.9	0.7863	0.9611	-0.3461	-0.5139	1.138	0.5256	973.6	222.1	-130.9	-0.08913	0.3505	0.4391	-1.294	0.2561	0.1077	937	-263.2	-225.1	-0.7873	-1.75	-0.8735	-1.539	-0.1501	-0.02832
0.04	0	947.3	278.3	-173.3	0.5252	-2.185	-0.7025	-0.8652	-0.9155	-0.6201	898.9	-346.2	-288.6	1.313	0.787	-1.311	-0.5151	1.138	0.5254	967.8	222.6	-128.4	-0.08913	1.05	0.7026	-1.29	0.2539	0.106	938.5	-264.6	-223.6	-0.6988	-1.661	-0.7903	-1.542	-0.1553	-0.03955
0.05	0	957.5	284.2	-165	1.135	-2.361	-1.312	-0.8679	-0.9155	-0.5962	891.6	-351.1	-293.9	0.9617	0.787	-0.6996	-0.5115	1.136	0.5269	966.8	218.8	-139.2	-0.7881	0.612	0.8715	-1.288	0.2564	0.1062	935.1	-269.5	-221.2	-1.137	-1.137	0.1733	-1.54	-0.1565	-0.02563
0.06	0	947.3	271	-169.4	0.2608	-1.837	-0.5249	-0.8706	-0.9155	-0.5723	891.1	-350.1	-282.7	0.2631	0.9611	-0.1767	-0.5078	1.135	0.5283	961.9	220.2	-134.3	-0.4362	0.4377	0.527	-1.286	0.2588	0.1064	938	-271.5	-228	-0.6988	-1.137	-0.61	-1.539	-0.1577	-0.01171
0.07	0	948.2	273.9	-176.3	0.2608	-2.536	-0.7874	-0.8703	-0.9155	-0.5881	893.1	-352.1	-287.1	-0.6109	0.7	-0.6113	-0.509	1.138	0.5242	968.3	225.1	-128.9	0.08913	0.8734	0.6148	-1.29	0.2598	0.1077	939.5	-269.1	-223.6	-0.8759	-0.9622	-0.7002	-1.539	-0.155	-0.02417
0.08	0	940.9	268.5	-168.9	1.223	-2.536	-0.7025	-0.8701	-0.9155	-0.604	895	-349.6	-291	0.7863	0.9611	-0.4345	-0.5103	1.14	0.52	961.9	218.8	-135.7	-0.08913	0	0.8715	-1.295	0.2607	0.1089	938	-265.1	-222.7	-1.048	-1.486	-0.5268	-1.539	-0.1523	-0.03662
0.09	0	947.8	271	-173.3	0.4371	-2.185	-1.49	-0.8679	-0.9155	-0.5879	888.2	-358.9	-280.8	1.049	0.874	-0.3461	-0.5127	1.141	0.5161	966.3	218.3	-135.7	0.1736	0.612	1.399	-1.295	0.2607	0.1077	938.5	-263.2	-230.5	-0.7873	-1.223	-0.8735	-1.538	-0.1514	-0.02685
