MR32 ASCII
Name	static
Frequency	100
Date	19-03-2018 15:15:06
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	967.8	98.15	-257.3	-0.1749	1.399	-0.5246	-1.24	-0.6958	-0.707	941.4	-148.4	-306.6	0.3497	-0.7869	0.5246	-1.02	0.9419	0.8731	997.1	22.46	-97.66	0.2622	-0.612	0.7869	-1.242	0.5488	-0.03369	960	-60.55	-277.8	-0.3497	-0.08741	-0.6995	-1.463	-0.5469	0.1685
0.01	0	963.4	93.75	-256.8	0.2623	1.399	-0.1748	-1.243	-0.6936	-0.7017	941.9	-149.9	-308.1	0.4372	-0.7869	0.3497	-1.02	0.9407	0.8689	998.1	22.46	-104	0.08761	-0.08741	1.486	-1.241	0.5464	-0.03247	962.4	-59.08	-280.3	-0.1748	0.6994	-1.137	-1.462	-0.5457	0.1697
0.02	0	963.4	94.73	-255.9	0.08744	1.311	0.08745	-1.245	-0.6914	-0.6963	939.9	-151.9	-307.6	0.612	-0.7869	0	-1.02	0.9395	0.8647	988.8	10.25	-102	0.1746	-0.8744	1.224	-1.24	0.5439	-0.03125	957.5	-63.48	-273.4	0.4371	0.3498	-0.5246	-1.461	-0.5444	0.1709
0.03	0	961	95.22	-256.8	-0.2623	0.9618	0	-1.243	-0.6926	-0.699	935	-153.3	-295.4	-0.7869	-0.9618	0.5246	-1.02	0.9395	0.8731	995.6	22.46	-107.4	0.8742	-1.836	1.049	-1.239	0.5466	-0.03003	958.5	-64.94	-266.6	0.2623	0.08741	-0.6995	-1.461	-0.5481	0.1682
0.04	0	965.8	96.19	-251.9	0.4372	1.399	-0.3497	-1.24	-0.6939	-0.7017	939.5	-150.4	-305.2	-0.612	-1.224	0.3497	-1.02	0.9395	0.8814	995.1	21.48	-100.1	0.8742	-1.311	0.5246	-1.237	0.5493	-0.02881	965.8	-57.62	-277.3	0.7869	1.049	-1.137	-1.461	-0.5518	0.1655
0.05	0	966.8	97.66	-255.9	0.08744	1.224	0.08745	-1.245	-0.696	-0.699	945.3	-153.8	-309.6	0.8743	-0.9618	1.224	-1.021	0.9407	0.8772	993.6	18.56	-103.5	0.6996	-0.7868	1.224	-1.236	0.5478	-0.03272	965.8	-55.66	-277.3	-0.612	0.6994	-1.137	-1.461	-0.5505	0.1667
0.06	0	966.8	97.17	-248.5	0.4372	1.137	0	-1.25	-0.6982	-0.6963	934.6	-159.2	-309.6	0.1749	-0.7869	0.3497	-1.022	0.9419	0.8731	994.1	11.72	-97.17	0.9618	-1.399	1.137	-1.235	0.5464	-0.03662	959	-61.03	-270	0.08745	0.4372	-1.574	-1.461	-0.5493	0.168
0.07	0	959	90.82	-253.4	-0.4372	0.6995	0.6994	-1.248	-0.6948	-0.7083	950.2	-140.1	-309.1	-0.5246	-1.137	0.2623	-1.022	0.9382	0.8704	996.6	17.09	-104	0.5244	-1.924	1.486	-1.237	0.5476	-0.03809	961.9	-57.13	-263.2	0.5246	0.2624	-1.224	-1.461	-0.5505	0.1694
0.08	0	965.3	92.77	-256.8	0.2623	0.3497	-0.612	-1.247	-0.6914	-0.7202	939.9	-154.8	-312	0.1749	-0.5246	0.2623	-1.022	0.9346	0.8677	1000	18.07	-106.4	0.08761	-1.399	1.224	-1.24	0.5488	-0.03955	962.4	-57.13	-279.3	0.2623	0.2624	-1.137	-1.461	-0.5518	0.1709
0.09	0	967.8	96.68	-252.9	0	0.612	-0.4371	-1.246	-0.6902	-0.7083	941.9	-146.5	-316.9	0.2623	0	0.4372	-1.022	0.9382	0.8731	999.5	15.63	-108.4	0.4374	-0.612	1.137	-1.236	0.5478	-0.03418	969.2	-53.71	-272	0.3497	0	-0.8744	-1.46	-0.5493	0.1641
