MR32 ASCII
Name	Trial_19
Frequency	100
Date	19-03-2018 16:53:26
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	963.4	11.73	-263.7	0	-6.469	-2.883	-1.12	-0.6709	-0.3975	995.1	98.63	22.95	0.3481	6.995	2.889	-1.029	0.5537	0.5576	974.1	-17.58	-218.7	0.2634	5.771	1.487	-0.9346	0.6064	0.3935	990.2	-0.4936	-114.7	-0.4382	-5.07	-2.536	-0.9975	-0.6352	-0.3887
0.01	0	968.3	18.05	-268.1	-1.136	-6.033	-3.32	-1.117	-0.6687	-0.3972	997.6	99.6	14.16	0.6962	6.208	2.976	-1.026	0.5552	0.5613	985.3	-20.99	-217.3	-0.5243	6.558	2.096	-0.9346	0.6091	0.3918	994.1	7.809	-113.8	0	-4.984	-2.186	-1.002	-0.634	-0.386
0.02	0	961.4	22.95	-271	-0.9635	-6.557	-2.619	-1.115	-0.6665	-0.397	999.5	99.6	20.03	0.961	6.119	4.024	-1.024	0.5566	0.5649	982.9	-19.53	-216.8	-0.5243	6.995	2.886	-0.9346	0.6118	0.3901	990.7	6.346	-106.9	-1.136	-5.683	-2.971	-1.007	-0.6328	-0.3833
0.03	0	963.9	12.68	-262.2	-0.2581	-6.469	-3.237	-1.112	-0.6675	-0.396	993.6	88.37	4.402	1.052	6.119	3.674	-1.03	0.5586	0.5559	979	-32.23	-222.7	-0.1756	6.47	2.013	-0.9358	0.6091	0.3811	1001	10.26	-116.7	-0.6126	-5.858	-2.275	-1.002	-0.6355	-0.3833
0.04	0	975.6	38.08	-261.2	1.136	-7.257	-3.583	-1.108	-0.6685	-0.395	1005	67.4	16.6	0.4389	7.695	2.802	-1.036	0.5605	0.5469	980	-28.81	-218.3	-0.1756	6.907	2.183	-0.937	0.6064	0.3721	994.6	11.23	-110.3	-1.4	-6.558	-3.41	-0.9975	-0.6382	-0.3833
0.05	0	961	24.88	-260.3	0.6108	-7.081	-2.273	-1.109	-0.6672	-0.3945	997.1	86.93	9.762	-0.787	7.343	2.269	-1.034	0.5632	0.5532	974.1	-26.37	-217.8	-0.2634	6.558	1.838	-0.9358	0.6055	0.3772	991.7	17.08	-122.6	-2.01	-6.208	-2.798	-1.001	-0.6343	-0.3833
0.06	0	957.5	26.39	-271	0.2581	-7.87	-2.183	-1.11	-0.666	-0.394	994.1	82.02	29.79	-1.483	8.044	1.658	-1.032	0.5659	0.5596	972.7	-25.39	-215.8	0.2634	6.033	2.013	-0.9346	0.6045	0.3823	996.6	24.91	-128.4	-1.049	-6.033	-3.059	-1.005	-0.6304	-0.3833
0.07	0	953.6	23.94	-279.8	-0.6968	-7.607	-2.273	-1.113	-0.666	-0.3891	991.7	88.37	34.66	-0.787	7.695	2.444	-1.034	0.563	0.5437	977.6	-27.83	-206.5	-0.1756	5.946	2.622	-0.9343	0.6091	0.3665	983.9	9.766	-125.5	-0.9614	-5.509	-3.059	-1.001	-0.6331	-0.3791
0.08	0	965.3	21.02	-275.4	0	-6.907	-2.619	-1.115	-0.666	-0.3843	999.5	97.19	32.71	-1.748	6.995	2.269	-1.036	0.5601	0.5278	976.1	-30.75	-209	-0.4365	6.645	3.061	-0.9341	0.6138	0.3506	990.2	10.26	-126	-2.361	-5.509	-2.359	-0.9975	-0.6357	-0.375
0.09	0	961.9	13.67	-280.3	-1.05	-6.907	-1.573	-1.115	-0.6675	-0.3879	996.1	93.25	36.14	-2.709	5.596	3.5	-1.039	0.5615	0.5413	977.6	-23.93	-200.7	-0.1756	6.295	2.271	-0.9356	0.6128	0.3677	991.7	1.463	-138.7	-1.574	-5.945	-2.971	-0.9975	-0.6394	-0.3779
0.10	0	961.9	6.833	-271.5	-0.4387	-7.431	-2.364	-1.115	-0.669	-0.3916	995.6	92.78	29.3	-2.27	6.383	2.802	-1.041	0.563	0.5547	980.9	-26.85	-200.2	-0.0878	5.683	2.973	-0.937	0.6118	0.3848	997.1	16.11	-127.9	-0.8742	-4.196	-3.849	-0.9975	-0.6431	-0.3808
0.11	0	955.6	0	-271.5	-0.2581	-6.295	-2.801	-1.116	-0.6687	-0.3853	994.6	82.53	22.46	-0.961	7.432	3.151	-1.038	0.5654	0.5549	982.9	-24.41	-208.5	0.2634	5.596	2.535	-0.9346	0.6128	0.3704	997.6	12.2	-118.6	-1.748	-5.159	-3.41	-1	-0.6406	-0.3877
0.12	0	953.6	4.384	-270.5	1.832	-6.469	-3.756	-1.118	-0.6685	-0.3789	1001	85.45	25.87	1.665	7.258	3.064	-1.034	0.5679	0.5552	988.3	-16.12	-201.7	0.4365	5.333	3.237	-0.9321	0.6138	0.356	1001	6.346	-133.8	-1.4	-5.77	-3.41	-1.002	-0.6382	-0.3945
0.13	0	962.9	15.64	-291.5	2.099	-7.081	-3.847	-1.119	-0.6711	-0.3782	1003	75.66	29.3	2.27	8.83	1.833	-1.034	0.5657	0.5559	985.3	-10.74	-208	-0.4365	5.946	4.285	-0.9346	0.614	0.3716	993.2	6.346	-142.1	-1.487	-4.284	-4.545	-0.9975	-0.6394	-0.385
0.14	0	964.9	28.79	-288.1	3.931	-6.733	-3.937	-1.12	-0.6738	-0.3774	1002	85.45	35.15	3.322	8.745	1.92	-1.034	0.5635	0.5566	980.5	-16.6	-205.6	-1.749	6.295	4.894	-0.937	0.6143	0.3872	994.6	13.19	-127.9	-2.623	-4.721	-4.723	-0.9927	-0.6406	-0.3755
0.15	0	959.9	33.22	-280.3	3.845	-6.295	-3.32	-1.119	-0.6748	-0.386	1001	88.37	34.66	2.535	9.179	1.833	-1.033	0.5608	0.5518	976.1	-25.87	-217.8	-1.485	6.645	5.069	-0.9358	0.6152	0.3743	992.2	14.16	-128.9	-3.41	-4.284	-5.073	-0.9961	-0.6433	-0.3782
0.16	0	961.4	42.98	-277.8	1.66	-6.995	-2.446	-1.117	-0.6758	-0.3945	1001	98.16	44.93	0.8778	8.656	1.658	-1.031	0.5581	0.5469	976.1	-31.73	-200.2	-2.273	6.033	6.122	-0.9346	0.6162	0.3613	988.8	13.68	-133.3	-4.196	-3.76	-4.283	-0.9995	-0.646	-0.3808
