MR32 ASCII
Name	static
Frequency	100
Date	19-03-2018 15:56:15
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	983.9	-2.442	-198.7	-0.3497	-0.08741	0.1748	-1.198	-0.8169	-0.4663	988.8	138.7	-0.9764	0	0.3497	0.0874	-1.382	0.4429	0.5605	964.9	115.2	-214.4	-0.1748	-0.2623	0.3498	-1.073	0.2822	0.03955	995.6	-41.5	57.13	0.2623	-0.3497	-0.6994	-1.264	-0.3921	-0.2417
0.01	0	982.4	-2.442	-198.2	0	-0.5246	0.08742	-1.2	-0.8169	-0.4624	983.9	137.2	1.953	0	0.08745	0.7869	-1.386	0.4465	0.5757	978	121.1	-210	0	-0.2623	0.3498	-1.078	0.282	0.0437	991.7	-44.92	62.5	0	0.3497	0.1748	-1.265	-0.3984	-0.2417
0.02	0	978.5	-4.394	-198.2	0.3497	-0.1748	0.3497	-1.203	-0.8169	-0.4585	992.7	141.6	0	-0.3497	0.3497	0.0874	-1.39	0.4502	0.5908	964.3	115.7	-215.3	0.08747	-0.2623	-0.08748	-1.083	0.2817	0.04785	994.1	-40.53	61.52	-0.0874	0.08744	-0.9618	-1.267	-0.4048	-0.2417
0.03	0	983.9	-1.954	-195.8	-0.1749	0.08741	0.08742	-1.199	-0.8193	-0.4597	990.7	140.6	6.836	0	-0.612	0.0874	-1.388	0.4478	0.5772	971.7	116.2	-209.5	0.08747	-0.6994	0.2623	-1.079	0.2759	0.04248	994.6	-36.13	60.55	-0.0874	-0.3497	-0.5246	-1.265	-0.3997	-0.2405
0.04	0	978	-6.836	-196.3	0	-0.08741	0.5245	-1.195	-0.8218	-0.4609	993.6	146.5	2.93	-0.175	-0.1748	-0.2623	-1.387	0.4453	0.5635	973.1	121.6	-205.6	0	-0.6994	0.1748	-1.075	0.27	0.03711	999.5	-41.99	55.66	-0.0874	0.08744	-0.612	-1.264	-0.3945	-0.2393
0.05	0	987.8	0.9762	-193.8	-0.6995	-0.1748	0.6994	-1.198	-0.823	-0.4609	983.9	133.3	1.465	-0.175	0.1748	0.3497	-1.391	0.4478	0.5732	968.7	114.3	-210	-0.4372	-0.08744	0.08748	-1.077	0.2749	0.04248	996.1	-39.06	48.34	0.0874	0.2623	0.2623	-1.264	-0.3945	-0.2432
0.06	0	981.9	-5.37	-202.6	-0.4372	0	0	-1.2	-0.8242	-0.4609	987.3	142.1	0.4882	-0.6996	-0.1748	-0.0874	-1.395	0.4502	0.583	970.7	121.6	-210.9	-0.1748	-0.612	0	-1.078	0.2798	0.04785	994.1	-41.99	57.13	-0.1748	-0.08744	-0.4372	-1.264	-0.3945	-0.2471
0.07	0	980.5	-7.324	-199.2	0.4372	-0.6995	-0.2623	-1.197	-0.8218	-0.4624	992.2	146.5	0.9764	-0.6996	0.2623	0	-1.39	0.4468	0.5828	975.1	124.5	-207.5	-0.2623	-0.612	-0.1748	-1.078	0.281	0.04907	1000	-39.06	61.52	0.5245	-0.2623	-0.1748	-1.265	-0.397	-0.2541
0.08	0	981	-5.37	-196.8	-0.4372	0.08741	0.6119	-1.193	-0.8193	-0.4639	994.6	146	-5.859	0	-0.2623	-0.2623	-1.385	0.4434	0.5825	969.2	120.6	-202.1	-0.1748	-0.08744	0.08748	-1.078	0.2822	0.05029	994.1	-42.97	50.78	0	0	0	-1.267	-0.3994	-0.2612
0.09	0	980	-5.37	-196.8	-0.7869	0.4371	0.2623	-1.195	-0.8205	-0.4612	993.6	138.2	5.371	-1.399	0.7869	0.2623	-1.385	0.4482	0.5879	969.2	117.7	-209	-0.4372	0.1749	-0.3498	-1.079	0.2786	0.04492	1001	-37.11	56.64	-0.6121	-0.08744	-0.3498	-1.265	-0.3997	-0.2515
