MR32 ASCII
Name	static_2
Frequency	100
Date	19-03-2018 16:01:42
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	985.8	13.67	-155.3	-0.3498	-0.7869	-0.612	-1.076	-0.9004	-0.4658	993.2	125.5	-14.65	0.1748	0.2623	1.399	-1.319	0.5586	0.6133	970.7	130.4	-205.6	0.2623	-0.5246	0.3497	-1.046	0.2783	0.1421	992.7	-44.43	51.76	-0.612	0.5246	-0.7869	-1.263	-0.3271	-0.3662
0.01	0	983.9	6.347	-163.6	0	-0.3497	-0.6994	-1.075	-0.9004	-0.4644	990.2	123.5	-6.347	-0.7869	0.7869	0.5246	-1.32	0.5588	0.616	972.7	134.3	-221.2	0.2623	-0.08741	0.9618	-1.043	0.2783	0.1394	998.1	-50.78	68.36	-0.612	0	-0.7869	-1.26	-0.3259	-0.3633
0.02	0	985.4	11.72	-160.6	-0.3498	-0.08741	-1.049	-1.074	-0.9004	-0.4629	990.2	126	-17.58	0	0.3497	0.7869	-1.321	0.5591	0.6187	970.7	133.8	-210.5	-0.2623	-0.9617	1.311	-1.041	0.2783	0.1367	997.1	-48.34	57.13	0	0.1749	-0.6995	-1.258	-0.3247	-0.3603
0.03	0	986.8	10.25	-158.7	-0.8743	-0.612	-0.8743	-1.072	-0.9033	-0.4661	996.6	132.3	-6.347	0.4371	0.5246	0.9618	-1.317	0.5601	0.6008	970.2	129.9	-207	-0.2623	0	1.486	-1.04	0.2783	0.1421	997.1	-43.95	58.11	-0.08741	0.6995	-1.661	-1.261	-0.3262	-0.3603
0.04	0	986.8	12.69	-161.1	-0.3498	-1.137	-0.612	-1.071	-0.9063	-0.4692	989.3	123.5	-13.67	-0.08741	0.2623	1.574	-1.313	0.561	0.583	972.2	135.7	-220.2	0.3497	-0.08741	1.224	-1.039	0.2783	0.1475	995.6	-47.36	53.22	-0.7869	0.08745	-0.4372	-1.265	-0.3276	-0.3603
0.05	0	990.2	13.18	-166.5	-0.612	-0.3497	-0.6994	-1.074	-0.905	-0.4668	991.2	124	-2.442	0.8743	0.612	1.311	-1.316	0.5601	0.6008	970.7	126.5	-206.1	0.2623	0	1.399	-1.036	0.2771	0.1448	995.1	-43.46	53.22	-0.2623	0.3497	-0.7869	-1.264	-0.3276	-0.3633
0.06	0	988.3	12.69	-164.1	-0.8743	-0.4372	-1.311	-1.077	-0.9038	-0.4644	985.3	121.6	-9.277	-0.08741	0	1.049	-1.319	0.5591	0.6187	965.3	128.4	-210	-0.1749	0.08741	0.612	-1.034	0.2759	0.1421	995.1	-47.36	64.45	0	0	-1.224	-1.263	-0.3276	-0.3662
0.07	0	986.3	10.25	-164.1	-1.137	-0.5246	-0.8743	-1.077	-0.905	-0.4656	995.1	125.5	-10.25	0.6995	0.612	0.612	-1.319	0.5586	0.605	964.4	126.5	-212.9	0	-0.2623	1.574	-1.036	0.2771	0.1433	988.3	-52.25	54.69	-0.3497	0.2623	-1.049	-1.263	-0.3274	-0.3674
0.08	0	990.7	16.6	-158.2	-1.661	-0.2623	0.5246	-1.077	-0.9063	-0.4668	1000	127	-7.324	0.6121	-0.8743	1.924	-1.318	0.5581	0.5913	991.7	136.2	-202.1	0.08741	-0.4372	1.311	-1.039	0.2783	0.1445	993.2	-47.36	59.08	0.08741	0.8743	-0.8743	-1.263	-0.3271	-0.3687
0.09	0	985.4	15.14	-154.8	-2.973	-0.6995	-0.4371	-1.077	-0.9075	-0.471	993.2	124	-14.16	0.4371	0.3497	2.011	-1.319	0.561	0.6079	965.8	133.3	-216.3	0.1749	0.6994	1.399	-1.04	0.2795	0.1433	998.1	-49.8	57.62	-0.1749	0.08745	-1.486	-1.263	-0.3259	-0.3687
