MR32 ASCII
Name	Trial_2
Frequency	100
Date	26-03-2018 14:52:35
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	890.1	360.3	-271	-1.05	0.6995	-0.4358	-0.7246	-1.247	-0.2524	901.4	-430.2	42.97	-0.2625	-0.6989	-0.08393	-0.5484	1.238	0.2373	914.6	246	-311.5	-0.1756	-0.08766	0.8778	-1.122	0.273	0.3999	978.1	-189.5	-90.31	0	0.3475	-0.7895	-1.359	-0.311	-0.2422
0.01	0	897.5	364.2	-272.9	0.2614	0	0.6101	-0.7258	-1.244	-0.259	905.3	-433.6	45.9	-0.1737	0.08828	0.7029	-0.5484	1.238	0.2412	921.9	248.1	-314	0.08782	-0.6992	1.307	-1.12	0.2766	0.4053	976.5	-193.8	-102.5	-0.3496	0.5212	-0.6966	-1.363	-0.3096	-0.2529
0.02	0	895	359.4	-281.7	-0.3486	0.2625	-0.4358	-0.727	-1.242	-0.2656	905.3	-424.3	51.26	-0.7876	-0.1741	0	-0.5484	1.238	0.2451	915	246.5	-316.9	0.2635	-0.9622	0.1718	-1.119	0.2803	0.4107	979.5	-192.4	-99.14	0.08739	0.09065	-0.1765	-1.366	-0.3081	-0.2637
0.03	0	885.3	355.5	-270.5	-0.08715	0.437	-0.08716	-0.7258	-1.244	-0.2683	904.3	-432.6	48.33	0.0888	-0.08828	-0.08393	-0.5496	1.238	0.2412	924.8	253.9	-316.4	0.2635	-2.185	0.7824	-1.118	0.2803	0.4133	974.1	-188	-104.5	-0.9613	0.4381	-0.2601	-1.361	-0.3081	-0.2612
0.04	0	888.2	356.5	-261.2	0.08715	0	0.6973	-0.7246	-1.247	-0.271	896.5	-437.5	47.86	-0.3514	0	0.2623	-0.5508	1.237	0.2373	917.4	248.9	-319.3	0	-0.6116	0.6966	-1.117	0.2803	0.416	978.1	-190.9	-103.1	-0.1748	0.1737	-0.1765	-1.356	-0.3081	-0.2588
0.05	0	895	361.8	-271	-1.399	-0.088	0.8716	-0.7268	-1.245	-0.271	899.4	-435.5	38.58	-1.224	-0.3507	-0.08393	-0.5508	1.239	0.2439	921.9	248.1	-315	-0.1756	-0.7869	1.66	-1.12	0.2803	0.4121	975.6	-196.7	-96.18	-0.5243	0.6119	-0.966	-1.355	-0.3081	-0.26
0.06	0	886.3	352.1	-271	0	-0.349	-0.4358	-0.729	-1.244	-0.271	898	-430.7	42.48	-0.4363	-0.4365	-0.2623	-0.5508	1.24	0.2505	917	247.6	-319.8	0.4391	-0.6992	1.05	-1.124	0.2803	0.4082	978.1	-193.3	-103.5	-0.6117	0.1737	-0.353	-1.354	-0.3081	-0.2612
0.07	0	898.9	361.8	-269.5	-0.08715	-0.349	0	-0.7268	-1.245	-0.2695	901.4	-429.2	48.33	0.3514	0.3507	0.6085	-0.5496	1.24	0.249	920.9	250.5	-321.8	0.3513	-0.7869	0.353	-1.124	0.2803	0.4121	978.5	-191.9	-103.1	-0.1748	0	-1.133	-1.357	-0.3108	-0.2625
0.08	0	895	362.8	-271.5	0.1743	0.1745	-0.2615	-0.7246	-1.247	-0.2681	902.4	-431.1	42.48	0.0888	-1.05	0.5246	-0.5484	1.24	0.2476	918	247.6	-314	0.3513	-0.263	1.489	-1.124	0.2803	0.416	977	-193.3	-112.3	-0.2622	0.3475	-0.613	-1.36	-0.3135	-0.2637
0.09	0	897	361.3	-266.6	0.08715	0	0.3486	-0.7246	-1.249	-0.2695	901.4	-432.6	42.48	-0.2625	-0.3507	0.8708	-0.5471	1.241	0.2451	922.4	248.9	-317.4	1.135	-0.08766	0.4389	-1.124	0.2791	0.416	973.2	-198.3	-101.1	-0.437	0.6119	-0.613	-1.362	-0.3123	-0.2634
0.10	0	892.1	361.3	-274.4	0.4357	0.2625	0.5229	-0.7246	-1.251	-0.271	895	-432.1	49.32	-0.1737	-0.2624	0.2623	-0.5459	1.242	0.2427	914	245.7	-318.8	0.9598	-0.6116	0.8778	-1.124	0.2778	0.416	977.6	-188	-100.6	0.08739	0.1737	-1.486	-1.364	-0.311	-0.2632
0.11	0	893.1	356.9	-273.4	0	-0.088	-0.2615	-0.7244	-1.248	-0.2749	904.8	-431.1	48.33	0	-0.08828	0.08393	-0.5484	1.242	0.2454	917	247	-318.8	0.6963	0.6116	0.8778	-1.12	0.2791	0.4092	976.5	-190.9	-94.22	-0.3496	-0.3475	-2.452	-1.361	-0.311	-0.2578
0.12	0	891.1	356.5	-265.1	-0.2614	-0.6115	-0.5229	-0.7241	-1.244	-0.2788	900.4	-436.5	46.4	-0.3514	0.3507	0	-0.5508	1.242	0.248	913.1	244.1	-319.8	0.1756	-0.263	1.746	-1.117	0.2803	0.4023	970.7	-194.3	-98.6	-0.2622	-0.2644	-1.486	-1.357	-0.311	-0.2524
0.13	0	897.9	362.3	-273.4	-0.61	0	0.7844	-0.7253	-1.245	-0.2734	909.2	-428.2	34.19	-0.6988	0	0.5246	-0.5508	1.243	0.2466	918.4	242.7	-319.8	-0.2635	0	1.489	-1.118	0.2778	0.4065	976.5	-189	-100.6	-0.6117	0.4381	-1.133	-1.358	-0.3135	-0.2551
0.14	0	893.1	359.9	-269.5	-1.05	-0.1745	0.2615	-0.7266	-1.247	-0.2681	902.4	-429.7	38.09	0	-0.3507	-0.3462	-0.5508	1.245	0.2451	920.9	239.8	-316.9	-0.1756	0.08766	2.013	-1.119	0.2754	0.4107	974.1	-189.5	-94.22	-0.3496	0.1737	-1.663	-1.359	-0.3159	-0.2578
0.15	0	897.9	361.3	-280.7	-0.8761	-0.1745	0.6101	-0.7268	-1.248	-0.2695	901.4	-432.1	49.8	-0.2625	-0.3507	0.4407	-0.5461	1.244	0.2478	916.5	238.2	-314.4	0	-0.263	0.7824	-1.118	0.2791	0.4065	983.4	-184.5	-100.1	-0.437	0	-1.226	-1.356	-0.3159	-0.2578
