MR32 ASCII
Name	static
Frequency	100
Date	26-03-2018 14:51:11
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	949.7	94.24	-297.8	0.0874	1.137	0.7869	-1.244	-0.8247	-0.312	984.9	-171.9	-16.6	0.6995	-0.1749	0	-1.191	0.8442	0.3735	954.6	127.4	-276.4	0.2623	-0.6995	1.836	-0.9595	0.3643	0.1104	995.6	-70.31	-141.6	-1.224	-0.2623	-1.049	-1.17	-0.4292	0.05029
0.01	0	955.1	102	-286.6	0.0874	0.5246	0.3497	-1.245	-0.8235	-0.3108	986.3	-171.4	-9.277	0.9617	0.3497	-0.5246	-1.194	0.843	0.3708	952.1	122.6	-282.2	-0.7868	-0.2623	1.224	-0.957	0.3606	0.1064	988.3	-83.99	-137.2	-1.137	-0.1749	-1.311	-1.169	-0.429	0.03931
0.02	0	952.1	102.5	-280.8	-0.6121	0	0.2622	-1.246	-0.8223	-0.3096	987.3	-177.2	-7.812	-0.9617	0.9617	0	-1.196	0.8418	0.3682	949.7	114.7	-291.5	-0.1749	-1.749	0.4372	-0.9546	0.3569	0.1025	989.7	-83.01	-134.8	-0.08741	0.612	-1.749	-1.167	-0.4287	0.02832
0.03	0	954.6	94.73	-293.9	-0.6995	0.3497	0.2622	-1.248	-0.8259	-0.3225	983.4	-175.3	-17.09	-0.1748	0.1749	0.3498	-1.198	0.8372	0.3601	954.1	123.5	-303.2	0.9617	-0.9618	1.749	-0.957	0.3581	0.09473	990.7	-77.15	-119.6	0.4372	0.7869	-0.4372	-1.17	-0.4312	0.02563
0.04	0	949.2	90.33	-297.8	-0.6995	0.4371	0.8743	-1.251	-0.8296	-0.3354	986.8	-168.9	-6.836	0	-0.5246	-0.5246	-1.201	0.8325	0.3521	946.3	127	-292	0.08744	-1.311	0.1749	-0.9595	0.3594	0.08691	988.3	-77.64	-118.2	-0.08741	0.1749	-1.836	-1.172	-0.4336	0.02295
0.05	0	948.7	99.61	-291	0.1748	0.6121	0.6121	-1.252	-0.8271	-0.3237	986.3	-184.1	-10.74	-0.4372	-0.1749	-0.08744	-1.198	0.8359	0.3628	953.6	131.8	-286.1	-0.2623	-1.399	1.661	-0.9619	0.3618	0.1001	990.2	-74.71	-126.5	0	0	-1.486	-1.172	-0.4302	0.03125
0.06	0	954.6	101.1	-297.4	-0.1748	0.3497	1.399	-1.253	-0.8247	-0.312	989.3	-179.2	-6.836	0.4372	-0.1749	-0.3498	-1.196	0.8394	0.3735	942.4	124	-288.6	0.1749	-1.224	1.049	-0.9643	0.3643	0.1133	983.4	-89.36	-125.5	-0.3498	-0.08746	-1.661	-1.172	-0.4268	0.03955
0.07	0	955.1	100.1	-291.5	-0.6121	0.6121	0.8743	-1.254	-0.8225	-0.3225	981.9	-184.1	-14.16	0	0	-0.8742	-1.198	0.8381	0.3708	939.9	128.9	-296.4	0.4372	-0.9618	1.399	-0.9607	0.3618	0.09326	988.3	-83.01	-119.6	-0.2623	0	-1.399	-1.174	-0.4292	0.03662
0.08	0	956.5	91.8	-277.8	-0.4371	0.1748	1.224	-1.255	-0.8203	-0.333	992.2	-163.1	-21.48	-0.4372	0.08741	-0.9617	-1.201	0.8369	0.3682	950.2	130.4	-294.9	0.2623	-1.661	1.574	-0.957	0.3594	0.07324	994.6	-80.08	-129.9	-0.9617	0.1749	-1.311	-1.175	-0.4316	0.03369
0.09	0	953.6	94.24	-278.3	-0.7869	0.2623	1.049	-1.255	-0.8201	-0.3184	985.4	-172.4	-26.37	-0.3497	0.612	-1.049	-1.202	0.8369	0.3721	955.6	123	-297.4	-0.6995	-0.7869	1.749	-0.9595	0.3581	0.0918	996.1	-83.5	-133.3	-0.8743	-0.5246	-2.011	-1.169	-0.4316	0.03369
