MR32 ASCII
Name	static_2
Frequency	100
Date	26-03-2018 15:04:45
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	958	100.1	-259.3	0.2623	0.1749	0.612	-1.216	-0.8594	-0.3223	982.4	-179.7	-37.6	-0.1749	-1.049	-0.6994	-1.19	0.855	0.4126	948.3	134.8	-293	-0.5246	0.08741	-0.9618	-0.8882	0.3755	0.09863	988.3	-87.4	-142.6	0.2623	-0.2623	0.08739	-1.124	-0.4189	0.124
0.01	0	967.3	103.5	-259.8	0.5246	0.2623	0.5246	-1.217	-0.8581	-0.3235	988.8	-176.8	-35.16	0.2623	-0.5246	-0.6994	-1.195	0.8562	0.4111	945.8	130.4	-281.3	-0.1749	0.1749	-0.1748	-0.8931	0.3767	0.09473	980.5	-95.21	-146.5	-0.08746	-0.08741	-0.2623	-1.124	-0.4238	0.1157
0.02	0	961.9	104	-260.7	1.224	0.6995	0.6994	-1.218	-0.8569	-0.3247	981.5	-180.2	-33.2	0	-0.1749	-0.5246	-1.199	0.8574	0.4097	948.7	129.9	-290.5	-0.6995	-0.5246	-0.9618	-0.8979	0.3779	0.09082	987.3	-92.28	-140.6	0	-0.2623	0.4372	-1.124	-0.4287	0.1074
0.03	0	964.3	104.5	-258.8	0.8743	0.08741	0.612	-1.218	-0.8569	-0.3208	980	-178.7	-31.74	0.3497	-0.1749	-0.9618	-1.196	0.8611	0.4097	951.2	139.7	-292.5	-0.4372	0.2623	-0.08747	-0.8943	0.3743	0.09595	988.8	-88.38	-143.6	-0.612	0	0.08739	-1.13	-0.425	0.1035
0.04	0	962.4	103	-253.9	0.2623	0.1749	0.1748	-1.218	-0.8569	-0.3169	984.9	-175.8	-38.57	0	-0.3497	-0.8743	-1.192	0.8647	0.4097	948.7	131.8	-280.3	-0.3497	0.5246	-1.137	-0.8906	0.3706	0.1011	985.3	-89.84	-139.7	-1.399	0.7869	1.137	-1.136	-0.4214	0.09961
0.05	0	964.9	104	-255.9	0.6994	0	-0.1748	-1.218	-0.8557	-0.3196	981.5	-179.2	-37.6	0.1749	0	-0.08744	-1.195	0.8623	0.4111	945.8	126	-288.6	-0.8743	-0.7869	0.3497	-0.8918	0.3718	0.09326	991.2	-87.4	-146.5	-0.612	0	0.612	-1.132	-0.4187	0.1023
0.06	0	961.9	101.6	-251.9	0.5246	1.574	0.9617	-1.218	-0.8545	-0.3223	980.5	-179.7	-39.06	-0.612	0	-0.2623	-1.197	0.8599	0.4126	954.6	132.3	-287.6	-0.6995	-0.08741	-0.08747	-0.8931	0.373	0.08545	986.8	-93.26	-137.7	-0.1749	0	1.049	-1.128	-0.416	0.105
0.07	0	961.4	100.6	-255.9	0.612	0.08741	1.137	-1.218	-0.8545	-0.3223	984.4	-175.3	-44.43	-0.8744	-0.2623	-1.399	-1.197	0.8623	0.4099	953.1	133.3	-289.1	-1.049	-0.7869	0	-0.8906	0.373	0.08545	987.8	-87.89	-147.5	-0.1749	0	0.612	-1.128	-0.416	0.1121
0.08	0	961.4	103	-264.2	0.4371	0.9618	0.7869	-1.218	-0.8545	-0.3223	985.3	-177.7	-45.41	-0.612	-0.1749	-0.9618	-1.197	0.8647	0.4072	951.7	135.7	-283.7	-0.5246	-0.1749	-0.4372	-0.8882	0.373	0.08545	978.5	-98.63	-140.1	-0.6995	0.08741	0.8743	-1.128	-0.416	0.1191
0.09	0	964.3	100.1	-257.8	-0.2623	0.5246	0.8743	-1.218	-0.8535	-0.3208	988.3	-171.4	-40.53	0	-0.5246	-0.1749	-1.196	0.8623	0.4111	948.7	133.8	-293	-0.5246	-0.2623	-1.224	-0.8894	0.3718	0.09082	993.2	-89.36	-146.5	0.2623	-0.5246	1.311	-1.128	-0.4148	0.1052
