MR32 ASCII
Name	Trial_11
Frequency	100
Date	26-03-2018 16:19:29
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	910.6	-161.6	-291.5	0.4401	-0.08639	1.924	-1.509	-0.4731	-0.2739	971.7	96.66	-27.84	0.9635	-0.4376	-0.08453	-1.422	0.6763	0.3496	965.3	-241.2	-126.9	-8.479	2.011	2.798	-0.7007	0.9585	0.1694	954.6	177.3	-213.4	-8.567	-2.099	0.3545	-0.8091	-1.086	0.0791
0.01	0	902.4	-178.7	-271	-0.08685	-0.5257	1.403	-1.507	-0.4741	-0.2847	951.6	84.94	-41.02	-1.223	0.5251	0.08453	-1.419	0.6753	0.3496	971.7	-244.2	-111.8	-9.179	2.099	3.5	-0.7034	0.9585	0.1746	968.7	192.4	-218.8	-9.091	-1.137	-0.8701	-0.803	-1.088	0.07128
0.02	0	902.8	-181.6	-261.2	-1.222	-1.747	3.058	-1.505	-0.4751	-0.2954	961.9	108.4	-67.87	-1.573	0.5251	-1.395	-1.416	0.6743	0.3496	968.2	-240.8	-109.4	-9.179	1.486	4.631	-0.706	0.9585	0.1797	965.3	198.2	-200.7	-8.567	-2.711	-0.5264	-0.7969	-1.09	0.06348
0.03	0	918	-155.8	-276.4	-3.671	-2.187	2.185	-1.509	-0.4695	-0.3032	986.3	112.3	-32.23	-4.284	0.5251	-0.08453	-1.419	0.6707	0.3469	963.4	-239.8	-108.4	-10.93	2.011	5.333	-0.7038	0.9585	0.1804	963.8	203.2	-213.9	-9.615	-3.759	-0.6983	-0.7966	-1.091	0.06421
0.04	0	922.8	-167	-325.2	-5.86	-3.673	2.797	-1.514	-0.4639	-0.311	1003	113.3	-14.17	-6.47	1.485	-0.6086	-1.422	0.667	0.3442	960.9	-255.9	-117.2	-10.93	1.312	5.596	-0.7017	0.9585	0.1812	956	182.2	-223.6	-10.93	-2.797	-1.837	-0.7964	-1.091	0.06494
0.05	0	923.3	-204.1	-321.8	-8.396	-3.236	3.237	-1.51	-0.4661	-0.3057	1000	89.84	-8.787	-8.308	1.398	0.9637	-1.422	0.6741	0.3416	962.4	-256.9	-118.2	-9.707	1.748	6.562	-0.7036	0.9597	0.1829	947.8	183.6	-209.5	-9.357	-3.234	-2.535	-0.8003	-1.089	0.06152
0.06	0	911.1	-209.9	-329.1	-8.043	-4.196	2.357	-1.507	-0.4682	-0.3003	986.8	68.37	-0.9715	-6.995	1.573	0.5241	-1.422	0.6812	0.3389	957	-261.7	-132.3	-8.129	0.7872	7.868	-0.7056	0.9609	0.1846	954.1	181.6	-217.3	-7.69	-3.584	-3.76	-0.8042	-1.088	0.05811
0.07	0	907.7	-207	-342.8	-6.908	-4.897	0.5219	-1.506	-0.4682	-0.302	986.8	77.16	-8.787	-5.856	2.01	1.488	-1.419	0.6755	0.3442	962.4	-253.4	-134.3	-6.296	1.748	6.562	-0.7	0.9646	0.1843	952.1	182.2	-210.9	-7.518	-3.846	-4.544	-0.8025	-1.089	0.05639
0.08	0	915	-192.9	-337.4	-5.159	-4.196	0.0897	-1.504	-0.4682	-0.3037	995.6	102.5	-17.09	-4.898	2.098	1.75	-1.416	0.6699	0.3496	957.5	-253.4	-130.9	-6.118	2.099	7.078	-0.6944	0.9683	0.1841	949.2	193.9	-195.8	-6.908	-4.46	-5.511	-0.8008	-1.091	0.05468
0.09	0	909.7	-180.7	-319.8	-5.686	-3.934	-0.4403	-1.509	-0.4682	-0.302	987.3	99.12	-6.829	-4.808	3.06	2.274	-1.413	0.6734	0.3496	959	-260.3	-139.2	-6.296	2.71	8.044	-0.6963	0.9685	0.1882	953.6	201.2	-204.6	-8.308	-4.285	-5.242	-0.7986	-1.093	0.05616
