MR32 ASCII
Name	static
Frequency	100
Date	26-03-2018 16:01:34
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	976.1	-46.87	-219.2	-0.3497	-0.2623	0.6995	-1.373	-0.4746	-0.6216	993.6	-68.85	-98.63	-0.6995	0.7869	-0.8743	-1.296	0.7349	0.5737	968.3	-6.348	-232.4	0	0.8743	-0.5246	-1.026	0.5718	0.02246	989.3	-15.63	-110.4	0.8744	-1.049	0.612	-1.187	-0.5884	0.08154
0.01	0	985.8	-41.99	-214.8	0	-0.9617	0.5246	-1.37	-0.4768	-0.6096	996.6	-65.43	-98.63	-0.2623	-0.7869	-0.9617	-1.297	0.7371	0.5884	971.7	-1.953	-228.5	0	0.5246	-1.224	-1.028	0.5752	0.01611	996.1	-12.7	-116.7	-0.08741	-0.9618	1.137	-1.185	-0.5898	0.09375
0.02	0	971.2	-44.92	-220.2	0.3497	-0.3498	0.8743	-1.368	-0.479	-0.5977	993.6	-67.38	-109.4	-0.1749	-0.08741	-0.612	-1.298	0.7393	0.603	975.6	-2.93	-226.6	0.08741	0.3497	-1.311	-1.031	0.5786	0.009766	999.5	-9.277	-111.8	0.612	-0.8744	0.6995	-1.182	-0.5913	0.106
0.03	0	980	-38.09	-216.8	-0.5246	-0.2623	0	-1.37	-0.4768	-0.6043	992.7	-66.9	-102	0	0.1749	0	-1.294	0.7407	0.6057	973.6	-4.394	-230.5	0.4372	0.6995	-1.137	-1.03	0.5789	0.01099	991.7	-18.55	-119.6	0.3498	-1.137	0.4372	-1.181	-0.5938	0.1086
0.04	0	975.1	-41.01	-225.1	-0.1749	-0.3498	1.574	-1.373	-0.4746	-0.6108	997.1	-67.87	-108.9	-0.4372	0.1749	-0.3497	-1.289	0.7422	0.6084	975.6	0	-228	0.5246	0.4372	-0.2623	-1.028	0.5791	0.01221	995.6	-20.51	-120.1	0.7869	-1.224	0.8743	-1.18	-0.5962	0.1113
0.05	0	976.6	-42.97	-219.2	-0.6994	-0.7869	0.3497	-1.373	-0.4768	-0.6028	997.5	-71.29	-101.1	-0.5246	0	-0.9617	-1.291	0.7419	0.6069	975.6	1.953	-220.7	-0.1748	0.3497	-1.049	-1.032	0.5754	0.01245	995.6	-16.11	-112.3	0.2624	-0.8744	0.8743	-1.181	-0.5962	0.1101
0.06	0	978	-38.09	-219.7	-0.1749	-0.1748	0.8743	-1.373	-0.479	-0.5947	991.7	-72.75	-99.12	0.2623	-0.4372	-0.8743	-1.294	0.7417	0.6055	976.1	1.465	-226.6	0.3497	0.4372	-1.399	-1.035	0.5718	0.01269	995.6	-15.14	-116.7	0.9618	-1.224	0.7869	-1.182	-0.5962	0.1089
0.07	0	977.1	-36.13	-215.8	-0.6994	-0.6994	0.612	-1.375	-0.4756	-0.6028	991.2	-69.83	-101.6	0.08745	-0.3497	-0.4372	-1.294	0.7395	0.5989	975.1	-4.883	-224.6	0.8743	-0.1749	-1.311	-1.035	0.5718	0.01392	997.1	-18.07	-112.3	0.612	-1.137	1.137	-1.182	-0.595	0.1006
0.08	0	973.1	-44.43	-218.3	-0.8743	-0.3498	0.6995	-1.377	-0.4722	-0.6108	985.8	-72.75	-91.8	-0.7869	0.08741	-0.3497	-1.294	0.7373	0.5923	977.5	4.883	-230	0.4372	-0.4372	-1.661	-1.036	0.5718	0.01514	991.7	-21	-125.5	0.2624	0	0.7869	-1.182	-0.5938	0.09229
0.09	0	966.8	-52.25	-213.9	-0.08741	-0.5246	1.049	-1.375	-0.4734	-0.6028	988.3	-70.8	-113.8	-0.4372	0.4372	-0.1749	-1.295	0.7337	0.6003	976.6	4.394	-226.6	0	0.9618	-1.224	-1.032	0.5706	0.01758	988.3	-23.44	-111.8	0	-0.9618	1.486	-1.182	-0.595	0.1033
0.10	0	976.1	-49.8	-221.2	0	0	0.9617	-1.373	-0.4746	-0.5947	1000	-66.9	-100.1	0	-0.4372	-1.049	-1.296	0.73	0.6084	975.6	7.324	-225.6	-0.2623	-0.2623	-0.7869	-1.028	0.5693	0.02002	981	-29.3	-115.2	-0.5246	-0.6995	1.137	-1.182	-0.5962	0.1143
0.11	0	971.2	-50.78	-217.8	-0.2623	-0.4371	1.399	-1.372	-0.4744	-0.5884	996.1	-62.01	-100.6	0.1749	0.5246	-0.9617	-1.299	0.7322	0.6123	975.1	7.812	-233.9	0.08741	0.1749	-1.574	-1.03	0.5742	0.01611	994.6	-20.51	-115.7	0	-1.137	0.612	-1.185	-0.5952	0.1226
0.12	0	978	-42.97	-209.5	0.2623	-0.6994	0.2623	-1.371	-0.4741	-0.582	993.2	-64.94	-88.87	0.6995	1.311	-1.137	-1.301	0.7344	0.6162	975.6	7.324	-223.6	-0.1748	0.08741	-0.7869	-1.031	0.5791	0.01221	988.8	-24.41	-111.3	-0.8744	-0.3497	1.049	-1.187	-0.5942	0.1309
0.13	0	983.9	-40.04	-225.6	0.08741	-0.5246	0.4372	-1.371	-0.4778	-0.5898	996.6	-65.43	-105	0.3497	0	0	-1.299	0.7371	0.6135	978	11.23	-227.5	-0.3497	0.1749	-0.1749	-1.031	0.5742	0.01099	991.2	-36.62	-118.2	-1.224	-0.3497	0	-1.185	-0.5928	0.1211
