MR32 ASCII
Name	static_2
Frequency	100
Date	26-03-2018 16:33:28
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	959	-95.21	-246.6	0.9619	2.098	0.1748	-1.384	-0.4292	-0.5395	995.6	-12.7	-92.29	1.836	-1.836	-0.612	-1.328	0.6675	0.5791	985.3	42.97	-169.4	0.8744	-1.661	-1.311	-1.044	0.5278	0.07959	995.1	-70.31	-112.8	0.1749	1.311	0.3498	-1.22	-0.4995	0.1387
0.01	0	971.2	-91.31	-240.7	0.5245	1.923	0.8743	-1.387	-0.4255	-0.5398	999.5	-18.07	-86.91	0.437	-2.098	0.1748	-1.327	0.665	0.5803	985.3	37.11	-167	0	-1.399	-0.8744	-1.047	0.5312	0.08081	985.4	-74.22	-112.3	0.1749	2.098	0.5246	-1.217	-0.4993	0.1414
0.02	0	966.8	-91.8	-240.7	1.049	1.923	0.08741	-1.391	-0.4219	-0.54	1000	-6.836	-85.94	-0.08753	-2.448	0.3497	-1.326	0.6626	0.5816	980.5	30.76	-162.6	0.6119	-1.836	-1.049	-1.049	0.5347	0.08203	989.3	-77.64	-116.7	0.1749	1.661	0	-1.213	-0.499	0.144
0.03	0	966.3	-91.31	-235.8	0.787	1.574	0.6121	-1.391	-0.4194	-0.5413	998.5	-7.812	-97.66	0.1747	-2.186	-0.1748	-1.328	0.6626	0.5818	984.4	33.2	-172.4	0.6119	-1.574	-1.574	-1.049	0.5322	0.07959	987.8	-76.66	-106	0.4373	2.623	0.1748	-1.215	-0.4978	0.1357
0.04	0	963.9	-98.63	-236.3	0.5245	1.923	0.8743	-1.391	-0.417	-0.5425	1002	-10.74	-89.85	0	-1.836	-0.4372	-1.33	0.6626	0.582	979	30.76	-168	0.9618	-1.661	-0.8744	-1.049	0.5298	0.07715	990.2	-76.66	-125.5	1.486	1.399	-0.3498	-1.218	-0.4966	0.1274
0.05	0	967.3	-94.73	-244.1	-0.3497	2.273	1.049	-1.388	-0.4216	-0.5413	999.5	-15.14	-97.17	0.9619	-1.836	-0.6995	-1.331	0.665	0.5806	988.8	40.04	-168.5	1.486	-1.312	-1.137	-1.047	0.5337	0.07568	995.1	-74.22	-115.2	1.399	1.749	0.1748	-1.219	-0.498	0.1357
0.06	0	962.4	-100.1	-237.3	0.08741	1.399	0.7869	-1.386	-0.4263	-0.54	988.8	-20.02	-90.33	-0.437	-1.486	-0.8743	-1.333	0.6675	0.5791	989.7	46.39	-165	1.486	-2.885	-1.224	-1.044	0.5376	0.07422	992.7	-74.71	-113.8	2.098	2.361	-0.5246	-1.22	-0.4995	0.144
0.07	0	961.9	-96.68	-247.6	0.8744	1.923	1.049	-1.386	-0.4229	-0.5305	999	-6.836	-86.91	-0.2623	-1.923	-0.6995	-1.333	0.665	0.5779	986.8	43.46	-172.9	0.3497	-2.536	-0.2623	-1.046	0.5364	0.07544	987.8	-78.13	-116.7	0.7868	2.098	-0.08741	-1.217	-0.498	0.1428
0.08	0	967.3	-95.7	-246.1	0.08741	1.399	1.312	-1.386	-0.4194	-0.521	998.5	-6.836	-88.38	-0.1747	-2.186	-0.08741	-1.333	0.6626	0.5767	983.4	38.09	-166.5	1.049	-2.71	-1.661	-1.047	0.5352	0.07666	987.8	-74.71	-115.2	1.749	2.098	-0.1748	-1.213	-0.4966	0.1416
0.09	0	962.9	-102.1	-238.3	-0.2622	2.186	1.486	-1.39	-0.4219	-0.5288	997.1	-15.14	-88.87	0.08753	-1.923	-0.612	-1.333	0.6638	0.5833	992.7	44.43	-174.8	1.224	-2.885	-1.137	-1.047	0.53	0.07397	995.1	-74.22	-103	1.049	1.224	0.5246	-1.215	-0.4993	0.1414
0.10	0	961.4	-101.1	-237.3	0.1748	2.011	1.399	-1.394	-0.4243	-0.5366	994.6	-18.55	-83.01	0.3498	-2.186	-0.7869	-1.333	0.665	0.5898	990.7	45.9	-173.3	0.2622	-2.098	-1.661	-1.047	0.5249	0.07129	992.7	-68.36	-111.3	1.311	1.486	0.2623	-1.218	-0.502	0.1411
0.11	0	967.8	-91.8	-243.2	-0.08741	2.973	1.836	-1.39	-0.4231	-0.5422	994.6	-12.7	-86.42	0.437	-2.011	-0.6995	-1.33	0.6663	0.5901	987.8	41.5	-171.9	1.137	-2.71	-0.7869	-1.047	0.53	0.07519	988.8	-76.17	-108.4	0.08745	1.399	0.3498	-1.215	-0.4993	0.1274
