MR32 ASCII
Name	Trial_5
Frequency	100
Date	26-03-2018 17:46:47
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	957.5	111.8	-267.6	0.7872	-0.08918	-0.7008	-0.773	-0.1728	-1.141	994.6	-73.72	-77.16	0.7869	0	0.526	-0.6636	0.8047	0.9082	886.2	347.7	-315.4	1.139	1.312	0.609	-1.144	-0.05861	1.205	935.1	-354.5	-37.12	-0.08944	-1.049	-0.3463	-1.23	-0.3233	-0.8242
0.01	0	954.6	108.9	-271.5	0.7008	0.7885	-1.487	-0.7705	-0.1704	-1.133	996.1	-71.78	-64.94	0.4366	0.08737	-0.0904	-0.6658	0.8044	0.9058	886.2	336.9	-319.8	0.5234	1.224	-0.1786	-1.144	-0.05492	1.205	940.4	-349.1	-28.81	0.6976	-1.137	0.08841	-1.232	-0.3223	-0.8062
0.02	0	961.9	122.1	-280.7	0	0.352	-0.2646	-0.7681	-0.168	-1.124	993.7	-75.18	-76.16	-0.6145	0.6116	1.134	-0.668	0.8042	0.9033	887.2	339.3	-312	0	0.787	-0.3491	-1.144	-0.05127	1.205	944.8	-351.1	-40.01	0.1744	-0.8734	-0.3463	-1.233	-0.3213	-0.7881
0.03	0	963.4	130.4	-276.4	0.96	0.08918	0	-0.7717	-0.168	-1.133	999	-77.16	-70.3	-0.9594	-0.3495	0.789	-0.6641	0.8047	0.9014	900.9	338.3	-316.4	0.4361	0.4368	0.08932	-1.145	-0.0564	1.209	942.9	-361.3	-45.92	0.3488	0.261	0	-1.231	-0.3223	-0.8008
0.04	0	960.9	112.8	-288.6	-0.0864	-0.6102	0.7008	-0.7754	-0.168	-1.141	993.7	-72.26	-59.56	-0.7007	-0.6116	1.052	-0.6602	0.8052	0.8994	902.8	343.8	-310.5	0.7851	0.5252	-0.2598	-1.146	-0.06154	1.213	948.2	-356.4	-42.97	0.1744	0.3488	-0.08841	-1.228	-0.3233	-0.8135
0.05	0	958	109.9	-278.3	0.6096	0	0.4362	-0.773	-0.1692	-1.131	1000	-70.32	-78.61	-0.1725	-1.048	0.3534	-0.6611	0.802	0.8987	887.7	327.7	-320.8	0.9595	-0.2618	-0.2598	-1.146	-0.05663	1.204	945.8	-349.6	-37.12	1.4	1.137	-0.4347	-1.232	-0.3223	-0.7969
0.06	0	957	117.7	-285.7	0.5232	-0.4365	0.1716	-0.7705	-0.1704	-1.122	992.7	-63.48	-83.02	0	-0.7864	-0.6986	-0.6621	0.7988	0.8979	889.2	342.8	-321.3	1.047	-1.312	-0.609	-1.146	-0.05176	1.194	945.3	-349.6	-42.48	1.838	1.049	0	-1.236	-0.3213	-0.7803
0.07	0	953.1	107.9	-270	0.4368	-0.9622	0.615	-0.7708	-0.1704	-1.109	998.5	-61.51	-79.1	-1.66	-1.136	-0.1726	-0.6597	0.8	0.9004	887.7	336.4	-325.7	0.5234	-0.5252	-1.397	-1.15	-0.0542	1.196	947.2	-352.5	-41.04	0.8765	1.835	-0.08841	-1.231	-0.3262	-0.7996
0.08	0	966.8	126.5	-276.4	0.5232	0.08918	1.223	-0.771	-0.1704	-1.095	993.7	-72.26	-78.61	-1.924	-0.6116	0.3534	-0.6572	0.8013	0.9028	894.1	346.2	-306.7	0.8723	-0.5252	-1.315	-1.154	-0.05663	1.197	946.3	-353	-41.04	1.225	2.799	0.08841	-1.226	-0.3311	-0.8188
0.09	0	963.4	120.6	-274.9	-0.1728	0	1.487	-0.772	-0.1692	-1.107	998	-67.4	-71.78	-2.447	-0.7864	0.1726	-0.6572	0.8013	0.9004	878.4	343.3	-315.9	0.6106	-0.7003	-0.9581	-1.151	-0.05542	1.199	932.1	-362.3	-28.81	0.7871	1.662	0	-1.228	-0.3249	-0.8022
0.10	0	958.5	102	-277.3	-0.3504	0.352	1.838	-0.773	-0.168	-1.119	997.1	-69.81	-81.05	-3.148	-0.8737	0.263	-0.6572	0.8013	0.8979	876.9	344.8	-318.4	0.08723	-1.224	-0.9581	-1.149	-0.0542	1.2	930.6	-362.3	-14.16	0.5232	1.574	-0.3463	-1.23	-0.3189	-0.7856
0.11	0	952.6	98.64	-282.2	0	0.2628	1.309	-0.7754	-0.1704	-1.124	996.1	-73.25	-75.69	-2.097	-0.699	1.134	-0.6572	0.801	0.9031	881.8	353.5	-316.4	0.1745	-1.399	-0.6983	-1.149	-0.05542	1.183	942.4	-356.9	-28.32	0	1.835	-0.5231	-1.231	-0.3225	-0.7939
0.12	0	958.5	102	-281.7	-0.1728	-0.6102	0.522	-0.7778	-0.1728	-1.13	996.6	-68.86	-77.63	-1.746	-0.5242	0.0904	-0.6572	0.8008	0.9082	877.4	343.8	-314	0.2617	-0.787	-0.5278	-1.148	-0.05663	1.165	929.2	-366.7	-20.01	-0.08944	0.7856	-0.4347	-1.231	-0.3262	-0.8022
0.13	0	955.6	105.5	-279.8	-0.1728	0.1737	0.7866	-0.7754	-0.1692	-1.123	997.1	-65.93	-83.49	-1.31	-0.4369	0.6082	-0.6582	0.7996	0.9043	888.2	349.6	-308.1	0.6106	-0.962	-0.8769	-1.15	-0.05907	1.184	933.6	-360.4	-35.61	0.6976	0.8734	-0.08841	-1.233	-0.3201	-0.7925
0.14	0	955.1	116.2	-284.7	-0.3504	-0.4365	1.051	-0.773	-0.1655	-1.117	989.8	-70.32	-73.25	-1.746	-1.398	1.052	-0.6592	0.7983	0.9004	883.8	354	-321.8	0.2617	-0.8736	-0.6983	-1.151	-0.06154	1.203	933.6	-353	-20.49	0.8765	1.137	0.2652	-1.236	-0.3139	-0.7827
0.15	0	957	120.6	-269	0.0864	0.08918	0.9582	-0.7732	-0.168	-1.113	990.7	-68.35	-73.25	-1.224	-0.8737	0.8711	-0.657	0.7974	0.9004	877.9	345.7	-323.2	-0.3489	-0.5252	-0.1786	-1.154	-0.05663	1.192	933.6	-358.4	-23.92	0	0.4367	0.5231	-1.233	-0.3176	-0.7744
