MR32 ASCII
Name	static
Frequency	100
Date	26-03-2018 17:40:34
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	897	-177.7	-404.3	0.1749	-0.08741	0.3497	-1.404	-0.0708	-0.5923	951.2	259.3	-141.6	0.2623	0	-0.08741	-1.387	0.4302	0.7456	950.2	218.3	-230.5	0.08745	-0.2623	0	-1.086	0.3843	0.1553	948.3	-271	-163.6	-0.1749	-0.612	-0.5246	-1.33	-0.3091	0.2432
0.01	0	893.1	-180.2	-405.8	-0.4371	0.3497	0.2623	-1.406	-0.07226	-0.5869	955.6	258.8	-149.4	-0.08745	-0.1749	-1.224	-1.388	0.429	0.7483	946.8	219.7	-226.1	-0.08745	0	0.2623	-1.088	0.3855	0.1567	942.4	-274.4	-168	-1.486	-0.08741	0.4372	-1.328	-0.3079	0.2432
0.02	0	896	-178.7	-411.1	-0.3497	-0.7869	0.4372	-1.409	-0.07373	-0.5815	958.5	258.8	-149.9	0.5246	-0.3497	0.1749	-1.39	0.4277	0.751	951.2	219.7	-230	-0.2623	0	0.08741	-1.089	0.3867	0.1582	949.2	-269	-168.9	0.1749	-0.8743	-0.612	-1.325	-0.3066	0.2432
0.03	0	896	-175.8	-402.3	-0.5246	0.4372	0	-1.41	-0.07226	-0.5762	959.5	259.3	-133.8	-0.612	0	-0.1749	-1.39	0.4277	0.7483	951.2	221.2	-226.6	0.08745	-0.3497	0.4371	-1.09	0.3877	0.1582	949.7	-270.5	-166.5	-0.4371	-0.5246	-0.08741	-1.328	-0.3091	0.239
0.04	0	903.3	-175.3	-406.7	-0.1749	0.6995	0.2623	-1.411	-0.0708	-0.5708	956.5	255.9	-132.8	-0.3497	-0.4372	0.4372	-1.39	0.4277	0.7456	948.7	220.7	-229.5	0.08745	-0.5246	-0.1749	-1.091	0.3887	0.1582	948.3	-268.1	-168.9	-0.2623	0	-0.1749	-1.33	-0.3115	0.2349
0.05	0	898.4	-180.2	-407.2	-0.9617	0	0.1749	-1.411	-0.0686	-0.5774	962.4	259.8	-142.1	0	0.4372	0.1749	-1.388	0.4314	0.7441	947.3	217.3	-231	-0.2623	0	-0.08741	-1.089	0.3901	0.1609	949.7	-267.6	-166.5	-0.3497	-0.1749	-0.8743	-1.33	-0.3091	0.2402
0.06	0	897.9	-179.7	-413.6	0.3497	0.1749	0.6995	-1.411	-0.06641	-0.584	962.9	260.3	-140.1	0	-0.612	-0.3497	-1.387	0.4351	0.7427	947.3	215.3	-238.8	-0.4372	-0.2623	0.6995	-1.086	0.3916	0.1636	946.3	-268.6	-173.3	-1.399	-0.4372	-0.3497	-1.331	-0.3066	0.2456
0.07	0	896.5	-179.2	-403.3	-0.4371	-0.3497	0	-1.409	-0.07007	-0.5867	955.6	255.4	-143.6	-0.08745	0	0	-1.388	0.4338	0.7454	952.6	219.2	-227	0.08745	-0.3497	0.1749	-1.086	0.3916	0.1594	948.3	-267.6	-171.4	-0.612	-0.7869	0	-1.333	-0.3066	0.2429
0.08	0	897.9	-184.6	-408.7	0.2623	-0.1749	-0.2623	-1.406	-0.07373	-0.5894	956.1	259.3	-136.7	0.5246	0	-0.4372	-1.39	0.4326	0.748	946.8	219.2	-233.4	0	0.1749	0.08741	-1.086	0.3916	0.1553	951.2	-266.6	-172.4	0.08741	-0.9617	-0.2623	-1.335	-0.3066	0.2402
0.09	0	895.5	-176.8	-409.7	0.1749	0.5246	0.2623	-1.409	-0.07129	-0.5867	957.5	257.8	-139.6	0.6995	0	0.4372	-1.393	0.4338	0.7507	955.1	220.2	-233.4	-0.1749	0	0.7869	-1.089	0.3889	0.1594	952.2	-265.6	-163.1	-0.08741	-0.3497	0	-1.333	-0.3079	0.2402
0.10	0	905.8	-170.4	-410.6	-0.612	0.4372	0.612	-1.411	-0.06885	-0.584	959.5	260.3	-151.9	-0.08745	0.4372	-0.08741	-1.397	0.4351	0.7534	950.2	219.2	-232.9	0	0	0.1749	-1.091	0.3862	0.1636	951.2	-267.6	-173.3	-0.6995	-0.612	-0.08741	-1.33	-0.3091	0.2402
0.11	0	896.5	-179.2	-408.7	0.3497	0.3497	0.6995	-1.407	-0.06763	-0.5815	955.6	259.8	-142.1	-0.4372	0.5246	0.1749	-1.395	0.4351	0.748	948.2	216.3	-236.3	0	0.612	0.5246	-1.091	0.3899	0.1609	954.1	-261.7	-168.5	-0.2623	-0.9617	-0.2623	-1.329	-0.3091	0.2376
0.12	0	894.5	-179.7	-406.2	-0.6995	-0.3497	-0.08745	-1.402	-0.06641	-0.5791	955.6	256.8	-141.1	-0.1749	0.1749	0.3497	-1.392	0.4351	0.7427	950.2	219.2	-223.6	0.2623	0.08741	-0.08741	-1.091	0.3936	0.1582	947.8	-266.1	-173.8	-0.7869	0.2623	-0.5246	-1.328	-0.3091	0.2349
0.13	0	895.5	-181.2	-405.8	-0.3497	0.4372	0.4372	-1.405	-0.06885	-0.5776	957	254.9	-137.7	-0.3497	0.1749	0.6994	-1.39	0.4314	0.7441	947.3	219.2	-231.9	0.08745	0.08741	0	-1.089	0.3889	0.1594	948.7	-267.6	-166.5	0	0	-1.049	-1.33	-0.3079	0.239
0.14	0	899.4	-173.8	-403.3	0.08741	0.3497	0.3497	-1.409	-0.07129	-0.5762	959.5	255.9	-131.8	0.08745	0.612	-0.08741	-1.387	0.4277	0.7456	940.4	215.3	-235.4	0.4372	0.08741	0.8743	-1.086	0.3843	0.1606	953.1	-258.8	-181.6	-0.3497	-0.7869	0	-1.333	-0.3066	0.2432
0.15	0	894	-177.2	-405.8	0.3497	0	0.08745	-1.41	-0.07007	-0.5813	957	255.9	-140.1	0.4372	0.7869	-0.612	-1.391	0.4302	0.7456	950.2	223.6	-232.9	0.2623	-0.612	0.5246	-1.089	0.3865	0.1555	947.8	-262.2	-169.9	-0.6995	-0.08741	0.4372	-1.332	-0.3103	0.2361
0.16	0	898.4	-177.2	-405.8	-0.2623	0.08741	0.6995	-1.411	-0.06885	-0.5864	954.1	252.4	-141.6	0.5246	0.2623	-0.2623	-1.395	0.4326	0.7456	950.7	219.7	-231.9	0.4372	0.2623	0.5246	-1.091	0.3887	0.1504	947.3	-265.6	-168.9	-0.2623	-0.3497	-0.2623	-1.33	-0.314	0.229
0.17	0	899.4	-180.7	-401.9	-0.9617	-0.612	0.612	-1.41	-0.07129	-0.5879	954.6	251.5	-131.8	-0.5246	0	-0.3497	-1.39	0.4351	0.7483	948.2	213.9	-229	0.08745	0.4372	0.4371	-1.092	0.3887	0.1531	948.3	-262.7	-175.3	0.3497	-0.08741	0.3497	-1.332	-0.3115	0.2346
0.18	0	904.8	-175.8	-405.8	0	0	0	-1.409	-0.07373	-0.5894	957.5	258.8	-141.1	-0.9617	1.049	-0.1749	-1.385	0.4375	0.751	946.8	217.3	-227.5	-0.4372	0.2623	0	-1.093	0.3887	0.1558	948.3	-266.1	-168.9	0.6995	0	0	-1.333	-0.3091	0.2402
0.19	0	892.1	-179.7	-398	0	0	0.3497	-1.41	-0.07129	-0.5852	955.6	257.8	-140.1	0	0.3497	-0.2623	-1.386	0.4351	0.7563	949.2	212.4	-226.6	0.08745	0.7869	-0.5246	-1.09	0.3875	0.1448	950.2	-257.3	-171.4	-0.6995	0	0	-1.332	-0.3066	0.2417
0.20	0	898.4	-181.6	-405.8	-0.1749	-0.5246	1.137	-1.411	-0.06885	-0.581	954.1	251	-144.5	-1.137	0.612	-0.7869	-1.387	0.4326	0.7617	950.2	221.2	-231	-0.2623	0	-0.2623	-1.086	0.3862	0.1338	951.7	-265.6	-171.4	0.7869	-0.9617	0.08741	-1.331	-0.3042	0.2432
0.21	0	899.9	-179.7	-403.8	0	-0.7869	0.3497	-1.409	-0.06885	-0.5825	956.1	254.9	-132.8	-0.5246	0.612	-0.08741	-1.387	0.4338	0.7563	951.2	216.8	-231.9	-0.08745	0.5246	-0.612	-1.087	0.3862	0.1445	949.2	-260.3	-168	-0.08741	0.3497	-0.08741	-1.328	-0.3042	0.2444
0.22	0	897.9	-174.3	-409.2	-0.612	-0.9618	0.612	-1.406	-0.06885	-0.584	960	257.8	-145	-0.2623	0	-0.3497	-1.387	0.4351	0.751	952.6	213.9	-226.1	-0.3497	0	-0.4371	-1.089	0.3862	0.1553	944.8	-263.2	-185.1	0.7869	0.3497	0.612	-1.325	-0.3042	0.2456
0.23	0	899.9	-172.4	-407.7	-0.5246	-0.7869	0.1749	-1.409	-0.06982	-0.584	958.5	253.4	-142.6	-1.137	0.1749	-0.7869	-1.39	0.4363	0.7402	951.7	217.8	-241.2	0	-0.08741	-0.4371	-1.086	0.3877	0.1514	949.2	-270	-172.4	0.612	-0.2623	0.2623	-1.33	-0.3066	0.2373
0.24	0	894.5	-178.2	-405.8	0.3497	-0.6995	0.2623	-1.411	-0.0708	-0.584	961.9	262.2	-134.8	0.4372	0.3497	-0.6994	-1.392	0.4375	0.7295	954.1	224.6	-233.9	-0.2623	0.2623	-0.6995	-1.084	0.3892	0.1475	956.1	-267.1	-166	0.6995	0.4372	0.3497	-1.335	-0.3091	0.229
0.25	0	896	-183.1	-405.3	-0.2623	-0.6995	0.08745	-1.41	-0.07226	-0.5854	958.5	253.4	-143.6	-0.5246	0.8743	0	-1.391	0.4338	0.7375	957	223.6	-224.1	-0.5246	-0.08741	-0.9617	-1.086	0.3904	0.1555	949.2	-262.2	-171.9	0.5246	0.08741	0.5246	-1.333	-0.3066	0.2346
0.26	0	894	-185.5	-399.9	-0.1749	-1.137	0.5246	-1.409	-0.07373	-0.5869	961.9	253.9	-138.7	0	0.5246	-0.7869	-1.39	0.4302	0.7456	943.4	222.7	-240.7	-0.3497	0.612	-0.8743	-1.089	0.3916	0.1636	944.8	-270.5	-161.1	0.08741	-0.1749	0.2623	-1.33	-0.3042	0.2402
0.27	0	897.5	-175.3	-411.6	0	-0.7869	0.4372	-1.407	-0.07129	-0.5828	958.5	258.3	-140.1	0.08745	0.1749	-1.137	-1.39	0.4292	0.7307	943.4	212.9	-237.8	-0.2623	0.1749	-0.3497	-1.09	0.3916	0.1729	952.6	-270	-170.4	-0.3497	-0.5246	0.2623	-1.329	-0.3054	0.2376
0.28	0	900.4	-177.7	-407.7	-0.08741	0.3497	0.4372	-1.406	-0.06885	-0.5786	955.6	266.1	-141.1	-0.3497	0.1749	-0.7869	-1.39	0.4282	0.7158	949.2	220.2	-231.4	-0.9618	0.612	-0.4371	-1.091	0.3916	0.1821	946.3	-271.5	-177.7	0.4371	-0.3497	0.9618	-1.328	-0.3066	0.2349
0.29	0	905.8	-175.3	-409.2	-1.399	-0.612	0	-1.406	-0.07007	-0.5813	960	261.2	-140.1	-1.311	0.4372	0	-1.388	0.4316	0.7307	949.2	215.8	-227	0.08745	0.4372	-0.3497	-1.09	0.3892	0.1741	952.2	-270	-167.5	-0.4371	-0.08741	-0.1749	-1.328	-0.304	0.2376
0.30	0	896.5	-177.7	-412.1	0.612	0	0.8743	-1.406	-0.07129	-0.584	954.6	254.9	-139.2	-0.612	0.7869	-0.5246	-1.387	0.4351	0.7456	946.3	219.2	-238.8	-0.3497	0.5246	-0.3497	-1.089	0.3867	0.166	948.3	-262.7	-170.9	0.1749	-0.612	0.3497	-1.328	-0.3013	0.2402
0.31	0	895	-178.7	-398.4	0.08741	0.1749	0.9617	-1.405	-0.07129	-0.5828	964.8	266.1	-136.2	-0.08745	0.4372	-0.9617	-1.389	0.4326	0.7307	951.7	224.6	-233.4	-0.3497	0.612	0	-1.09	0.3855	0.1687	945.3	-267.1	-178.7	-0.2623	-0.4372	-0.08741	-1.33	-0.304	0.2402
0.32	0	895	-182.6	-404.3	-0.08741	-0.1749	1.049	-1.404	-0.07129	-0.5815	946.3	257.8	-148.9	0	0.4372	-0.3497	-1.392	0.4302	0.7158	949.7	222.7	-226.1	-0.612	0.08741	-0.2623	-1.091	0.3843	0.1714	944.8	-273.4	-171.4	-0.1749	-0.4372	0.2623	-1.333	-0.3066	0.2402
0.33	0	897.5	-181.6	-413.1	-0.08741	0.3497	0.4372	-1.409	-0.07007	-0.5842	957	258.3	-136.2	-0.2623	0	-0.6994	-1.388	0.4316	0.7266	944.8	218.3	-227	-0.4372	0.5246	-0.4371	-1.09	0.3855	0.1648	940.9	-274.9	-164.6	-0.612	-0.2623	0	-1.335	-0.3066	0.239
0.34	0	898.9	-178.7	-409.2	0	-0.4372	0.612	-1.414	-0.06885	-0.5869	953.1	258.3	-130.4	-0.5246	0.5246	-0.08741	-1.385	0.4331	0.7373	949.7	224.6	-228	-0.1749	0.3497	0	-1.089	0.3867	0.1582	946.3	-271	-166.5	-0.4371	-0.7869	-0.08741	-1.338	-0.3066	0.2378
0.35	0	887.2	-183.6	-412.6	-0.3497	-1.137	0.3497	-1.411	-0.07129	-0.5842	959.5	264.2	-143.1	0	0.08741	-0.4372	-1.386	0.4331	0.7253	942.4	215.8	-237.8	-0.4372	0.2623	0	-1.09	0.3852	0.1555	940.9	-271	-171.4	-1.049	-0.3497	0.08741	-1.335	-0.3093	0.2432
0.36	0	899.4	-173.3	-403.8	0	-0.7869	0.4372	-1.409	-0.07373	-0.5815	956.5	265.1	-131.8	0.3497	0.08741	0.8743	-1.387	0.4331	0.7134	950.7	220.2	-232.9	-0.08745	0.7869	0.3497	-1.091	0.3838	0.1528	948.7	-265.6	-170.9	0	-0.08741	0.612	-1.333	-0.312	0.2485
0.37	0	895.5	-184.6	-411.1	0.1749	-0.612	-0.1749	-1.409	-0.07373	-0.5869	954.1	257.3	-140.1	-0.7869	0.3497	-0.612	-1.388	0.4316	0.7307	949.2	217.8	-231.4	-0.3497	0.08741	0.4371	-1.092	0.385	0.157	949.7	-265.1	-168.9	-1.137	-0.1749	0.5246	-1.333	-0.3054	0.2473
0.38	0	892.6	-179.2	-414.5	0.2623	-0.7869	0.2623	-1.409	-0.07373	-0.5923	965.3	265.1	-136.7	-0.1749	0.2623	0.08741	-1.39	0.4302	0.748	944.8	217.8	-223.1	0.2623	0.5246	0	-1.093	0.3862	0.1611	939.9	-275.4	-171.4	0.1749	-0.8743	-0.08741	-1.333	-0.2988	0.2461
0.39	0	892.6	-182.6	-405.3	-0.1749	-0.3497	0.7869	-1.409	-0.07129	-0.5908	956.1	253.4	-146	-0.3497	0.5246	-0.1749	-1.39	0.429	0.7388	945.8	213.4	-221.7	-0.612	0.1749	-0.612	-1.092	0.3838	0.1609	944.3	-267.6	-175.3	0.5246	-0.7869	-0.1749	-1.333	-0.3015	0.2473
0.40	0	890.6	-185.1	-408.7	-0.3497	-0.4372	0.3497	-1.409	-0.06885	-0.5894	964.3	264.6	-133.3	0	0.3497	-0.612	-1.39	0.4277	0.7295	944.8	220.2	-226.6	-0.6994	0.8743	0	-1.091	0.3813	0.1606	951.7	-274.4	-167.5	0.2623	-0.4372	-0.08741	-1.333	-0.3042	0.2485
0.41	0	893.5	-185.1	-411.1	-0.5246	-0.5246	0.08745	-1.41	-0.06885	-0.5867	960.4	267.6	-136.7	0.1749	0.3497	-0.4372	-1.391	0.4302	0.7375	944.3	217.3	-227.5	0	-0.2623	-0.2623	-1.09	0.385	0.1567	950.7	-271	-178.2	-0.6995	0	0.08741	-1.332	-0.3027	0.2444
0.42	0	896	-179.2	-400.9	-0.2623	0.1749	0.08745	-1.411	-0.06885	-0.584	952.6	259.3	-130.9	-0.3497	0.7869	-0.1749	-1.392	0.4326	0.7456	947.3	219.7	-231.4	-0.08745	0.1749	-0.3497	-1.089	0.3887	0.1528	953.1	-264.2	-171.4	0.08741	-0.8743	-0.08741	-1.33	-0.3013	0.2402
0.43	0	897.5	-181.2	-413.6	0.1749	-0.2623	0.3497	-1.414	-0.06885	-0.5745	956.1	258.3	-138.2	-0.7869	0.2623	0.612	-1.392	0.4351	0.7388	952.1	217.8	-227	0	0.08741	0.4371	-1.089	0.3865	0.1555	951.2	-268.1	-173.8	0	-0.2623	-0.3497	-1.332	-0.3064	0.2402
0.44	0	891.1	-178.2	-407.7	0	1.049	0.08745	-1.416	-0.06885	-0.5649	958	263.7	-137.7	-0.612	0.4372	0.08741	-1.392	0.4375	0.7319	952.1	223.6	-227	0.5246	1.049	0.1749	-1.089	0.3843	0.1582	942.9	-272.9	-167.5	-0.1749	-0.3497	-0.3497	-1.333	-0.3115	0.2402
0.45	0	899.4	-183.1	-406.2	0	-0.5246	0.1749	-1.415	-0.06885	-0.5745	956.1	261.2	-142.6	-0.08745	0	-0.1749	-1.391	0.4338	0.7385	953.1	218.3	-228.5	0	0.5246	0.3497	-1.088	0.3843	0.1567	951.7	-268.1	-175.3	-0.4371	0.612	0.7869	-1.335	-0.3079	0.2405
0.46	0	896	-178.2	-405.3	0.4371	0	-0.4372	-1.414	-0.06885	-0.584	960.4	261.7	-133.8	0.2623	0.3497	0	-1.39	0.4302	0.7451	943.8	213.4	-220.2	-0.2623	0.3497	0.3497	-1.086	0.3843	0.1553	944.3	-269.5	-172.9	0.6995	-0.3497	0	-1.338	-0.3042	0.2407
0.47	0	891.1	-178.2	-403.8	0.1749	0	0	-1.411	-0.06641	-0.592	949.7	261.2	-133.8	-0.1749	0.1749	0.8743	-1.391	0.4302	0.7493	947.8	222.2	-224.1	0.612	0.08741	0.3497	-1.086	0.3867	0.1541	949.7	-269.5	-168	0	-1.049	0	-1.335	-0.3054	0.2378
0.48	0	895	-180.2	-406.2	0.1749	-0.5246	-0.08745	-1.409	-0.06396	-0.6001	949.2	253.9	-134.8	-0.08745	0.2623	0	-1.392	0.4302	0.7534	943.8	218.7	-226.6	0.612	0.08741	0.08741	-1.086	0.3892	0.1528	945.8	-273.9	-175.3	0	-0.3497	0.08741	-1.333	-0.3066	0.2349
0.49	0	898.4	-180.2	-405.8	-0.6995	-0.08741	-0.2623	-1.411	-0.06396	-0.592	953.6	252.9	-133.3	-0.1749	0.9617	1.224	-1.391	0.4302	0.7493	950.7	219.2	-227.5	0.3497	0	0.3497	-1.09	0.3889	0.1528	947.8	-265.6	-173.3	0	-0.3497	-0.7869	-1.33	-0.3027	0.239
0.50	0	894	-180.7	-408.7	0.6995	-0.2623	-0.6995	-1.414	-0.06396	-0.584	956.5	260.3	-125	-0.2623	0	0.8743	-1.39	0.4302	0.7451	946.8	219.7	-229.5	-0.5246	0.2623	0.7869	-1.093	0.3887	0.1528	946.8	-267.6	-163.6	-0.3497	-0.2623	-0.9618	-1.328	-0.2988	0.2432
0.51	0	896.5	-179.7	-405.3	-0.08741	-0.6995	-0.5246	-1.41	-0.06641	-0.5881	961.4	261.7	-148.4	-0.3497	0	-0.3497	-1.393	0.4326	0.7441	947.8	219.2	-229	0.3497	0.08741	0.1749	-1.091	0.3852	0.1541	948.7	-266.1	-172.4	-0.08741	-0.2623	-0.3497	-1.329	-0.3027	0.2515
0.52	0	896.5	-177.2	-408.7	0.2623	0.5246	-0.3497	-1.406	-0.06885	-0.5923	960.9	261.7	-138.2	-0.1749	0.3497	0.3497	-1.397	0.4351	0.7432	954.1	223.1	-227.5	0.5246	0.4372	0.4371	-1.089	0.3818	0.1553	944.3	-267.6	-173.8	-1.137	-0.2623	-0.6995	-1.331	-0.3066	0.2598
0.53	0	899.4	-177.2	-415.5	-0.5246	0.1749	-0.1749	-1.406	-0.07007	-0.5908	958	259.3	-131.8	0.2623	0	0.08741	-1.395	0.4338	0.7429	950.7	219.2	-224.6	0.2623	0	0.2623	-1.088	0.3843	0.158	952.2	-269.5	-176.3	0.08741	-0.1749	-0.3497	-1.331	-0.3091	0.2515
0.54	0	896	-176.3	-407.7	-0.08741	-0.2623	0.08745	-1.406	-0.07129	-0.5894	960.9	256.8	-141.6	0.4372	-0.2623	0	-1.392	0.4326	0.7427	952.1	221.7	-220.7	0.5246	0.1749	0.1749	-1.086	0.3867	0.1606	947.3	-270	-170.4	0	0.1749	-0.1749	-1.331	-0.3115	0.2432
0.55	0	898.4	-172.4	-408.2	0	0	-0.2623	-1.408	-0.07373	-0.604	948.7	251.5	-127.4	-0.5246	-0.1749	0	-1.391	0.4302	0.7427	948.2	212.9	-223.6	0.6994	-0.612	0.08741	-1.088	0.3877	0.1594	952.6	-265.1	-173.8	0.2623	-0.2623	-0.3497	-1.329	-0.3076	0.2376
0.56	0	897.9	-175.8	-418.9	0.4371	0	-0.2623	-1.411	-0.07617	-0.6187	954.6	257.3	-135.3	-0.5246	0.08741	0.3497	-1.39	0.4277	0.7427	950.2	222.7	-227.5	0.2623	0.08741	0.1749	-1.089	0.3887	0.1582	951.2	-266.6	-174.3	-0.612	0	0.08741	-1.328	-0.3037	0.2319
0.57	0	893.1	-179.7	-415	0.3497	0.7869	-0.08745	-1.41	-0.07373	-0.5986	960.4	263.2	-137.2	-0.612	0	0.1749	-1.39	0.4302	0.7415	946.8	217.3	-227.5	0.5246	-0.4372	0.612	-1.086	0.3865	0.1609	947.8	-271.5	-170.9	0.08741	0.08741	0.2623	-1.33	-0.304	0.2307
0.58	0	893.5	-182.1	-415.5	-0.08741	-0.2623	0	-1.409	-0.07129	-0.5786	956.5	259.3	-140.6	-0.08745	-0.1749	0.1749	-1.39	0.4326	0.7402	950.2	220.7	-227	0.3497	0.6994	0.7869	-1.084	0.3843	0.1636	949.2	-266.1	-164.1	-0.4371	0.1749	-0.8743	-1.333	-0.3042	0.2295
0.59	0	897	-179.2	-412.1	0.08741	0.612	0	-1.408	-0.07251	-0.592	958.5	258.8	-124.5	0.3497	-0.08741	0.8743	-1.388	0.4326	0.7402	948.7	219.2	-216.8	0.1749	-0.2623	0.5246	-1.089	0.3889	0.1582	951.2	-268.6	-167	0.08741	-0.5246	-0.4372	-1.331	-0.3079	0.221
0.60	0	891.6	-181.2	-409.2	-0.2623	0	-0.4372	-1.408	-0.07373	-0.6055	953.1	258.8	-133.3	0.2623	-0.08741	1.137	-1.387	0.4326	0.7402	952.6	222.7	-225.6	0.7869	-0.4372	0.3497	-1.093	0.3936	0.1528	947.8	-269	-169.4	-0.7869	-0.9617	-0.612	-1.33	-0.3115	0.2124
0.61	0	895	-179.2	-414.5	-0.6995	-0.5246	-0.3497	-1.407	-0.07251	-0.5989	957.5	257.3	-140.1	-0.6995	-0.8743	0.5246	-1.387	0.4314	0.7429	951.2	218.3	-231.9	0	-0.2623	0.6995	-1.092	0.3877	0.1555	949.2	-266.1	-166	-1.137	-1.049	0.1749	-1.329	-0.3103	0.2249
0.62	0	898.9	-171.9	-410.6	-0.1749	0.4372	-0.1749	-1.406	-0.07129	-0.5923	955.1	255.9	-133.3	0.3497	-0.2623	-0.4372	-1.387	0.4302	0.7456	951.7	222.7	-231	0.1749	-0.8743	0	-1.091	0.3818	0.1582	945.3	-268.1	-164.1	0	-0.612	-0.7869	-1.328	-0.3091	0.2373
0.63	0	897	-173.8	-412.6	0	0.7869	-0.1749	-1.407	-0.07129	-0.6016	959	255.4	-128.4	0	-0.1749	0.08741	-1.386	0.4326	0.7468	945.3	218.3	-226.6	0	-0.5246	0	-1.091	0.3852	0.1462	946.8	-265.6	-172.9	-0.6995	-0.2623	-0.4372	-1.33	-0.3091	0.2263
0.64	0	895	-175.3	-403.3	0.2623	-0.4372	0.1749	-1.408	-0.07129	-0.6108	960.4	258.3	-145	-0.2623	-0.6994	-0.3497	-1.385	0.4351	0.748	947.3	214.8	-228	0.4372	0	1.137	-1.091	0.3887	0.1343	958	-262.7	-182.1	-0.3497	-1.049	-1.836	-1.333	-0.3091	0.2153
