MR32 ASCII
Name	static_2
Frequency	100
Date	27-03-2018 15:27:17
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	945.8	1.467	-201.2	11.1	-11.98	-1.399	-1.15	-0.6113	-0.5899	955.6	127.4	-168	3.06	13.38	-1.137	-1.157	0.5059	0.6841	959	-26.85	-302.7	2.011	9.967	0.6997	-0.8437	0.5137	0.1875	985.4	103	-102.5	4.11	-9.53	3.585	-0.9995	-0.6187	0.1899
0.01	0	952.6	-28.81	-211.9	12.5	-12.77	-0.9614	-1.153	-0.6106	-0.5696	939.4	118.7	-161.1	4.372	10.23	-2.186	-1.16	0.5071	0.6858	975.6	-19.53	-310.5	3.234	11.28	0.262	-0.8474	0.5134	0.1882	1000	110.3	-107.9	4.809	-9.53	3.497	-1.002	-0.6187	0.2019
0.02	0	961.9	-41.02	-186	12.59	-12.07	-1.224	-1.156	-0.6099	-0.5493	948.2	111.8	-199.7	4.284	8.218	-3.235	-1.163	0.5083	0.6875	978	-20.02	-292	3.848	11.54	0.9617	-0.8511	0.5132	0.189	1000	125	-108.4	5.421	-9.705	3.672	-1.004	-0.6187	0.2139
0.03	0	972.6	-20.5	-167.5	12.68	-12.59	-0.874	-1.159	-0.6118	-0.5505	956.6	97.66	-236.8	5.683	10.23	-2.448	-1.166	0.5068	0.6858	976.6	-25.39	-285.6	4.285	12.42	0.7871	-0.8501	0.5122	0.1895	997.1	110.3	-120.1	4.983	-10.05	4.109	-1.003	-0.6213	0.2004
0.04	0	971.7	11.72	-164.5	12.68	-13.12	-1.749	-1.163	-0.6138	-0.5517	970.2	61.04	-196.8	5.596	10.58	-1.836	-1.169	0.5054	0.6841	979	-32.72	-294.4	5.682	12.33	0.3494	-0.8491	0.5112	0.1899	1013	120.1	-127.4	6.644	-10.67	4.197	-1.002	-0.624	0.187
0.05	0	973.1	72.76	-169.4	13.73	-15.82	-1.836	-1.166	-0.6123	-0.5476	1003	49.31	-190.4	5.159	10.58	-3.148	-1.171	0.5049	0.6794	982.9	-40.52	-276.9	6.382	13.73	0.3494	-0.8501	0.5098	0.1865	1009	111.8	-130.4	7.431	-10.84	5.071	-1.002	-0.6213	0.2046
0.06	0	986.3	114.3	-197.3	11.45	-18.62	-1.049	-1.169	-0.6108	-0.5435	981	127	-189.4	2.099	12.24	-4.984	-1.172	0.5044	0.6748	976.1	-36.13	-265.6	6.907	13.9	0	-0.8511	0.5083	0.1831	1002	120.6	-134.8	9.705	-10.75	4.459	-1.002	-0.6187	0.2222
0.07	0	987.8	135.3	-210.5	1.573	-17.75	4.022	-1.169	-0.6074	-0.5515	977.1	206.5	-153.3	-9.617	8.918	-5.858	-1.174	0.5029	0.6885	978.5	-28.81	-257.8	5.333	14.78	0	-0.8501	0.5107	0.1797	995.6	127	-153.8	7.519	-10.05	4.371	-1.002	-0.6213	0.209
0.08	0	981.9	115.7	-227.1	-12.07	-18.62	9.442	-1.17	-0.604	-0.5596	999	236.3	-161.6	-21.68	8.743	-3.497	-1.176	0.5015	0.7022	980.5	-47.37	-235.4	3.585	14.51	-0.6124	-0.8491	0.5132	0.1763	994.6	129.4	-177.7	6.034	-10.49	6.47	-1.002	-0.624	0.1958
0.09	0	984.4	31.74	-242.2	-20.55	-17.92	11.89	-1.173	-0.6028	-0.5481	1008	156.7	-166	-27.19	10.49	-0.6117	-1.177	0.4966	0.6914	999.5	-66.41	-253.9	1.923	15.56	-1.749	-0.8525	0.5168	0.1716	1011	108.9	-190.4	5.245	-9.53	6.47	-1.001	-0.6196	0.2117
