MR32 ASCII
Name	Trial_5
Frequency	100
Date	28-03-2018 10:38:47
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	990.3	112.8	-78.61	-0.1714	-0.1757	0.09056	-0.5962	-0.6636	-1.064	976.6	-82.02	-171.9	0.1731	-0.1736	0	-0.7558	0.919	0.7788	990.3	-34.65	-137.7	0	0.35	-0.6095	-0.9341	0.853	0.5986	971.2	-62.53	-227.6	0	0.4361	0.7902	-1.152	-0.7222	-0.4639
0.01	0	989.2	119.6	-81.06	-0.6149	0.08784	0.09056	-0.595	-0.6587	-1.062	982.4	-74.21	-180.2	0.1731	0.4362	0.0852	-0.7571	0.9165	0.7776	989.7	-37.09	-138.7	-0.3498	0.6121	-0.4353	-0.9378	0.8506	0.6067	969.7	-67.89	-228.5	-0.6122	-0.4361	-0.4354	-1.151	-0.7234	-0.4639
0.02	0	987.3	117.2	-83.5	-0.09073	0.2635	-0.8784	-0.5937	-0.6538	-1.06	977	-83.03	-173.3	-0.1731	-0.08913	0.1789	-0.7583	0.9141	0.7764	986.8	-39.53	-127	0	-0.1742	0.1741	-0.9414	0.8481	0.6147	971.2	-61.52	-237.3	0.3509	0	0.3467	-1.15	-0.7246	-0.4639
0.03	0	986.3	112.8	-80.56	-0.5242	-0.08784	-0.1721	-0.5952	-0.655	-1.054	983.9	-81.52	-183.1	-0.702	0.08913	-0.3493	-0.7549	0.9143	0.7722	990.7	-44.9	-141.1	0.5247	0	-0.2612	-0.9392	0.8518	0.6267	972.6	-65.43	-220.7	0.7018	-0.0864	0.8709	-1.151	-0.721	-0.4678
0.04	0	995.1	116.2	-86.91	-0.2621	0.5226	0	-0.5967	-0.6563	-1.049	983.4	-87.41	-177.7	-0.9616	0.08913	0.0852	-0.7515	0.9145	0.7681	988.8	-41.97	-149.9	-0.08395	0.8743	0	-0.937	0.8555	0.6387	971.2	-60.57	-214.3	-0.4405	-0.6995	-0.2661	-1.152	-0.7173	-0.4717
0.05	0	987.3	114.2	-79.6	0.1714	-0.1757	0	-0.5955	-0.6563	-1.053	979	-88.37	-178.7	-0.6155	0	0.4345	-0.7502	0.917	0.7749	985.9	-41.49	-140.1	0.4338	-0.7001	-0.4353	-0.9392	0.8542	0.6255	981	-58.61	-227.1	0.6122	-0.5246	0	-1.151	-0.717	-0.469
0.06	0	986.3	114.2	-85.94	0.3528	-0.6105	0.4347	-0.5942	-0.6563	-1.057	975.6	-89.83	-166.5	0	0.6989	-0.2641	-0.749	0.9194	0.7817	989.7	-39.05	-147	0.4338	0.4379	-0.3483	-0.9414	0.853	0.6123	972.6	-62.97	-227.6	0.08959	-0.6995	-0.1774	-1.15	-0.7168	-0.4663
0.07	0	986.8	111.8	-86.91	1.22	-0.1757	0.3532	-0.5952	-0.6575	-1.058	981.4	-81.07	-167.5	0.6155	-0.1736	0.2641	-0.7537	0.9155	0.7776	990.3	-34.65	-138.7	0.5247	-0.35	-0.8707	-0.9378	0.8518	0.6174	970.7	-58.61	-225.1	0	-0.3497	1.137	-1.149	-0.7183	-0.4663
0.08	0	982.9	112.8	-89.36	1.573	0	0.6158	-0.5962	-0.6587	-1.06	975.1	-88.37	-165	0.702	0	-0.1789	-0.7583	0.9116	0.7734	986.3	-43.44	-140.1	0	0.08791	-0.3483	-0.9341	0.8506	0.6226	975.1	-63.47	-225.1	0	-0.611	0	-1.147	-0.7197	-0.4663
0.09	0	992.2	119.2	-84.47	0.9577	0.1757	0.7879	-0.5952	-0.6575	-1.058	980.9	-85.95	-174.3	0.8751	0	-0.1789	-0.7549	0.9155	0.7681	989.7	-39.53	-139.2	-0.4338	0.4379	0.4353	-0.9353	0.8494	0.6147	973.2	-62.02	-231	-0.5226	0.2613	0.5241	-1.15	-0.721	-0.4692
