MR32 ASCII
Name	static
Frequency	100
Date	28-03-2018 10:31:39
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	989.3	28.81	-154.3	0	0.08741	0.4372	-1.148	-0.4946	-0.7637	993.7	29.79	-140.6	-0.3498	0.7869	-0.3497	-1.275	0.6152	0.5899	990.7	-47.36	-135.3	0	-0.2623	-0.08741	-0.8823	0.4922	-0.04687	972.2	-53.71	-229	-0.5246	-0.2623	-0.5246	-1.232	-0.3989	0.2056
0.01	0	988.8	28.32	-146.5	-0.08741	0.8743	-0.3498	-1.148	-0.4912	-0.7598	990.2	23.93	-147.5	-0.3498	0.4372	-0.08743	-1.274	0.614	0.5977	992.2	-53.22	-142.6	0.4371	0.08741	0	-0.8811	0.4946	-0.05347	969.7	-55.67	-231.9	0.612	-0.3497	0	-1.231	-0.3965	0.2002
0.02	0	984.9	27.83	-159.7	0	0.4372	-0.3498	-1.148	-0.4878	-0.7559	997.1	27.83	-138.7	0.4372	0.4372	0.2623	-1.273	0.6128	0.6055	993.6	-46.88	-146.5	-0.1748	-0.1749	0.08741	-0.8799	0.4971	-0.06006	971.2	-51.76	-235.8	-0.2623	0.1748	-0.4371	-1.229	-0.394	0.1948
0.03	0	985.8	27.34	-155.8	0.2622	0.4372	-0.4372	-1.15	-0.4912	-0.7559	994.2	34.67	-139.6	-0.08741	-0.6994	0.7869	-1.272	0.6116	0.6108	983.9	-55.66	-137.2	0.2622	0.1749	0.612	-0.8835	0.4995	-0.05591	974.1	-49.8	-230.5	0.6994	-0.2623	-0.5246	-1.229	-0.3926	0.1934
0.04	0	985.4	30.76	-151.9	0	-0.1749	0	-1.152	-0.4946	-0.7559	995.6	31.74	-146	0.08741	0.3497	0.08743	-1.271	0.6104	0.6162	989.7	-50.29	-144.5	0.2622	-0.5246	-0.3497	-0.8872	0.5019	-0.05176	967.3	-53.22	-227.5	-0.9618	0.08745	0	-1.229	-0.3911	0.1919
0.05	0	988.8	32.72	-149.4	-0.2622	-0.5246	0.08741	-1.148	-0.4934	-0.7571	997.5	24.9	-144.5	-0.08741	0.4372	0.2623	-1.271	0.6104	0.6111	990.7	-46.39	-138.2	0.6995	0.1749	0.5246	-0.8811	0.4995	-0.052	981.9	-45.9	-225.1	-0.2623	0	-0.3497	-1.231	-0.3926	0.2002
0.06	0	987.8	39.06	-154.8	0.08741	-0.08741	0.2624	-1.143	-0.4922	-0.7583	989.8	20.51	-140.1	-0.4372	0.3497	-0.1749	-1.271	0.6104	0.606	987.3	-54.2	-141.6	0.08741	0.612	0	-0.875	0.4971	-0.05225	968.3	-53.22	-217.3	-0.5246	-0.612	0.4371	-1.232	-0.394	0.2085
0.07	0	988.8	34.18	-157.7	-0.08741	-0.2623	0.2624	-1.146	-0.4934	-0.7625	993.7	24.41	-142.6	-0.3498	-0.3497	0	-1.274	0.615	0.6072	993.2	-50.78	-141.1	0.6121	0.2623	-0.2623	-0.8787	0.4983	-0.06006	973.1	-51.76	-227.1	0	-0.7869	-0.4371	-1.23	-0.394	0.2153
0.08	0	994.1	40.04	-154.3	0	-0.5246	-0.08741	-1.15	-0.4946	-0.7666	991.7	19.53	-136.2	-0.1748	0	-0.08743	-1.278	0.6196	0.6084	988.8	-51.76	-141.6	0.08741	0.08741	-0.2623	-0.8823	0.4995	-0.06787	974.6	-51.27	-229.5	0.1748	-0.3497	-0.2623	-1.228	-0.394	0.2222
0.09	0	992.2	30.76	-152.3	-0.08741	-0.612	0.612	-1.149	-0.4922	-0.7612	989.8	22.46	-133.3	-0.7869	0.2623	1.049	-1.274	0.6162	0.6072	988.8	-56.64	-143.6	0.08741	-0.2623	-0.3497	-0.8823	0.4995	-0.05981	970.7	-51.76	-236.3	-0.2623	-0.9617	0.4371	-1.23	-0.394	0.2139
0.10	0	996.1	33.69	-161.1	0.08741	-0.2623	0.5246	-1.148	-0.4898	-0.7559	989.3	23.44	-149.9	-0.5246	0.2623	0.3497	-1.271	0.6128	0.606	996.6	-47.85	-135.7	-0.1748	-0.612	-0.4372	-0.8823	0.4995	-0.05176	967.3	-59.08	-229	1.049	-0.5246	-0.1749	-1.232	-0.394	0.2056
0.11	0	991.7	41.02	-159.2	0.1748	-1.224	-0.3498	-1.144	-0.4956	-0.7573	988.8	28.32	-141.1	-1.486	0.1749	-0.4372	-1.269	0.6128	0.6057	988.8	-53.71	-139.7	0	0.612	0.08741	-0.8796	0.4922	-0.07568	979.5	-48.34	-239.3	1.049	0.08745	0.9617	-1.231	-0.3928	0.2056
0.12	0	988.8	32.23	-161.1	-0.1748	-1.749	0	-1.141	-0.5015	-0.7588	985.3	25.88	-143.1	-1.137	0	0.3497	-1.268	0.6128	0.6055	986.8	-52.25	-131.3	0.08741	-0.2623	-0.5246	-0.8769	0.4849	-0.09961	978.5	-47.85	-231.9	0.7869	0.4371	0	-1.23	-0.3916	0.2056
0.13	0	990.7	32.23	-157.2	-0.08741	-0.6995	0.4372	-1.145	-0.498	-0.7585	990.7	25.88	-144.5	-0.9617	0.3497	0.4372	-1.269	0.6128	0.6069	987.3	-51.27	-139.7	-0.4371	-0.08741	0.1749	-0.8772	0.491	-0.07715	969.7	-56.64	-232.9	0.5246	-0.4371	-0.08741	-1.227	-0.394	0.2014
0.14	0	991.2	37.11	-157.7	0.4371	-0.612	0	-1.15	-0.4946	-0.7583	981.9	17.09	-144.5	-0.9617	0.612	-0.2623	-1.271	0.6128	0.6084	989.7	-48.83	-146.5	0.08741	0	-0.3497	-0.8774	0.4971	-0.05469	969.7	-59.08	-232.4	0.612	0.1748	-0.4371	-1.225	-0.3965	0.1973
0.15	0	989.8	32.72	-155.8	0.1748	-0.08741	0.1748	-1.153	-0.4922	-0.7583	992.7	28.32	-141.6	0	0.2623	0.08743	-1.269	0.6128	0.6057	989.7	-46.88	-142.1	0.5247	-0.4372	0.08741	-0.8787	0.4959	-0.05859	967.8	-54.69	-242.2	0.1748	-0.08745	0.1749	-1.229	-0.3953	0.2029
0.16	0	989.8	29.78	-157.2	0.5247	-0.2623	0.2624	-1.155	-0.4898	-0.7583	986.8	20.51	-142.1	-0.6995	0.4372	0.4372	-1.268	0.6128	0.603	985.3	-50.29	-146.5	0.6121	-0.1749	-0.2623	-0.8799	0.4946	-0.0625	969.7	-56.64	-229.5	0.08741	0	-0.7869	-1.232	-0.394	0.2085
0.17	0	993.6	30.27	-152.8	0.08741	0.4372	0.5246	-1.154	-0.4922	-0.7571	986.8	23.93	-138.2	-0.5246	0.3497	-0.2623	-1.269	0.6116	0.6045	989.3	-51.27	-135.7	0.08741	-0.4372	0.3497	-0.8823	0.4959	-0.05859	974.1	-50.78	-237.8	0	0.2623	-0.7869	-1.23	-0.3953	0.207
