MR32 ASCII
Name	Trial_12
Frequency	100
Date	09-04-2018 12:39:08
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	927.3	-369.1	-55.18	0.2607	0.3504	0.4391	-1.454	-0.4439	0.1436	913.1	267.6	-302.7	-0.0897	-0.7008	-0.2597	-1.478	0.4614	0.4673	954.1	156.2	-250	0.615	-1.748	-0.609	-1.055	0.5303	0.1128	989.7	-26.8	-134.3	0.1782	0.2667	0.2622	-1.011	-0.7456	-0.2783
0.01	0	931.2	-360.9	-59.57	0.0894	0.7876	0.4391	-1.455	-0.4439	0.1462	921.4	261.2	-287.1	-0.4403	-0.6132	0.5276	-1.482	0.4614	0.4714	957	153.4	-254.4	0.08786	-2.012	-0.522	-1.054	0.5291	0.1248	991.7	-28.89	-137.7	-0.438	0.6096	0.2622	-1.013	-0.7446	-0.2661
0.02	0	936.5	-357	-65.91	-0.6109	0.1734	0.7878	-1.456	-0.4439	0.1489	920.4	262.7	-293.5	-0.3506	0	-0.1786	-1.487	0.4614	0.4756	950.7	150.4	-263.7	0.6962	-2.536	-0.348	-1.053	0.5278	0.1367	992.2	-26.42	-143.6	0.2598	0.1715	0.2622	-1.014	-0.7436	-0.2539
0.03	0	929.7	-364.7	-56.15	0	0.7876	0.523	-1.455	-0.4497	0.1475	920.9	268.6	-288.6	-0.5219	-0.7008	0	-1.486	0.4602	0.4727	950.2	150.8	-249	0.5272	-1.66	-0.696	-1.054	0.5254	0.1313	991.7	-27.37	-130.8	-0.1782	0.3525	0.6993	-1.011	-0.741	-0.262
0.04	0	927.7	-362.8	-59.57	0.1713	0.3504	0.2647	-1.454	-0.4555	0.146	920.4	269.6	-289.5	-0.7828	-1.048	-0.2597	-1.485	0.459	0.4697	958	155.4	-263.7	0.3515	-3.059	0	-1.055	0.5229	0.126	987.8	-31.74	-138.7	0.3489	0.6954	-0.1748	-1.009	-0.7383	-0.27
0.05	0	925.3	-366.7	-55.18	-0.6109	0	-0.1743	-1.456	-0.4497	0.1475	915	264.1	-293.9	-1.403	-0.9604	-0.5276	-1.485	0.459	0.4712	959	157.3	-261.7	0.8719	-2.449	-0.522	-1.052	0.5254	0.1326	992.2	-23.38	-130.8	0	0.7906	0.2622	-1.01	-0.741	-0.262
0.06	0	932.1	-361.8	-59.57	-1.311	0.7009	0.9621	-1.458	-0.4439	0.1489	917	264.7	-289.1	-0.7013	-0.8728	0.2597	-1.485	0.459	0.4727	953.1	152.8	-260.2	1.487	-2.449	0.261	-1.05	0.5278	0.1392	984.9	-27.75	-134.8	0.1782	0.1715	-0.08741	-1.011	-0.7436	-0.2539
0.07	0	928.2	-368.2	-60.54	-0.7003	-0.3504	0.1743	-1.46	-0.4426	0.1489	915	265.6	-292.5	-0.1712	-1.661	0.2597	-1.486	0.459	0.4727	955.5	153.4	-261.2	1.926	-2.361	-0.087	-1.054	0.5303	0.1484	991.2	-28.89	-138.7	-0.6978	1.134	0	-1.015	-0.7412	-0.2566
0.08	0	932.6	-362.8	-56.15	-0.5215	0.5239	0.523	-1.461	-0.4414	0.1489	918.9	266.6	-285.1	-0.3506	-1.223	0.2597	-1.487	0.459	0.4727	957	155.4	-255.4	1.311	-2.536	0.174	-1.058	0.5327	0.1577	992.7	-23.95	-132.8	0	0.3525	-1.224	-1.019	-0.7388	-0.2593
0.09	0	929.2	-359.9	-57.62	-1.14	0.4372	0.1743	-1.46	-0.4416	0.1462	919.9	261.2	-301.3	0.0897	-0.7884	0.349	-1.486	0.4578	0.4741	954.1	148.4	-259.3	1.311	-3.323	0.087	-1.055	0.5291	0.1472	985.4	-28.89	-137.7	0	0.7906	-0.5245	-1.016	-0.74	-0.2539
