MR32 ASCII
Name	static
Frequency	100
Date	09-04-2018 12:24:46
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	935.6	-142.6	-333	0.08745	-0.3497	0	-1.326	-0.5571	-0.06396	993.7	5.859	-106	-0.1749	0.7869	0.3497	-1.17	0.5337	0.457	905.8	293.9	-306.1	0.5246	0.08741	0.1749	-0.9561	0.1191	-0.01855	971.7	-183.1	-141.1	-0.3497	-0.2623	-0.6995	-1.19	-0.2178	-0.04346
0.01	0	929.7	-153.8	-340.3	-0.2623	0	0.7869	-1.325	-0.5547	-0.06787	994.6	4.883	-106.9	-0.5246	0.3497	-0.08741	-1.171	0.5349	0.4582	901.8	291.5	-305.7	0.2623	0.7869	-0.2623	-0.9551	0.1169	-0.003174	972.2	-186	-142.6	0.08741	0	-0.8743	-1.19	-0.2166	-0.03955
0.02	0	927.7	-155.3	-340.3	0	-0.5246	-0.2623	-1.324	-0.5523	-0.07178	996.1	6.348	-96.19	0.5246	0.4372	-0.1749	-1.172	0.5361	0.4595	905.3	294.4	-317.4	0.3497	0.9617	0.1749	-0.9541	0.1147	0.01221	975.6	-181.2	-134.3	0	-0.4371	-0.1749	-1.19	-0.2153	-0.03564
0.03	0	935.1	-144.5	-338.4	0.4371	-0.08741	-0.2623	-1.325	-0.5571	-0.07959	991.2	0.9768	-104.5	0.612	0.6995	1.224	-1.172	0.5371	0.4609	902.3	291.5	-310.1	-0.5246	0.1749	-0.08741	-0.9575	0.1157	0.006103	977.5	-179.7	-137.2	0	-0.7869	0	-1.189	-0.2153	-0.03955
0.04	0	925.8	-150.4	-345.2	0	-0.2623	0	-1.326	-0.562	-0.0874	994.1	4.883	-95.21	0.6995	0.7869	0.1749	-1.172	0.5381	0.4624	900.4	291.5	-312	0	0.2623	-0.1749	-0.9609	0.1167	0	975.6	-182.1	-135.7	0	-0.1749	0	-1.187	-0.2153	-0.04346
0.05	0	933.1	-145	-333	0.4371	-0.3497	0.7869	-1.322	-0.5596	-0.07959	992.2	2.441	-99.61	0	0.3497	0.08741	-1.17	0.5371	0.4597	908.2	296.9	-305.2	-0.08745	0.1749	0	-0.9609	0.1167	0.008789	973.6	-184.6	-141.1	-0.612	-0.5246	-0.1749	-1.189	-0.2141	-0.03809
0.06	0	934.1	-148	-335.9	0	-0.3497	0.3497	-1.319	-0.5571	-0.07178	991.7	7.324	-103.5	0	0.08741	-0.1749	-1.167	0.5361	0.457	905.8	297.9	-300.8	0.2623	0.8743	0.2623	-0.9609	0.1167	0.01758	971.2	-188	-143.6	0	-0.2623	-0.4372	-1.19	-0.2129	-0.03271
0.07	0	930.7	-146.5	-332.5	0.7869	-0.3497	0.612	-1.321	-0.5571	-0.07691	1001	13.18	-99.61	-0.1749	-0.5246	-0.2623	-1.17	0.5371	0.4624	906.2	294.9	-305.7	0.612	-0.2623	0	-0.9597	0.1145	0.01611	974.1	-182.1	-142.6	0.612	0	-0.3497	-1.193	-0.2153	-0.03418
0.08	0	932.1	-151.4	-336.9	0.8743	-0.612	0.8743	-1.323	-0.5571	-0.08203	988.8	1.465	-108.4	0.4372	0	-0.1749	-1.172	0.5381	0.4678	896	291.5	-304.2	0.5246	0.7869	0.3497	-0.9585	0.1123	0.01465	971.2	-188.5	-135.7	0.612	0.1749	-0.3497	-1.195	-0.2178	-0.03564
0.09	0	925.8	-159.2	-337.9	0.2623	-0.6995	-0.08741	-1.322	-0.5547	-0.07422	990.2	-0.4881	-110.4	0.1749	0.8743	0	-1.17	0.5405	0.4612	900.4	292.5	-311.5	0.5246	-0.612	0.4372	-0.9597	0.1145	0.01221	980	-182.6	-141.1	0.5246	0	0	-1.193	-0.2178	-0.03955
