MR32 ASCII
Name	Trial_7
Frequency	100
Date	09-04-2018 19:15:53
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	937.5	-134.2	-298.8	-0.4365	-0.6115	-0.176	-1.016	-0.7207	-0.5347	967.3	230	-91.28	0	-0.08782	0.7017	-1.464	0.333	0.5767	995.6	-25.88	-113.8	-0.08977	-0.7865	0	-0.7617	0.729	-0.2988	912.6	120.6	-385.7	0.0869	-0.2634	0.6074	-0.8262	-0.9185	0.4238
0.01	0	945.8	-135.2	-284.7	-0.4365	1.223	0.08801	-1.019	-0.7219	-0.5239	970.2	230.9	-88.39	0	-0.2635	-0.1784	-1.467	0.333	0.5832	994.6	-24.88	-109.4	-0.4383	-0.7865	0.6087	-0.758	0.7302	-0.3003	914.1	123	-393.6	-0.0869	-0.3493	0	-0.8262	-0.9172	0.4226
0.02	0	943.3	-133.7	-302.7	0	-0.1751	0	-1.021	-0.7232	-0.5132	970.7	233.4	-95.73	-0.6974	-0.08782	0.3449	-1.469	0.333	0.5899	993.7	-24.41	-103	-0.264	-0.3496	0.1739	-0.7544	0.7314	-0.3018	910.7	115.2	-397.9	-0.1738	-0.3493	0.09111	-0.8262	-0.916	0.4214
0.03	0	944.3	-130.8	-291	0	-0.1751	-0.08801	-1.023	-0.7232	-0.521	969.7	234.9	-92.77	-0.523	0.08782	0	-1.468	0.3308	0.5752	990.3	-23.93	-114.8	0.264	0.437	0.08696	-0.7568	0.7302	-0.2991	910.2	110.3	-396.5	-0.0869	-0.1746	-0.6074	-0.825	-0.9209	0.4226
0.04	0	945.3	-134.7	-300.3	0.6111	0.3503	0.08801	-1.025	-0.7232	-0.5288	966.8	233.9	-90.37	-0.2615	0.5269	0.7849	-1.467	0.3286	0.5605	996.1	-23.93	-107.4	0	-0.7865	0	-0.7593	0.729	-0.2964	915.6	117.2	-391.6	0	-0.1746	-0.09111	-0.8237	-0.9258	0.4238
0.05	0	950.7	-129.3	-290	-0.4365	0.4364	0.176	-1.022	-0.7241	-0.5156	967.3	229	-96.22	-0.9589	-0.08782	0.1784	-1.465	0.332	0.5776	996.1	-23.93	-109.9	0.264	0.2622	-0.4348	-0.7593	0.7302	-0.3018	919.9	117.2	-391.6	1.139	0.962	-0.09111	-0.825	-0.9197	0.4226
0.06	0	948.7	-133.3	-293.4	-0.2619	0	0	-1.019	-0.7251	-0.5024	966.8	229.5	-86.91	-0.8717	0.1756	1.142	-1.462	0.3354	0.5947	994.1	-21.98	-107.4	0.5228	0	-0.1739	-0.7593	0.7314	-0.3071	910.7	116.2	-393.1	1.399	-0.6986	-0.4353	-0.8262	-0.9136	0.4214
0.07	0	944.3	-136.7	-295.9	-0.5238	-0.4364	0	-1.017	-0.7253	-0.5144	968.3	231.9	-90.37	0	0.5269	1.047	-1.466	0.3342	0.5776	996.1	-11.7	-112.3	0.1743	-0.7865	0.5217	-0.758	0.7327	-0.311	911.1	119.1	-389.2	0.0869	-0.2634	-0.2632	-0.8274	-0.9172	0.4214
0.08	0	946.8	-126.9	-293	-0.6111	-0.08613	0.352	-1.016	-0.7256	-0.5264	967.8	229.5	-96.22	1.046	0.6971	1.487	-1.469	0.333	0.5605	992.7	-17.6	-119.1	0	-0.6991	-0.08696	-0.7568	0.7339	-0.3149	914.6	118.6	-377.9	0.0869	0.1746	-1.225	-0.8286	-0.9209	0.4214
0.09	0	937	-136.2	-297.8	-1.048	0.08613	-0.352	-1.015	-0.7241	-0.5159	969.7	230.9	-94.74	0	-0.1756	1.487	-1.469	0.3342	0.5779	997.6	-14.18	-114.2	-0.1743	-0.08739	0.6087	-0.7532	0.7351	-0.3083	919.9	121.1	-382.8	-0.0869	-0.6127	-0.1721	-0.8274	-0.9233	0.4211
0.10	0	948.7	-126.9	-288.6	-1.135	0.08613	0.264	-1.014	-0.7227	-0.5054	962.4	224.1	-84.02	-1.314	0.3513	0.9633	-1.469	0.3354	0.5952	992.2	-21.98	-118.2	-1.135	-0.6117	0.7826	-0.7495	0.7363	-0.3018	911.6	121.6	-391.6	-0.6997	-0.1746	0	-0.8262	-0.9258	0.4209
0.11	0	941.4	-130.3	-289.5	-0.6111	0.2613	0.176	-1.015	-0.7193	-0.5159	972.1	235.8	-96.22	-1.14	-0.1756	1.047	-1.468	0.3318	0.5913	993.7	-23.93	-109.9	-0.697	-0.2622	0.3478	-0.7529	0.7314	-0.3149	915.6	120.6	-390.1	-0.7866	0.3493	0	-0.8237	-0.9233	0.4141
0.12	0	951.1	-129.8	-290.5	-0.7856	-0.1751	0.4401	-1.016	-0.7158	-0.5264	975.6	241.3	-87.4	-1.75	0.5269	1.748	-1.467	0.3281	0.5874	998.5	-24.88	-111.3	-0.264	-0.1748	0.4348	-0.7564	0.7266	-0.3281	914.6	114.7	-394.5	-0.3476	-0.1746	-0.7896	-0.8213	-0.9209	0.4072
0.13	0	953.1	-124.6	-282.7	-0.7856	0.8757	-0.176	-1.017	-0.7195	-0.5212	969.7	226.6	-83.52	-1.046	0.08782	0.5233	-1.467	0.333	0.5901	999	-22.45	-101.6	-0.08977	0.6991	1.14	-0.7566	0.7302	-0.3135	910.7	110.3	-401.4	-1.047	-0.08876	-0.4353	-0.8237	-0.9209	0.4143
0.14	0	946.3	-125.5	-297.4	-0.3492	0	-0.176	-1.019	-0.7232	-0.5161	969.7	230.9	-88.39	-0.3487	0.08782	1.308	-1.467	0.3379	0.5928	996.6	-22.45	-108.9	-0.264	-0.08739	0.08696	-0.7568	0.7339	-0.2988	913.6	119.6	-395.5	0.2607	0.08876	-0.8706	-0.8262	-0.9209	0.4214
0.15	0	944.3	-129.8	-299.3	-0.8729	0.2613	0.264	-1.02	-0.7219	-0.5081	971.2	230.9	-101.1	-1.314	0.9605	1.225	-1.471	0.3342	0.5874	994.6	-26.88	-110.3	0.4383	-1.049	0.1739	-0.759	0.7336	-0.3108	915.1	120.6	-387.7	0	0.438	-0.2632	-0.8274	-0.9248	0.4199
0.16	0	948.7	-128.4	-294.9	-1.746	0.5254	1.045	-1.021	-0.7207	-0.5	974.6	225.6	-75.2	-1.75	0.08782	0.44	-1.476	0.3306	0.582	996.1	-21.98	-119.1	0.08977	-0.5243	0.4348	-0.7612	0.7334	-0.3228	913.1	119.1	-391.1	0	0.438	-0.3543	-0.8286	-0.9287	0.4185
0.17	0	953.6	-128.9	-287.6	-0.8729	0.2613	-0.6161	-1.021	-0.7207	-0.5039	975.6	212.4	-85.92	-1.14	1.048	-0.1784	-1.473	0.3294	0.5874	993.2	-26.88	-113.8	0	-0.1748	0	-0.7615	0.7346	-0.3135	918.4	117.2	-390.6	-0.8735	-0.2634	-0.9617	-0.8298	-0.9263	0.4199
0.18	0	949.7	-125.5	-291	0.6111	0	-0.352	-1.021	-0.7207	-0.5078	967.3	217.8	-86.42	-0.8717	0.08782	0.3449	-1.469	0.3281	0.5928	995.6	-23.93	-109.4	0.1743	-0.08739	0.4348	-0.7617	0.7358	-0.3042	914.1	117.2	-381.8	-0.4391	-0.1746	-1.134	-0.831	-0.9238	0.4214
0.19	0	955.1	-122.1	-289	-1.135	-0.7005	-0.4401	-1.019	-0.7183	-0.5105	975.6	228.6	-76.19	-1.14	0.5269	0.44	-1.469	0.3306	0.6033	993.7	-26.36	-111.8	-0.4383	-0.437	-0.08696	-0.7593	0.7361	-0.2922	916	121.6	-388.2	-0.9604	-0.6986	-1.397	-0.8286	-0.9251	0.4253
0.20	0	953.6	-129.3	-300.8	-0.7856	0.6115	0	-1.016	-0.7158	-0.5132	974.2	228.6	-90.37	-1.314	-0.6147	0.6065	-1.469	0.333	0.6138	996.6	-22.45	-107.9	-0.5228	-0.7865	-0.8696	-0.7568	0.7363	-0.2803	914.6	119.6	-388.7	-0.4391	0	0.09111	-0.8262	-0.9263	0.4292
0.21	0	947.3	-135.2	-301.3	-0.9602	-0.2613	0.264	-1.019	-0.7183	-0.5132	968.8	226.1	-88.89	-1.227	0.2635	-0.7017	-1.469	0.333	0.6006	994.6	-23.93	-113.3	-0.3485	-0.5243	0.3478	-0.7568	0.7363	-0.291	913.6	116.2	-390.1	-0.3476	-0.438	-0.4353	-0.8274	-0.9263	0.428
0.22	0	945.8	-126.9	-294.9	-0.6111	0.08613	0.8691	-1.021	-0.7207	-0.5132	965.8	229.5	-88.89	-1.401	0.2635	-0.7017	-1.469	0.333	0.5874	995.1	-18.08	-115.2	0.264	0	-0.08696	-0.7568	0.7363	-0.3018	913.1	120.6	-396	-0.5259	-0.6127	0.7896	-0.8286	-0.9263	0.4268
0.23	0	951.1	-127.4	-300.3	-0.6111	0.1751	0	-1.019	-0.717	-0.5039	971.2	233.4	-84.44	-0.6974	0	0.08325	-1.472	0.3318	0.5886	995.6	-16.6	-107.4	-0.1743	-0.1748	0.08696	-0.7544	0.7339	-0.2952	913.6	112.8	-394.5	-0.0869	-0.3493	-0.2632	-0.8274	-0.9287	0.428
0.24	0	948.3	-133.7	-294.9	-0.6983	0.7867	-0.08801	-1.016	-0.7134	-0.4946	971.7	230	-83.52	-1.14	-0.3513	-0.08325	-1.474	0.3306	0.5899	999.5	-20.5	-111.8	-0.7868	-0.5243	0.7826	-0.7519	0.7314	-0.2886	914.6	112.3	-391.6	-0.3476	-0.3493	0	-0.8262	-0.9312	0.4292
0.25	0	948.7	-127.9	-295.4	-0.1746	0.5254	0.264	-1.017	-0.717	-0.5027	975.6	234.9	-93.26	-0.6102	0.08782	0.7017	-1.472	0.3318	0.5899	994.6	-22.93	-113.8	-0.3485	-0.1748	0.1739	-0.7544	0.7327	-0.2964	914.1	112.8	-386.2	-0.6128	-0.6127	-0.5264	-0.8286	-0.926	0.4253
0.26	0	950.7	-129.3	-293	-0.5238	0.08613	0.352	-1.019	-0.7207	-0.5107	969.2	230	-83.03	-1.227	-0.2635	0.1784	-1.469	0.333	0.5899	991.7	-21.98	-106.9	-0.08977	-0.6117	-0.1739	-0.7568	0.7339	-0.3042	911.6	110.8	-389.2	-0.8735	0.1746	-0.6074	-0.831	-0.9209	0.4214
0.27	0	947.8	-128.4	-289	0.5238	0.7005	-0.176	-1.019	-0.7207	-0.5107	971.2	234.9	-76.19	0	0	0	-1.468	0.3318	0.5991	997.1	-18.55	-108.4	-0.08977	0	0.1739	-0.7568	0.7327	-0.3057	910.2	112.3	-389.2	-0.1738	0.2634	-0.6074	-0.8298	-0.9272	0.4211
0.28	0	948.3	-126.4	-286.6	0	0.08613	0.176	-1.019	-0.7207	-0.5107	967.3	235.4	-98.13	-0.08717	-0.2635	-0.08325	-1.467	0.3306	0.6084	993.7	-22.45	-107.9	-0.264	-0.08739	0.6087	-0.7568	0.7314	-0.3071	912.1	115.2	-389.2	-1.047	-0.3493	-0.2632	-0.8286	-0.9336	0.4209
0.29	0	943.8	-132.3	-292	-0.4365	0.5254	-0.264	-1.015	-0.7217	-0.5107	968.3	230	-86.91	-0.2615	0	0.1784	-1.468	0.3294	0.5991	989.3	-26.36	-110.8	-0.5228	-0.3496	0.8696	-0.7556	0.7327	-0.3018	913.1	119.6	-392.1	-1.139	0.1746	-0.7896	-0.8262	-0.9285	0.4224
0.30	0	952.1	-131.8	-296.9	-0.5238	0.7005	0	-1.011	-0.7227	-0.5107	973.1	233.4	-88.39	-0.1743	0.3513	-0.44	-1.469	0.3281	0.5899	991.7	-26.88	-111.3	0	-0.2622	0.6087	-0.7544	0.7339	-0.2964	916.5	124.5	-396	-0.2607	-0.1746	-0.1721	-0.8237	-0.9233	0.4238
0.31	0	951.1	-128.9	-293.9	-0.2619	-0.2613	-0.176	-1.014	-0.7217	-0.512	968.8	226.1	-100.6	-0.523	0.4391	-0.2616	-1.466	0.3306	0.5925	991.2	-31.73	-110.8	-0.1743	0.1748	0.6957	-0.758	0.7351	-0.2988	911.6	120.6	-385.7	-0.7866	-0.1746	-0.3543	-0.8237	-0.9246	0.4211
0.32	0	950.2	-125.5	-291	0.2619	0.1751	-0.264	-1.016	-0.7207	-0.5132	966.3	226.1	-76.19	0.08717	-0.08782	-0.2616	-1.462	0.333	0.5952	994.1	-27.35	-109.9	-0.264	0	0.6087	-0.7617	0.7363	-0.3013	916	124.5	-393.6	0.2607	0	-0.6985	-0.8237	-0.9258	0.4185
0.33	0	948.3	-126.9	-298.8	-0.7856	0.2613	0	-1.019	-0.7232	-0.5144	968.3	225.1	-89.38	-0.523	0.5269	1.047	-1.466	0.333	0.5913	999	-28.31	-107.9	-0.3485	0	0.3478	-0.758	0.7351	-0.3015	913.6	117.2	-392.6	-0.7866	-0.5239	0	-0.8225	-0.9258	0.4185
0.34	0	947.3	-126.4	-287.1	-0.5238	-0.3503	-0.176	-1.021	-0.7256	-0.5156	970.2	228	-86.91	-0.9589	0	0.5233	-1.469	0.333	0.5874	991.7	-28.31	-114.8	0.5228	0.2622	-0.1739	-0.7544	0.7339	-0.3018	917.5	125	-390.6	0.2607	0.438	-0.4353	-0.8213	-0.9258	0.4185
0.35	0	951.1	-124.1	-290.5	-0.6111	0.1751	0.264	-1.019	-0.7219	-0.5132	977.5	233.4	-88.89	-0.7845	0	-0.08325	-1.471	0.3318	0.5874	991.7	-32.73	-108.9	-0.08977	0	0.4348	-0.7532	0.7327	-0.3005	911.6	121.6	-384.8	0.6997	0	-0.2632	-0.8213	-0.9246	0.4238
0.36	0	945.8	-124.1	-296.4	-0.1746	-0.1751	0.4401	-1.016	-0.7183	-0.5107	971.7	228.6	-100.1	-0.8717	-0.08782	0.9633	-1.474	0.3306	0.5874	994.6	-26.88	-118.2	0	-0.1748	0	-0.7519	0.7314	-0.2993	917	123	-387.7	0.1738	-0.6986	-0.3543	-0.8213	-0.9233	0.4292
0.37	0	950.2	-120.2	-298.8	-1.135	-0.2613	0	-1.016	-0.7207	-0.512	975.1	223.7	-75.69	-0.08717	-0.4391	-0.2616	-1.473	0.3281	0.5886	1002	-21.5	-122.1	-0.4383	0.7865	-0.6087	-0.7532	0.7339	-0.2993	917.5	123	-386.2	0.4391	-0.08876	-0.09111	-0.825	-0.926	0.4265
0.38	0	954.1	-123.1	-294.9	0.08729	0.08613	0.08801	-1.016	-0.7232	-0.5132	971.2	217.8	-89.38	-0.2615	0.08782	0.08325	-1.472	0.3257	0.5899	995.6	-24.41	-104	-0.1743	-0.08739	-0.6087	-0.7544	0.7363	-0.2993	916.5	121.6	-379.9	0.3476	0	0.7896	-0.8286	-0.9287	0.4238
