MR32 ASCII
Name	static02
Frequency	100
Date	09-04-2018 19:06:48
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	989.8	34.67	-124.5	0.5246	-0.6995	-0.08741	-0.9082	-0.6465	-0.168	980	30.27	-200.7	-0.2623	-0.1749	0.3497	-1.146	0.2822	0.2056	979.5	197.8	-93.75	0.1749	-0.3497	0.4372	-0.2549	0.6685	-0.1812	910.1	-99.12	-404.8	0.612	-0.4372	-0.9617	-0.3691	-0.4819	0.2559
0.01	0	989.3	36.13	-125	0.2623	0.7869	0	-0.907	-0.6477	-0.1707	977.5	20.02	-205.6	0.2623	-0.3497	0.08741	-1.147	0.2834	0.2082	976.6	195.8	-96.68	0.1749	-0.7869	0.1749	-0.2561	0.6709	-0.1836	905.7	-104.5	-409.7	0.4371	0	0.6994	-0.3706	-0.4807	0.2573
0.02	0	992.7	38.57	-127	0.08743	0.1749	0	-0.9057	-0.6489	-0.1733	973.6	22.95	-215.8	0.3497	-0.4372	0.5246	-1.148	0.2847	0.2109	976.1	196.8	-91.31	0.4372	-0.5246	-0.2623	-0.2573	0.6733	-0.186	909.2	-100.6	-414.5	0.3497	-0.08741	-0.2623	-0.3721	-0.4795	0.2588
0.03	0	994.1	39.06	-123	0.4372	-0.4372	0.1749	-0.907	-0.6501	-0.1707	985.4	30.76	-202.1	-0.2623	0.08743	0.5246	-1.15	0.2788	0.2056	981.5	205.6	-91.8	-0.4372	-0.3497	-0.8743	-0.2583	0.6697	-0.1848	908.2	-101.6	-407.7	0	0	-0.8743	-0.3745	-0.4844	0.2559
0.04	0	995.6	41.01	-123	0.4372	0.3497	-0.08741	-0.9082	-0.6514	-0.168	979.5	27.83	-202.6	0.1749	0.1749	0.612	-1.153	0.2729	0.2002	974.1	196.8	-98.15	-0.08745	-0.08741	0.1749	-0.2593	0.666	-0.1836	908.2	-103	-406.7	0.2623	-0.5246	-0.08741	-0.3769	-0.4893	0.2529
0.05	0	988.8	33.69	-118.2	0	-0.08745	-0.4372	-0.9057	-0.6501	-0.1653	978.5	21.97	-207	0.3497	-0.08743	0	-1.15	0.2788	0.2068	981.9	202.6	-94.24	-0.08745	-0.1749	0.5246	-0.2595	0.666	-0.1809	910.1	-100.6	-409.2	0	-0.08741	0.1749	-0.3769	-0.4868	0.2529
0.06	0	997.1	42.48	-121.6	-0.1749	-0.3497	-0.6994	-0.9033	-0.6489	-0.1626	978.5	24.41	-208	0.2623	0.4372	-0.08741	-1.148	0.2847	0.2134	975.6	200.2	-96.68	-0.3497	-0.5246	0	-0.2598	0.666	-0.1782	907.2	-100.1	-412.1	-0.4371	-0.08741	-0.1749	-0.3769	-0.4844	0.2529
0.07	0	989.8	35.16	-129.9	-0.5246	0.612	-0.1749	-0.9057	-0.6489	-0.1665	978	23.93	-210.4	-0.08741	0	-0.4371	-1.147	0.2825	0.2056	976.6	199.2	-98.63	-0.612	-0.4371	0.1749	-0.2605	0.6636	-0.1794	905.7	-103	-413.1	-0.8743	-0.2623	-0.4372	-0.3745	-0.4844	0.2571
0.08	0	996.1	39.55	-127.9	-0.612	0.2623	0	-0.9082	-0.6489	-0.1704	974.6	23.44	-202.1	-0.08741	0.7869	0.7869	-1.146	0.2803	0.1978	976.1	193.8	-88.38	-0.1749	-0.4371	0.612	-0.2612	0.6611	-0.1807	908.2	-102.5	-405.3	-0.612	-0.4372	-0.612	-0.3721	-0.4844	0.2612
0.09	0	995.6	42.97	-123	-0.612	1.049	0.1749	-0.9082	-0.6489	-0.1704	980.5	29.78	-198.7	-0.9617	0	-0.3497	-1.146	0.2813	0.2017	974.6	194.8	-92.77	-0.612	0.3497	0.5246	-0.26	0.6621	-0.1792	901.9	-104	-409.7	0.2623	-0.08741	-0.3497	-0.3706	-0.4844	0.2571
