MR32 ASCII
Name	Trial_12
Frequency	100
Date	10-04-2018 15:49:42
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	876.4	-257.8	-415.5	4.369	0.4381	-0.6981	-1.287	-0.4043	-0.1406	921.9	387.2	-50.29	2.624	1.136	0.3506	-1.204	0.3891	0.125	974.2	146.5	-197.3	0.2613	-0.08761	-0.348	-0.4868	0.5576	-0.2871	982.4	-32.24	-185.1	0.5253	-0.4376	0.6984	-0.6562	-0.5923	0.375
0.01	0	876	-254.9	-409.2	4.021	0.9611	-0.965	-1.286	-0.4028	-0.1382	915.1	380.9	-50.29	2.275	0.6118	0.7011	-1.207	0.3877	0.1289	972.7	138.2	-198.7	0.5226	0	-0.087	-0.4858	0.5564	-0.2713	972.7	-37.11	-185.5	0.09056	0	0.5238	-0.6548	-0.5908	0.3652
0.02	0	875	-253	-404.8	2.708	0.08761	-1.396	-1.285	-0.4014	-0.1358	909.2	377.5	-52.73	1.401	0.6997	0.9641	-1.209	0.3862	0.1328	973.6	137.7	-197.8	0.8709	0.08761	-0.348	-0.4849	0.5552	-0.2554	984.9	-30.26	-186.5	-0.09056	0.08655	0.1746	-0.6533	-0.5893	0.3555
0.03	0	868.2	-254.9	-404.8	1.926	0.2628	-0.438	-1.285	-0.405	-0.1382	911.6	377.9	-56.14	1.835	0.2638	0.08764	-1.207	0.3852	0.1274	971.7	139.7	-197.3	0.4355	0.2628	-0.087	-0.4873	0.5588	-0.2578	981.5	-36.13	-193.4	0.09056	-0.7861	-0.2657	-0.6557	-0.5906	0.3472
0.04	0	873	-248.1	-404.3	2.273	0.8735	-0.527	-1.285	-0.4087	-0.1406	915.1	379.9	-52.25	0.9607	0.1759	0.7888	-1.204	0.3843	0.1221	968.3	138.2	-196.3	0.7838	-0.1752	-0.348	-0.4898	0.5625	-0.2602	986.3	-24.4	-184.1	0.09056	-0.3486	0	-0.6582	-0.5918	0.3389
0.05	0	871.6	-260.3	-404.8	0.4356	0.2628	-0.438	-1.284	-0.4075	-0.1406	925.8	385.2	-50.77	1.224	-0.08793	0.08764	-1.203	0.3855	0.1289	973.1	146.5	-191.9	0.5226	0.08761	-0.522	-0.4861	0.5625	-0.259	983.9	-28.32	-196.3	-0.2626	0.1755	-0.6984	-0.6557	-0.5893	0.3472
0.06	0	873	-260.8	-409.2	0.7008	-0.1752	-1.396	-1.284	-0.4062	-0.1406	920.4	381.3	-54.21	0.2629	-0.348	-0.08764	-1.202	0.3867	0.1357	975.1	150.4	-188.5	0.7838	-0.1752	-0.087	-0.4824	0.5625	-0.2578	980.9	-31.25	-197.3	0	0	0	-0.6533	-0.5869	0.3555
0.07	0	873.5	-260.8	-411.1	0.524	1.136	-0.2601	-1.285	-0.4065	-0.1433	914.6	378.9	-49.31	1.138	0	0.1753	-1.2	0.3891	0.1357	975.1	149.9	-183.1	-0.5226	0	0.696	-0.4849	0.5637	-0.2471	977.6	-38.1	-193.4	0	-0.3486	-0.1746	-0.6533	-0.5881	0.3486
0.08	0	878.9	-257.3	-399.9	0	0.9611	-0.527	-1.286	-0.4067	-0.146	923.8	380.4	-58.1	0.177	0	1.227	-1.199	0.3916	0.1357	969.2	143.6	-198.3	0.958	-0.6109	0.348	-0.4873	0.5649	-0.2363	978.5	-33.7	-196.8	0	-0.262	-0.2657	-0.6533	-0.5893	0.3418
0.09	0	878.4	-265.6	-402.3	-0.08838	0.9611	-0.527	-1.288	-0.4055	-0.1418	932.1	373	-67.38	0.6118	0.08793	1.578	-1.203	0.3914	0.1343	962.4	137.7	-189.9	0.7838	-0.8737	0.087	-0.4849	0.5601	-0.2497	983.4	-34.66	-195.3	0.3532	-0.3486	-0.6149	-0.6545	-0.5869	0.3486
0.10	0	881.4	-255.9	-392.6	0.9596	-0.2628	-1.047	-1.291	-0.4043	-0.1377	925.8	370.1	-63.47	-0.08596	0.5239	1.49	-1.207	0.3911	0.1328	970.2	137.7	-194.8	0.6967	-0.6985	0	-0.4824	0.5552	-0.2632	979	-36.63	-193.9	0	0.262	-0.7895	-0.6557	-0.5845	0.3555
0.11	0	882.3	-258.3	-404.8	1.136	0.3505	-0.1779	-1.288	-0.404	-0.1431	921.4	373.5	-69.34	1.138	0	1.139	-1.21	0.3923	0.1292	971.7	145.5	-196.8	0.3484	-0.6109	0.261	-0.4824	0.5576	-0.2551	986.3	-30.26	-187	0.09056	0.7861	-1.048	-0.6545	-0.5869	0.3418
0.12	0	879.4	-256.3	-410.7	1.136	0.7859	-0.527	-1.286	-0.4038	-0.1484	924.8	381.3	-65.43	0.2629	-0.7877	0.5259	-1.213	0.3936	0.1255	972.7	138.2	-194.3	0.4355	-0.7861	0.174	-0.4824	0.5601	-0.2471	977.6	-29.79	-198.2	-0.09056	0.9616	-0.9641	-0.6533	-0.5893	0.3281
0.13	0	877.9	-258.3	-406.3	0.1768	1.487	-0.6091	-1.285	-0.4026	-0.1418	925.8	381.3	-56.14	-0.177	-1.136	0.9641	-1.211	0.3936	0.1253	967.7	129.9	-200.2	-0.3484	-0.6985	0.261	-0.4836	0.5601	-0.251	980.5	-31.25	-200.2	-1.051	1.313	0	-0.6533	-0.5869	0.3433
0.14	0	875.5	-260.3	-404.3	0.2652	1.399	-0.1779	-1.284	-0.4014	-0.1352	922.4	388.2	-54.21	0	-1.312	0.1753	-1.209	0.3936	0.125	971.2	135.3	-197.3	0.6967	-0.6985	0.609	-0.4849	0.5601	-0.2549	987.3	-31.25	-197.3	0.3532	0.5241	-0.7895	-0.6533	-0.5845	0.3584
0.15	0	872.1	-262.2	-398.9	0.08838	0.8735	0.08897	-1.285	-0.4038	-0.1538	922.4	382.3	-52.73	0.177	-0.2638	0.3506	-1.205	0.3914	0.1265	970.7	135.7	-200.7	1.045	-0.6985	-0.087	-0.4824	0.5601	-0.2524	980	-33.7	-190.5	-0.4347	0.8751	-0.9641	-0.6533	-0.5881	0.3376
