MR32 ASCII
Name	static
Frequency	100
Date	10-04-2018 15:20:30
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	930.7	-239.3	-272	1.224	0.6994	0	-1.488	-0.2969	-0.2676	943.8	282.7	-169.9	0.2623	0.1749	0.2623	-1.428	0.3115	0.229	962.9	189.9	-168.5	0.08745	0.08741	-0.612	-0.5298	0.6938	-0.02197	980.5	-87.89	-203.6	0.6994	-0.8743	-0.2623	-0.6406	-0.6274	0.3311
0.01	0	936	-241.2	-272	1.049	0.6994	-0.1749	-1.488	-0.2944	-0.2715	943.4	283.2	-168.9	-0.2623	0.3497	-0.3497	-1.428	0.3115	0.2263	967.8	191.9	-164.6	-0.3497	-0.08741	0.7869	-0.531	0.6938	-0.01929	977	-97.66	-197.3	0.08745	-0.08743	-0.2623	-0.6355	-0.6223	0.3323
0.02	0	919.9	-240.7	-273.4	0.7869	0.3497	-0.2623	-1.488	-0.292	-0.2754	943.8	290.5	-166	0.6994	0.1749	-0.1749	-1.428	0.3115	0.2236	961.9	189	-172.9	0	0.1749	-0.5246	-0.5322	0.6938	-0.0166	977	-97.17	-192.4	0.5246	-0.4372	-0.4372	-0.6304	-0.6172	0.3335
0.03	0	929.2	-237.3	-273.4	1.311	0.2623	0.1749	-1.488	-0.292	-0.2742	938	284.2	-164.1	0.6994	0	0	-1.429	0.3115	0.2251	966.3	197.3	-167.5	-0.7869	-0.08741	0.5246	-0.5347	0.6938	-0.01929	975.6	-89.84	-185.1	0.4371	0	-0.4372	-0.6304	-0.6199	0.3323
0.04	0	930.7	-236.3	-271.5	0.8743	0.612	-0.5246	-1.488	-0.292	-0.2729	938.5	283.7	-169.4	0.1749	0.08741	0	-1.43	0.3115	0.2266	970.7	192.4	-168	-0.4371	-0.6995	0	-0.5371	0.6938	-0.02197	980.5	-91.8	-203.6	-0.4371	-0.2623	-0.4372	-0.6304	-0.6226	0.3311
0.05	0	939	-232.4	-269.5	-0.5246	-0.2623	-0.1749	-1.488	-0.2932	-0.2742	940.9	278.8	-163.1	0.5246	-0.612	0.2623	-1.43	0.3115	0.2239	970.2	187.5	-165	-0.8744	-0.612	0.2623	-0.5371	0.6926	-0.01929	982.4	-105	-197.3	0.2623	0.3497	-0.3497	-0.6316	-0.625	0.3323
0.06	0	931.2	-236.8	-272.9	-0.2623	0.1749	-0.1749	-1.488	-0.2944	-0.2754	947.7	284.2	-171.4	0.5246	0.1749	0	-1.43	0.3115	0.2212	968.8	185.5	-178.7	-0.4371	-0.7869	0.3498	-0.5371	0.6914	-0.0166	971.7	-100.1	-192.9	0.3497	-0.3497	0.1749	-0.6328	-0.6274	0.3335
0.07	0	933.1	-238.3	-276.9	0.2623	0	-0.2623	-1.487	-0.2944	-0.2715	944.3	283.2	-178.2	0.4372	0.08741	-0.5246	-1.43	0.3103	0.2236	965.3	193.4	-161.1	-0.1749	-1.311	-0.3498	-0.5347	0.6926	-0.0166	979.5	-93.26	-198.7	0.612	0.3497	-0.08741	-0.634	-0.6262	0.3323
0.08	0	932.6	-235.4	-270	0.3497	-0.3497	-0.08741	-1.486	-0.2944	-0.2676	947.7	290	-168.5	0.1749	-0.8743	0.3497	-1.43	0.3091	0.2261	965.8	194.3	-172.9	-0.3497	-0.2623	0.08745	-0.5322	0.6938	-0.0166	971.2	-100.1	-196.3	0.08745	0	-0.08741	-0.6352	-0.625	0.3311
0.09	0	928.2	-237.8	-276.9	0	0.6994	0.4372	-1.486	-0.2981	-0.2729	942.4	281.3	-177.2	-0.08741	0.4371	0.4372	-1.43	0.3091	0.2263	967.8	192.9	-169.4	-0.08745	0.3497	0	-0.53	0.6914	-0.01807	974.1	-105.5	-184.1	0	0.3497	-0.612	-0.6338	-0.625	0.3335
