MR32 ASCII
Name	static02
Frequency	100
Date	10-04-2018 15:40:16
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	950.7	-253.4	-205.1	0	-0.5246	-0.1749	-0.9326	-0.4048	-0.7476	928.2	275.9	-233.4	0.612	0.3497	-0.08745	-0.9629	0.6704	0.7671	944.3	209.5	-184.6	-1.661	0.3497	0.08741	-0.9756	0.3672	0.1738	978.5	-126.5	-173.8	-0.1749	-1.486	0	-1.22	-0.4424	0.04541
0.01	0	934.1	-271.5	-198.7	-0.4371	-0.612	1.137	-0.9314	-0.4072	-0.7368	932.1	274.9	-231.9	-0.1749	-0.4372	-0.4372	-0.9614	0.6706	0.7644	960.9	214.4	-188	-2.273	-0.612	0.08741	-0.9744	0.3721	0.1658	979.5	-121.6	-182.1	-1.574	-1.049	0.1749	-1.22	-0.4436	0.04956
0.02	0	948.7	-256.3	-202.1	0	-0.2623	-0.1749	-0.9302	-0.4097	-0.7261	932.1	278.8	-228.5	-0.3497	-0.1749	-0.3497	-0.96	0.6709	0.7617	955.6	223.1	-180.2	-2.273	-0.08741	0	-0.9731	0.377	0.1577	980.5	-125	-179.2	-0.9618	-1.224	-0.3497	-1.22	-0.4448	0.05371
0.03	0	941.4	-266.1	-204.1	-0.3497	-0.612	-0.08741	-0.928	-0.4097	-0.7222	934.6	277.3	-235.8	0.1749	0.4372	-0.2623	-0.9602	0.6697	0.759	962.4	217.3	-189	-2.273	0.4371	-0.08741	-0.9731	0.3745	0.155	973.6	-126.5	-183.1	-0.3497	-1.224	0.08746	-1.22	-0.4436	0.05493
0.04	0	946.8	-261.2	-204.6	0.1748	-0.8743	0.612	-0.9258	-0.4097	-0.7183	930.7	277.3	-230.5	0	0.612	-0.8743	-0.9605	0.6685	0.7563	959.5	217.8	-185.1	-1.574	0.2623	-0.2623	-0.9731	0.3721	0.1523	978.5	-118.7	-181.6	-1.224	-1.224	0.08746	-1.22	-0.4424	0.05615
0.05	0	937	-270.5	-205.6	0.7869	-1.137	0.9617	-0.9246	-0.4106	-0.7278	934.6	278.3	-234.9	-0.612	0.612	-0.3497	-0.9605	0.6685	0.7603	966.3	220.2	-192.9	-2.536	1.399	-0.4372	-0.9719	0.3733	0.1523	983.4	-127	-177.7	-1.049	-0.3497	0	-1.221	-0.4424	0.05347
0.06	0	944.3	-262.2	-210.9	0.4371	-0.5246	0.8743	-0.9233	-0.4116	-0.7373	933.1	280.3	-232.9	-0.1749	0.9617	-1.137	-0.9605	0.6685	0.7642	947.8	220.7	-185.1	-2.973	0.612	0.1749	-0.9707	0.3745	0.1523	983.9	-122.1	-174.3	-1.312	-1.224	0.2623	-1.222	-0.4424	0.05078
0.07	0	945.8	-263.7	-207.5	-0.5246	-0.08741	0.2623	-0.928	-0.4082	-0.7358	933.6	282.7	-233.9	-0.2623	0.3497	-0.1749	-0.9605	0.6648	0.7656	966.3	214.8	-197.8	-3.672	-0.6995	0.5246	-0.9731	0.3745	0.1536	978	-121.1	-172.9	-1.574	-0.8743	0.3497	-1.221	-0.4412	0.05078
0.08	0	937.5	-264.2	-208	-0.2623	-0.4371	0.612	-0.9326	-0.4048	-0.7344	927.2	279.3	-230.5	0	0.3497	-0.2623	-0.9605	0.6611	0.7671	955.6	216.3	-194.8	-3.672	0.4371	0.5246	-0.9756	0.3745	0.1548	978	-134.3	-182.1	-1.399	-0.612	0.4372	-1.22	-0.4399	0.05078
0.09	0	947.3	-263.2	-210.9	0	-0.3497	1.224	-0.928	-0.4036	-0.7331	932.6	284.2	-235.4	-0.2623	0.1749	0.612	-0.9568	0.6648	0.7683	961.9	222.7	-182.6	-2.71	1.836	0	-0.9756	0.3708	0.1563	969.7	-134.3	-179.2	-0.5246	-0.08745	0	-1.222	-0.4438	0.05078
0.10	0	939	-264.6	-204.1	-0.8743	0.08741	0.9617	-0.9233	-0.4023	-0.7319	933.6	282.2	-238.8	0	-0.08741	-0.4372	-0.9531	0.6685	0.7695	959.5	226.6	-183.1	-2.273	0.5246	0.08741	-0.9756	0.3672	0.1577	959.5	-138.2	-183.1	-0.7869	-0.5246	0	-1.225	-0.4478	0.05078
0.11	0	940.9	-272	-212.9	-0.2623	-0.4371	0.612	-0.9268	-0.406	-0.7344	934.1	282.7	-227.5	-0.612	0.08741	-1.486	-0.9543	0.6685	0.771	950.2	223.6	-175.3	-2.186	0.5246	-0.612	-0.9731	0.3684	0.1575	978	-128.4	-176.3	-0.1749	-0.4371	0.2623	-1.225	-0.4426	0.05225
0.12	0	930.7	-274.9	-206.1	0.2623	-0.2623	0.8743	-0.9302	-0.4097	-0.7368	931.2	281.2	-229	-0.1749	0	-0.3497	-0.9556	0.6685	0.7725	955.1	229	-171.9	-0.9618	1.137	0	-0.9707	0.3696	0.1572	973.2	-126.5	-182.6	-1.312	-0.612	0	-1.225	-0.4375	0.05371
0.13	0	938	-272.9	-204.6	0	-0.4371	0.8743	-0.9314	-0.4097	-0.7317	929.7	277.8	-241.2	0.5246	0.08741	-0.08745	-0.9578	0.6709	0.7656	962.4	222.2	-180.7	-1.486	0.2623	-0.08741	-0.9707	0.3696	0.1548	980.5	-129.4	-187	-1.224	-0.6994	-0.8743	-1.223	-0.4363	0.05225
0.14	0	947.3	-264.2	-204.6	0.1748	0.612	0	-0.9326	-0.4097	-0.7266	943.4	286.6	-231	0.4372	0.1749	-0.8743	-0.96	0.6733	0.7588	957	222.7	-175.3	-1.661	-0.5246	0.08741	-0.9707	0.3696	0.1523	981.4	-129.9	-183.1	-0.5246	-0.3497	0.5246	-1.222	-0.4351	0.05078
0.15	0	943.9	-262.7	-208.5	-0.1748	0.08741	0.6995	-0.9302	-0.4072	-0.7358	935.1	286.6	-240.2	-0.3497	0.7869	-0.08745	-0.9578	0.6685	0.7615	967.3	222.7	-191.4	-2.273	-1.049	0.612	-0.9683	0.3708	0.1548	987.3	-120.6	-181.6	-1.399	-0.2623	0.3497	-1.218	-0.4375	0.0481
0.16	0	945.8	-263.2	-214.8	0.2623	-0.5246	0.2623	-0.9277	-0.4048	-0.7451	927.7	281.2	-231.4	-0.4372	0.612	0.2623	-0.9556	0.6636	0.7642	953.6	223.1	-189.9	-2.098	0.6995	0.9617	-0.9658	0.3721	0.1572	973.2	-127.4	-168	-1.749	-1.049	0.7869	-1.214	-0.4399	0.04541
0.17	0	933.1	-266.1	-204.6	-1.049	-0.8743	0.2623	-0.9277	-0.4048	-0.7358	926.8	277.3	-221.2	-0.7869	0.1749	-0.6995	-0.9556	0.6636	0.7656	956.5	220.7	-186	-2.71	0.08741	0.9617	-0.9731	0.3731	0.1602	973.6	-126	-173.8	-2.798	-0.4371	0.1749	-1.218	-0.4424	0.04541
0.18	0	937	-266.6	-215.3	-1.311	-0.1749	0.9617	-0.9277	-0.4048	-0.7266	931.6	287.6	-227.5	-0.6994	-0.1749	-0.3497	-0.9556	0.6636	0.7671	952.6	228	-183.1	-1.749	1.486	-0.08741	-0.9805	0.374	0.1631	964.3	-137.7	-182.6	-1.137	-0.2623	-0.1749	-1.222	-0.4448	0.04541
0.19	0	942.9	-272.5	-209.5	-0.5246	0.08741	0.6995	-0.9268	-0.406	-0.7305	929.7	276.4	-238.8	-0.2623	-0.1749	-0.1749	-0.9568	0.666	0.7698	949.7	219.7	-176.8	-1.661	0.6995	-0.08741	-0.9768	0.3706	0.1602	971.2	-130.9	-180.2	-1.399	-0.7869	-0.7869	-1.221	-0.4448	0.04126
0.20	0	938.5	-277.8	-214.4	-0.1748	-0.08741	0.612	-0.9258	-0.4072	-0.7344	932.6	277.8	-240.7	0	-0.2623	-0.3497	-0.958	0.6685	0.7725	960.9	232.4	-173.8	-0.9618	1.224	-0.612	-0.9731	0.3672	0.1572	975.6	-129.9	-187	-1.836	-1.661	0	-1.22	-0.4448	0.03711
0.21	0	946.3	-267.6	-207.5	0.08745	0.2623	0.8743	-0.9268	-0.4072	-0.7331	931.2	282.7	-229	1.049	0.08741	-0.1749	-0.958	0.6697	0.7683	953.6	223.1	-181.2	-1.137	0.1749	0.612	-0.9731	0.3696	0.1628	973.6	-134.3	-187	-0.5246	-0.612	-0.4372	-1.222	-0.4463	0.04395
0.22	0	941.4	-268.1	-203.6	1.137	0.1749	0.3497	-0.9277	-0.4072	-0.7319	931.6	282.2	-236.3	0.7869	-0.2623	0	-0.958	0.6709	0.7642	954.1	225.1	-178.7	-0.612	0.5246	0.612	-0.9731	0.3721	0.1685	976.1	-128.9	-187.5	0	-0.7869	0	-1.225	-0.4478	0.05078
0.23	0	944.3	-268.6	-208	0	0	0.08741	-0.9268	-0.406	-0.7331	930.2	285.6	-236.3	-0.6994	-0.5246	-0.08745	-0.9592	0.6709	0.7629	953.6	223.6	-176.3	-0.1748	0.612	-0.08741	-0.9744	0.3721	0.1589	976.1	-127	-181.2	-0.612	-0.7869	0.08746	-1.222	-0.4451	0.0481
0.24	0	944.3	-262.2	-208.5	-0.1748	0.3497	0.3497	-0.9258	-0.4048	-0.7344	926.3	276.4	-234.4	0	-0.08741	-0.8743	-0.9605	0.6709	0.7617	953.6	219.7	-170.4	0.2624	0.3497	-0.1749	-0.9756	0.3721	0.1494	971.2	-131.3	-179.2	-0.7869	-0.7869	-0.5246	-1.22	-0.4424	0.04541
0.25	0	945.8	-261.7	-202.1	0.1748	-0.2623	0.3497	-0.928	-0.4084	-0.7331	931.2	281.7	-235.8	-0.612	0	0.1749	-0.9592	0.6709	0.7644	958.5	220.7	-179.7	0	-0.2623	-0.1749	-0.9719	0.3708	0.1575	973.6	-122.6	-181.6	0	-0.612	-0.5246	-1.219	-0.4436	0.04663
0.26	0	944.3	-263.2	-217.3	-0.612	-0.4371	0.3497	-0.9302	-0.4121	-0.7319	925.3	274.4	-231	-0.2623	0.2623	-0.2623	-0.958	0.6709	0.7671	957.5	220.2	-177.7	0.3498	0.2623	0	-0.9683	0.3696	0.1655	974.1	-125.5	-177.7	-0.7869	-0.3497	0.2623	-1.217	-0.4448	0.04785
0.27	0	934.6	-272	-213.4	0.8743	0	0.5246	-0.9314	-0.4109	-0.7305	935.5	285.6	-225.1	0.1749	0	0	-0.959	0.6721	0.7644	963.4	220.2	-175.8	-0.08741	-0.3497	0	-0.9707	0.3672	0.1628	976.1	-125	-184.1	-0.4372	-0.3497	0	-1.221	-0.4463	0.052
0.28	0	939	-267.6	-213.4	-0.08745	-0.5246	0.3497	-0.9326	-0.4097	-0.729	931.6	277.8	-223.6	0.1749	-0.2623	-0.1749	-0.96	0.6733	0.7617	962.9	219.2	-175.8	-0.1748	-0.7869	-0.08741	-0.9731	0.3647	0.1602	979	-123.5	-189.5	-0.612	-1.049	0.612	-1.225	-0.4478	0.05615
0.29	0	941.4	-269	-218.7	-0.4371	0	0.4371	-0.928	-0.4094	-0.729	934.6	281.2	-233.9	-0.3497	-0.08741	-0.5246	-0.959	0.6709	0.7644	964.9	212.9	-182.1	-0.6994	-0.3497	0	-0.9719	0.3684	0.1643	982.4	-125.5	-188.5	-0.9618	-0.4371	-0.08746	-1.223	-0.4451	0.052
0.30	0	943.9	-267.1	-203.1	0.9617	0.1749	0.612	-0.9233	-0.4092	-0.729	928.7	277.3	-239.7	0.2623	0.1749	-0.2623	-0.958	0.6685	0.7671	958	214.8	-177.2	-0.6994	0.612	-0.612	-0.9707	0.3721	0.1685	979	-125.5	-176.3	0	0.6994	-0.1749	-1.222	-0.4424	0.04785
0.31	0	939.9	-266.6	-210.4	0.2623	0	0.08741	-0.9233	-0.4082	-0.7305	930.2	284.2	-245.6	0.3497	-0.2623	-0.08745	-0.958	0.6672	0.7683	964.9	223.6	-175.8	-0.5246	-0.2623	-0.2623	-0.9719	0.3708	0.1604	975.6	-122.6	-184.1	0	0	-0.8743	-1.223	-0.4451	0.04932
0.32	0	941.9	-261.7	-213.9	0.9617	-0.4371	0.8743	-0.9233	-0.4072	-0.7319	930.7	281.7	-228.5	-0.5246	-0.2623	0.612	-0.958	0.666	0.7695	960	224.1	-183.6	-0.6994	-0.4371	-0.5246	-0.9731	0.3696	0.1523	974.6	-122.6	-182.1	-0.6995	-0.3497	-0.2623	-1.225	-0.4478	0.05078
