MR32 ASCII
Name	Trial_10
Frequency	100
Date	16-04-2018 12:15:13
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	924.8	-86.93	-363.3	0.2595	0.6111	0.5265	-1.456	-0.544	0.5342	988.3	106.9	-35.16	0.1775	-0.7858	0	-1.263	0.4487	-0.2441	961.9	31.27	-276.4	0.3486	-1.573	-0.0901	-0.5288	0.7647	-0.4482	967.3	-52.25	-255.4	1.312	0.1739	-0.3448	-0.7148	-0.7441	0.5708
0.01	0	924.8	-90.34	-376	0.2595	0.5238	-0.4342	-1.456	-0.5461	0.5447	1002	119.1	-34.67	0.1775	-0.6124	0	-1.261	0.4487	-0.248	959.9	30.31	-277.3	0.6972	-1.136	-0.6082	-0.53	0.7647	-0.4456	971.7	-54.7	-244.6	0.7873	0.7872	0	-0.71	-0.7427	0.5679
0.02	0	924.8	-93.74	-356.9	0.6133	0.8753	-0.5265	-1.456	-0.5483	0.5552	991.7	106.4	-42.96	-0.1775	-0.08669	0.527	-1.26	0.4487	-0.252	959	36.62	-275.4	0.6972	-0.6124	0.1802	-0.5313	0.7647	-0.4429	966.8	-53.72	-248.5	0.6977	0.6109	-0.0862	-0.7051	-0.7412	0.5649
0.03	0	926.2	-89.35	-371.1	1.313	0.9626	0	-1.458	-0.5483	0.5447	996.1	118.1	-35.16	0.4357	-0.5257	0.3449	-1.259	0.4475	-0.2507	960.4	35.14	-272.5	0.3486	-1.573	0.1802	-0.5313	0.7634	-0.4456	967.7	-49.81	-255.4	1.485	0.7872	-0.9605	-0.7087	-0.7412	0.5637
0.04	0	931.6	-79.13	-363.3	0.5269	1.574	0	-1.46	-0.5483	0.5342	994.1	110.9	-40.05	0.4357	-0.1762	0.08624	-1.258	0.4463	-0.2495	967.8	38.55	-275.9	0.4342	-0.3497	0	-0.5313	0.7622	-0.4482	964.8	-54.21	-243.6	1.139	0.7872	-1.318	-0.7124	-0.7412	0.5625
0.05	0	918.5	-81.55	-376	-0.6998	0.0873	0	-1.459	-0.5474	0.5432	986.8	120.6	-36.14	-0.6993	-0.6124	0.08624	-1.261	0.4463	-0.2534	959.9	28.82	-272.5	0	-1.486	0.7884	-0.5349	0.7644	-0.4456	968.2	-46.39	-250	-0.1728	1.137	-0.7881	-0.7124	-0.7412	0.561
0.06	0	924.8	-75.73	-365.2	-8.39	-1.225	1.395	-1.458	-0.5464	0.5523	1002	129.9	-30.76	-2.184	-0.08669	1.14	-1.265	0.4463	-0.2573	961.9	35.66	-278.8	0.8745	-0.7865	0.8785	-0.5386	0.7666	-0.4429	963.4	-52.74	-252.4	0.2624	0.7872	-0.6157	-0.7124	-0.7412	0.5596
0.07	0	933.1	-96.16	-362.3	-7.958	-1.312	1.312	-1.458	-0.5498	0.5552	988.8	106	-41.02	-2.883	-0.6124	2.012	-1.265	0.4448	-0.2576	959.4	29.79	-280.8	0.9602	-0.8735	-0.1802	-0.5325	0.7681	-0.447	967.3	-52.25	-247.1	0	0.7003	-0.2586	-0.7136	-0.7414	0.5623
0.08	0	934.1	-99.12	-362.8	-5.772	-0.9626	0.9607	-1.458	-0.5532	0.5581	997.6	98.16	-43.94	-1.926	-0.5257	1.044	-1.265	0.4433	-0.2578	965.3	33.73	-286.1	0.526	-1.312	0.7884	-0.5264	0.7695	-0.4512	968.2	-54.21	-247.1	0.877	0.524	-1.047	-0.7148	-0.7417	0.5649
0.09	0	928.2	-94.73	-371.6	-4.459	-0.3492	-0.08314	-1.459	-0.5496	0.5593	991.7	102	-33.2	-1.049	-1.049	1.926	-1.266	0.4436	-0.2549	961.9	30.31	-267.6	0.6116	-1.662	0.259	-0.53	0.7671	-0.447	964.4	-55.67	-246.1	-0.6145	0.8742	-0.9605	-0.7136	-0.7427	0.5623
