MR32 ASCII
Name	static
Frequency	100
Date	16-04-2018 11:58:03
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	972.2	97.17	-202.6	0.4372	0	0.1749	-0.5161	-0.7227	-0.5996	988.3	-82.52	-174.3	-0.4372	-0.08741	0	-0.3506	0.8296	0.7417	921.9	237.3	-312	-0.3497	-0.08741	-0.5246	-1.039	0.8057	0.4233	926.8	-259.3	-244.1	-0.08743	-0.2623	0.612	-1.302	-0.5503	-0.3579
0.01	0	972.2	95.21	-206.1	-0.9617	-0.3497	-0.08741	-0.5161	-0.7205	-0.5918	984.9	-83.5	-170.9	-0.8743	-0.6995	-0.5246	-0.3494	0.8284	0.739	918	225.1	-313	0.612	-0.6995	-0.612	-1.045	0.8079	0.4341	927.2	-260.7	-250.5	-0.1749	-0.3497	0	-1.305	-0.5466	-0.3564
0.02	0	975.1	102.5	-200.2	-1.224	-0.1749	0.4372	-0.5161	-0.7183	-0.584	973.6	-94.73	-174.8	0	0	-0.2623	-0.3481	0.8271	0.7363	918	226.1	-316.4	0	0.5246	-0.3497	-1.051	0.8101	0.4448	931.1	-257.3	-239.3	0.1749	-0.612	0.2623	-1.309	-0.543	-0.355
0.03	0	977.1	101.1	-214.4	-0.08741	-0.4371	0	-0.5161	-0.718	-0.5879	979	-95.7	-158.7	0.1749	-0.4371	0	-0.3457	0.8284	0.7349	923.8	230	-321.8	0.5246	0.8743	0.4371	-1.049	0.8076	0.446	941.4	-255.9	-244.6	-0.2623	0	-0.612	-1.308	-0.5503	-0.3743
0.04	0	976.1	102.5	-209.5	-0.1748	0	0.612	-0.5161	-0.7178	-0.5918	988.8	-93.75	-178.2	-0.4372	0.612	-0.08741	-0.3433	0.8296	0.7334	923.3	228.5	-316.9	0	0	0.3497	-1.046	0.8052	0.4473	939.4	-251.5	-237.3	0	0	-0.08741	-1.306	-0.5576	-0.3936
0.05	0	975.6	102.1	-209	-0.1748	-1.224	-0.3497	-0.5186	-0.7202	-0.5876	984.4	-96.19	-163.6	-0.1749	0.1749	0.9618	-0.3469	0.8296	0.7322	925.3	226.1	-311.5	-0.3497	0.1749	0.1748	-1.046	0.8052	0.446	934.6	-253.9	-246.6	-0.7869	-0.4371	-0.08741	-1.306	-0.5515	-0.3743
0.06	0	969.2	97.17	-212.9	0.3498	-0.4371	-0.08741	-0.521	-0.7227	-0.5835	980.9	-93.26	-160.6	0.8743	-0.2623	-0.4372	-0.3506	0.8296	0.731	925.3	229.5	-318.4	-0.612	0.7869	0.08745	-1.046	0.8052	0.4448	935	-256.4	-241.2	-1.049	-0.612	-0.2623	-1.307	-0.5454	-0.355
0.07	0	967.3	93.75	-207.5	0.5246	-0.2623	0	-0.5176	-0.7227	-0.5745	974.6	-101.6	-166	0	-0.2623	0.9618	-0.3494	0.832	0.7336	922.4	228.5	-310.5	-0.9617	0.5246	0.5246	-1.048	0.8064	0.4592	934.6	-257.8	-254.4	-1.224	-0.4371	0	-1.305	-0.5501	-0.3728
0.08	0	970.7	102.5	-202.2	0	0.612	-0.1749	-0.5142	-0.7227	-0.5654	980	-93.75	-162.6	0.4372	-0.08741	0.1749	-0.3481	0.8345	0.7363	921.4	226.6	-314.5	0.4371	0.612	0.2623	-1.049	0.8076	0.4736	932.6	-255.4	-244.1	0.08743	-0.612	-0.5246	-1.304	-0.5547	-0.3906
0.09	0	972.2	100.1	-214.8	-0.2622	-0.5246	-0.1749	-0.5188	-0.7192	-0.5745	981.4	-96.19	-169.4	0.2623	0.3497	0.2623	-0.3469	0.832	0.7402	920.9	228.5	-327.1	0	0.5246	0.612	-1.051	0.8064	0.4607	933.6	-259.8	-246.1	-0.4372	-0.4371	-0.3497	-1.305	-0.5501	-0.3728
0.10	0	966.3	98.15	-200.7	-0.2622	-0.2623	0	-0.5234	-0.7158	-0.5835	988.8	-89.84	-163.1	0	0.5246	0.08741	-0.3457	0.8296	0.7442	917	225.1	-315.9	0	0.1749	-0.08745	-1.053	0.8052	0.4478	940.4	-252.4	-240.2	0	-0.8743	-0.2623	-1.307	-0.5454	-0.355
0.11	0	978	105	-210	-0.08741	-0.2623	0.1749	-0.521	-0.718	-0.5796	987.3	-95.21	-175.3	-0.1749	0.5246	0.3497	-0.3469	0.8308	0.7402	920.9	227.1	-319.8	-0.1749	-0.08741	0.08745	-1.053	0.8052	0.4544	931.6	-259.3	-240.7	0	0.1748	-0.612	-1.307	-0.5479	-0.3645
0.12	0	976.1	103	-217.3	0.08741	0	-0.08741	-0.5186	-0.7202	-0.5757	983.9	-101.1	-174.3	-0.5246	0.2623	-0.5246	-0.3481	0.832	0.7363	925.8	227.5	-314	-0.3497	-0.2623	0.6994	-1.054	0.8052	0.4609	938	-250.5	-241.2	-0.6995	-0.612	-0.6994	-1.307	-0.5503	-0.374
0.13	0	969.2	100.6	-211.9	-0.2622	0	-0.1749	-0.5198	-0.7202	-0.5798	984.4	-97.17	-163.1	0.1749	0.612	-0.4372	-0.3494	0.8284	0.7402	923.3	224.6	-315.4	0	-0.2623	0.3497	-1.051	0.8064	0.4568	935.5	-252.4	-248.5	-0.5246	-0.7869	-0.8743	-1.309	-0.5491	-0.3657
0.14	0	973.2	104	-206.5	-0.6994	0	0.3497	-0.521	-0.7202	-0.584	977.5	-95.21	-181.6	0.1749	-0.08741	0.2623	-0.3506	0.8247	0.7442	922.9	226.1	-310.5	0	-0.5246	0.9617	-1.049	0.8076	0.4526	932.6	-250.5	-242.7	-0.1749	-0.4371	-0.1749	-1.312	-0.5479	-0.3574
0.15	0	971.7	102.5	-210	-0.6994	0.3497	0.612	-0.5176	-0.719	-0.5732	982.9	-91.31	-163.6	-0.08741	0.612	0.5246	-0.3518	0.8306	0.7456	920.9	223.6	-314.5	-0.2623	0.08741	0.4371	-1.049	0.8088	0.4553	940.4	-248.1	-239.3	-0.9618	-0.3497	-0.7869	-1.313	-0.5479	-0.3672
