MR32 ASCII
Name	static03
Frequency	100
Date	16-04-2018 12:17:57
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	976.1	94.73	-209.5	-0.612	0	0.5246	-1.156	-0.7422	-0.5664	980	-94.73	-169.4	0.2623	-0.6995	0.2623	-1.175	0.7246	0.5879	927.2	226.1	-318.4	-0.1749	0	0.4372	-0.5645	0.3359	-0.06397	948.2	-235.3	-233.4	-1.486	-1.574	-1.574	-0.8022	-0.2788	0.3198
0.01	0	977	95.21	-216.3	-0.5246	-0.8743	-0.2623	-1.162	-0.7424	-0.561	982.4	-95.7	-168.9	0	-0.1749	0.08741	-1.175	0.7268	0.5881	926.8	219.7	-319.8	-0.612	-0.08745	0.3497	-0.5645	0.3347	-0.05981	949.7	-236.8	-237.3	-2.448	-1.049	-0.6995	-0.8049	-0.2776	0.3171
0.02	0	973.1	98.63	-205.6	0	-0.1749	0.2623	-1.167	-0.7427	-0.5557	980.5	-95.7	-168.9	0.3497	0.08745	0.2623	-1.175	0.729	0.5884	929.2	214.4	-317.4	-1.224	0.1749	0.08746	-0.5645	0.3335	-0.05566	949.7	-225.1	-244.1	-1.224	-1.311	-0.8744	-0.8076	-0.2764	0.3144
0.03	0	971.2	100.6	-213.9	0.6995	0	0.4372	-1.165	-0.7439	-0.561	978	-97.17	-168.9	0.6995	0	0.2623	-1.174	0.728	0.5869	921.9	214.4	-318.4	0	0.2623	0.1749	-0.5681	0.3345	-0.06226	941.4	-251.5	-242.2	-0.7869	-1.311	-0.7869	-0.8088	-0.2727	0.313
0.04	0	979	106.9	-214.8	0.612	0	0.08741	-1.163	-0.7451	-0.5664	986.3	-92.77	-167	0.1749	-0.5246	0	-1.172	0.727	0.5854	921.4	219.7	-307.1	0.8743	0.5246	0.08746	-0.5718	0.3354	-0.06885	939.5	-244.1	-237.3	0	-1.137	-0.4371	-0.8101	-0.269	0.3115
0.05	0	974.1	103	-209.5	0.4371	1.049	0.612	-1.163	-0.7449	-0.561	982.4	-90.33	-163.1	-0.1749	0.3497	-0.4372	-1.174	0.7222	0.5894	921.9	226.6	-314	0.7869	0	-0.3497	-0.5693	0.3381	-0.06226	944.3	-238.3	-243.2	-0.1749	-0.5246	-0.8744	-0.8088	-0.2715	0.3142
0.06	0	973.6	102.5	-204.6	-0.3497	-0.2623	0	-1.163	-0.7446	-0.5557	980.5	-95.7	-176.8	0.08741	-0.5246	-0.3497	-1.175	0.7173	0.5933	926.3	225.6	-310.1	0.2623	0.612	0.3497	-0.5669	0.3408	-0.05566	941.4	-245.6	-237.8	0	-0.8743	-0.6995	-0.8076	-0.2739	0.3169
0.07	0	974.1	92.77	-198.7	-0.4371	-0.8743	0	-1.159	-0.7446	-0.5598	984.4	-93.75	-168.9	-0.4372	0.2623	0.1749	-1.176	0.721	0.592	919.4	215.8	-315.9	0	0.2623	0.5246	-0.5657	0.3372	-0.05444	943.9	-239.7	-238.3	-0.6995	-0.6994	-0.6995	-0.8074	-0.2764	0.3169
0.08	0	978	101.1	-205.1	-0.08741	-0.612	0.5246	-1.156	-0.7446	-0.564	979	-92.77	-169.4	-0.612	-0.4372	0.1749	-1.177	0.7246	0.5908	921.9	222.7	-324.7	0.08741	0.1749	0.6995	-0.5645	0.3335	-0.05322	949.2	-237.3	-231.9	0.5246	-0.1748	-0.6995	-0.8071	-0.2788	0.3169
0.09	0	970.7	95.7	-211.4	-0.1749	-0.2623	0.08741	-1.16	-0.7449	-0.5613	978	-90.82	-173.8	-0.5246	0	-0.1749	-1.175	0.7246	0.5908	924.8	220.7	-318.4	0	-0.5246	0.8743	-0.5669	0.3347	-0.05591	946.3	-243.7	-231.4	0.1749	-0.3498	-0.6995	-0.8074	-0.2788	0.3184
