MR32 ASCII
Name	Trial_8
Frequency	200
Date	05-03-2018 13:01:29
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	965.3	-259.8	68.85	0.1754	0.6998	0.6998	-1.128	-0.5488	-0.4228	953.6	288.1	-135.3	-0.9592	-1.749	-0.4374	-1.098	0.4824	0.4492	885.3	204.1	-411.1	1.043	-4.11	1.224	-1.049	0.2793	0.3599	975.5	-131.4	133.8	-2.538	0.4354	-0.7888	-1.064	-0.5801	-0.1997
0.005	0	964.9	-263.7	50.78	-1.052	1.836	1.05	-1.127	-0.551	-0.4243	957	293.4	-145.5	-0.7013	-0.8755	0.08911	-1.1	0.4822	0.4438	884.8	205.1	-435.6	0.6956	-4.195	0.8723	-1.042	0.2771	0.365	979.5	-127.9	130.8	-2.712	1.31	-0.4369	-1.063	-0.5788	-0.1997
0.010	0	970.7	-258.8	56.15	-0.0877	1.049	0.2606	-1.126	-0.5532	-0.4258	951.2	286.1	-132.8	-0.9592	-1.049	-0.1742	-1.103	0.4819	0.4385	881.4	205.5	-427.7	0.5217	-3.583	1.224	-1.035	0.2749	0.3701	980.4	-128.9	139.1	-2.016	0.5256	-0.3519	-1.062	-0.5776	-0.1997
0.015	0	961.4	-262.2	50.78	-0.9647	1.4	-0.3499	-1.127	-0.5522	-0.4282	943.9	283.2	-142.1	-0.524	-0.7877	-0.1742	-1.104	0.4846	0.4438	888.7	202.2	-418.5	0.8695	-4.021	0.9602	-1.035	0.2749	0.3704	979.5	-142.6	136.7	-1.755	0.2628	-0.08495	-1.064	-0.574	-0.1968
0.020	0	964.9	-263.7	48.83	-0.3508	2.01	0.5248	-1.128	-0.5513	-0.4307	950.7	290.5	-141.6	-0.8706	-0.5243	0	-1.105	0.4873	0.4492	885.3	198.8	-418.5	0.8695	-4.807	0.615	-1.035	0.2749	0.3706	979.5	-141.1	141.1	-1.305	0.08629	-0.2609	-1.067	-0.5703	-0.1939
0.025	0	961.9	-263.7	48.34	-0.9647	0.6998	0	-1.126	-0.5498	-0.4214	954.1	294.9	-136.7	-0.3466	-1.312	0.3483	-1.105	0.4873	0.4492	888.2	208	-413.1	1.58	-4.373	1.224	-1.04	0.2773	0.3706	977.1	-142.1	134.3	-1.044	-0.1765	-0.6128	-1.067	-0.5737	-0.2117
0.030	0	967.8	-265.1	53.71	-1.052	1.312	0.5248	-1.124	-0.5483	-0.4121	949.2	289.5	-136.7	-0.6126	-0.9609	1.049	-1.105	0.4873	0.4492	881.4	207.6	-430.2	1.667	-5.07	1.048	-1.044	0.2798	0.3706	984.9	-144	123.6	-0.9571	0.2628	-0.08495	-1.067	-0.5771	-0.2295
0.035	0	961.4	-263.2	42.97	-0.7016	0.6998	-0.4355	-1.124	-0.5486	-0.4123	945.3	288.1	-141.6	-0.79	-0.6121	0.6116	-1.104	0.4848	0.4478	889.6	220.7	-420.4	1.043	-4.548	1.048	-1.042	0.281	0.3679	987.3	-144.5	126	-1.131	0.8747	-0.3519	-1.062	-0.5786	-0.2188
0.040	0	968.2	-259.8	51.27	0.0877	0.4382	-0.1749	-1.124	-0.5488	-0.4126	942.9	286.6	-134.8	0	-0.8755	0.8749	-1.103	0.4824	0.4463	882.8	212.4	-423.4	1.927	-4.548	1.751	-1.04	0.2822	0.3652	978.6	-149.9	126.4	-0.6091	-0.08629	-0.2609	-1.057	-0.5801	-0.208
0.045	0	958.5	-269.1	51.27	0.1754	0.3488	0	-1.124	-0.5488	-0.4177	951.2	294.9	-133.3	-0.6126	-0.5243	1.223	-1.103	0.4812	0.449	887.2	211	-415.5	2.971	-4.807	1.224	-1.04	0.2795	0.3691	987.3	-143.5	130.4	-1.044	-0.08629	-1.05	-1.057	-0.5801	-0.208
