MR32 ASCII
Name	Trial_10
Frequency	100
Date	23-04-2018 11:45:25
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	952.6	-115.7	-289.1	-0.1728	0.4361	-0.08973	-1.381	-0.685	-0.2964	985.8	175.3	-41.99	0.4358	0.08917	1.4	-1.441	0.5381	0.4448	961.9	-220.2	-172.8	-0.6122	-0.6112	0.5213	-0.7505	0.9551	-0.007809	969.3	210	-148.4	0.2611	0.263	-1.052	-0.835	-1.065	-0.2085
0.01	0	953.1	-109.9	-286.1	-0.1728	-0.5263	-0.7831	-1.384	-0.685	-0.3003	985.8	170.4	-33.69	0	0.1745	0.2611	-1.441	0.5381	0.4514	962.9	-224.6	-167.5	0.3498	-0.1749	0.2654	-0.7468	0.96	-0.00659	967.3	206.6	-148.9	-0.526	0	-0.7012	-0.8337	-1.063	-0.207
0.02	0	950.2	-113.3	-285.7	-0.7866	-0.4361	-0.08973	-1.386	-0.685	-0.3042	978.5	170.4	-23.93	-0.08716	0.2636	0.2611	-1.441	0.5381	0.458	959.5	-225.1	-185.1	0.1749	-0.1749	0.7014	-0.7432	0.9648	-0.005371	965.8	211.4	-147.5	-1.048	0.1742	-0.08304	-0.8325	-1.06	-0.2056
0.03	0	951.7	-112.8	-286.1	-0.5229	-0.08647	0.1713	-1.386	-0.6826	-0.303	985.8	173.8	-29.79	-0.2615	0.5234	0.8782	-1.438	0.5393	0.458	962.4	-223.7	-172.8	0.1749	0	1.052	-0.7468	0.9636	0.005131	968.7	209	-155.3	0.1753	0.526	-0.7843	-0.8313	-1.06	-0.2056
0.04	0	959	-105	-287.6	-1.309	0	-0.7015	-1.386	-0.6802	-0.3018	988.3	172.4	-34.18	-0.3486	-0.2636	0.8782	-1.436	0.5405	0.458	957.5	-229	-175.3	-0.08745	-0.1749	1.052	-0.7505	0.9624	0.01562	964.3	210	-149.9	0.0858	0.6114	-0.9596	-0.8301	-1.06	-0.2056
0.05	0	948.7	-115.7	-289.5	-1.223	-0.6128	0.1713	-1.385	-0.6826	-0.3005	981	164.5	-21.49	-0.8752	0.08917	0	-1.438	0.5381	0.458	959.9	-224.1	-172.8	-0.6996	0.6112	1.223	-0.7493	0.96	0.005131	969.7	209.5	-156.7	-0.1753	1.312	-0.2584	-0.8289	-1.059	-0.2026
0.06	0	948.3	-123.5	-295.4	-0.873	-0.2632	0.1713	-1.384	-0.685	-0.2993	988.8	171.9	-25.4	0	-0.6126	1.052	-1.441	0.5357	0.458	958.5	-226	-173.8	0	-0.6112	0.872	-0.748	0.9575	-0.005371	963.4	212.9	-139.6	0	0.1742	-0.7012	-0.8276	-1.058	-0.1997
0.07	0	953.1	-108.9	-286.1	-0.2637	-0.5263	0.08973	-1.384	-0.6826	-0.3005	983.9	172.4	-25.4	-0.2615	0.08917	0	-1.439	0.5393	0.4568	959	-230.9	-170.4	-0.4373	-0.4363	0.9573	-0.7493	0.9597	-2.405e-4	960.9	203.2	-159.7	0.1753	0.8743	-0.8766	-0.8301	-1.06	-0.2026
0.08	0	951.2	-114.2	-291.5	-0.1728	-0.9625	-0.261	-1.384	-0.6802	-0.3018	984.9	167.5	-34.18	-0.8752	0	0.3481	-1.437	0.543	0.4556	950.2	-237.8	-169.4	0.1749	-0.08655	-0.0853	-0.7505	0.9619	0.00489	960.4	204.6	-149.4	1.224	0.8743	-1.052	-0.8325	-1.063	-0.2056
0.09	0	945.8	-121.6	-280.8	-0.6138	0.5263	0.261	-1.384	-0.6838	-0.3057	981	163.6	-21.98	0.08716	0.4381	0.7832	-1.439	0.5405	0.4556	963.4	-228.5	-189	0.1749	-0.3497	1.137	-0.748	0.9621	0.001219	966.3	207.5	-149.4	0.2611	0.8743	-0.7012	-0.8301	-1.063	-0.2041
