MR32 ASCII
Name	static
Frequency	100
Date	23-04-2018 11:31:16
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	981.4	85.45	-190.9	0.5246	0.4372	-0.08741	-1.043	-0.8457	-0.54	992.2	-28.32	-124	0	-0.2623	0	-1.144	0.7227	0.6929	980.9	9.277	-181.2	0	-1.049	0.8743	-0.7803	0.4819	-0.09131	973.6	-21	-212.9	0.1749	0.3497	-0.6994	-0.9863	-0.5068	0.1367
0.01	0	971.2	79.59	-195.3	0.6995	0.08745	0.612	-1.042	-0.8467	-0.5388	990.2	-26.37	-137.2	0.08745	0	0	-1.145	0.7205	0.6809	980	7.812	-186.5	0.1749	-0.1749	0.5246	-0.7766	0.4868	-0.09009	974.6	-21	-219.7	-1.399	0	-0.6994	-0.9863	-0.5068	0.1394
0.02	0	971.7	81.54	-182.6	-0.1749	0.1749	0.6995	-1.041	-0.8477	-0.5376	990.7	-22.95	-126.5	-0.2623	0	-0.08741	-1.146	0.7183	0.6689	977.5	6.836	-177.7	0	0	0	-0.773	0.4917	-0.08887	978.5	-23.44	-218.7	0.08743	0	-0.2623	-0.9863	-0.5068	0.1421
0.03	0	977.1	80.57	-189.5	-0.1749	0.5246	0.1749	-1.041	-0.8442	-0.5391	997.1	-20.02	-117.2	-0.1749	-0.08745	-0.1749	-1.146	0.7195	0.6702	980.5	9.277	-176.3	-0.08743	-0.6995	0	-0.7776	0.4893	-0.09155	972.2	-27.83	-221.7	0.4372	0.08745	-0.6994	-0.9851	-0.508	0.1409
0.04	0	975.6	79.1	-187	-0.8743	0.08745	-0.2623	-1.041	-0.8408	-0.5405	991.2	-25.88	-126.5	-0.2623	-0.1749	0.6995	-1.146	0.7207	0.6714	978	5.371	-178.2	-0.1749	-0.612	0.7869	-0.7822	0.4868	-0.09424	970.2	-24.9	-210.5	-0.08743	-0.6995	-0.5246	-0.9839	-0.5093	0.1396
0.05	0	976.6	80.08	-188.5	0	0	-0.2623	-1.042	-0.8396	-0.5403	989.3	-28.81	-124.5	-0.6994	-0.612	0.4372	-1.147	0.7205	0.6741	983.4	7.812	-189.9	-0.2623	-0.7869	1.049	-0.7812	0.4868	-0.09009	979.5	-21.48	-220.7	-1.049	0.1749	-0.3497	-0.9839	-0.5093	0.1423
0.06	0	980.5	81.06	-191.9	-0.08743	-0.7869	0.3497	-1.043	-0.8384	-0.54	994.6	-23.44	-131.8	-0.1749	-0.9618	0.1749	-1.148	0.7202	0.6768	980.5	8.301	-182.6	0	-0.6995	0.2623	-0.7803	0.4868	-0.08594	980	-20.51	-218.3	-0.4372	0.1749	-0.4372	-0.9839	-0.5093	0.145
0.07	0	976.1	83.01	-193.4	-0.4372	0	0	-1.043	-0.8396	-0.5427	995.6	-27.34	-126.5	-0.6994	-0.08745	1.137	-1.146	0.7205	0.6768	987.8	9.277	-185.5	-0.08743	-0.6995	0.3497	-0.7778	0.4868	-0.0874	977.1	-22.95	-227	-0.08743	-0.3497	-0.9617	-0.9839	-0.5132	0.145
0.08	0	980.5	88.38	-197.8	-0.3497	0.5246	-0.3497	-1.043	-0.8408	-0.5454	994.2	-31.25	-129.9	0.4372	-0.1749	-0.1749	-1.144	0.7207	0.6768	980.5	3.906	-197.3	0.08743	0	0.2623	-0.7754	0.4868	-0.08887	979.5	-18.55	-214.4	-0.2623	0.08745	-0.1749	-0.9839	-0.5171	0.145
0.09	0	978	87.4	-190.4	0.5246	0.7869	-0.2623	-1.041	-0.842	-0.5454	998.5	-25.88	-121.1	0.08745	0	-0.612	-1.145	0.7207	0.6755	987.3	4.394	-181.6	-0.6995	0.5246	0	-0.7788	0.4856	-0.09131	979.5	-14.16	-214.4	-0.3497	0	-0.4372	-0.9851	-0.5132	0.1409
