MR32 ASCII
Name	static_2
Frequency	100
Date	23-04-2018 11:42:11
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	970.7	73.73	-208.5	0.6994	-0.1749	0.2623	-1.115	-0.8418	-0.4917	994.1	-10.74	-105.5	0.2623	-0.08743	0	-1.215	0.7065	0.6348	980	4.395	-207	-0.9617	0.3497	-0.5246	-0.8433	0.5225	-0.05859	980.5	-24.9	-192.4	-1.311	-0.2623	-0.08744	-1.055	-0.5386	0.09961
0.01	0	978	73.24	-206.1	0.3497	-0.08744	0.3497	-1.114	-0.8394	-0.4929	998.5	-8.301	-124.5	0.3497	-0.5246	-0.2623	-1.21	0.7058	0.6338	976.1	-3.907	-205.1	-1.311	0.8743	0.4371	-0.8496	0.5227	-0.0625	984.4	-18.55	-203.1	-0.612	0	0.1749	-1.058	-0.541	0.09668
0.02	0	975.6	72.27	-212.9	0.4371	-0.3498	0.5246	-1.113	-0.8369	-0.4941	999	-7.324	-115.7	0.2623	-0.2623	0	-1.204	0.7051	0.6328	982.4	-2.93	-204.6	-0.8743	-0.2623	-0.08744	-0.8559	0.523	-0.06641	981	-26.37	-202.6	-0.5246	0.08741	-0.08744	-1.06	-0.5435	0.09375
0.03	0	978.5	79.59	-211.9	0.5246	0.1749	0.9617	-1.112	-0.8394	-0.4902	995.1	-10.25	-113.3	-0.3497	0.3497	-1.137	-1.209	0.7063	0.637	972.2	-1.953	-201.2	-0.3497	0	-0.2623	-0.8486	0.5244	-0.06787	983.4	-19.04	-191.4	-1.137	-0.1749	0.1749	-1.059	-0.5408	0.09253
0.04	0	981.4	84.47	-210.9	0.7869	0.9618	0.08741	-1.111	-0.8418	-0.4863	998.5	-13.18	-116.7	0.2623	0	-0.08745	-1.214	0.7075	0.6411	978	-0.9768	-207.5	0.2623	-0.4372	0	-0.8413	0.5259	-0.06934	979	-21	-186.5	0.1749	0.3497	0.08744	-1.058	-0.5381	0.09131
0.05	0	976.5	75.68	-208	0.2623	-0.2623	0.5246	-1.11	-0.8406	-0.4863	992.7	-15.63	-106.4	0	0.2623	-0.7869	-1.211	0.7051	0.6384	978	-1.953	-208.5	-0.1749	0	0	-0.845	0.5234	-0.06787	977.5	-29.79	-191.4	-0.5246	0.7869	0.7869	-1.058	-0.5356	0.09277
0.06	0	979.5	81.05	-203.6	-0.3497	0.2623	0.612	-1.108	-0.8394	-0.4863	996.1	-6.836	-108.4	-0.08741	-0.08743	-0.4371	-1.209	0.7026	0.6358	978	0	-204.6	-0.3497	-0.1749	-0.1749	-0.8486	0.521	-0.06641	973.1	-25.88	-191.9	0	0.612	-0.1749	-1.058	-0.5332	0.09424
0.07	0	976.5	73.73	-215.3	0.2623	0.08744	0.612	-1.11	-0.8406	-0.4905	989.3	-19.04	-114.3	-0.2623	-0.5246	-0.7869	-1.211	0.7039	0.6343	978	0.4881	-212.9	-0.612	-0.4372	-0.4371	-0.8489	0.521	-0.06372	983.4	-15.62	-187	-0.4372	-0.08741	-0.3498	-1.059	-0.5344	0.09155
0.08	0	968.3	65.92	-218.7	-0.08741	-0.1749	-0.08741	-1.111	-0.8418	-0.4946	992.7	-13.67	-108.4	0	-0.08743	-1.399	-1.214	0.7051	0.6328	973.6	-3.418	-203.1	-0.9617	0.6994	-0.9618	-0.8491	0.521	-0.06104	974.1	-21.49	-189	-0.5246	0.5246	0.5246	-1.06	-0.5356	0.08887
0.09	0	979.5	72.75	-209.5	-0.4371	1.049	1.311	-1.115	-0.8406	-0.4959	991.7	-13.18	-114.7	0.08741	-0.1749	0	-1.215	0.7051	0.6343	980	0	-217.8	-0.612	-0.08741	-0.2623	-0.8525	0.521	-0.06104	979	-18.07	-185.5	0.8743	-0.7869	0.5246	-1.058	-0.5356	0.09424
