MR32 ASCII
Name	Trial_9
Frequency	100
Date	23-04-2018 12:24:33
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	954.6	-96.69	-244.6	-1.226	-0.7001	-0.2649	-1.476	-0.7442	-0.3374	966.8	244.6	-81.06	-0.7016	-0.6999	1.053	-1.494	0.4253	0.6035	954.6	-190.9	-221.7	0	-0.2634	1.221	-0.769	0.9595	0.4834	900.9	410.7	-112.3	0	0.6105	-0.8744	-0.6245	-1.22	-0.4409
0.01	0	964.4	-93.78	-253.9	-1.137	0.2619	-0.7836	-1.479	-0.7429	-0.3496	961.9	239.3	-80.1	-1.49	-1.4	0.5267	-1.493	0.4216	0.6262	955.1	-193.8	-206.5	-0.6141	-0.9628	1.315	-0.769	0.9595	0.478	904.3	412.1	-109.4	-0.9598	0.5255	-0.8744	-0.6245	-1.222	-0.4368
0.02	0	960.4	-85.97	-252	-2.797	0.08551	0	-1.482	-0.7417	-0.3618	968.8	236.4	-83.97	-1.403	-1.572	-0.08965	-1.492	0.418	0.6489	959	-189.9	-213.4	-0.6141	-0.6131	1.138	-0.769	0.9595	0.4727	901.9	408.2	-107.9	-0.5223	0.6993	-0.6141	-0.6245	-1.223	-0.4326
0.03	0	959	-88.35	-241.7	-2.274	-0.8765	0.2649	-1.481	-0.7405	-0.3604	966.3	245.1	-83	-2.365	-1.489	0.2578	-1.49	0.4192	0.6382	957	-192.8	-222.6	0.4387	-0.5267	0.7829	-0.77	0.9595	0.4714	902.8	413.6	-101.1	-1.136	0.4366	-0.8744	-0.6257	-1.22	-0.4368
0.04	0	964.4	-97.22	-241.7	-3.149	0.3474	1.137	-1.48	-0.7393	-0.3589	959	231.9	-83.52	-2.798	-1.05	1.401	-1.489	0.4204	0.6274	960.5	-191.9	-215.8	-0.3509	-0.5267	1.054	-0.771	0.9595	0.4702	906.8	418	-95.23	0	0.2627	-0.8744	-0.6269	-1.218	-0.4409
0.05	0	964.9	-101.6	-260.7	-3.672	0.08551	0.7836	-1.482	-0.7439	-0.3604	973.2	239.8	-81.51	-1.576	-2.622	0.08965	-1.488	0.4204	0.6382	961	-193.3	-217.3	0.5264	-1.049	1.138	-0.7712	0.9595	0.4741	904.8	417	-108.4	-0.6986	0.9621	-0.6974	-0.6257	-1.219	-0.4409
0.06	0	961	-84.92	-245.6	-3.672	0.1764	0.607	-1.485	-0.7485	-0.3618	966.8	247.5	-91.79	-2.884	-1.05	0.6164	-1.487	0.4204	0.6489	962.9	-191.4	-216.8	0.08773	-0.6131	1.482	-0.7715	0.9595	0.478	903.3	413.1	-100.6	-0.6986	1.31	-0.8744	-0.6245	-1.22	-0.4409
0.07	0	962.4	-89.81	-250	-4.023	0	0.6953	-1.48	-0.7427	-0.3604	969.7	241.3	-76.15	-3.672	-1.4	0.7845	-1.49	0.4229	0.6462	953.6	-193.3	-217.3	-0.08773	-0.6131	1.754	-0.7724	0.9595	0.4741	901.4	418.9	-105.5	-1.926	1.051	-0.7911	-0.6245	-1.22	-0.4451
0.08	0	958.5	-99.6	-254.4	-4.285	-1.048	1.402	-1.475	-0.7368	-0.3589	969.7	224.2	-87.4	-3.672	-2.183	0.08965	-1.492	0.4253	0.6435	960.5	-194.9	-213.4	-0.5264	-0.436	0.9603	-0.7734	0.9595	0.4702	906.8	411.1	-112.3	-1.835	0	-1.312	-0.6245	-1.22	-0.4492
0.09	0	960.4	-94.7	-243.2	-5.071	-0.3474	0.1766	-1.482	-0.7383	-0.356	969.2	231.9	-84.49	-4.019	-1.489	0.5267	-1.493	0.4241	0.6492	966.8	-190.9	-221.7	-0.7896	-0.6131	1.576	-0.7749	0.9582	0.4756	906.3	409.7	-106.5	-1.397	0.08886	-1.228	-0.6245	-1.219	-0.4436
0.10	0	966.8	-96.16	-252.4	-5.243	-0.08551	1.137	-1.489	-0.7397	-0.353	964.3	241.8	-88.37	-3.499	-1.139	1.132	-1.494	0.4229	0.6548	960.5	-187.5	-212.9	-0.1755	-0.7857	1.315	-0.7764	0.957	0.481	905.3	417.5	-104.5	-1.312	0.6105	-1.228	-0.6245	-1.218	-0.438
0.11	0	962.4	-92.32	-240.7	-4.898	-0.6146	0.2649	-1.486	-0.7407	-0.356	955.1	240.8	-83.97	-4.72	-0.9609	1.053	-1.494	0.4216	0.6611	956	-194.3	-219.7	-1.573	-0.9628	1.399	-0.7761	0.9558	0.4771	902.8	413.6	-103.5	-2.096	0.3516	-1.665	-0.6245	-1.217	-0.4409
0.12	0	959.9	-96.16	-245.6	-4.196	-0.2619	0.6953	-1.482	-0.7417	-0.3589	963.4	241.8	-84.49	-4.287	-0.6999	1.491	-1.495	0.4204	0.6675	964.9	-184.6	-224.1	-1.222	-1.049	2.015	-0.7759	0.9546	0.4731	897.5	411.1	-101.6	-1.926	0.6105	-1.572	-0.6245	-1.215	-0.4438
