MR32 ASCII
Name	static
Frequency	100
Date	23-04-2018 12:15:55
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	997.5	63.97	-116.7	0.3497	0.1749	-0.1749	-1.206	-0.7246	-0.6108	960	104	-255.9	-0.612	0.08745	-0.08741	-1.227	0.3594	0.8198	-6.833	9.761	-5288	351	-954.2	348.3	1.945	-9.761e-4	-0.00488	957.5	197.3	-208	-0.08741	-0.7869	-0.7869	-0.8325	-0.6553	0.2661
0.01	0	990.7	56.15	-109.9	0.4372	-0.2623	0.1749	-1.207	-0.7209	-0.6028	963.4	100.6	-267.6	-0.3497	0.1749	-0.4372	-1.227	0.3628	0.8291	2.928	-1.464	2.928	-946.9	351	-954.2	0.9719	-0.000488	-0.00423	955.6	195.3	-207	0.1749	-0.4371	-0.08745	-0.8328	-0.658	0.2744
0.02	0	994.2	61.52	-105.5	0.2623	0	0	-1.208	-0.7173	-0.5947	962.9	102.1	-258.8	0.6995	0.5246	0.3497	-1.227	0.3662	0.8384	8.785	-5288	1960	-954.2	348.2	-0.4369	-0.001464	0	-0.003416	961.4	199.2	-213.9	-0.7869	0.1749	-0.612	-0.833	-0.6606	0.2827
0.03	0	989.3	60.55	-116.7	0.08746	0.4372	-0.2623	-1.207	-0.7219	-0.5947	958.5	101.6	-251	0.2623	0.08745	-0.08741	-1.229	0.3662	0.8357	-3.416	5.368	-5288	351	-954.3	348.2	3.254e-4	0.001789	-2.646	958	194.3	-209.5	0.08741	-0.7869	-0.5246	-0.8291	-0.6567	0.291
0.04	0	989.3	57.62	-121.1	0	-1.137	0	-1.206	-0.7266	-0.5947	960.4	102.5	-255.9	0.2623	-0.08745	-0.2623	-1.231	0.3662	0.833	-5288	1960	-5330	348.2	-0.3495	-1.136	0.001952	0.003416	-5.288	956	197.8	-207	-0.6994	-0.3497	-0.8743	-0.8252	-0.6528	0.2993
0.05	0	991.7	58.11	-110.8	0	-0.3497	0.2623	-1.204	-0.7278	-0.6001	957.5	104	-247.1	0.3497	-0.1749	0.4372	-1.229	0.3628	0.8369	2.44	-5288	1960	-954.3	348.3	0.08739	0.000488	-2.642	-1.664	955.1	198.2	-211.4	-0.3497	-0.1749	-0.4372	-0.8264	-0.6528	0.291
0.06	0	996.6	64.45	-120.1	-0.3497	-0.8743	0.1749	-1.203	-0.729	-0.6055	959	100.1	-264.6	0	0	0.08741	-1.227	0.3594	0.8408	1960	-5330	1945	-0.08738	-0.4369	0.1748	-9.761e-4	-5.288	1.96	959.5	193.8	-209.5	0.612	-0.4371	-0.08745	-0.8276	-0.6528	0.2827
0.07	0	995.6	62.99	-115.7	-0.2623	-0.5246	0.5246	-1.203	-0.7268	-0.6108	962.4	102.5	-246.6	-0.3497	0	0.4372	-1.228	0.3604	0.8384	-5288	1960	-5330	348.3	-1.136	-1.748	-2.644	-1.663	-1.684	954.1	193.4	-215.8	-0.7869	-0.1749	-1.049	-0.8301	-0.6567	0.2827
0.08	0	994.6	63.48	-114.3	-0.3497	0.08741	-0.4372	-1.203	-0.7246	-0.6162	962.4	101.6	-262.2	-0.08743	-0.3497	0.5246	-1.229	0.3613	0.8359	-5330	1946	0	-0.2621	0.699	-946.8	-5.288	1.961	-5.329	956.6	197.8	-209	0	-0.2623	0.1749	-0.8325	-0.6606	0.2827
0.09	0	992.2	58.11	-120.6	-0.1749	-0.612	-0.08741	-1.205	-0.7231	-0.6016	962.9	103	-256.4	-0.612	-0.5246	0.8743	-1.229	0.3591	0.8398	1960	-5329	1946	-0.699	-1.049	0.4369	-1.663	-1.684	-1.692	961	201.2	-204.1	0	-0.08741	0.08745	-0.8325	-0.658	0.2827
0.10	0	995.1	59.57	-116.2	-0.8743	-0.7869	-0.1749	-1.206	-0.7217	-0.5869	958.5	98.63	-261.2	-0.3497	-0.6995	0.612	-1.229	0.3569	0.8437	1946	2.44	0	-0.4369	-946.8	351.1	1.961	-5.33	1.946	951.6	193.8	-219.7	-0.4372	0	-0.9617	-0.8325	-0.6553	0.2827
0.11	0	988.8	54.69	-114.3	-0.6995	-0.08741	0	-1.206	-0.7244	-0.6138	960.9	97.65	-259.3	-0.2623	-0.612	-0.5246	-1.231	0.3579	0.8464	-5330	1946	2.928	0.08738	-0.2621	-946.8	-1.684	-1.692	0.9761	957.5	200.2	-206.1	-0.5246	-0.2623	-0.5246	-0.8301	-0.658	0.2869
0.12	0	987.8	59.57	-113.8	0	-0.08741	-0.1749	-1.205	-0.7271	-0.6406	963.9	97.65	-270.5	0	0.08745	0	-1.232	0.3589	0.8491	-4.392	-8.785	0.976	-946.8	351.1	-954.2	-5.33	1.946	0.006345	958	195.8	-212.4	-0.5246	-0.4371	-0.2623	-0.8276	-0.6606	0.291
0.13	0	989.8	57.13	-120.6	-0.3497	-0.1749	0.08741	-1.204	-0.7244	-0.6179	962.4	101.6	-256.4	0.2623	-0.612	0.08741	-1.231	0.3579	0.8425	1946	3.904	2.928	-0.3495	-946.8	351.1	-1.692	0.9719	0.001301	955.6	193.8	-213.4	0.3497	-0.2623	-0.3497	-0.8315	-0.6567	0.2854
0.14	0	993.2	56.15	-111.3	0.08746	-0.3497	0.08741	-1.204	-0.7217	-0.5952	963.4	102.5	-259.8	-0.9618	-0.5246	-0.3497	-1.229	0.3569	0.8359	2.44	3.416	-5288	351.1	-954.3	348.4	1.946	-0.001952	-0.003904	958	196.8	-204.1	0	-0.4371	-0.9617	-0.8354	-0.6528	0.2798
0.15	0	990.2	56.15	-115.2	0.4372	0	0	-1.205	-0.7231	-0.6099	961.4	101.1	-262.7	-1.049	0.08745	0.1749	-1.228	0.3604	0.8345	4.88	-0.488	0.976	-946.8	351	-954.3	0.9722	-0.002766	-0.003254	959	199.2	-213.4	-0.5246	0.2623	-0.8743	-0.8328	-0.6553	0.2825
0.16	0	986.8	53.71	-119.1	0	-0.3497	0.1749	-1.206	-0.7246	-0.6245	959	100.1	-252	-0.6995	0	0.4372	-1.227	0.3638	0.833	-0.488	-5287	1960	-954.3	348.4	1.573	-0.001464	-0.003416	-0.00244	958.5	198.2	-218.7	0.3497	0.08741	-0.612	-0.8301	-0.6577	0.2852
0.17	0	987.3	56.15	-115.2	-0.5246	1.049	-0.612	-1.204	-0.7246	-0.6111	964.4	106	-253.9	-0.5246	0.2623	0	-1.226	0.3604	0.8357	5.368	1.952	-5288	351	-954.3	348.4	3.254e-4	0.00244	-2.645	959	195.8	-205.1	-0.6994	0	-0.08745	-0.8301	-0.6565	0.2812
0.18	0	993.2	60.06	-117.2	-0.1749	0.2623	-0.3497	-1.203	-0.7246	-0.5977	961.4	96.19	-263.7	0	-0.1749	-0.2623	-1.225	0.3569	0.8384	-5287	1960	-5330	348.4	-0.2621	-0.6117	0.001952	0.008297	-5.288	954.1	200.2	-215.8	0	-0.1749	-0.612	-0.8301	-0.6553	0.2773
0.19	0	987.8	55.66	-113.8	-0.08746	-0.3497	0	-1.206	-0.7256	-0.5977	964.8	104	-256.8	-0.3497	-0.612	0.8743	-1.227	0.3591	0.8398	-1.464	-5288	1960	-954.3	348.4	0.6117	3.254e-4	-2.64	-1.664	954.6	198.7	-216.3	0.1749	0	-0.1749	-0.8301	-0.658	0.2827
0.20	0	993.7	59.57	-112.8	0.2623	0.3497	-0.612	-1.208	-0.7266	-0.5977	956.5	96.68	-267.6	0.08743	0.08745	0.612	-1.229	0.3613	0.8413	1960	-5330	1946	-0.1748	-1.049	-0.2622	-0.001464	-5.288	1.96	952.6	191.9	-216.8	-0.5246	1.137	-0.8743	-0.8301	-0.6606	0.2881
0.21	0	999	65.43	-120.1	-0.3497	0.1749	0	-1.206	-0.7219	-0.5977	960	97.65	-257.8	-0.4372	0	0.4372	-1.229	0.3613	0.8398	-5288	1960	-5330	348.3	-0.4369	-0.5243	-2.645	-1.664	-1.685	955.6	196.8	-211.4	-0.7869	-0.08741	-0.2623	-0.8301	-0.658	0.2825
0.22	0	988.3	61.52	-114.3	-0.1749	0.1749	0.3497	-1.203	-0.7173	-0.5977	972.2	109.9	-256.4	0.1749	-0.5246	0	-1.229	0.3613	0.8384	-5330	1946	2.44	-0.08738	0.08738	-946.8	-5.288	1.96	-5.33	953.6	198.2	-211.4	-0.08741	-0.5246	-0.3497	-0.8301	-0.6553	0.2769
0.23	0	994.6	60.55	-112.3	-0.1749	-0.612	0.1749	-1.204	-0.7185	-0.6084	958.5	95.7	-254.9	-0.5246	0	0.2623	-1.228	0.3638	0.8384	1960	-5330	1946	0.3495	0.3495	-0.2622	-1.664	-1.685	-1.692	953.6	197.3	-208.5	0	-0.3497	0.4372	-0.8301	-0.6565	0.2783
0.24	0	991.2	59.57	-120.6	-0.1749	0.2623	-0.612	-1.206	-0.7197	-0.6191	960.4	99.61	-262.2	-0.08743	0	0	-1.227	0.3662	0.8384	1946	-0.488	0	-0.6117	-946.8	351	1.96	-5.33	1.946	961	204.6	-212.4	-0.3497	0.7869	0.4372	-0.8301	-0.6577	0.2798
0.25	0	991.7	56.64	-117.2	-0.612	0.5246	0	-1.206	-0.7197	-0.6057	960.9	97.17	-261.2	-0.8743	0.2623	0.9618	-1.226	0.3616	0.8396	-5330	1946	0	-0.08738	0.08738	-946.8	-1.684	-1.692	0.9743	957.5	196.8	-206.1	-0.3497	0.6995	-0.5246	-0.8301	-0.6589	0.2756
0.26	0	990.2	60.06	-112.3	-0.5246	0.2623	-0.5246	-1.206	-0.7197	-0.5923	958.5	96.68	-267.6	-0.5246	-0.5246	0	-1.225	0.3569	0.8408	1.464	0.488	6.832	-946.8	351	-954.3	-5.329	1.945	0.002928	956.6	195.3	-209.5	0	0.2623	-0.4372	-0.8301	-0.6601	0.2715
0.27	0	993.7	64.45	-112.8	0.4372	0.4372	-0.1749	-1.207	-0.7185	-0.5896	963.4	100.1	-261.7	-0.8743	0.08745	0.612	-1.225	0.3582	0.8384	1946	0.9761	-1.464	-0.5243	-946.9	351	-1.692	0.9751	0.001952	955.1	200.2	-202.6	-0.08741	0.4371	-0.7869	-0.8276	-0.6589	0.2769
0.28	0	992.7	61.52	-112.3	-0.4372	0.2623	0	-1.208	-0.7173	-0.5869	960	96.68	-258.3	-0.4372	0.08745	0	-1.225	0.3594	0.8359	0	0.488	-5288	351.1	-954.2	348.3	1.945	0.00488	9.761e-4	959	201.2	-209	-0.08741	0.6995	-0.4372	-0.8252	-0.6577	0.2822
0.29	0	991.7	62.5	-112.3	-0.08746	0.6995	0.7869	-1.207	-0.7185	-0.5937	959	96.68	-255.4	-0.5246	-0.08745	0.2623	-1.226	0.3604	0.8398	0	-5.857	-2.44	-946.9	351	-954.2	0.9733	0.003742	8.134e-4	958.5	197.8	-209	-0.5246	0.3497	0	-0.8252	-0.6565	0.2837
0.30	0	990.7	62.5	-112.8	-0.1749	0.2623	0	-1.206	-0.7197	-0.6006	959.5	100.6	-268.6	-0.8743	0.2623	0.3497	-1.227	0.3613	0.8437	7.809	-5288	1960	-954.2	348.4	-0.7865	0.001464	0.00244	0.000488	953.1	199.2	-210	0	-0.08741	-0.9617	-0.8252	-0.6553	0.2852
0.31	0	991.7	62.01	-116.7	-0.6995	0.612	-0.5246	-1.206	-0.7209	-0.6004	960.9	102.5	-267.6	-0.7869	0.612	0.7869	-1.227	0.3604	0.8384	-3.416	0.488	-5288	351	-954.2	348.3	-9.761e-4	0.007809	-2.644	956	199.2	-210	-0.3497	0.4371	-0.8743	-0.8264	-0.6553	0.2852
0.32	0	989.3	58.59	-118.2	-0.3497	0	0	-1.206	-0.7222	-0.6001	961.4	101.1	-264.6	-0.7869	0.2623	0	-1.227	0.3594	0.833	-5289	1960	-5329	348.3	-0.3495	-0.08739	-0.003416	0.01318	-5.288	959.9	202.1	-204.6	-0.5246	-0.612	-0.3497	-0.8276	-0.6553	0.2852
