MR32 ASCII
Name	Trial_9
Frequency	100
Date	30-04-2018 11:55:21
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	936.5	17.58	-330.1	-1.05	-0.2628	-0.08417	-1.372	-0.9234	0.1982	986.3	-4.458	148.9	0.4403	-0.526	0.0883	-1.289	0.7656	-0.4155	997.5	-23.42	-82.03	-0.439	-0.1742	0	-0.9243	0.6519	-0.2788	982.4	101.1	-128.9	0.4386	0	0.3468	-0.8359	-0.9268	0.2427
0.01	0	941.4	17.06	-339.9	-0.6997	-0.08844	1.047	-1.374	-0.9209	0.1982	991.2	1.967	144.1	-0.6984	-0.4362	0.3532	-1.286	0.7659	-0.4197	997.5	-31.27	-83.99	0.3488	-0.5249	0.3532	-0.9255	0.6506	-0.2776	987.3	104	-122.1	0.08898	0.2603	-0.4413	-0.8374	-0.928	0.2358
0.02	0	947.3	22.97	-338.9	0	0.2628	0.08417	-1.376	-0.9185	0.1982	989.3	0	150.4	-0.0911	-0.6094	0.1766	-1.284	0.7661	-0.4238	1000	-24.4	-72.74	0	-0.0871	0.6129	-0.9267	0.6494	-0.2764	989.8	107.9	-121.6	-0.4386	0.2603	-0.3468	-0.8389	-0.9292	0.229
0.03	0	945.3	22.97	-331.1	0	0.8743	0.1777	-1.375	-0.9185	0.1982	993.7	2.885	142.1	0.2657	-0.3528	0.4415	-1.284	0.7685	-0.4211	999	-24.91	-77.64	0.1744	-0.4378	0.4363	-0.9243	0.6494	-0.2725	988.3	108.4	-122.6	0.08898	0.6997	-0.5254	-0.835	-0.9316	0.2317
0.04	0	942.4	22.97	-327.2	0.4391	0.6115	-0.1777	-1.375	-0.9185	0.1982	987.3	0	147	-0.6984	0	0.6083	-1.284	0.771	-0.4185	993.7	-31.27	-77.64	-0.3488	-0.2613	1.485	-0.9219	0.6494	-0.2685	983.4	109.8	-132.3	-0.3496	1.05	0.08406	-0.8311	-0.9341	0.2344
0.05	0	948.2	27.84	-330.6	-0.3499	0	0.346	-1.373	-0.9221	0.2024	993.7	-6.294	142.6	-0.0911	-0.789	0.0883	-1.284	0.771	-0.417	1001	-32.21	-80.56	-1.576	-0.7862	-0.4363	-0.9255	0.6482	-0.2725	981	103	-130.4	-0.6991	0.7851	-0.6094	-0.8323	-0.9329	0.24
0.06	0	947.8	22.97	-331.6	-0.5214	0.08844	0.346	-1.372	-0.9258	0.2065	995.6	0.9178	139.1	-0.2657	-0.1732	0.1766	-1.284	0.771	-0.4155	996.1	-29.31	-82.03	-0.439	-0.6991	-0.0831	-0.9292	0.647	-0.2764	981.4	105	-124.5	-1.659	0.2603	-0.9667	-0.8335	-0.9316	0.2456
0.07	0	943.9	20.53	-331.6	0	1.049	0.1777	-1.37	-0.9255	0.2158	991.7	0	150.4	-0.873	0.263	0.0883	-1.285	0.772	-0.4224	986.8	-32.72	-83.99	0.1744	-1.05	-0.0831	-0.928	0.6445	-0.2922	986.3	99.12	-128.4	0.3496	0.2603	-0.4413	-0.8335	-0.9316	0.2441
0.08	0	943.9	17.06	-339.4	-1.839	-0.2628	0.4396	-1.368	-0.9253	0.2251	986.3	-5.376	133.3	-0.6149	-0.4362	-0.0883	-1.286	0.773	-0.4292	1003	-27.82	-89.34	1.046	-1.224	0.0831	-0.9267	0.6421	-0.3081	981.9	103.5	-128.4	-0.2606	0.8747	-0.8721	-0.8335	-0.9316	0.2427
0.09	0	943.9	18.99	-338.4	-0.5214	-0.2628	0.346	-1.371	-0.9253	0.2158	989.3	8.785	149.4	0.1746	0	0	-1.286	0.7742	-0.4236	1004	-28.33	-84.47	0.1744	1.311	0.2597	-0.9231	0.6458	-0.2937	987.3	105	-126	0.8771	1.05	0	-0.835	-0.9316	0.2412
0.10	0	941.9	21.43	-338.4	-0.2607	0.4371	0	-1.375	-0.9253	0.2065	988.3	3.409	142.6	-0.7895	0.263	0.0883	-1.286	0.7754	-0.418	990.7	-31.27	-78.13	0.09021	-0.3507	0	-0.9195	0.6494	-0.2793	990.2	110.9	-135.7	0.5275	0.4352	-0.1786	-0.8364	-0.9316	0.2397
0.11	0	942.4	18.99	-334	-0.8712	-0.1744	0.4396	-1.377	-0.9255	0.208	987.3	-7.867	149.4	-0.3492	-0.263	-0.52	-1.285	0.7756	-0.4199	997.5	-28.8	-76.17	0.1744	-0.2613	-0.5298	-0.9231	0.6494	-0.2937	979	112.3	-126	0	-0.08533	-0.6094	-0.835	-0.9316	0.2397
0.12	0	945.8	25.4	-334	-0.08918	0	0.9633	-1.379	-0.9258	0.2095	996.1	0.5245	143.1	-0.6984	-0.0898	-0.3532	-1.284	0.7759	-0.4219	994.7	-28.33	-77.16	-0.3488	-0.0871	-0.5298	-0.9267	0.6494	-0.3081	982.9	111.8	-132.3	0.4386	-0.1749	-0.4413	-0.8335	-0.9316	0.2397
0.13	0	948.2	21.43	-325.2	-0.3499	0.8743	0.346	-1.376	-0.9243	0.2092	992.6	2.491	142.6	-0.0911	-0.526	-0.1766	-1.285	0.7747	-0.4163	1003	-32.21	-76.17	0	0.0871	0	-0.9219	0.6494	-0.2937	984.3	107.4	-136.7	0.2606	-0.1749	0.2627	-0.8362	-0.9292	0.2371
0.14	0	941.9	17.58	-336.9	-0.5214	0.6115	0.1777	-1.372	-0.9228	0.209	996.6	4.458	128.9	0.4403	-0.526	-0.1766	-1.286	0.7734	-0.4106	993.2	-32.21	-76.17	-0.1744	-0.0871	-0.4363	-0.917	0.6494	-0.2793	990.7	108.9	-135.7	0.08898	0	0	-0.8389	-0.9268	0.2344
0.15	0	942.4	18.09	-332	0	0.2628	0.4396	-1.371	-0.9277	0.2144	991.2	0	146	0.6984	-0.1732	-0.6083	-1.286	0.7761	-0.4312	996.1	-29.78	-81.04	0.7879	0.4378	0	-0.9243	0.6506	-0.2844	987.3	102.6	-130.8	0.08898	0.2603	0	-0.8337	-0.9292	0.2329
0.16	0	942.4	24.89	-333.5	0.08918	0.7859	0	-1.37	-0.9326	0.2197	995.1	5.9	145	0.1746	-0.3528	1.05	-1.287	0.7788	-0.4517	998	-28.8	-86.43	0.8721	-0.4378	-0.4363	-0.9316	0.6519	-0.2895	989.2	103.5	-123	1.309	0.08533	-0.3468	-0.8286	-0.9316	0.2314
0.17	0	949.2	30.79	-322.8	-0.1715	0.4371	0.7856	-1.374	-0.9292	0.2144	990.7	-0.9178	146.5	-0.7895	-0.3528	0	-1.288	0.7739	-0.4368	999.5	-19.03	-80.08	0.8721	0.7862	-0.7895	-0.9316	0.6519	-0.2827	983.9	96.2	-127.9	0.7881	0.4352	-0.4413	-0.8325	-0.9319	0.2385
0.18	0	940.4	21.94	-330.1	-0.3499	-0.1744	1.047	-1.377	-0.9258	0.209	988.8	-6.818	138.7	0.0911	-0.4362	0.52	-1.289	0.769	-0.4219	1000	-18.05	-76.17	0.7879	0	-0.1766	-0.9316	0.6519	-0.2759	982.9	99.6	-135.3	1.487	-0.3499	-0.5254	-0.8364	-0.9321	0.2456
0.19	0	945.3	18.6	-318.8	-0.1715	0.1744	0.4396	-1.376	-0.9234	0.209	987.3	0.9178	139.7	-0.5238	0.1732	-0.6966	-1.289	0.7693	-0.4368	999	-18.56	-80.56	0.2646	0.1742	-0.0831	-0.9304	0.6494	-0.2747	986.3	106.4	-124.5	0.178	0.08533	-0.6094	-0.8337	-0.9319	0.2358
0.20	0	943.9	17.06	-334.5	-0.5214	-0.7859	0.4396	-1.375	-0.9209	0.209	998.1	7.867	137.2	0.0911	-0.3528	-0.2649	-1.289	0.7695	-0.4517	999	-21.5	-71.78	-0.6977	0.2613	0	-0.9292	0.647	-0.2734	983.9	104	-137.2	0.178	-0.08533	-1.135	-0.8311	-0.9316	0.2261
0.21	0	945.3	20.02	-329.6	0	-0.1744	0.5237	-1.375	-0.9255	0.2078	991.2	0.9178	139.7	0.4403	0.1732	0	-1.289	0.7754	-0.4341	995.6	-24.4	-74.22	-0.3488	0.5249	0.5298	-0.9255	0.647	-0.2734	986.3	101.5	-135.3	-0.3496	0.7851	-0.7881	-0.8323	-0.9316	0.2288
0.22	0	945.3	24.38	-323.3	-0.5214	0.2628	0.346	-1.375	-0.9302	0.2065	991.7	5.9	131.4	-0.3492	-0.1732	-0.6966	-1.289	0.7813	-0.4165	993.2	-27.35	-72.74	0	0	0.0831	-0.9219	0.647	-0.2734	983.4	106.4	-126.4	-0.178	-0.3499	-0.8721	-0.8335	-0.9316	0.2314
0.23	0	943.4	22.97	-331.1	-1.05	0	0.7014	-1.373	-0.9277	0.2065	984.8	-1.442	146	-0.3492	-0.3528	0.2649	-1.288	0.7766	-0.4207	996.1	-27.35	-81.04	-0.3488	0.0871	0.3532	-0.9255	0.647	-0.2774	983.4	100.6	-134.8	0.178	0.4352	-0.704	-0.8335	-0.9329	0.2258
0.24	0	941.4	16.17	-324.2	-0.6997	0.1744	1.225	-1.372	-0.9253	0.2065	993.7	1.442	139.1	-0.7895	0.9622	-0.4415	-1.287	0.772	-0.4248	997.1	-32.21	-83	0.1744	0.4378	0.1766	-0.9292	0.647	-0.2813	989.2	107.9	-131.8	0.08898	0	-1.398	-0.8335	-0.9341	0.2202
0.25	0	949.2	18.6	-332	-0.7889	0.1744	0.9633	-1.373	-0.9243	0.2065	994.6	1.442	148.9	-0.5238	0.3528	0	-1.287	0.7744	-0.4194	996.6	-26.87	-74.7	0.09021	0.5249	1.309	-0.9267	0.647	-0.2788	982.9	101.5	-128.4	-0.2606	0.6101	-1.135	-0.8347	-0.9329	0.2258
0.26	0	947.8	23.48	-336.9	0.1715	-0.2628	0.08417	-1.375	-0.9234	0.2065	985.9	0.9178	142.6	-0.4403	0.3528	-0.1766	-1.287	0.7768	-0.4141	995.1	-27.82	-81.04	0.8721	0.1742	0.3532	-0.9243	0.647	-0.2764	985.4	101.5	-130.4	0.4386	0.6101	-0.5254	-0.8359	-0.9316	0.2314
0.27	0	940.9	21.94	-335.9	0.1715	0.6999	0	-1.375	-0.9221	0.2078	982.9	0	140.1	-0.4403	-0.3528	0.6083	-1.292	0.7778	-0.4246	994.2	-29.31	-71.78	0.6135	-0.8733	0.8726	-0.9243	0.6458	-0.279	980	105	-122.6	1.138	0.6997	-1.744	-0.8347	-0.9319	0.2344
0.28	0	940	21.43	-329.1	-0.08918	-0.3487	-0.2619	-1.375	-0.9209	0.209	993.2	2.885	137.7	0.0911	-0.3528	0.9615	-1.296	0.7788	-0.4351	993.7	-26.36	-75.21	0.9623	1.137	0	-0.9243	0.6445	-0.2817	986.3	111.8	-130.8	0.9597	0.2603	-1.313	-0.8335	-0.9321	0.2373
0.29	0	944.8	17.58	-328.6	-0.3499	-0.3487	0.2619	-1.375	-0.9209	0.2078	988.8	1.967	149.9	-0.9641	-0.263	0.0883	-1.293	0.7776	-0.4273	998.5	-20.99	-85.46	0.9623	0.4378	0.696	-0.9255	0.647	-0.279	981.9	107.4	-130.8	0.2606	0.4352	-1.313	-0.8323	-0.9307	0.24
0.30	0	942.4	20.02	-324.7	0.1715	0	-0.08417	-1.375	-0.9209	0.2065	1002	4.851	132.8	-0.3492	0	-0.2649	-1.289	0.7764	-0.4194	994.7	-27.82	-88.38	1.046	0.3507	0.3532	-0.9267	0.6494	-0.2764	987.3	110.4	-127.9	1.487	0.1749	-1.482	-0.8311	-0.9292	0.2427
0.31	0	948.2	25.4	-324.2	-0.5214	-1.223	0.4396	-1.373	-0.9231	0.2078	989.7	-2.885	135.3	-0.6984	-0.1732	-0.4415	-1.288	0.7788	-0.4045	997.5	-29.78	-76.17	0.7879	0.612	0.966	-0.9243	0.647	-0.2817	987.8	108.4	-129.4	1.138	-0.7851	-2.532	-0.8323	-0.9292	0.2371
0.32	0	946.8	29.25	-323.3	-1.05	-1.223	0.4396	-1.372	-0.9253	0.209	990.7	0.9178	131.8	-0.6984	0.4362	-0.4415	-1.287	0.7813	-0.3897	1003	-26.87	-75.21	0.8721	0.9627	1.132	-0.9219	0.6445	-0.2871	983.4	109.8	-120.6	1.398	0	-1.744	-0.8335	-0.9292	0.2314
0.33	0	945.8	27.84	-330.1	-1.66	0	0.5237	-1.373	-0.9231	0.2078	992.6	6.294	142.6	-1.397	0.8724	-0.1766	-1.286	0.779	-0.4043	1001	-32.21	-83.51	0.3488	0.5249	0.7895	-0.9255	0.6482	-0.2842	987.3	110.4	-122.6	0.6102	0.1749	-1.66	-0.8362	-0.9292	0.2344
0.34	0	938.9	21.43	-335	-1.749	-0.7859	0.7856	-1.375	-0.9209	0.2065	994.6	3.409	147	-1.746	0.0898	0.0883	-1.285	0.7768	-0.4189	996.1	-30.76	-74.7	0.439	0.4378	0.2597	-0.9292	0.6519	-0.2813	983.9	114.3	-129.4	0.5275	0	-1.482	-0.8389	-0.9292	0.2373
0.35	0	940	18.09	-333	-1.749	-0.1744	0	-1.373	-0.9221	0.2039	988.3	1.442	148.4	-1.397	0.789	-0.9615	-1.289	0.7766	-0.4189	997.1	-34.68	-75.21	0.5232	1.05	0.6129	-0.9231	0.6506	-0.2788	982.4	109.8	-129.4	0.08898	-0.3499	-1.051	-0.8337	-0.9331	0.2358
0.36	0	942.4	22.45	-329.1	-2.01	0	1.225	-1.372	-0.9234	0.2012	983.4	-4.851	134.8	-0.7895	1.052	-0.2649	-1.294	0.7764	-0.4189	996.1	-34.68	-69.83	0.9623	0.7862	-0.0831	-0.917	0.6494	-0.2764	979.5	103	-129.9	0.6102	-0.7851	-0.8721	-0.8286	-0.937	0.2344
0.37	0	944.3	16.55	-341.8	-1.839	-0.5256	1.047	-1.375	-0.9246	0.2051	990.2	-1.967	149.9	-1.313	0.4362	-0.2649	-1.295	0.7776	-0.4163	995.1	-33.7	-73.74	1.046	0.9627	-0.0831	-0.9207	0.6494	-0.283	985.4	110.4	-124	0.6991	-0.5248	-1.135	-0.8274	-0.9355	0.2344
0.38	0	945.3	22.97	-333.5	-0.9604	-0.2628	0.7014	-1.377	-0.9258	0.209	987.3	-8.785	139.1	-0.3492	0.0898	-0.6083	-1.296	0.7788	-0.4136	994.7	-28.8	-62.49	1.311	0.8733	0.2597	-0.9243	0.6494	-0.2895	982.4	109.8	-134.3	1.227	-0.3499	-1.66	-0.8262	-0.9341	0.2344
0.39	0	940.4	18.99	-338.9	0.1715	-1.049	0.7014	-1.376	-0.9246	0.2051	984.8	0.9178	148	-0.1746	0.6992	0	-1.294	0.7764	-0.4097	998	-29.31	-65.44	0.3488	-0.612	-0.4363	-0.9267	0.6506	-0.2803	985.4	110.9	-137.7	0.6102	-0.2603	-0.3468	-0.8274	-0.9355	0.2371
