MR32 ASCII
Name	static
Frequency	100
Date	30-04-2018 11:39:15
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	959.5	98.15	-270	0.3498	0.7869	0.08743	-1.161	-0.6875	-0.7275	991.2	-82.03	124	-0.3497	-0.612	0	-1.227	0.8843	0.4517	963.9	156.7	-177.7	0.6995	0.1749	0	-1.08	0.3779	-0.1372	989.7	-77.64	-85.94	0.5246	-0.3497	-0.2623	-1.169	-0.5264	0.1377
0.01	0	961.4	96.68	-275.9	-0.08744	-0.1748	0	-1.162	-0.6838	-0.7156	990.7	-85.45	112.8	0.6995	0	0	-1.224	0.8818	0.449	976.6	160.2	-167.5	0.1748	-0.3496	0.3498	-1.08	0.3804	-0.1372	995.1	-80.56	-83.99	0.2622	-0.08746	-0.08741	-1.17	-0.5239	0.1406
0.02	0	965.3	103	-270.5	-0.5246	0.4371	0.08743	-1.164	-0.6802	-0.7036	991.7	-86.42	105	-0.4372	-0.08746	0.08741	-1.222	0.8794	0.4463	974.1	158.7	-161.6	-0.1748	0.4372	0.8743	-1.08	0.3828	-0.1372	990.7	-86.92	-78.13	0	-0.2623	0.4371	-1.171	-0.5215	0.1436
0.03	0	964.8	101.1	-261.2	-0.9617	0.612	0.4372	-1.16	-0.6826	-0.709	990.2	-84.47	118.2	-1.049	0.3497	0.6995	-1.222	0.8794	0.4451	969.7	155.3	-174.3	0	-0.4372	0.6121	-1.078	0.3816	-0.1372	993.7	-81.05	-86.43	0.3498	-0.612	-0.6994	-1.169	-0.5227	0.1406
0.04	0	957	93.75	-266.1	-0.2623	0.1748	-0.6995	-1.156	-0.685	-0.7144	995.1	-83.99	116.7	0	0.2623	-0.4371	-1.222	0.8794	0.4438	975.6	161.6	-168.9	0.0874	0.4372	0.4371	-1.075	0.3804	-0.1372	987.3	-85.45	-86.43	0.08739	0	-0.612	-1.167	-0.5239	0.1377
0.05	0	951.7	85.45	-271.5	-0.8742	-0.4371	0.5246	-1.157	-0.6826	-0.7075	993.2	-88.38	114.7	-0.3497	0.8743	0.4371	-1.224	0.8782	0.4451	970.7	154.3	-175.3	0.9616	-0.6995	0	-1.079	0.3813	-0.1387	996.1	-78.61	-80.57	0.8744	0	0.2623	-1.169	-0.5215	0.1379
0.06	0	959.5	94.73	-262.2	0.08744	-0.612	0.6995	-1.159	-0.6802	-0.7007	987.3	-88.38	117.7	-0.2623	-0.2623	-0.4371	-1.227	0.877	0.4463	970.2	155.8	-174.8	0.7869	-0.08735	0.2623	-1.083	0.3823	-0.1401	999	-77.15	-83.01	0.3498	0.08746	-0.08741	-1.171	-0.5191	0.1382
0.07	0	960	97.66	-264.2	0.08744	1.137	0	-1.159	-0.685	-0.7102	993.7	-82.03	113.8	-0.3497	0.2623	-0.1749	-1.224	0.8782	0.4475	970.2	157.7	-173.8	0.7869	0	1.049	-1.081	0.3838	-0.1387	990.7	-83.98	-76.17	-0.1748	-0.8743	-0.08741	-1.173	-0.5203	0.1382
0.08	0	956.5	92.28	-262.7	-0.6121	0.2623	-0.2623	-1.159	-0.6899	-0.7197	988.8	-87.4	105.5	0	0	0.612	-1.222	0.8794	0.4487	976.6	152.3	-172.9	-0.2622	0.3496	-0.1748	-1.08	0.3853	-0.1372	996.1	-81.54	-90.82	0.08739	-0.5246	0	-1.174	-0.5215	0.1382
0.09	0	960.9	90.33	-269.5	-0.6995	-0.5246	0.1749	-1.159	-0.6865	-0.7117	993.2	-82.52	109.4	-1.224	0.2623	0.3497	-1.223	0.877	0.4502	976.1	158.2	-170.4	-0.1748	0	0.6121	-1.078	0.3865	-0.1345	996.6	-79.1	-86.91	0	-0.4372	-1.049	-1.17	-0.5239	0.1394
