MR32 ASCII
Name	Trial_2
Frequency	100
Date	30-04-2018 15:02:55
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	926.3	333.4	-162.1	-0.9638	-0.4381	0.617	-0.6948	-1.211	-0.3638	997.6	-72.23	36.64	-0.9637	0	0.6109	-0.9004	0.9819	-0.02343	957.5	289.5	-143.5	2.097	2.01	-1.401	-1.006	0.2886	0.1841	909.2	-392.1	-208.5	0.7007	-1.311	1.313	-1.287	-0.05712	-0.02003
0.01	0	928.7	333.4	-161.1	-0.698	-0.08805	0.617	-0.6924	-1.21	-0.3677	1003	-66.38	27.33	-0.5256	0.08558	0	-0.8992	0.9795	-0.03442	950.7	282.2	-160.6	1.226	1.399	-1.221	-1.006	0.2849	0.176	905.3	-401.4	-192.4	0.1731	-1.662	0.9579	-1.283	-0.05176	-0.02808
0.02	0	929.7	331.6	-162.6	-0.08863	-0.5239	0.0866	-0.6899	-1.208	-0.3716	1002	-74.68	30.29	-0.2628	-0.08558	0.4376	-0.8979	0.977	-0.04541	947.8	288.1	-161.1	0.4378	1.223	-1.571	-1.006	0.2812	0.168	899.4	-407.2	-211.4	0	-1.311	1.224	-1.279	-0.04639	-0.03613
0.03	0	933.1	329.5	-169	0.4376	0.1739	0.1732	-0.6909	-1.207	-0.3716	999.5	-72.23	40.53	0.438	0	0.3465	-0.8979	0.9783	-0.04663	953.1	290.5	-165	0.08755	1.399	-1.832	-1.005	0.2849	0.1694	896	-410.6	-203.1	0.2617	-0.7847	0.7894	-1.28	-0.0503	-0.03783
0.04	0	927.8	325.6	-166.5	1.313	0	0	-0.6919	-1.206	-0.3716	1005	-65.43	28.77	0.9637	0.5257	0	-0.8979	0.9795	-0.04784	939.5	291.5	-165.5	0	1.399	-1.661	-1.003	0.2886	0.1709	893.1	-416.5	-196.8	0.7851	-0.9602	0.5233	-1.281	-0.0542	-0.03956
0.05	0	930.2	337.5	-164.5	1.047	-0.08805	-0.1732	-0.6931	-1.202	-0.3704	997.1	-75.22	28.77	1.397	0.3484	0.2644	-0.8979	0.9819	-0.04639	943.8	299.8	-160.6	-0.08755	1.223	-0.9607	-1.003	0.2861	0.1682	895.5	-409.2	-197.3	0.6121	-1.223	0.9579	-1.281	-0.0542	-0.03956
0.06	0	933.1	344.3	-167.5	1.313	-0.612	-0.2598	-0.6943	-1.199	-0.3691	998	-73.18	29.78	1.923	0.4401	-0.4376	-0.8979	0.9844	-0.04492	944.3	298.4	-158.7	-0.6129	1.138	-0.7003	-1.003	0.2837	0.1655	891.6	-404.8	-181.6	-0.439	-0.6139	0.5233	-1.281	-0.0542	-0.03956
0.07	0	929.2	339.8	-161.1	1.047	0.1739	-0.3464	-0.6946	-1.204	-0.3677	999.1	-72.23	40.53	0.8761	0	0.7841	-0.8967	0.9819	-0.04101	940	291.5	-156.7	-0.9631	0.787	-0.3502	-1.006	0.2837	0.1482	890.1	-413.1	-192.4	-0.8738	0	0	-1.282	-0.05323	-0.02978
0.08	0	925.8	342.3	-156.8	1.224	0.7	-0.0866	-0.6948	-1.208	-0.3662	996.6	-74.27	23.95	1.139	-0.2629	-0.6109	-0.8955	0.9795	-0.03712	945.8	294.5	-155.8	-0.9631	0.3507	-0.44	-1.008	0.2837	0.1309	895	-405.3	-197.3	-0.6121	0	0.4346	-1.284	-0.05224	-0.02003
0.09	0	933.1	346.2	-155.8	0.5262	0	0.3464	-0.6946	-1.207	-0.3677	999.5	-67.87	31.22	0.5256	0	-0.09118	-0.8955	0.9807	-0.04639	947.3	294.5	-163.6	-1.659	0.3507	-0.08979	-1.006	0.2861	0.1509	897	-411.6	-194.8	-1.663	0.3508	-0.3459	-1.286	-0.04957	-0.02685
0.10	0	933.6	344.3	-157.2	-0.1773	-0.962	0	-0.6943	-1.206	-0.3691	998	-73.18	33.68	0.2628	0.2629	0.1732	-0.8955	0.9819	-0.05566	945.3	286.6	-156.3	-2.097	0	0.6106	-1.003	0.2886	0.1709	897	-407.7	-194.3	-0.6121	-0.1754	-0.612	-1.289	-0.04687	-0.0337
