MR32 ASCII
Name	static_2
Frequency	100
Date	30-04-2018 15:11:06
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	989.8	12.21	-152.3	-0.3497	-0.3497	0.4372	-1.143	-0.7837	-0.4605	960.9	231.9	-130.4	-0.1749	-0.2623	0.1749	-1.394	0.5347	0.2827	982.4	86.43	-156.3	-0.1748	0.08741	0	-0.7979	0.4404	0.1172	957	-204.6	-211.9	-0.612	0.6995	-0.4372	-1.153	-0.2842	0.01074
0.01	0	986.3	4.883	-153.3	-0.612	0.2623	-0.1749	-1.144	-0.7849	-0.4539	969.2	235.4	-141.1	-0.3497	0	0.7869	-1.394	0.5359	0.3	986.8	83.5	-151.9	-0.2623	-0.7869	0.5246	-0.7942	0.4431	0.1157	960	-196.3	-213.9	0.08741	0.8743	0	-1.155	-0.2854	0.01221
0.02	0	987.3	8.789	-154.3	0.4371	0	0.7869	-1.145	-0.7861	-0.4473	966.8	236.3	-126	0.1749	0	1.399	-1.394	0.5371	0.3174	984.4	85.45	-159.2	-0.1748	-0.4372	0.3497	-0.7905	0.4458	0.1143	955.6	-202.6	-211.4	-0.2623	0.1749	-0.6995	-1.158	-0.2866	0.01367
0.03	0	984.4	4.394	-146	0.1749	-0.3497	0.4372	-1.149	-0.7898	-0.4431	959.5	231.9	-130.9	-0.4371	-0.3497	-0.3497	-1.394	0.5383	0.2986	981.5	84.47	-158.7	0	-0.1749	-0.3497	-0.7942	0.4443	0.1172	953.1	-205.6	-207.5	-0.4371	0.2623	-0.612	-1.158	-0.2878	0.01221
0.04	0	990.2	15.63	-155.3	0.4371	0.08741	0.1749	-1.152	-0.7935	-0.439	961.4	233.4	-137.7	0.5246	0.08741	0.7869	-1.394	0.5395	0.2798	981.9	84.96	-159.7	0.1748	0.4372	0.08745	-0.7979	0.4429	0.1201	956	-202.1	-216.8	-0.2623	-0.1749	-0.8743	-1.158	-0.2891	0.01074
0.05	0	990.2	8.301	-142.1	-0.3497	0.4371	-0.08741	-1.15	-0.791	-0.4443	958.5	232.9	-125	-0.9617	0.9617	0.612	-1.394	0.5383	0.2944	984.4	82.03	-160.2	0.612	-0.08741	0	-0.7966	0.4453	0.1187	951.7	-207	-206.1	0	-0.08741	-0.6995	-1.156	-0.293	0.01196
0.06	0	989.3	12.7	-146.5	0.612	-0.3497	0.2623	-1.147	-0.7886	-0.4497	965.3	230.5	-140.1	0	0.08741	0	-1.394	0.5371	0.3091	979.5	83.01	-151.4	0.3497	0.3497	0	-0.7954	0.4478	0.1172	952.2	-200.2	-209	0.4371	0	-0.3497	-1.155	-0.2969	0.01318
0.07	0	986.8	14.16	-149.4	0.3497	0.2623	0.612	-1.148	-0.7874	-0.4605	964.8	233.9	-142.6	0.3497	0.08741	0.08741	-1.394	0.5359	0.2998	988.3	91.8	-153.8	0.6995	0.2623	0.1749	-0.7918	0.4465	0.1091	959	-195.3	-208.5	0.5246	-0.5246	0	-1.155	-0.2891	0.01196
0.08	0	989.3	10.74	-148.4	0.1749	-0.3497	-0.08741	-1.149	-0.7861	-0.4712	961.9	229.5	-133.8	0.5246	0	0.2623	-1.394	0.5347	0.2905	984.9	89.84	-152.8	0	-0.1749	0.08745	-0.7881	0.4453	0.1011	962.9	-192.9	-212.9	-0.4371	0.6995	0	-1.155	-0.2812	0.01074
0.09	0	994.1	11.72	-153.8	0.2623	0.8743	-0.2623	-1.151	-0.7861	-0.4566	966.3	229.5	-129.4	0.6994	0.2623	0	-1.394	0.5335	0.3025	986.8	86.91	-152.3	-0.612	-0.2623	0.4372	-0.7893	0.4431	0.1145	961.9	-199.2	-203.6	-0.1749	-0.3497	-0.4372	-1.156	-0.2839	0.008056
0.10	0	989.8	11.23	-143.1	0.08741	1.311	0.4372	-1.152	-0.7861	-0.4419	958.5	234.4	-139.2	0.7869	-0.4371	0.08741	-1.394	0.5322	0.3145	985.3	86.43	-155.8	-0.3497	-1.049	0.1749	-0.7905	0.4409	0.1279	956	-197.8	-202.1	-0.3497	-0.6995	-0.612	-1.158	-0.2866	0.005371
