MR32 ASCII
Name	Trial_16
Frequency	100
Date	07-05-2018 15:22:03
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	956	-45.42	-286.1	-0.9606	-1.311	1.745	-1.26	-0.7759	-0.2134	980	85.44	-185.1	0	0.1767	-1.575	-1.261	0.7187	0.2656	877	-378.9	-308.6	-0.8762	0.3501	0.4401	-0.4365	0.9766	0.4014	971.7	181.7	-147.5	0.08578	-0.2609	0.2592	-0.8135	-1.006	-0.126
0.01	0	960.4	-47.35	-282.7	-0.9606	0.1747	1.315	-1.259	-0.7713	-0.2095	982.9	75.22	-193.4	-0.6125	-0.438	-1.053	-1.259	0.716	0.2656	875	-384.3	-305.2	-1.312	-0.08751	0.176	-0.4377	0.9766	0.4172	974.1	186	-144.6	-0.3482	-1.223	0.5274	-0.8147	-1.01	-0.1218
0.02	0	965.3	-31.27	-281.7	-0.6999	-1.311	0.6962	-1.257	-0.7666	-0.2056	980.5	86.9	-191.9	-0.7	0.8761	-1.575	-1.257	0.7134	0.2656	876	-381.8	-303.7	-1.487	0.4376	0.08802	-0.439	0.9766	0.4331	977.6	191.4	-143.5	-1.398	-0.8737	-0.1788	-0.8159	-1.014	-0.1177
0.03	0	964.9	-37.11	-270	-3.06	-1.836	1.22	-1.255	-0.7688	-0.2044	981.4	83.01	-198.7	-1.575	0.438	-0.8708	-1.259	0.7134	0.2722	881.8	-372.6	-301.8	-1.222	0	0.7842	-0.4377	0.979	0.4131	970.2	184	-143.1	-1.574	-0.9617	0.7866	-0.8135	-1.012	-0.1274
0.04	0	963.4	-55.16	-281.7	-2.1	-1.048	0.6962	-1.252	-0.771	-0.2031	982.4	88.36	-193.4	-1.4	1.137	-0.7838	-1.261	0.7134	0.2788	875.5	-380.4	-305.7	-1.923	0.7876	0.3521	-0.4365	0.9815	0.3931	972.2	187	-153.3	-1.488	-1.747	0.3486	-0.811	-1.011	-0.1372
0.05	0	960.4	-50.31	-279.8	-1.313	-0.6124	0.3524	-1.255	-0.77	-0.207	980.5	85.44	-196.8	-1.313	1.049	-1.227	-1.261	0.7158	0.2708	877.4	-385.2	-297.4	-1.573	0.08751	0.6082	-0.439	0.9802	0.4119	972.6	179.7	-157.7	-1.922	-1.223	0.6972	-0.8086	-1.008	-0.126
0.06	0	950.2	-53.23	-285.6	-0.8737	-0.8737	0.6962	-1.257	-0.769	-0.2109	976.1	90.84	-193.9	-1.925	0.2613	-0.3483	-1.261	0.7183	0.2627	872.1	-381.4	-298.8	-1.222	0.9627	-0.3521	-0.4414	0.979	0.4307	975.6	184.6	-161.2	-1.66	-1.138	1.135	-0.8062	-1.006	-0.1147
0.07	0	952.7	-52.74	-285.6	-0.8737	-1.048	0.6962	-1.259	-0.77	-0.2136	976.6	90.31	-179.2	-1.313	0.9606	-0.9579	-1.263	0.7124	0.2546	872.1	-382.3	-303.2	-0.6111	0.175	-0.2641	-0.439	0.9802	0.4133	965.3	176.3	-153.3	-1.05	-1.223	0.7866	-0.8071	-1.006	-0.1272
0.08	0	957	-49.82	-298.8	-1.047	-1.311	0.7907	-1.26	-0.771	-0.2163	977.6	84.95	-186	-0.35	0.5264	-1.227	-1.266	0.7065	0.2466	870.1	-384.8	-303.7	0	0.4376	0.5281	-0.4365	0.9815	0.396	966.3	177.2	-144.6	0	-1.663	-0.2592	-0.8081	-1.005	-0.1396
0.09	0	958	-51.75	-285.2	-0.08688	-0.3495	0.08595	-1.262	-0.77	-0.2095	974.1	88.85	-182.1	-0.7	0.3497	-0.1742	-1.265	0.7112	0.2573	875	-379.9	-304.7	-0.3505	0.7876	0.176	-0.439	0.9815	0.4119	970.7	180.2	-151.4	-0.6105	-0.8737	-0.5274	-0.8083	-1.007	-0.126
