MR32 ASCII
Name	static
Frequency	100
Date	07-05-2018 14:54:20
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	982.9	129.9	-104	-0.7869	-0.8743	0.3497	-0.8076	-0.9111	-0.5435	946.8	-127	-291.5	-0.4372	0.5246	0	-0.8765	0.998	0.5229	972.2	-146	-177.2	0.5246	-0.612	0.3497	-0.4683	0.5981	0.1826	961.9	-119.1	-249.5	0.2623	0.1749	-0.5246	-0.9199	-0.4062	0.2437
0.01	0	980.5	126.5	-104.5	-1.224	-0.5246	0.3497	-0.8054	-0.9111	-0.541	943.8	-127.9	-295.9	-0.3497	0	-0.8743	-0.8777	0.998	0.5295	971.7	-144.5	-170.9	0.6995	0.5246	0.612	-0.4661	0.5994	0.1958	957	-123.5	-254.4	0	-0.3497	-0.5246	-0.9202	-0.4075	0.2451
0.02	0	985.3	124.5	-110.4	0.3497	-1.311	-0.612	-0.8032	-0.9111	-0.5386	945.3	-129.9	-294.9	-0.8743	0.5246	-0.4371	-0.8789	0.998	0.5361	977	-148.9	-174.8	0.1749	0	0	-0.4639	0.6006	0.209	957	-125.5	-259.8	0.7869	0.3497	-0.3497	-0.9204	-0.4087	0.2466
0.03	0	983.9	136.2	-110.8	-0.9618	-0.3497	-0.3497	-0.8079	-0.9126	-0.5452	942.4	-136.2	-283.2	0.2623	0.4371	0.7869	-0.8799	0.999	0.5322	973.6	-157.2	-174.3	0	0.2623	0.2623	-0.4624	0.5994	0.1877	959.5	-126	-257.3	-0.3498	0.08741	0.1749	-0.9204	-0.4072	0.2451
0.04	0	992.7	139.2	-108.9	0	-0.7869	0.612	-0.8125	-0.9141	-0.5518	960.9	-121.1	-303.2	0	0.3497	0.08741	-0.8809	1	0.5283	967.8	-151.9	-174.3	0.6995	0	-0.612	-0.4609	0.5981	0.1665	951.2	-128.4	-255.4	-0.8743	0.1749	-0.7869	-0.9204	-0.4058	0.2437
0.05	0	988.3	131.3	-105.5	-0.6995	-0.6995	0	-0.8101	-0.9126	-0.5464	953.1	-122.1	-292.5	0.1749	1.049	0.5246	-0.8799	1	0.5269	974.1	-151.9	-171.4	0.1749	-0.08741	0.2623	-0.46	0.5981	0.189	960.9	-123	-261.2	-0.612	0.3497	-0.3497	-0.919	-0.4084	0.2451
0.06	0	991.2	134.3	-119.1	-0.5246	-1.486	0.1749	-0.8076	-0.9111	-0.541	951.7	-128.9	-296.4	-0.3497	0.5246	0.4371	-0.8789	1	0.5254	973.6	-151.9	-182.1	-0.08741	0.3497	0	-0.459	0.5981	0.2114	959.5	-128.4	-258.3	0.612	-0.2623	-0.612	-0.9175	-0.4111	0.2466
0.07	0	986.3	132.3	-115.7	0.8743	-0.6995	0.3497	-0.8054	-0.9136	-0.5437	952.6	-126.5	-297.9	1.224	0.4371	-0.2623	-0.8777	1.004	0.5256	972.7	-152.3	-176.8	0	-0.08741	0.7869	-0.459	0.5981	0.1956	959.5	-127.9	-252	0.08744	0.1749	-0.5246	-0.9175	-0.406	0.2466
0.08	0	984.4	131.3	-108.9	0.612	-0.08741	0.1749	-0.8032	-0.916	-0.5464	946.3	-127.4	-287.6	-0.08741	0.4371	0.1749	-0.8765	1.007	0.5259	972.7	-148.9	-174.3	-0.08741	-0.08741	0.612	-0.459	0.5981	0.1797	960.9	-118.7	-245.1	0.1749	-0.8743	-0.6994	-0.9175	-0.4009	0.2466
0.09	0	989.7	138.2	-107.4	-0.08741	-0.08741	0.2623	-0.8032	-0.916	-0.5437	941.4	-134.8	-288.6	0.2623	0.4371	0.08741	-0.8777	1.001	0.5271	974.1	-150.4	-172.4	-0.3497	0	0.5246	-0.4614	0.5957	0.1931	960	-124.5	-252.9	-0.08744	-0.612	-0.5246	-0.9187	-0.4045	0.2395
