MR32 ASCII
Name	static01
Frequency	100
Date	07-05-2018 14:56:43
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	984.4	110.4	-115.2	0.2623	0.612	-0.3497	-0.8291	-0.9043	-0.522	950.7	-106.9	-303.7	0.2623	-0.1749	0.4372	-0.8931	0.9854	0.5283	973.6	-134.8	-160.6	-1.137	0	-0.5246	-0.4985	0.5957	0.2109	951.2	-154.3	-257.3	0.2623	-0.9618	0.4371	-0.9429	-0.3809	0.2471
0.01	0	985.8	115.2	-122.1	0.7869	0	0.2623	-0.8291	-0.9033	-0.5273	952.2	-103	-296.9	-0.4371	0.612	0.1749	-0.8953	0.9854	0.5295	978.5	-137.2	-163.1	0.1749	-0.4372	-0.2623	-0.4961	0.5982	0.2068	955.6	-153.3	-259.8	0.1749	-0.7869	-0.2623	-0.9453	-0.3811	0.25
0.02	0	991.2	119.6	-127.4	0.08741	0.612	-0.2623	-0.8291	-0.9023	-0.5327	946.8	-112.3	-290.5	-0.2623	-0.3497	-0.08741	-0.8975	0.9854	0.5308	976.6	-130.9	-160.6	-0.1749	0	-0.6995	-0.4937	0.6006	0.2026	954.1	-150.9	-252.4	0	0.1748	0.1749	-0.9478	-0.3813	0.2529
0.03	0	984.9	110.8	-131.3	0	0	-0.612	-0.8337	-0.9011	-0.5327	950.2	-108.4	-299.8	-0.1749	0.1749	0.2623	-0.8987	0.9817	0.5322	982.4	-129.9	-157.2	0.08741	-0.1749	-0.4371	-0.4939	0.5982	0.2119	960.9	-147.5	-255.9	-0.08741	0	0.3497	-0.9453	-0.3838	0.2512
0.04	0	987.8	120.1	-123	0.2623	0.4372	0.4372	-0.8384	-0.8999	-0.5327	947.8	-106.9	-290.5	0.4371	0	0.08741	-0.8999	0.978	0.5337	973.1	-134.8	-161.6	0.2623	-0.5246	0	-0.4941	0.5957	0.2212	954.1	-151.4	-256.8	0.2623	-0.8743	-0.5246	-0.9429	-0.3862	0.2495
0.05	0	987.8	117.2	-118.7	-0.1749	0.5246	0.2623	-0.835	-0.9011	-0.5327	956.1	-101.1	-295.9	0.5246	0.2623	-0.1749	-0.9024	0.9805	0.5283	981	-129.4	-161.6	0.612	0.5246	-0.4371	-0.4951	0.5969	0.2146	952.2	-151.9	-256.8	0	0	-0.2623	-0.9441	-0.3838	0.2483
0.06	0	990.2	120.1	-118.2	-0.08741	0.6995	0.1749	-0.8315	-0.9023	-0.5327	947.8	-108.4	-295.9	0.5246	-0.7869	0.08741	-0.9048	0.9829	0.523	976.6	-127.9	-161.6	0.08741	0	-0.08741	-0.4961	0.5982	0.208	957	-144.5	-251.5	-0.3497	-0.1748	0.08741	-0.9453	-0.3813	0.2471
0.07	0	979.5	113.3	-123	0.8743	0.3497	-0.4372	-0.8315	-0.9058	-0.5234	947.8	-108.4	-301.8	-0.08741	0	-0.2623	-0.9036	0.9841	0.5269	979.5	-133.3	-165.5	0.8743	-0.08741	-1.049	-0.4985	0.5945	0.208	957.5	-147.5	-254.9	0.2623	0	-0.1749	-0.9453	-0.3826	0.2471
0.08	0	981.9	108.9	-122.1	0.1749	-0.2623	0.1749	-0.8315	-0.9092	-0.5142	959	-100.6	-300.3	0.612	0.08743	-0.3497	-0.9024	0.9854	0.5308	983.9	-126.5	-157.2	0	0	-0.2623	-0.501	0.5908	0.208	955.1	-149.4	-252.4	-0.08741	0.2623	0.08741	-0.9453	-0.3838	0.2471
0.09	0	979.5	111.8	-124.5	-0.8743	0.08741	0	-0.8291	-0.9092	-0.5222	949.2	-110.4	-292.5	-0.1749	-0.4372	-0.6995	-0.9001	0.9854	0.5308	981.9	-130.4	-158.7	0.08741	-0.08741	0.6995	-0.4973	0.5933	0.2053	959	-145	-254.4	-0.7869	-0.612	0.2623	-0.9441	-0.3838	0.2471
