MR32 ASCII
Name	Trial_12
Frequency	100
Date	08-05-2018 11:31:56
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	912.6	-289.5	-282.7	-0.08636	-0.1749	0.7832	-1.524	-0.3389	-0.4228	946.3	311.6	-92.78	0.09013	0.2625	0.1727	-1.547	0.418	0.3867	974.1	-103.1	-224.6	0	1.574	0.351	-0.8584	0.7651	0.1533	985.4	143.1	-9.259	-0.08897	-0.2631	-0.2649	-0.832	-0.9644	-0.228
0.01	0	911.6	-281.7	-283.7	-0.08636	-1.137	0.1798	-1.527	-0.333	-0.4148	948.3	314.4	-87.89	0.697	1.05	-0.1727	-1.545	0.418	0.3879	968.7	-106.4	-222.7	-0.08734	1.05	0.1694	-0.8611	0.7673	0.1626	993.2	138.2	-2.943	-0.4393	-0.5233	0.08429	-0.8308	-0.9631	-0.2295
0.02	0	920.9	-277.8	-282.2	-0.2639	-0.3499	0.08988	-1.529	-0.3271	-0.4067	942.8	307.6	-84.01	-0.4387	0.2625	-0.877	-1.542	0.418	0.3892	972.2	-100.1	-221.2	-0.1747	1.574	0	-0.8638	0.7695	0.1719	987.8	140.6	-9.259	0.08897	-0.9608	-0.3492	-0.8296	-0.9619	-0.231
0.03	0	916.5	-281.7	-276.4	-0.5229	-1.312	0.1798	-1.528	-0.3271	-0.416	952.6	318.9	-83.01	-0.697	-0.175	-0.1727	-1.539	0.4155	0.3918	968.7	-106	-214.8	-0.262	1.574	-0.08472	-0.8635	0.7647	0.1536	990.7	140.6	-7.297	0.08897	-0.5233	-0.1806	-0.8284	-0.9644	-0.2336
0.04	0	918.4	-279.8	-282.2	-0.1727	-1.05	0.3467	-1.526	-0.3271	-0.4253	947.8	309.5	-93.78	0	0.35	-1.223	-1.535	0.4131	0.3945	974.6	-102.5	-219.2	0	0.8747	-0.2663	-0.8633	0.7598	0.1353	986.4	137.2	-0.9811	0.4393	-1.135	-0.1806	-0.8272	-0.9668	-0.2363
0.05	0	922.8	-287.6	-279.8	-0.08636	-0.2624	0.6163	-1.524	-0.3296	-0.4145	954.6	319.3	-96.19	-1.052	0.35	-0.9567	-1.541	0.4119	0.3918	974.6	-100.1	-225.6	-0.08734	0.9612	0	-0.8635	0.7659	0.1523	990.7	139.1	-2.943	0.2614	-1.573	0	-0.8284	-0.9656	-0.2322
0.06	0	919.5	-284.6	-291.5	-0.6141	-0.1749	-0.1798	-1.522	-0.332	-0.4038	948.3	314	-91.78	0	0	-0.5182	-1.547	0.4106	0.3892	971.7	-102.5	-226.6	0.4367	1.05	-0.1694	-0.8638	0.772	0.1694	985.4	140.6	-8.278	0	-0.9608	0.2649	-0.8296	-0.9644	-0.228
0.07	0	913.6	-286.1	-283.7	-0.7004	-0.6123	-0.1798	-1.522	-0.3284	-0.4014	945.3	310.5	-95.19	-0.3485	0.7876	0.4385	-1.544	0.4155	0.384	969.2	-103.1	-223.6	0	1.223	0	-0.866	0.7695	0.1628	991.2	142.1	-3.924	0	-1.05	0.08429	-0.832	-0.9631	-0.228
0.08	0	914.5	-285.2	-291	0	-0.6123	0.1798	-1.522	-0.3247	-0.3989	946.7	318.9	-86.42	-0.697	0.5251	0	-1.542	0.4204	0.3789	972.2	-99.64	-224.6	-0.3494	1.574	0	-0.8682	0.7671	0.1562	991.2	141.6	-6.807	-0.5227	-0.4376	-0.1806	-0.8345	-0.9619	-0.228
0.09	0	913.1	-286.1	-282.2	-0.6141	-0.4373	0	-1.524	-0.3308	-0.4001	954.1	318.9	-90.84	-0.6129	0.4375	0.6113	-1.546	0.4214	0.3828	971.7	-109.4	-215.3	-0.262	1.66	-0.2663	-0.8657	0.7659	0.1575	988.7	142.1	-2.943	-1.312	-0.9608	0.6141	-0.8308	-0.9619	-0.2268
