MR32 ASCII
Name	KAM_study
Frequency	100
Date	08-05-2018 11:32:35
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	918	-296.9	-288.6	-1.224	0.1739	0.608	-1.565	-0.2871	-0.3315	942.4	317.9	-110.4	-1.134	-0.7855	-0.4379	-1.586	0.355	0.3208	954.6	-185.1	-242.7	-0.699	-1.574	-0.1759	-0.7944	0.8315	0.144	975	210.5	25.87	0	0.7002	0.5188	-0.7676	-1.023	-0.2544
0.01	0	923.8	-294.9	-269.1	-1.836	0.7001	1.662	-1.564	-0.292	-0.3357	946.7	319.3	-92.28	-0.6119	-0.7004	0	-1.583	0.3538	0.3262	962.4	-174.3	-238.8	-0.5232	-2.01	-0.3519	-0.792	0.8291	0.1453	976.5	213.4	19.51	-0.1754	0.6114	0.4429	-0.7688	-1.023	-0.2559
0.02	0	917.4	-299.3	-278.8	0	0.2631	1.23	-1.562	-0.2969	-0.3398	951.2	323.7	-102	-0.4379	-0.9606	-0.0821	-1.579	0.3525	0.3315	961.9	-172.4	-230	-1.574	-1.574	-0.3519	-0.7896	0.8267	0.1465	975	209	25.87	-0.7017	0.4372	0.4429	-0.77	-1.023	-0.2573
0.03	0	918.5	-301.7	-277.3	0.3505	0.3477	1.135	-1.561	-0.2944	-0.3398	946.7	318.9	-103.5	0.4379	-0.6104	0.0821	-1.574	0.354	0.3369	956	-175.3	-231.9	-1.051	-1.662	-0.3519	-0.7932	0.8291	0.1438	977.1	207	17.58	-0.6107	0	0.1771	-0.7673	-1.027	-0.2615
0.04	0	920.4	-293.5	-277.8	-0.1725	0.2631	0.4324	-1.56	-0.292	-0.3398	953.6	324.3	-95.24	0.2639	-1.401	0.1779	-1.57	0.3555	0.3423	955	-180.1	-233.4	-0.08584	-0.4365	0	-0.7969	0.8315	0.1411	976.1	203.1	2.43	-0.7862	0	-0.3543	-0.7646	-1.031	-0.2656
0.05	0	915	-298.8	-277.8	0.1725	0.7001	0.8783	-1.564	-0.292	-0.3384	947.7	326.2	-102	0.4379	-0.8755	-0.8757	-1.574	0.3543	0.333	963.4	-170.9	-239.7	-0.08584	-1.049	0.3519	-0.7944	0.8303	0.145	977.1	206.1	16.08	-0.8771	0.08876	-0.3543	-0.7659	-1.022	-0.2642
0.06	0	922.8	-289.1	-268.6	-0.612	-0.08928	0.8783	-1.567	-0.292	-0.3369	941.9	319.3	-89.38	0.2639	-0.4353	0	-1.579	0.353	0.3237	960	-173.8	-229.5	-0.4374	-0.4365	0	-0.792	0.8291	0.1489	977.5	207	16.08	-0.2599	-0.4372	-0.08857	-0.7671	-1.013	-0.2627
0.07	0	916.6	-294.9	-282.2	0.08901	0.7847	0	-1.567	-0.2932	-0.3411	945.8	319.3	-90.33	0.08983	-0.7855	-0.0821	-1.579	0.3518	0.3249	958.1	-179.7	-236.3	-0.3516	-0.08812	0.6158	-0.7966	0.8325	0.1492	978	212	24.44	0	-0.1742	-0.3543	-0.7671	-1.017	-0.2627
0.08	0	918.5	-295.9	-277.3	0.7844	0.6109	0.2567	-1.567	-0.2944	-0.3452	940.4	317.9	-95.24	0.2639	-0.5253	0	-1.579	0.3506	0.3262	960	-175.8	-229	0	0.08812	0.2639	-0.8013	0.8359	0.1494	978.6	207	24.87	0.1754	-0.263	0.3543	-0.7671	-1.021	-0.2627
0.09	0	909.6	-303.2	-268.1	0.612	0.08928	0.08107	-1.566	-0.2969	-0.3398	946.3	319.3	-103.5	0.6119	-0.08505	0.26	-1.577	0.3506	0.3249	959.5	-180.1	-236.3	-0.699	-0.1742	0.7918	-0.7966	0.8337	0.1465	979	208.5	12.22	-0.1754	0.08876	-1.05	-0.7686	-1.018	-0.26
